name,ttm,03/31/2022
MarketCap,"1,923,786,846","2,383,186,828"
PeRatio,"0.931","1.15"
ForwardPeRatio,"16.26","21.459"
PsRatio,"0.361","0.419"
PbRatio,"3.69","1.483"
