name,ttm,03/31/2022,09/30/2021,06/30/2021,03/31/2021
OperatingCashFlow,"-64,740,000","-19,374,000","-26,414","-294,183","-6,483,000"
	CashFlowFromContinuingOperatingActivities,"-64,740,000","-19,374,000","-26,414","-294,183","-6,483,000"
		NetIncomeFromContinuingOperations,"-327,908,000","-5,709,000","-3,929,818","-6,784,606","-154,918,000"
		OperatingGainsLosses,"98,518,000","-15,664,000","2,227,765","6,107,055","146,567,000"
			GainLossOnInvestmentSecurities,"98,518,000","-15,664,000","2,227,765","6,107,055","146,567,000"
		DepreciationAmortizationDepletion,"638,000","196,000",,,"130,000"
			DepreciationAndAmortization,"638,000","196,000",,,"130,000"
				Depreciation,"638,000","196,000",,,"130,000"
		StockBasedCompensation,"10,553,000","2,760,000",,,"129,000"
		OtherNonCashItems,"154,314,000","-551,000",,,"21,000"
		ChangeInWorkingCapital,"93,000","-406,000","1,313,888","383,368","1,588,000"
			ChangeInReceivables,,"785,000",,,"0"
				ChangesInAccountReceivables,,"785,000",,,"0"
			ChangeInPrepaidAssets,"-3,974,000","405,000","64,292","68,239","-294,000"
			ChangeInPayablesAndAccruedExpense,"-381,000","-1,596,000","1,249,596","315,129","1,882,000"
				ChangeInPayable,,,"-111,196","290,334","43,728"
					ChangeInAccountPayable,,,"-111,196","290,334","43,728"
				ChangeInAccruedExpense,,,"1,360,792","24,795","34,068"
InvestingCashFlow,"-6,675,000","-4,041,000",,,"-133,000"
	CashFlowFromContinuingInvestingActivities,"-6,675,000","-4,041,000",,,"-133,000"
		NetPPEPurchaseAndSale,"-6,675,000","-4,041,000",,,"-133,000"
			PurchaseOfPPE,"-6,675,000","-4,041,000",,,"-133,000"
FinancingCashFlow,"273,332,000","-3,244,000",,,"11,878,000"
	CashFlowFromContinuingFinancingActivities,"273,332,000","-3,244,000",,,"11,878,000"
		NetIssuancePaymentsOfDebt,"-1,449,000","-483,000",,,"-101,000"
			NetLongTermDebtIssuance,"-1,449,000","-483,000",,,"-101,000"
				LongTermDebtPayments,"-21,449,000","-483,000",,,"-101,000"
		NetCommonStockIssuance,,"-2,808,000",,,"0"
			CommonStockPayments,,"-2,808,000",,,"0"
		NetPreferredStockIssuance,"15,559,000","0",,,"11,461,000"
			PreferredStockIssuance,"15,559,000","0",,,"11,461,000"
		ProceedsFromStockOptionExercised,"11,195,000","47,000",,,"518,000"
EndCashPosition,"213,573,000","213,573,000","1,177","27,591","11,656,000"
	ChangesInCash,"201,917,000","-26,659,000","-26,414","-294,183","5,262,000"
	BeginningCashPosition,"11,656,000","240,232,000","27,591","321,774","6,394,000"
InterestPaidSupplementalData,"2,202,000","403,000",,,"0"
CapitalExpenditure,"-6,675,000","-4,041,000",,,"-133,000"
IssuanceOfCapitalStock,"15,559,000","0",,,"11,461,000"
RepaymentOfDebt,"-21,449,000","-483,000",,,"-101,000"
RepurchaseOfCapitalStock,,"-2,808,000",,,"0"
FreeCashFlow,"-71,415,000","-23,415,000","-26,414","-294,183","-6,616,000"
