name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
TotalRevenue,"717,322,000","186,823,000","187,083,000","176,628,000","166,789,000","157,789,000","165,386,000","157,754,000"
	OperatingRevenue,"717,322,000","186,823,000","187,083,000","176,628,000","166,789,000","157,789,000","165,386,000","157,754,000"
CostOfRevenue,"200,458,000","49,396,000","47,697,000","57,853,000","45,512,000","44,593,000","53,318,000","50,455,000"
GrossProfit,"516,864,000","137,427,000","139,386,000","118,775,000","121,277,000","113,196,000","112,068,000","107,299,000"
OperatingExpense,"656,121,000","124,770,000","124,087,000","307,987,000","99,276,000","105,957,000","87,935,000","84,214,000"
	SellingGeneralAndAdministration,"412,712,000","71,009,000","68,864,000","222,893,000","49,945,000","57,256,000","42,480,000","39,320,000"
		GeneralAndAdministrativeExpense,"256,466,000","44,207,000","41,353,000","142,511,000","28,394,000","37,839,000","24,378,000","21,893,000"
			OtherGandA,"256,466,000","44,207,000","41,353,000","142,511,000","28,394,000","37,839,000","24,378,000","21,893,000"
		SellingAndMarketingExpense,"156,246,000","26,802,000","27,511,000","80,382,000","21,551,000","19,417,000","18,102,000","17,427,000"
	ResearchAndDevelopment,"171,048,000","35,681,000","37,097,000","67,016,000","31,253,000","30,624,000","27,377,000","26,816,000"
	DepreciationAmortizationDepletionIncomeStatement,"72,361,000","18,080,000","18,126,000","18,078,000","18,078,000","18,077,000","18,078,000","18,078,000"
		DepreciationAndAmortizationInIncomeStatement,"72,361,000","18,080,000","18,126,000","18,078,000","18,078,000","18,077,000","18,078,000","18,078,000"
			Amortization,"72,361,000","18,080,000","18,126,000","18,078,000","18,078,000","18,077,000","18,078,000","18,078,000"
				AmortizationOfIntangiblesIncomeStatement,"72,361,000","18,080,000","18,126,000","18,078,000","18,078,000","18,077,000","18,078,000","18,078,000"
	OtherOperatingExpenses,,,,,"-4,000",,,
OperatingIncome,"-139,257,000","12,657,000","15,299,000","-189,212,000","22,001,000","7,239,000","24,133,000","23,085,000"
NetNonOperatingInterestIncomeExpense,"-47,565,000","-7,341,000","-7,442,000","-13,878,000","-18,903,000","-18,766,000","-19,415,000","-19,788,000"
	InterestExpenseNonOperating,"47,565,000","7,341,000","7,442,000","13,878,000","18,903,000","18,766,000","19,415,000","19,788,000"
OtherIncomeExpense,"-68,822,000","5,796,000","-37,499,000","-40,215,000","3,093,000","3,364,000","3,412,000","3,943,000"
	GainOnSaleOfSecurity,"-53,691,000","5,714,000","-37,612,000","-24,882,000","3,089,000","3,277,000","3,384,000","3,894,000"
	SpecialIncomeCharges,,,"0","-15,240,000","0",,"0","0"
		OtherSpecialCharges,,,"0","15,240,000",,,"0",
	OtherNonOperatingIncomeExpenses,"109,000","82,000","113,000","-93,000","4,000","87,000","28,000","49,000"
PretaxIncome,"-255,644,000","11,112,000","-29,642,000","-243,305,000","6,191,000","-8,163,000","8,130,000","7,240,000"
TaxProvision,"-23,784,000","-863,000","28,227,000","-53,523,000","2,375,000","-3,079,000","2,512,000","2,520,000"
NetIncomeCommonStockholders,"-231,860,000","11,975,000","-57,869,000","-189,782,000","3,816,000","-5,084,000","5,618,000","4,720,000"
	NetIncome,"-231,860,000","11,975,000","-57,869,000","-189,782,000","3,816,000","-5,084,000","5,618,000","4,720,000"
		NetIncomeIncludingNoncontrollingInterests,"-231,860,000","11,975,000","-57,869,000","-189,782,000","3,816,000","-5,084,000","5,618,000","4,720,000"
			NetIncomeContinuousOperations,"-231,860,000","11,975,000","-57,869,000","-189,782,000","3,816,000","-5,084,000","5,618,000","4,720,000"
		MinorityInterests,"0","0","0","0","0","0","0","0"
DilutedNIAvailtoComStockholders,"-231,860,000","11,975,000","-57,869,000","-189,782,000","3,816,000","-5,084,000","5,618,000","4,720,000"
BasicEPS,,"0.02","-0.1","-0.34","0.006","-0.009",,"0.008"
DilutedEPS,,"0.02","-0.1","-0.34","0.006","-0.009",,"0.008"
BasicAverageShares,,"603,104,839","596,023,745","566,454,782","594,545,380","594,545,380",,"594,545,380"
DilutedAverageShares,,"641,028,410","596,023,745","566,454,782","594,545,380","594,545,380",,"594,545,380"
TotalOperatingIncomeAsReported,"-139,257,000","12,657,000","15,299,000","-189,212,000","22,001,000","7,239,000","24,133,000","23,085,000"
TotalExpenses,"856,579,000","174,166,000","171,784,000","365,840,000","144,788,000","150,550,000","141,253,000","134,669,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-231,860,000","11,975,000","-57,869,000","-189,782,000","3,816,000","-5,084,000","5,618,000","4,720,000"
NormalizedIncome,"-169,342,038.851","8,546,600","-30,412,240","-158,486,840","1,912,006.461","-7,125,571","3,279,585.24","2,181,112"
