name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992
OperatingCashFlow,"684,811,000","171,731,000","244,314,000","171,340,000","97,426,000","187,855,000","205,712,000","161,951,000","134,122,000","199,233,000","131,326,000","150,663,000","109,337,000","178,926,000","133,877,000","125,923,000","100,779,000","129,777,000","110,478,000","136,724,000","80,653,000","134,681,000","100,904,000","108,185,000","80,316,000","150,056,000","25,147,000","38,319,000","41,153,000","80,830,000","60,302,000","58,555,000","46,353,000","67,458,000","62,128,000","47,348,000","32,697,000","46,879,000","68,913,000","50,756,000","61,267,000","36,533,000","52,302,000","48,556,000","11,981,000","34,347,000","27,040,000","26,663,000","29,694,000","66,286,000","66,260,000","59,788,000","32,620,000","59,060,000","39,633,000","39,964,000","28,727,000","48,899,000","41,777,000","33,299,000","19,426,000","54,369,000","23,111,000","24,937,000","-6,677,000","62,588,000","15,048,000","43,226,000","41,093,000","52,332,000","37,681,000","19,134,000","42,242,000","55,434,000","39,945,000","19,228,000","8,695,000","51,700,000","20,570,000","44,381,000","16,640,000","50,568,000","45,213,000","18,424,000","27,818,000","33,778,000","32,216,000","16,842,000","19,503,000","33,107,000","13,400,000","29,600,000","-5,000,000","25,900,000","11,800,000","13,648,000","13,152,000","6,544,000","304,000","-4,250,000","9,395,000","9,200,000","2,800,000","3,800,000","500,000","3,500,000","-500,000","2,100,000","300,000","3,900,000","-700,000","700,000","1,100,000","300,000","1,700,000","100,000","800,000","1,100,000","500,000","-1,600,000","700,000"
	CashFlowFromContinuingOperatingActivities,"684,811,000","171,731,000","244,314,000","171,340,000","97,426,000","187,855,000","205,712,000","161,951,000","134,122,000","199,233,000","131,326,000","150,663,000","109,337,000","178,926,000","133,877,000","125,923,000","100,779,000","129,777,000","110,478,000","136,724,000","80,653,000","134,681,000","100,905,000","108,184,000","80,316,000","150,056,000","25,147,000","38,319,000","41,153,000","80,830,000","60,302,000","58,555,000","46,353,000","67,458,000","62,128,000","47,348,000","32,697,000","46,879,000","68,913,000","50,756,000","61,267,000","36,533,000","52,302,000","48,556,000","11,981,000","34,347,000","27,040,000","26,663,000","29,694,000","66,286,000","66,260,000","59,788,000","32,620,000","59,060,000","39,633,000","39,964,000","28,727,000","48,899,000","41,777,000","33,299,000","19,426,000","54,369,000","23,542,000","25,564,000","-6,677,000","52,147,000","15,048,000","43,226,000","41,093,000","52,332,000","37,681,000","19,134,000","42,242,000","55,434,000","39,945,000","19,228,000","8,695,000","51,700,000","20,570,000","44,381,000","16,640,000","50,568,000","45,213,000","18,424,000","27,818,000","33,778,000","32,216,000","16,842,000","19,503,000","33,107,000","13,400,000","29,600,000","-5,000,000","25,900,000","11,800,000","13,648,000","13,152,000","6,544,000","304,000","-4,250,000","9,395,000","9,200,000","2,800,000","3,800,000","500,000","3,500,000","-500,000","2,100,000","300,000","3,900,000","-700,000","700,000","1,100,000","300,000","1,700,000","100,000","800,000","1,100,000","500,000","-1,600,000","700,000"
		NetIncomeFromContinuingOperations,"242,870,000","52,053,000","143,094,000","69,625,000","-21,902,000","88,150,000","114,588,000","106,008,000","88,124,000","123,219,000","104,667,000","95,142,000","84,777,000","108,877,000","48,426,000","77,495,000","70,278,000","73,623,000","95,340,000","64,444,000","58,215,000","26,065,000","-4,347,000","40,203,000","48,710,000","57,869,000","20,738,000","8,687,000","24,291,000","41,399,000","38,124,000","31,004,000","24,537,000","38,876,000","28,506,000","29,743,000","32,317,000","41,381,000","48,097,000","40,145,000","30,354,000",,,,,"38,999,000","21,765,000","35,711,000","-45,210,000","29,835,000","41,006,000","32,084,000","25,542,000","27,816,000","28,575,000","28,794,000","25,500,000","26,109,000","21,776,000","16,018,000","13,203,000","29,808,000","21,303,000","16,360,000","14,684,000","8,454,000","28,088,000","16,415,000","17,332,000","25,013,000","24,457,000","18,893,000","17,617,000","30,309,000","27,093,000","20,369,000","16,472,000","26,710,000","21,481,000","18,411,000","12,834,000","18,597,000","14,003,000","9,219,000","4,383,000","-16,626,000","10,391,000","6,724,000","828,000","-24,215,000","11,000,000","14,400,000","9,300,000","28,800,000","23,000,000","18,755,000","14,345,000","20,270,000","18,170,000","15,309,000","11,747,000","15,900,000","13,600,000","11,500,000","-71,600,000","3,900,000","3,500,000","2,900,000","2,500,000","2,600,000","2,400,000","1,900,000","1,800,000","1,600,000","1,400,000","1,100,000","1,000,000","1,100,000","800,000","400,000","200,000"
		OperatingGainsLosses,"14,243,000","12,487,000","815,000","-302,000","1,243,000","-822,000","687,000","-64,000","247,000","-417,000","-508,000","34,000","2,487,000","270,000","-994,000","402,000","-124,000","3,772,000","12,801,000","1,256,000","-700,000","44,169,000","29,082,000","13,957,000","126,000","1,461,000","250,000","21,928,000","3,000","249,000","-27,000","-606,000","233,000","3,484,000","792,000","977,000","26,000","2,000","52,000","66,000","174,000","288,000","63,000","-1,000","314,000","583,000","-179,000","991,000","405,000","608,000","1,467,000","156,000","-146,000","7,036,000","-7,190,000","-2,531,000","-70,000","5,596,000","-512,000","509,000","200,000","2,912,000","-667,000","1,349,000","-493,000","8,923,000","-12,811,000","1,273,000","-549,000","3,257,000","-8,286,000","3,397,000","1,817,000","6,638,000","6,625,000","2,934,000","-2,024,000","2,491,000","5,281,000","1,904,000","3,256,000","-509,000","290,000","5,090,000","1,227,000","15,281,000","-99,000","357,000","168,000","1,815,000","-300,000","200,000","-600,000","-1,000,000","1,500,000","-1,848,000","48,000","-459,000","-2,938,000","-947,000","-1,233,000","-1,500,000","-7,500,000","-200,000","66,600,000",,,,,,,,,,,,,,,,
			GainLossOnSaleOfBusiness,"-874,000","-1,767,000","489,000","-15,000","419,000","2,025,000","0","-5,000","10,000","-783,000","77,000","50,000","2,426,000","-862,000","-1,171,000","219,000","444,000","2,009,000","11,404,000","1,010,000","124,000","43,803,000","28,969,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"15,117,000","14,254,000","326,000","-287,000","824,000","-2,847,000","687,000","-59,000","237,000","366,000","-585,000","-16,000","61,000","1,132,000","177,000","183,000","-568,000","1,763,000","1,397,000","246,000","-824,000","366,000","113,000","155,000","126,000","1,461,000","249,000","100,000","3,000","249,000","-27,000","-606,000","233,000","3,484,000","792,000","977,000","26,000","2,000","52,000","66,000","174,000","288,000","63,000","-1,000","314,000","583,000","-179,000","991,000","405,000","608,000","1,467,000","156,000","-146,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","1,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"553,104,000","233,831,000","117,610,000","118,042,000","83,621,000","59,044,000","56,821,000","54,418,000","48,954,000","50,941,000","49,558,000","49,634,000","47,102,000","50,263,000","82,687,000","46,117,000","46,854,000","44,477,000","44,656,000","45,548,000","43,651,000","52,897,000","31,384,000","50,077,000","53,784,000","52,815,000","44,827,000","23,745,000","22,353,000","22,101,000","21,605,000","27,430,000","20,405,000","19,960,000","19,574,000","17,782,000","18,333,000","20,527,000","18,320,000","15,851,000","14,337,000","16,618,000","16,101,000","15,752,000","14,435,000","14,650,000","13,429,000","13,272,000","13,038,000","14,191,000","14,188,000","13,951,000","13,888,000","14,897,000","14,301,000","14,375,000","15,200,000","15,279,000","16,015,000","15,902,000","15,582,000","15,984,000","14,596,000","14,793,000","14,884,000","15,809,000","13,678,000","14,539,000","13,893,000","13,699,000","13,171,000","12,620,000","11,702,000","12,195,000","12,583,000","12,222,000","11,683,000","11,961,000","10,986,000","12,317,000","11,251,000","11,527,000","11,625,000","11,848,000","11,884,000","12,603,000","11,769,000","11,187,000","11,012,000","9,572,000","10,100,000","10,100,000","9,900,000","10,400,000","7,700,000","8,055,000","7,145,000","7,671,000","6,402,000","5,536,000","4,593,000","5,600,000","3,700,000","3,500,000","3,700,000","500,000","500,000","400,000","400,000","400,000","300,000","300,000","200,000","300,000","100,000","200,000","100,000","100,000","100,000","100,000","100,000"
			DepreciationAndAmortization,"220,135,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14,301,000","14,375,000","15,200,000","15,279,000","16,015,000","15,902,000","15,582,000","15,984,000","14,596,000","14,793,000","14,884,000","15,809,000","13,678,000","14,539,000","13,893,000","13,699,000","13,171,000","12,620,000","11,702,000","12,195,000","12,583,000","12,222,000","11,683,000","11,961,000","10,986,000","12,317,000","11,251,000","11,527,000","11,625,000","11,848,000","11,884,000","12,603,000","11,769,000","11,187,000","11,012,000","9,572,000","10,100,000","10,100,000","9,900,000","10,400,000","7,700,000","8,055,000","7,145,000","7,671,000","6,402,000","5,536,000","4,593,000","5,600,000","3,700,000","3,500,000","3,700,000","500,000","500,000","400,000","400,000","400,000","300,000","300,000","200,000","300,000","100,000","200,000","100,000","100,000","100,000","100,000","100,000"
		DeferredTax,"-106,620,000","-109,761,000","12,000","2,673,000","456,000","3,457,000","-318,000","1,290,000","-189,000","10,562,000","-373,000","-154,000","-612,000","-8,729,000","-24,000","2,017,000","225,000","2,596,000","-24,046,000","-404,000","-2,868,000","-15,479,000","51,359,000","-5,595,000","989,000","3,741,000","5,866,000","-14,532,000","5,629,000","-5,260,000","1,349,000","-838,000","-167,000","11,157,000","3,334,000","288,000","397,000","1,687,000","13,519,000","8,977,000","-432,000","-665,000","5,475,000","7,455,000","9,828,000","9,581,000","-7,789,000","-387,000","-44,476,000","1,007,000","3,260,000","2,341,000","-4,430,000","-4,051,000","7,078,000","-163,000","3,953,000","7,101,000","-14,690,000","134,000","-2,705,000","-3,007,000","51,000","1,000","-7,159,000","-7,455,000","56,000","62,000","-215,000","8,833,000","1,219,000","-166,000","4,379,000","8,303,000","956,000","-1,301,000","12,000","4,064,000","32,000","-38,000","-76,000",,,,,,,,"1,973,000",,,,,"21,400,000","300,000","-7,755,000","55,000","6,380,000","541,000",,,"-12,300,000","500,000","-300,000","-100,000",,,,,,,,,,,,,,,,
