name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,07/31/2017
TotalAssets,"2,524,544,000","2,422,021,000","2,271,118,000","2,257,631,000","2,062,276,000","1,969,417,000","1,852,947,000","1,833,458,000","735,964,000","676,425,000","636,228,000","604,162,000","537,536,000","518,113,000","458,094,000","447,781,000","405,538,000","188,172,000","182,902,000"
	CurrentAssets,"2,047,045,000","1,989,165,000","1,855,436,000","1,848,303,000","1,705,501,000","1,678,649,000","1,579,525,000","1,581,793,000","552,116,000","523,142,000","488,886,000","496,086,000","456,043,000","446,011,000","391,604,000","387,164,000","350,447,000","138,130,000","142,909,000"
		CashCashEquivalentsAndShortTermInvestments,"1,657,874,000","1,621,209,000","1,584,642,000","1,502,552,000","1,467,609,000","1,444,749,000","1,415,954,000","1,370,573,000","391,314,000","384,914,000","377,631,000","364,646,000","352,736,000","339,943,000","314,040,000","298,539,000","287,443,000","71,569,000","87,978,000"
			CashAndCashEquivalents,"594,893,000","409,819,000","371,696,000","275,898,000","106,590,000","95,347,000","102,016,000","141,851,000","124,592,000","76,534,000","69,346,000","78,484,000","54,974,000","67,467,000","42,786,000","135,579,000","287,443,000","71,569,000","87,978,000"
			OtherShortTermInvestments,"1,062,981,000","1,211,390,000","1,212,946,000","1,226,654,000","1,361,019,000","1,349,402,000","1,313,938,000","1,228,722,000","266,722,000","308,380,000","308,285,000","286,162,000","297,762,000","272,476,000","271,254,000","162,960,000",,,
		Receivables,"272,092,000","269,449,000","172,028,000","257,109,000","164,923,000","170,412,000","105,942,000","147,584,000","105,583,000","94,784,000","70,482,000","93,341,000","71,151,000","75,470,000","49,228,000","61,611,000","40,215,000","47,536,000","39,052,000"
			AccountsReceivable,"272,092,000","269,449,000","172,028,000","257,109,000","164,923,000","170,412,000","105,942,000","147,584,000","105,583,000","94,784,000","70,482,000","93,341,000","71,151,000","75,470,000","49,228,000","61,611,000","40,215,000","47,536,000","39,052,000"
		PrepaidAssets,"41,182,000","29,482,000","36,699,000","31,269,000","28,428,000","23,586,000","22,040,000","31,396,000","28,903,000","19,917,000","18,713,000","16,880,000","12,765,000","12,540,000","11,949,000","10,878,000","9,036,000","6,754,000","5,410,000"
		CurrentDeferredAssets,"75,897,000","69,025,000","62,067,000","57,373,000","44,541,000","39,902,000","35,589,000","32,240,000","26,316,000","23,527,000","22,060,000","21,219,000","19,391,000","18,058,000","16,387,000","16,136,000","13,753,000","12,271,000","10,469,000"
	TotalNonCurrentAssets,"477,499,000","432,856,000","415,682,000","409,328,000","356,775,000","290,768,000","273,422,000","251,665,000","183,848,000","153,283,000","147,342,000","108,076,000","81,493,000","72,102,000","66,490,000","60,617,000","55,091,000","50,042,000","39,993,000"
		NetPPE,"186,877,000","164,032,000","157,152,000","152,915,000","156,539,000","136,469,000","129,562,000","111,853,000","98,425,000","84,497,000","80,946,000","41,046,000","31,976,000","25,762,000","24,132,000","19,765,000","20,441,000","16,858,000","13,139,000"
			GrossPPE,"294,699,000","260,494,000","243,178,000","230,132,000","225,668,000","197,810,000","183,788,000","162,481,000","143,730,000","125,384,000","118,162,000","74,783,000","63,027,000","54,550,000","50,668,000","44,166,000","43,461,000","38,070,000","30,443,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				MachineryFurnitureEquipment,"71,047,000","61,824,000","53,933,000","47,473,000","41,839,000","36,939,000","33,480,000","30,232,000","25,945,000","22,859,000","18,661,000","15,618,000","13,497,000","12,467,000","11,715,000","11,300,000","10,745,000","10,001,000","8,221,000"
				OtherProperties,"216,313,000","191,331,000","181,905,000","175,320,000","176,622,000","153,675,000","143,097,000","123,537,000","109,482,000","94,278,000","92,908,000","56,910,000","47,395,000","39,960,000","36,830,000","30,743,000","30,591,000","25,982,000","20,241,000"
				Leases,"7,339,000","7,339,000","7,340,000","7,339,000","7,207,000","7,196,000","7,211,000","8,712,000","8,303,000","8,247,000","6,593,000","2,255,000","2,135,000","2,123,000","2,123,000","2,123,000","2,125,000","2,087,000","1,981,000"
			AccumulatedDepreciation,"-107,822,000","-96,462,000","-86,026,000","-77,217,000","-69,129,000","-61,341,000","-54,226,000","-50,628,000","-45,305,000","-40,887,000","-37,216,000","-33,737,000","-31,051,000","-28,788,000","-26,536,000","-24,401,000","-23,020,000","-21,212,000","-17,304,000"
		GoodwillAndOtherIntangibleAssets,"86,857,000","89,095,000","88,880,000","91,106,000","79,786,000","50,930,000","52,506,000","54,083,000","23,496,000","14,766,000","15,408,000","16,187,000","2,211,000",,,,,,
			Goodwill,"59,823,000","59,823,000","58,977,000","58,977,000","53,291,000","30,059,000","30,059,000","30,059,000","13,350,000","7,479,000","7,479,000","7,479,000",,,,,,,
			OtherIntangibleAssets,"27,034,000","29,272,000","29,903,000","32,129,000","26,495,000","20,871,000","22,447,000","24,024,000","10,146,000","7,287,000","7,929,000","8,708,000","2,211,000",,,,,,
		NonCurrentDeferredAssets,"181,402,000","165,480,000","154,036,000","149,657,000","107,927,000","95,044,000","83,690,000","77,675,000","58,024,000","50,523,000","48,366,000","48,566,000","44,714,000","42,543,000","39,591,000","39,774,000","32,755,000","27,672,000","24,193,000"
		OtherNonCurrentAssets,"22,363,000","14,249,000","15,614,000","15,650,000","12,523,000","8,325,000","7,664,000","8,054,000","3,903,000","3,497,000","2,622,000","2,277,000","2,592,000","3,797,000","2,767,000","1,078,000","1,895,000","5,512,000","2,661,000"
TotalLiabilitiesNetMinorityInterest,"1,992,967,000","1,882,654,000","1,740,919,000","1,728,736,000","1,554,169,000","1,466,713,000","1,360,842,000","1,348,629,000","401,170,000","357,261,000","322,176,000","295,604,000","250,957,000","241,040,000","205,916,000","207,545,000","162,346,000","149,144,000","133,067,000"
	CurrentLiabilities,"912,576,000","836,042,000","715,300,000","720,205,000","564,879,000","501,575,000","416,462,000","423,901,000","345,638,000","303,663,000","266,317,000","261,949,000","221,562,000","210,232,000","183,905,000","182,832,000","147,191,000","136,372,000","120,459,000"
		PayablesAndAccruedExpenses,"58,394,000","44,595,000","37,820,000","35,455,000","36,794,000","27,378,000","21,534,000","21,594,000","23,758,000","16,281,000","15,787,000","19,018,000","15,400,000","17,393,000","19,498,000","17,208,000","18,711,000","13,520,000","15,411,000"
			Payables,"15,234,000","13,499,000","14,961,000","12,547,000","20,172,000","13,170,000","7,663,000","5,233,000","9,392,000","2,675,000","3,784,000","6,208,000","3,585,000","3,459,000","4,573,000","4,895,000","4,944,000","2,343,000","3,763,000"
				AccountsPayable,"15,234,000","13,499,000","14,961,000","12,547,000","20,172,000","13,170,000","7,663,000","5,233,000","9,392,000","2,675,000","3,784,000","6,208,000","3,585,000","3,459,000","4,573,000","4,895,000","4,944,000","2,343,000","3,763,000"
			CurrentAccruedExpenses,"43,160,000","31,096,000","22,859,000","22,908,000","16,622,000","14,208,000","13,871,000","16,361,000","14,366,000","13,606,000","12,003,000","12,810,000","11,815,000","13,934,000","14,925,000","12,313,000","13,767,000","11,177,000","11,648,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"102,678,000","83,863,000","72,667,000","93,622,000","61,276,000","47,861,000","37,097,000","49,444,000","34,215,000","25,019,000","22,926,000","21,544,000","21,845,000","15,541,000","18,686,000","23,393,000","14,820,000","10,423,000","11,608,000"
		CurrentDebtAndCapitalLeaseObligation,"19,600,000","19,665,000","20,488,000","19,842,000","20,974,000","20,152,000","17,796,000","15,600,000","12,939,000","11,142,000","9,413,000",,,,,,,,
			CurrentCapitalLeaseObligation,"19,600,000","19,665,000","20,488,000","19,842,000","20,974,000","20,152,000","17,796,000","15,600,000","12,939,000","11,142,000","9,413,000",,,,,,,,
		CurrentDeferredLiabilities,"731,904,000","687,919,000","584,325,000","571,286,000","445,835,000","406,184,000","340,035,000","337,263,000","274,726,000","251,221,000","218,191,000","221,387,000","183,622,000","176,326,000","144,472,000","140,670,000","111,035,000","107,907,000","85,468,000"
			CurrentDeferredRevenue,"731,904,000","687,919,000","584,325,000","571,286,000","445,835,000","406,184,000","340,035,000","337,263,000","274,726,000","251,221,000","218,191,000","221,387,000","183,622,000","176,326,000","144,472,000","140,670,000","111,035,000","107,907,000","85,468,000"
		OtherCurrentLiabilities,,,,,,,,,,,,,"695,000","972,000","1,249,000","1,561,000","2,625,000","4,522,000","7,972,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"1,080,391,000","1,046,612,000","1,025,619,000","1,008,531,000","989,290,000","965,138,000","944,380,000","924,728,000","55,532,000","53,598,000","55,859,000","33,655,000","29,395,000","30,808,000","22,011,000","24,713,000","15,155,000","12,772,000","12,608,000"
		LongTermDebtAndCapitalLeaseObligation,"985,606,000","969,972,000","957,548,000","944,763,000","935,735,000","921,015,000","909,625,000","889,638,000","27,909,000","23,300,000","24,825,000",,,,,,,,
			LongTermDebt,"954,578,000","940,692,000","927,014,000","913,538,000","900,263,000","887,186,000","874,359,000","861,615,000",,,,,,,,,,,
			LongTermCapitalLeaseObligation,"31,028,000","29,280,000","30,534,000","31,225,000","35,472,000","33,829,000","35,266,000","28,023,000","27,909,000","23,300,000","24,825,000",,,,,,,,
		NonCurrentDeferredLiabilities,"86,839,000","72,012,000","63,491,000","59,315,000","49,599,000","40,633,000","31,865,000","32,504,000","26,065,000","28,801,000","27,678,000","29,815,000","27,920,000","29,694,000","20,807,000","23,353,000","13,771,000","11,350,000","11,151,000"
