name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000
TotalRevenue,"311,430,000","78,368,000","79,175,000","78,112,000","77,603,000","72,830,000","67,059,000","64,640,000","58,126,000","63,874,000","68,907,000","67,718,000","66,293,000","65,485,000","67,867,000","72,570,000","74,775,000","59,605,000","61,386,000","57,986,000","63,428,000","54,599,000","50,798,000","51,789,000","55,981,000","60,878,000","76,489,000","80,753,000","81,559,000","60,141,000","49,600,000","47,114,000","44,128,000","42,920,000","43,166,000","39,630,000","37,331,000","29,341,000","23,574,000","21,661,000","20,393,000","19,170,000","16,175,000","17,736,000","16,716,000","14,533,000","13,413,000","10,130,000","9,355,000",,,,,,"488,355","118,914","775,549","1,803,148","3,232,383","3,110,450","5,223,413","5,188,015","6,163,334"
	OperatingRevenue,"304,527,000","76,517,000","77,441,000","76,400,000","75,997,000","71,616,000","66,105,000","63,919,000","57,208,000","62,950,000","68,179,000","67,006,000","65,627,000","64,840,000","67,191,000","71,679,000","73,778,000","58,756,000","60,825,000","57,574,000","56,114,000","53,262,000","50,366,000","51,553,000","55,931,000","60,615,000","76,235,000","80,520,000","81,320,000","59,869,000","49,327,000","46,942,000","43,938,000","42,609,000","42,903,000","39,437,000","37,101,000","29,153,000","22,800,000","21,661,000","20,393,000","19,170,000","15,381,000","17,736,000","16,716,000","14,533,000","12,368,000","10,130,000","9,355,000",,,,,,"488,355","118,914","775,549","1,803,148","3,232,383","3,110,450","5,223,413","5,188,015","6,163,334"
CostOfRevenue,"90,323,000","24,787,000","23,178,000","22,027,000","20,331,000","22,627,000","20,827,000","19,098,000","17,455,000","17,295,000","19,280,000","18,880,000","21,300,000","21,301,000","18,838,000","17,544,000","19,301,000","18,832,000","25,706,000","19,492,000","18,421,000","17,874,000","18,366,000","15,328,000","14,343,000","15,226,000","15,551,000","19,407,000","18,669,000","19,601,000","14,099,000","9,990,000","7,551,000","9,355,000","9,633,000","9,648,000","9,447,000","7,482,000","23,233,000","0","0","0","0","0","0","0","19,193,000","0","0",,,,,,,,,,,,,,
GrossProfit,"221,107,000","53,581,000","55,997,000","56,085,000","57,272,000","50,203,000","46,232,000","45,542,000","40,671,000","46,579,000","49,627,000","48,838,000","44,993,000","44,184,000","49,029,000","55,026,000","55,474,000","40,773,000","35,680,000","38,494,000","45,007,000","36,725,000","32,432,000","36,461,000","41,638,000","45,652,000","60,938,000","61,346,000","62,890,000","40,540,000","35,501,000","37,124,000","36,577,000","33,565,000","33,533,000","29,982,000","27,884,000","21,859,000","341,000","21,661,000","20,393,000","19,170,000","16,175,000","17,736,000","16,716,000","14,533,000","-5,780,000","10,130,000","9,355,000",,,,,,,,,,,,,,
OperatingExpense,"115,691,000","31,442,000","29,172,000","27,632,000","29,273,000","27,326,000","28,876,000","26,259,000","24,778,000","26,802,000","30,936,000","29,015,000","29,939,000","30,090,000","33,285,000","29,982,000","30,300,000","24,789,000","30,031,000","22,998,000","22,782,000","21,903,000","22,247,000","22,236,000","24,489,000","23,235,000","23,752,000","21,641,000","21,688,000","19,263,000","18,822,000","16,867,000","16,444,000","17,086,000","17,057,000","15,017,000","15,642,000","14,005,000","-1,626,000","14,856,000","18,483,000","14,963,000","21,345,000","13,872,000","16,027,000","12,793,000","-2,457,000","10,633,000","11,215,000","330,830","243,674","236,997","347,672","116,880","412,449","-1,383,293","1,535,871","4,045,593","4,871,839","5,382,038","6,994,034","7,121,184","7,828,216"
	SellingGeneralAndAdministration,"107,951,000","29,550,000","27,304,000","25,660,000","27,265,000","25,503,000","26,895,000","24,395,000","22,931,000","24,549,000","28,867,000","26,797,000","27,420,000","27,768,000","30,780,000","27,395,000","27,702,000","22,644,000","27,805,000","20,916,000","20,588,000","19,942,000","20,197,000","20,173,000","22,336,000","21,287,000","21,619,000","19,768,000","19,956,000","17,808,000","17,500,000","15,537,000","15,079,000","15,752,000","15,430,000","13,769,000","14,498,000","13,062,000","-4,684,000","14,777,000","18,408,000","14,892,000","13,384,000","13,804,000","13,706,000","12,728,000","-4,260,000","10,553,000","9,785,000","319,345","230,060","213,942","324,617","84,113","365,143","561,015","505,777","607,845","925,801","1,335,892","1,470,192","1,234,868","1,453,569"
		GeneralAndAdministrativeExpense,"74,428,000","20,706,000","18,241,000","17,927,000","19,382,000","19,009,000","19,294,000","17,780,000","17,461,000","17,309,000","18,841,000","17,918,000","18,420,000","18,266,000","20,259,000","18,948,000","17,755,000","13,911,000","19,155,000","13,275,000","12,704,000","12,511,000","12,782,000","12,876,000","13,227,000","14,101,000","14,572,000","13,272,000","13,755,000","12,549,000","12,435,000","10,730,000","10,511,000","11,863,000","10,982,000","10,059,000","10,354,000","9,213,000","-15,365,000","13,915,000","16,860,000","13,566,000","8,546,000","12,893,000","11,436,000","11,756,000","-10,676,000","9,808,000","8,613,000",,,,,,,,,,,,,,
			SalariesAndWages,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,734,000","5,477,000","5,857,000","4,722,000","5,085,000","4,610,000","5,217,000",,"4,405,000","4,600,000",,,,,,,,,,,,,,
			RentAndLandingFees,"3,907,000","753,000","725,000","1,163,000","1,266,000","1,475,000","1,622,000","1,611,000","1,643,000","1,551,000","1,587,000","1,549,000","1,548,000","1,618,000","1,544,000","1,722,000","1,574,000","1,363,000","1,313,000","1,378,000","1,371,000","1,353,000","1,279,000","1,469,000","1,241,000","1,222,000","1,255,000","1,183,000","943,000","918,000","943,000","882,000","853,000","900,000","1,093,000","723,000","591,000","377,000","369,000",,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"70,521,000","19,953,000","17,516,000","16,764,000","18,116,000","17,534,000","17,672,000","16,169,000","15,818,000","15,758,000","17,254,000","16,369,000","16,872,000","16,648,000","18,715,000","17,226,000","16,181,000","12,548,000","17,842,000","11,897,000","11,333,000","11,158,000","11,503,000","11,407,000","11,986,000","12,879,000","13,317,000","12,089,000","12,812,000","11,631,000","11,492,000","9,848,000","9,658,000","10,963,000","9,889,000","9,336,000","9,763,000","8,836,000","284,000","8,181,000","11,383,000","7,709,000","3,824,000","7,808,000","6,826,000","6,539,000","2,466,000","5,403,000","4,013,000",,,,,,,,,,,,,,
