name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,12/31/2018
TotalAssets,"364,109,000","408,152,000","387,008,000","432,892,000","471,416,000","298,269,000","198,013,000","231,970,000","254,392,000","107,012,000","28,303,000","51,098,000"
	CurrentAssets,"358,918,000","402,773,000","381,770,000","427,554,000","465,975,000","292,826,000","194,121,000","228,035,000","253,878,000","106,474,000","27,771,000","51,098,000"
		CashCashEquivalentsAndShortTermInvestments,"343,601,000","387,059,000","367,270,000","409,364,000","444,927,000","284,441,000","189,712,000","223,975,000","249,319,000","101,265,000","25,177,000","50,940,000"
			CashAndCashEquivalents,"69,795,000","96,449,000","51,778,000","89,128,000","288,690,000","65,082,000","45,707,000","171,546,000","190,893,000","63,336,000","23,177,000","39,394,000"
				CashEquivalents,"69,795,000","96,449,000","51,778,000","89,128,000","288,690,000","65,082,000","45,707,000","171,546,000","190,893,000","63,336,000","23,177,000","39,394,000"
			OtherShortTermInvestments,"273,806,000","290,610,000","315,492,000","320,236,000","156,237,000","219,359,000","144,005,000","52,429,000","58,426,000","37,929,000","2,000,000","11,546,000"
		Receivables,"362,000","362,000","362,000","399,000","577,000","510,000","472,000",,,,,
			TaxesReceivable,"362,000","362,000","362,000","399,000","577,000","510,000","472,000",,,,,
		PrepaidAssets,"13,721,000","13,810,000","12,596,000","16,249,000","18,929,000","6,333,000","3,328,000","4,060,000","4,559,000","3,462,000","1,566,000","158,000"
		RestrictedCash,"1,234,000","1,542,000","1,542,000","1,542,000","1,542,000","1,542,000",,,,,,
		CurrentDeferredAssets,,,,,,"0","609,000","0","0","1,747,000","1,028,000",
	TotalNonCurrentAssets,"5,191,000","5,379,000","5,238,000","5,338,000","5,441,000","5,443,000","3,892,000","3,935,000","514,000","538,000","532,000","0"
		NetPPE,"5,113,000","5,301,000","5,160,000","5,260,000","5,363,000","5,365,000","3,814,000","3,857,000","467,000","491,000","485,000",
			GrossPPE,"5,795,000","5,833,000","5,556,000","5,540,000","5,539,000","5,443,000","3,814,000","3,857,000","467,000","491,000","485,000",
				Properties,"0","0","0","0","0","0",,,,"227,000","185,000",
				MachineryFurnitureEquipment,"1,258,000","1,225,000","873,000","781,000","702,000","3,865,000","3,492,000","3,629,000","226,000","264,000","300,000",
				OtherProperties,"2,961,000","3,040,000","3,115,000","3,191,000","3,269,000",,"322,000","228,000","241,000","227,000","185,000",
				ConstructionInProgress,"8,000","0","0","0","0","298,000",,,,,,
				Leases,"1,568,000","1,568,000","1,568,000","1,568,000","1,568,000","1,280,000",,,,,,
			AccumulatedDepreciation,"-682,000","-532,000","-396,000","-280,000","-176,000","-78,000",,,,,,
		OtherNonCurrentAssets,"78,000","78,000","78,000","78,000","78,000","78,000","78,000","78,000","47,000","47,000","47,000",
TotalLiabilitiesNetMinorityInterest,"110,337,000","110,475,000","24,013,000","18,404,000","20,422,000","27,648,000","24,942,000","23,047,000","12,510,000","172,041,000","81,253,000","75,085,000"
	CurrentLiabilities,"32,963,000","33,326,000","19,058,000","13,347,000","15,314,000","22,602,000","21,154,000","19,281,000","12,222,000","5,237,000","8,599,000","2,673,000"
		PayablesAndAccruedExpenses,"28,987,000","23,763,000","11,981,000","10,206,000","13,601,000","18,168,000","18,212,000","17,507,000","11,234,000","3,680,000","7,333,000","2,218,000"
			Payables,"12,466,000","7,353,000","4,871,000","2,676,000","3,146,000","7,140,000","5,039,000","8,253,000","4,759,000","1,405,000","3,159,000","1,801,000"
				AccountsPayable,"12,466,000","7,353,000","4,871,000","2,676,000","3,146,000","7,140,000","5,039,000","8,253,000","4,759,000","1,405,000","3,159,000","1,801,000"
			CurrentAccruedExpenses,"16,521,000","16,410,000","7,110,000","7,530,000","10,455,000","11,028,000","13,173,000","9,254,000","6,475,000","2,275,000","4,174,000","417,000"
		PensionandOtherPostRetirementBenefitPlansCurrent,"3,469,000","9,130,000","6,771,000","3,035,000","1,713,000","4,434,000","2,910,000","1,694,000","806,000","1,379,000","1,093,000","455,000"
		CurrentDebtAndCapitalLeaseObligation,"507,000","433,000","306,000","106,000",,,"32,000","80,000","182,000","178,000","173,000",
			CurrentCapitalLeaseObligation,"507,000","433,000","306,000","106,000",,"0","32,000","80,000","182,000","178,000","173,000",
	TotalNonCurrentLiabilitiesNetMinorityInterest,"77,374,000","77,149,000","4,955,000","5,057,000","5,108,000","5,046,000","3,788,000","3,766,000","288,000","166,804,000","72,654,000","72,412,000"
		LongTermDebtAndCapitalLeaseObligation,"77,355,000","77,124,000","4,924,000","5,032,000","5,050,000","4,964,000","3,675,000","3,610,000","82,000","129,000","175,000",
			LongTermDebt,"72,742,000","72,350,000",,,,,,,,,,
			LongTermCapitalLeaseObligation,"4,613,000","4,774,000","4,924,000","5,032,000","5,050,000","4,964,000","3,675,000","3,610,000","82,000","129,000","175,000",
		PreferredSecuritiesOutsideStockEquity,,,,,,"0","0","0","0","166,491,000","72,252,000","72,252,000"
		OtherNonCurrentLiabilities,"19,000","25,000","31,000","25,000","58,000","82,000","113,000","156,000","206,000","184,000","227,000","160,000"
TotalEquityGrossMinorityInterest,"253,772,000","297,677,000","362,995,000","414,488,000","450,994,000","270,621,000","173,071,000","208,923,000","241,882,000","-65,029,000","-52,950,000","-23,987,000"
	StockholdersEquity,"253,772,000","297,677,000","362,995,000","414,488,000","450,994,000","270,621,000","173,071,000","208,923,000","241,882,000","-65,029,000","-52,950,000","-23,987,000"
		CapitalStock,"5,000","5,000","5,000","5,000","5,000","4,000","4,000","3,000","3,000","0","0","0"
			PreferredStock,"0","0","0","0","0","0","0","0","0",,,
			CommonStock,"5,000","5,000","5,000","5,000","5,000","4,000","4,000","3,000","3,000","0","0","0"
		AdditionalPaidInCapital,"727,417,000","706,233,000","699,988,000","694,519,000","688,939,000","472,569,000","340,964,000","338,617,000","336,145,000","1,244,000","754,000","289,000"
		RetainedEarnings,"-472,630,000","-408,306,000","-336,980,000","-280,000,000","-237,992,000","-201,950,000","-167,901,000","-129,697,000","-94,285,000","-66,272,000","-53,704,000","-24,276,000"
		GainsLossesNotAffectingRetainedEarnings,"-1,020,000","-255,000","-18,000","-36,000","42,000","-2,000","4,000","0","19,000","-1,000","0",
TotalCapitalization,"326,514,000","370,027,000","362,995,000","414,488,000","450,994,000","270,621,000","173,071,000","208,923,000","241,882,000","-65,029,000","-52,950,000","-23,987,000"
CommonStockEquity,"253,772,000","297,677,000","362,995,000","414,488,000","450,994,000","270,621,000","173,071,000","208,923,000","241,882,000","-65,029,000","-52,950,000","-23,987,000"
CapitalLeaseObligations,"5,120,000","5,207,000","5,230,000","5,138,000","5,050,000","4,964,000","3,707,000","3,690,000","264,000","307,000","348,000",
NetTangibleAssets,"253,772,000","297,677,000","362,995,000","414,488,000","450,994,000","270,621,000","173,071,000","208,923,000","241,882,000","-65,029,000","-52,950,000","-23,987,000"
WorkingCapital,"325,955,000","369,447,000","362,712,000","414,207,000","450,661,000","270,224,000","172,967,000","208,754,000","241,656,000","101,237,000","19,172,000","48,425,000"
InvestedCapital,"326,514,000","370,027,000","362,995,000","414,488,000","450,994,000","270,621,000","173,071,000","208,923,000","241,882,000","-65,029,000","-52,950,000","-23,987,000"
TangibleBookValue,"253,772,000","297,677,000","362,995,000","414,488,000","450,994,000","270,621,000","173,071,000","208,923,000","241,882,000","-65,029,000","-52,950,000","-23,987,000"
TotalDebt,"77,862,000","77,557,000","5,230,000","5,138,000","5,050,000","4,964,000","3,707,000","3,690,000","264,000","307,000","348,000",
NetDebt,"2,947,000",,,,,,,,,,,
ShareIssued,"51,360,348","50,255,614","50,134,813","50,045,602","50,146,461","43,677,817","38,218,195","38,189,287","38,154,550","35,064,406","35,064,406","35,064,406"
OrdinarySharesNumber,"51,360,348","50,255,614","50,134,813","50,045,602","49,887,007","43,338,438","37,798,889","37,690,058","37,471,997","35,064,406","35,064,406","35,064,406"
TreasurySharesNumber,,,"131,917",,"259,454","339,379","419,306","499,229","682,553",,,
