name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,06/30/2011,03/31/2011,06/30/2010,03/31/2010
OperatingCashFlow,"-39,585,000","-22,829,000","-12,049,000","-6,050,000","1,343,000","-1,872,000","-5,142,000","-1,540,000","-1,889,000","-1,353,000","4,707,000","-3,818,000","1,068,000","-3,011,000","86,000","-2,493,000","-3,849,000","-2,398,000","344,000","1,053,000","-1,584,000","-4,419,000","788,000","3,848,000","-5,000,000","-214,000","5,441,000","561,000","3,015,000","-3,658,000","4,718,000","1,739,000","-588,000","779,000","336,000","-1,468,000","-7,842,000","-4,714,000","-5,021,000","-2,221,000","-4,734,000","-4,692,000"
	CashFlowFromContinuingOperatingActivities,"-39,585,000","-22,829,000","-12,049,000","-6,050,000","1,343,000","-1,872,000","-5,142,000","-1,540,000","-1,889,000","-1,353,000","4,707,000","-3,818,000","1,068,000","-3,011,000","86,000","-2,493,000","-3,849,000","-2,398,000","344,000","1,053,000","-1,584,000","-4,419,000","788,000","3,848,000","-5,000,000","-214,000","5,441,000","561,000","3,015,000","-3,658,000","4,718,000","1,739,000","-588,000","779,000","336,000","-1,468,000","-7,842,000","-4,714,000","-5,021,000","-2,221,000","-4,734,000","-4,692,000"
		NetIncomeFromContinuingOperations,"-50,328,000","-19,484,000","-16,353,000","-7,822,000","-6,669,000","-6,250,000","-6,189,000","-6,753,000","-5,698,000","-3,169,000","-956,000","-2,289,000","-5,318,000","-6,002,000","-14,108,000","-6,532,000","-6,958,000","-6,842,000","-1,683,000","-3,088,000","-5,472,000","-9,078,000","-5,742,000","-3,097,000","-1,387,000","-1,797,000","1,638,000","-2,523,000","-2,742,000","-2,790,000","-2,717,000","-2,411,000","-42,147,000","-19,049,000","-16,951,000","-12,703,000","-18,984,000","1,027,000",,"-1,721,000",,"-3,668,000"
		OperatingGainsLosses,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","-8,898,000","0","-14,000",,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","-14,000",,
		DepreciationAmortizationDepletion,"8,930,000","2,128,000","2,584,000","2,114,000","2,104,000","2,638,000","2,528,000","2,545,000","2,562,000","2,563,000","1,860,000","2,797,000","2,807,000","2,749,000","2,528,000","2,573,000","2,515,000","3,171,000","2,721,000","2,726,000","2,630,000","2,676,000","2,555,000","2,472,000","2,416,000","2,410,000","2,465,000","2,663,000","2,575,000","2,184,000","2,491,000","2,513,000","2,548,000","2,631,000","2,630,000","2,483,000","2,479,000","2,469,000","1,956,000","1,409,000","1,139,000","1,137,000"
			DepreciationAndAmortization,"8,930,000","2,128,000","2,584,000","2,114,000","2,104,000","2,638,000","2,528,000","2,545,000","2,562,000","2,563,000","1,860,000","2,797,000","2,807,000","2,749,000","2,528,000","2,573,000","2,515,000","3,171,000","2,721,000","2,726,000","2,630,000","2,676,000","2,555,000","2,472,000","2,416,000","2,410,000","2,465,000","2,663,000","2,575,000","2,184,000","2,491,000","2,513,000","2,548,000","2,631,000","2,630,000","2,483,000","2,479,000","2,469,000","1,956,000","1,409,000","1,139,000","1,137,000"
				Depreciation,,"2,128,000",,"2,114,000","2,104,000","2,638,000","2,528,000","2,545,000","2,562,000","2,563,000","1,860,000","2,797,000","2,807,000","2,749,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","104,000","0","0","15,000","3,670,000","0","241,000","0",,,,
		ProvisionandWriteOffofAssets,"5,000","-5,000","12,000","1,000","-3,000","-95,000","154,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
