name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,09/30/1992,06/30/1992
TotalAssets,"25,012,000,000","25,056,000,000","23,977,000,000","23,572,000,000","23,425,000,000","23,109,000,000","21,577,000,000","20,220,000,000","19,604,000,000","19,845,000,000","17,805,000,000","17,495,000,000","17,948,000,000","17,835,000,000","16,713,000,000","17,958,000,000","18,397,000,000","18,668,000,000","17,718,000,000","16,808,000,000","16,921,000,000","17,452,000,000","18,380,000,000","16,607,000,000","17,302,000,000","15,251,000,000","14,302,000,000","14,015,000,000","13,777,000,000","14,746,000,000","13,855,000,000","13,360,000,000","13,528,000,000","14,012,000,000","16,060,000,000","13,411,000,000","13,725,000,000","14,200,000,000","12,661,000,000","12,269,000,000","12,482,000,000","13,277,000,000","12,113,000,000","11,972,000,000","12,377,000,000","13,406,000,000","12,570,000,000","12,393,000,000","12,866,000,000","13,742,000,000","13,452,000,000","13,519,000,000","13,651,000,000","14,701,000,000","13,741,000,000","2,748,556,000","2,530,673,000","2,613,114,000","1,961,200,000","1,839,066,000","1,793,947,000","1,891,470,000","1,533,029,000","1,437,402,000","1,419,523,000","1,595,954,000","1,297,501,000","1,267,447,000","1,306,963,000","1,344,629,000","1,104,169,000","985,841,000","968,817,000","1,101,291,000","763,056,000","730,757,000","704,816,000","971,117,000","883,114,000","854,753,000","556,887,000","594,202,000","404,811,000","376,423,000","359,957,000","377,415,000","329,527,000","264,347,000","309,737,000","454,968,000","355,163,000","304,481,000","283,612,000","341,970,000","228,133,000","201,716,000","217,407,000","262,353,000","102,072,000","87,929,000","95,670,000","85,841,000","78,733,000","74,242,000","77,613,000","69,660,000","71,697,000","65,108,000","68,883,000","72,400,000","65,700,000","66,200,000","68,700,000","35,600,000","34,600,000","33,500,000","34,600,000","31,300,000","31,800,000"
	CurrentAssets,"12,486,000,000","12,556,000,000","11,211,000,000","10,887,000,000","10,922,000,000","10,565,000,000","9,002,000,000","7,719,000,000","7,119,000,000","7,292,000,000","6,012,000,000","5,663,000,000","6,037,000,000","6,106,000,000","4,972,000,000","6,134,000,000","6,410,000,000","6,520,000,000","5,386,000,000","4,352,000,000","4,356,000,000","4,830,000,000","5,334,000,000","3,420,000,000","4,008,000,000","3,387,000,000","6,309,000,000","6,051,000,000","5,863,000,000","6,909,000,000","5,957,000,000","5,474,000,000","5,694,000,000","6,241,000,000","8,251,000,000","5,629,000,000","5,803,000,000","6,274,000,000","4,702,000,000","4,332,000,000","4,566,000,000","5,380,000,000","4,082,000,000","3,954,000,000","4,349,000,000","5,385,000,000","4,148,000,000","3,968,000,000","4,486,000,000","5,329,000,000","4,508,000,000","4,510,000,000","4,510,000,000","5,495,000,000","4,201,000,000","2,142,793,000","1,979,395,000","2,177,361,000","1,466,884,000","1,443,080,000","1,401,233,000","1,484,378,000","1,079,635,000","1,063,981,000","1,116,055,000","1,326,448,000","1,082,262,000","1,069,805,000","1,122,464,000","1,212,301,000","954,873,000","837,365,000","811,875,000","949,582,000","597,923,000","549,006,000","526,905,000","817,702,000","730,875,000","712,380,000","456,873,000","495,209,000","308,123,000","287,985,000","298,230,000","328,394,000","277,165,000","211,841,000","264,097,000","373,045,000","268,208,000","220,405,000","236,301,000","292,312,000","176,676,000","161,206,000","176,328,000","220,508,000","69,867,000","58,203,000","67,800,000","62,777,000","54,543,000","49,938,000","54,507,000","46,566,000","48,910,000","42,483,000","46,317,000","49,900,000","42,900,000","43,100,000","45,400,000","12,100,000","11,100,000","9,700,000","10,400,000","5,900,000","5,800,000"
		CashCashEquivalentsAndShortTermInvestments,"10,967,000,000","10,423,000,000","9,718,000,000","9,209,000,000","9,281,000,000","8,647,000,000","7,415,000,000","6,338,000,000","5,906,000,000","5,794,000,000","4,939,000,000","4,592,000,000","4,696,000,000","4,225,000,000","3,308,000,000","4,857,000,000","5,217,000,000","4,713,000,000","3,576,000,000","3,278,000,000","3,248,000,000","3,245,000,000","4,029,000,000","2,271,000,000","2,872,000,000","1,831,000,000","4,519,000,000","4,521,000,000","4,470,000,000","4,848,000,000","3,828,000,000","4,204,000,000","4,287,000,000","4,431,000,000","4,539,000,000","4,546,000,000","4,618,000,000","4,375,000,000","3,364,000,000","3,192,000,000","3,476,000,000","3,525,000,000","2,901,000,000","2,944,000,000","3,359,000,000","3,508,000,000","2,849,000,000","2,846,000,000","3,342,000,000","3,245,000,000","2,721,000,000","2,830,000,000","3,030,000,000","3,002,000,000","2,936,000,000","1,252,714,000","1,449,212,000","1,188,573,000","961,760,000","963,796,000","954,849,000","805,200,000","747,395,000","792,576,000","944,960,000","764,606,000","750,259,000","785,899,000","840,864,000","713,180,000","606,087,000","539,146,000","587,649,000","551,677,000","411,436,000","389,775,000","406,954,000","528,858,000","553,699,000","550,330,000","279,007,000","194,691,000","122,152,000","105,986,000","125,550,000","52,348,000","25,204,000","11,589,000","49,985,000","51,834,000","25,797,000","17,768,000","32,847,000","51,490,000","41,568,000","60,444,000","73,378,000","91,617,000","10,286,000","14,426,000","17,639,000","17,336,000","17,348,000","22,814,000","25,288,000","28,077,000","30,824,000","33,633,000","37,335,000","26,600,000","36,300,000","36,700,000","38,100,000","100,000","600,000","5,000,000","1,900,000","1,400,000","1,100,000"
			CashAndCashEquivalents,"10,967,000,000","10,423,000,000","9,718,000,000","9,209,000,000","9,281,000,000","8,647,000,000","7,415,000,000","6,338,000,000","5,906,000,000","5,794,000,000","4,939,000,000","4,592,000,000","4,696,000,000","4,225,000,000","3,308,000,000","4,857,000,000","5,217,000,000","4,713,000,000","3,576,000,000","3,278,000,000","3,248,000,000","3,245,000,000","4,029,000,000","2,271,000,000","2,872,000,000","1,823,000,000","4,365,000,000","4,416,000,000","4,465,000,000","4,848,000,000","3,805,000,000","4,199,000,000","4,279,000,000","4,410,000,000","4,444,000,000","4,341,000,000","4,299,000,000","3,959,000,000","2,909,000,000","2,786,000,000","3,049,000,000","3,165,000,000","2,469,000,000","2,334,000,000","2,658,000,000","2,812,000,000","2,123,000,000","2,214,000,000","2,695,000,000","2,768,000,000","2,360,000,000","2,728,000,000","2,988,000,000","2,958,000,000","2,842,000,000","1,192,354,000","1,396,250,000","648,659,000","392,529,000","343,981,000","384,409,000","367,910,000","189,721,000","245,023,000","354,331,000","267,069,000","203,085,000","242,341,000","313,608,000","402,530,000","389,791,000","339,735,000","466,552,000","425,424,000","313,446,000","290,833,000","285,554,000","358,984,000","339,371,000","550,330,000","279,007,000","194,691,000","122,152,000","105,986,000","125,550,000","52,348,000","25,204,000","11,589,000","49,985,000","51,834,000","25,797,000","17,768,000","32,847,000","51,490,000","41,568,000","60,444,000","73,378,000","91,617,000","10,286,000","14,426,000","17,639,000","17,336,000","17,348,000","22,814,000","25,288,000","28,077,000","30,824,000","33,633,000","37,335,000","26,600,000","36,300,000","36,700,000","38,100,000","100,000","600,000","5,000,000","1,900,000","1,400,000","1,100,000"
				CashFinancial,,"354,000,000",,,,"268,000,000",,,,"437,000,000",,,,"268,000,000",,,,"269,000,000",,,,"286,000,000",,,,"176,000,000",,,,"333,000,000",,,,"377,000,000",,,,"425,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,"10,069,000,000",,,,"8,379,000,000",,,,"5,357,000,000",,,,"3,957,000,000",,,,"4,444,000,000",,,,"2,959,000,000",,,,"1,647,000,000",,,,"4,515,000,000",,,,"4,033,000,000",,,,"3,534,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,"8,000,000","154,000,000","105,000,000","5,000,000","10,000,000","23,000,000","5,000,000","8,000,000","21,000,000","95,000,000","205,000,000","319,000,000","416,000,000","455,000,000","406,000,000","427,000,000","360,000,000","432,000,000","610,000,000","701,000,000","696,000,000","726,000,000","632,000,000","647,000,000","477,000,000","361,000,000","102,000,000","42,000,000","44,000,000","94,000,000","60,360,000","52,962,000","539,914,000","569,231,000","619,815,000","570,440,000","437,290,000","557,674,000","547,553,000","590,629,000","497,537,000","547,174,000","543,558,000","527,256,000","310,650,000","216,296,000","199,411,000","121,097,000","126,253,000","97,990,000","98,942,000","121,400,000","169,874,000","214,328,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"530,000,000","972,000,000","585,000,000","682,000,000","773,000,000","1,052,000,000","619,000,000","614,000,000","590,000,000","848,000,000","386,000,000","455,000,000","594,000,000","1,035,000,000","641,000,000","418,000,000","431,000,000","918,000,000","888,000,000","360,000,000","344,000,000","732,000,000","446,000,000","462,000,000","383,000,000","679,000,000","503,000,000","201,000,000","208,000,000","659,000,000","689,000,000","107,000,000","219,000,000","515,000,000","205,000,000","117,000,000","237,000,000","707,000,000","200,000,000","227,000,000","103,000,000","649,000,000","139,000,000","140,000,000","95,000,000","640,000,000","246,000,000","190,000,000","134,000,000","739,000,000","228,000,000","282,000,000","185,000,000","1,210,000,000","316,000,000","400,989,000","203,420,000","704,075,000","109,725,000","197,964,000","148,694,000","456,589,000","97,086,000","65,361,000","28,782,000","414,492,000","116,879,000","94,804,000","109,144,000","344,894,000","138,586,000","123,048,000","62,577,000","241,929,000","29,502,000","33,328,000","15,822,000","158,393,000","61,395,000","64,799,000","76,733,000","203,379,000","86,391,000","72,066,000","73,802,000","166,871,000","136,868,000","86,895,000","108,108,000","215,559,000","127,637,000","98,157,000","117,522,000","154,099,000","66,028,000","54,879,000","69,812,000","99,431,000","38,920,000","24,190,000","36,367,000","33,373,000","23,670,000","13,726,000","19,909,000","11,575,000","11,427,000","2,761,000","5,566,000","19,800,000","1,900,000","1,400,000","1,900,000","7,100,000","6,200,000","2,800,000","6,800,000","1,800,000","2,400,000"
			AccountsReceivable,"530,000,000","972,000,000","585,000,000","682,000,000","773,000,000","1,052,000,000","619,000,000","614,000,000","590,000,000","848,000,000","386,000,000","455,000,000","594,000,000","1,035,000,000","641,000,000","418,000,000","431,000,000","918,000,000","888,000,000","360,000,000","344,000,000","732,000,000","446,000,000","462,000,000","383,000,000","679,000,000","503,000,000","201,000,000","208,000,000","659,000,000","689,000,000","107,000,000","219,000,000","515,000,000","205,000,000","117,000,000","237,000,000","707,000,000","200,000,000","227,000,000","103,000,000","649,000,000","139,000,000","140,000,000","95,000,000","640,000,000","246,000,000","190,000,000","134,000,000","739,000,000","228,000,000","282,000,000","185,000,000","1,210,000,000","316,000,000","400,989,000","203,420,000","704,075,000","109,725,000","197,964,000","148,694,000","456,589,000","97,086,000","65,361,000","28,782,000","414,492,000","116,879,000","94,804,000","109,144,000","344,894,000","138,586,000","123,048,000","62,577,000","241,929,000","29,502,000","33,328,000","15,822,000","158,393,000","61,395,000","64,799,000","76,733,000","203,379,000","86,391,000","72,066,000","73,802,000","166,871,000","136,868,000","86,895,000","108,108,000","215,559,000","127,637,000","98,157,000","117,522,000","154,099,000","66,028,000","54,879,000","69,812,000","99,431,000","38,920,000","24,190,000","36,367,000","33,373,000","23,670,000","13,726,000","19,909,000","11,575,000","11,427,000","2,761,000","5,566,000",,,,,,,,,,
				GrossAccountsReceivable,"561,000,000","1,008,000,000","621,000,000","726,000,000","832,000,000","1,135,000,000","707,000,000","690,000,000","677,000,000","980,000,000","467,000,000","563,000,000","700,000,000","1,225,000,000","760,000,000","547,000,000","577,000,000","1,197,000,000","1,060,000,000","507,000,000","481,000,000","993,000,000","598,000,000","631,000,000","558,000,000","1,022,000,000","719,000,000","358,000,000","442,000,000","1,042,000,000","929,000,000","353,000,000","483,000,000","896,000,000","398,000,000","328,000,000","481,000,000","1,039,000,000","430,000,000","488,000,000","337,000,000","949,000,000","360,000,000","391,000,000","371,000,000","1,017,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
