name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,02/28/2014,11/30/2013,08/31/2013,05/31/2013,02/28/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012
TotalRevenue,"0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0",,"0",,,,,,,,,"0","0","0","0","0","0","682","1,850","0","634","2,346","2,149","1,515","400","6,026"
	OperatingRevenue,"0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0",,"0",,,,,,,,,"0","0","0","0","0","0","682","1,850","0","634","2,346","2,149","1,515","400","6,026"
CostOfRevenue,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","685","1,686","0","322","1,864","1,850","998","292","4,509"
GrossProfit,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","-3","164","0","312","482","299","517","108","1,517"
OperatingExpense,"141,595,712","38,297,423","34,182,774","42,653,635","26,461,880","22,405,203","20,923,451","17,183,582","12,757,202","9,974,438","4,564,195","3,707,410","4,135,702","2,702,004","3,478,984","2,411,230","1,930,123","2,549,911","1,456,585","980,856","1,782,884","2,282,952","1,536,401","1,616,596","3,102,473","2,747,088","5,722,313","4,629,599","4,423,992","4,567,829","4,384,882","3,722,577","3,121","14,538","12,364","19,797","4,628","9,319","9,146","2,589","1,643"
	SellingGeneralAndAdministration,"39,983,516","13,284,570","8,908,912","8,659,661","9,130,373","8,382,976","6,019,643","5,946,396","7,433,249","5,466,654","2,937,956","1,820,043","1,065,803","1,426,056","2,221,566","989,748","970,870","883,009","1,305,865","815,106","1,598,334","1,792,261","1,282,296","1,252,444","2,488,724","2,137,967","3,604,109","1,764,013","1,559,264","2,293,062","2,293,329","3,003,603","3,121","14,538","12,364","19,797","4,628","9,319","9,146","2,589","1,643"
		GeneralAndAdministrativeExpense,"39,983,516","13,284,570","8,908,912","8,659,661","9,130,373","8,382,976","6,019,643","5,946,396","7,433,249","5,466,654","2,937,956","1,820,043","1,065,803","1,426,056","2,221,566","989,748","970,870","883,009","1,305,865","815,106","1,598,334","1,792,261","1,282,296","1,252,444","2,488,724","2,137,967","3,604,109","1,764,013","1,559,264","2,293,062","2,293,329",,"3,121","14,538","12,364","19,797","3,905","9,010","8,098","2,589","878"
			SalariesAndWages,,,,,,,,,,"1,746,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"39,983,516","13,284,570","8,908,912","8,659,661","9,130,373","8,382,976","6,019,643","5,946,396","7,433,249","3,720,254","2,937,956","1,820,043","1,065,803","1,426,056","2,221,566","989,748","970,870","883,009","1,305,865","815,106","1,598,334","1,792,261","1,282,296","1,252,444",,,,,,,,,"3,121","14,538","12,364","19,797","3,905","9,010","8,098","2,589","878"
		SellingAndMarketingExpense,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","723","309","1,048","0","765"
	ResearchAndDevelopment,"101,612,196","25,012,853","25,273,862","33,993,974","17,331,507","14,022,227","14,903,808","11,237,186","5,323,953","4,507,784","1,626,239","1,887,367","3,069,899","1,275,948","1,257,418","1,421,482","959,253","1,666,902","150,720","165,750","184,550","490,691","254,105","364,152","613,749","609,121","2,118,204","2,865,586","2,864,728","2,274,767","2,091,553","718,974",,,,,,,,,
OperatingIncome,"-141,595,712","-38,297,423","-34,182,774","-42,653,635","-26,461,880","-22,405,203","-20,923,451","-17,183,582","-12,757,202","-9,974,438","-4,564,195","-3,707,410","-4,135,702","-2,702,004","-3,478,984","-2,411,230","-1,930,123","-2,549,911","-1,456,585","-980,856","-1,782,884","-2,282,952","-1,536,401","-1,616,596","-3,102,473","-2,747,088","-5,722,313","-4,629,599","-4,423,992","-4,567,829","-4,384,882","-3,722,577","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-126"
NetNonOperatingInterestIncomeExpense,"1,109,052","329,949","158,648","297,648","322,807","419,974","224,268","363,300","404,004","407,652","37,147","37,916","13,110","15,939","-139,765","-650,322","-630,366","-397,111","-311,871","2,522","206","473","-378","-851","1,896","778","-329","-598","802","2,303","4,007","-1,151",,,,,,,,,
	InterestIncomeNonOperating,"1,109,052","329,949",,,"322,807","419,974",,"363,300","404,004","407,652","37,147","37,916",,"15,939","-139,765","-650,322",,"-397,111","-311,871","2,522",,,,,,,"843","1,044","1,233","2,428","5,105","2,117",,,,,,,,,
	InterestExpenseNonOperating,,,,,,,,,,,,,,,,"650,322",,,,,,"473","378","851",,,"1,172","1,642","431","125","1,098","3,268",,,,,,,,,
	TotalOtherFinanceCost,,,,"-297,648",,,"-224,268","-363,300","-404,004","-407,652","-37,147","-37,916",,"-15,939","139,765",,"630,366","397,111","311,871","-2,522","-206","-473","378","851","-1,896","-778",,,,,,,,,,,,,,,
OtherIncomeExpense,"-2,795,751","-1,778,309","-354,367","-250,204","-412,871","-229,952","-62,947","-82,225","1,234,757","-1,106,530",,,"0",,"-3,510,561","-318,541","-789,443","-254,862","341,106","-3,352","149,061","300,985","505,950","-23,134","-216,814","886,530","3,261,980","9,293,339","10,465,626","2,102,565","9,836,252","-26,114,720","0","0","0","0","0","0","0",,"-377"
	GainOnSaleOfSecurity,"-2,795,751","-1,778,309","-354,367","-250,204","-412,871","-229,952","-62,947","-82,225","1,234,757","-1,106,530",,,"0",,"263,907","-318,541","-789,443","-254,862","341,106","-5,702","103,577","244,075","449,041","-80,043","-278,424","831,971","3,261,980","9,293,339","10,465,626","2,102,565","9,836,252","-26,114,720",,,,,,,,,
	SpecialIncomeCharges,,,,,,,,,,,,,"0","0","-3,774,468",,,,"341,106","2,350","551,116","56,910","56,909","56,909","13,170,476","54,559",,,,,,,"0","0","0","0","0","0","0","0","-377"
		ImpairmentOfCapitalAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","377"
		OtherSpecialCharges,,,,,,,,,,,,,"0",,"3,774,468",,,,"-341,106","-2,350","-551,116","-56,910","-56,909","-56,909","-13,170,476","-54,559",,,,,,,,,,,,,"0",,"0"
	OtherNonOperatingIncomeExpenses,,,,,,,,,,,,,,,,,"0",,,"2,350","45,484","56,910","56,909","56,909",,,,,,,,,,,,,,,,,
PretaxIncome,"-143,282,411","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-7,129,310","-3,380,093","-3,349,932","-3,201,884","-1,427,350","-981,686","-1,633,617","-1,981,494","-1,030,829","-1,640,581","-3,317,391","-1,859,780","-2,460,662","4,663,142","6,042,436","-2,462,961","5,455,377","-29,838,448","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
NetIncomeCommonStockholders,"-143,282,411","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-7,129,310","-3,380,093","-3,349,932","-3,201,884","-1,427,350","-981,686","-1,633,617","-1,981,494","-1,030,829","-1,640,581","-3,317,391","-1,859,780","-2,460,662","4,663,142","6,042,436","-2,462,961","5,455,377","-29,838,448","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
	NetIncome,"-143,282,411","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-7,129,310","-3,380,093","-3,349,932","-3,201,884","-1,427,350","-981,686","-1,633,617","-1,981,494","-1,030,829","-1,640,581","-3,317,391","-1,859,780","-2,460,662","4,663,142","6,042,436","-2,462,961","5,455,377","-29,838,448","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
		NetIncomeIncludingNoncontrollingInterests,"-143,282,411","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-7,129,310","-3,380,093","-3,349,932","-3,201,884","-1,427,350","-981,686","-1,633,617","-1,981,494","-1,030,829","-1,640,581","-3,317,391","-1,859,780","-2,460,662","4,663,142","6,042,436","-2,462,961","5,455,377","-29,838,448","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
			NetIncomeContinuousOperations,"-143,282,411","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-7,129,310","-3,380,093","-3,349,932","-3,201,884","-1,427,350","-981,686","-1,633,617","-1,981,494","-1,030,829","-1,640,581","-3,317,391","-1,859,780","-2,460,662","4,663,142","6,042,436","-2,462,961","5,455,377","-29,838,448","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
DilutedNIAvailtoComStockholders,"-143,282,411","-39,745,783","-34,378,493","-42,606,191","-26,551,944","-22,215,181","-20,762,130","-16,902,507","-11,118,441","-10,673,316","-4,527,048","-3,669,494","-4,122,592","-2,686,065","-7,129,310","-3,380,093","-3,349,932","-3,201,884","-1,427,350","-981,686","-1,633,617","-1,981,494","-1,030,829","-1,640,581","-3,317,391","-1,859,780","-2,460,662","4,663,142","6,042,436","-2,462,961","5,455,377","-29,838,448","-3,124","-14,374","-12,364","-19,485","-4,146","-9,020","-8,629","-2,481","-503"
