name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995
TotalRevenue,"5,481,101,000","1,229,994,000","1,632,782,000","1,306,267,000","1,312,058,000","1,535,925,000","1,667,302,000","1,257,158,000","791,894,000","709,248,000","902,687,000","719,691,000","644,225,000","624,308,000","864,388,000","691,146,000","608,480,000","592,426,000","812,021,000","632,470,000","529,946,000","510,552,000","666,707,000","564,304,000","479,864,000","430,841,000","621,079,000","539,862,000","470,320,000","467,229,000","634,204,000","530,311,000","482,203,000","490,927,000","627,890,000","531,972,000","477,924,000","469,086,000","614,500,000","547,693,000","468,604,000","531,962,000","714,596,000","589,204,000","480,441,000","547,618,000","754,054,000","581,884,000","479,330,000","525,444,000","617,101,000","498,093,000","326,110,000","407,948,000","627,466,000","664,707,000","508,711,000","601,234,000","744,235,000","595,490,000","429,537,000","512,734,000","658,512,000","502,041,000","393,282,000","466,056,000","573,856,000","422,101,000","334,702,000","402,648,000","483,816,000","329,568,000","266,594,000","347,128,000","409,557,000","293,593,000","218,192,000","301,704,000","351,756,000","251,764,000","195,064,000","223,676,000","314,174,000","227,829,000","177,867,000","197,393,000","231,982,000","190,565,000","141,416,000","175,864,000","185,400,000","133,200,000","114,400,000","139,600,000","146,200,000","92,200,000","70,100,000","86,100,000","114,800,000","99,200,000","90,200,000","108,300,000","128,800,000","92,200,000","84,400,000","92,800,000","99,800,000","84,700,000","77,600,000"
	OperatingRevenue,"5,481,101,000","1,229,994,000","1,632,782,000","1,306,267,000","1,312,058,000","1,535,925,000","1,667,302,000","1,257,158,000","791,894,000","709,248,000","902,687,000","719,691,000","644,225,000","624,308,000","864,388,000","691,146,000","608,480,000","592,426,000","812,021,000","632,470,000","529,946,000","510,552,000","666,707,000","564,304,000","479,864,000","430,841,000","621,079,000","539,862,000","470,320,000","467,229,000","634,204,000","530,311,000","482,203,000","490,927,000","627,890,000","531,972,000","477,924,000","469,086,000","614,500,000","547,693,000","468,604,000","531,962,000","714,596,000","589,204,000","480,441,000","547,618,000","754,054,000","581,884,000","479,330,000","525,444,000","617,101,000","498,093,000","326,110,000","407,948,000","627,466,000","664,707,000","508,711,000","601,234,000","744,235,000","595,490,000","429,537,000","512,734,000","658,512,000","502,041,000","393,282,000","466,056,000","573,856,000","422,101,000","334,702,000","402,648,000","483,816,000","329,568,000","266,594,000","347,128,000","409,557,000","293,593,000","218,192,000","301,704,000","351,756,000","251,764,000","195,064,000","223,676,000","314,174,000","227,829,000","177,867,000","197,393,000","231,982,000","190,565,000","141,416,000","175,864,000","185,400,000","133,200,000","114,400,000","139,600,000","146,200,000","92,200,000","70,100,000","86,100,000","114,800,000","99,200,000","90,200,000","108,300,000","128,800,000","92,200,000","84,400,000","92,800,000","99,800,000","84,700,000","77,600,000"
CostOfRevenue,"3,218,095,000","736,087,000","974,772,000","764,104,000","743,132,000","824,656,000","918,292,000","687,435,000","486,161,000","432,372,000","568,234,000","447,615,000","405,249,000","391,333,000","540,406,000","435,029,000","384,543,000","380,191,000","536,420,000","404,733,000","336,278,000","312,773,000","419,944,000","357,431,000","311,238,000","288,741,000","412,582,000","353,851,000","298,591,000","310,845,000","402,921,000","325,533,000","300,450,000","328,188,000","414,528,000","348,559,000","309,569,000","312,129,000","404,402,000","351,698,000","324,352,000","338,075,000","455,922,000","390,783,000","354,834,000","368,248,000","482,881,000","364,950,000","310,301,000","337,122,000","408,137,000","346,305,000","248,288,000","305,864,000","439,970,000","436,633,000","335,139,000","387,290,000","469,801,000","379,536,000","284,751,000","335,743,000","419,855,000","329,076,000","272,370,000","317,187,000","388,349,000","289,739,000","227,330,000","267,524,000","315,488,000","220,299,000","175,728,000","231,781,000","269,082,000","201,131,000","157,554,000","206,457,000","234,744,000","165,831,000","128,752,000","168,475,000","195,237,000","146,896,000","117,390,000","128,139,000","144,697,000","120,684,000","89,758,000","108,854,000","114,300,000","85,200,000","80,500,000","96,000,000","95,100,000","57,100,000","44,000,000","55,500,000","75,400,000","67,800,000","61,300,000","73,200,000","87,800,000",,,,,,
GrossProfit,"2,263,006,000","493,907,000","658,010,000","542,163,000","568,926,000","711,269,000","749,010,000","569,723,000","305,733,000","276,876,000","334,453,000","272,076,000","238,976,000","232,975,000","323,982,000","256,117,000","223,937,000","212,235,000","275,601,000","227,737,000","193,668,000","197,779,000","246,763,000","206,873,000","168,626,000","142,100,000","208,497,000","186,011,000","171,729,000","156,384,000","231,283,000","204,778,000","181,753,000","162,739,000","213,362,000","183,413,000","168,355,000","156,957,000","210,098,000","195,995,000","144,252,000","193,887,000","258,674,000","198,421,000","125,607,000","179,370,000","271,173,000","216,934,000","169,029,000","188,322,000","208,964,000","151,788,000","77,822,000","102,084,000","187,496,000","228,074,000","173,572,000","213,944,000","274,434,000","215,954,000","144,786,000","176,991,000","238,657,000","172,965,000","120,912,000","148,869,000","185,507,000","132,362,000","107,372,000","135,124,000","168,328,000","109,269,000","90,866,000","115,347,000","140,475,000","92,462,000","60,638,000","95,247,000","117,012,000","85,933,000","66,312,000","55,201,000","118,937,000","80,933,000","60,477,000","69,254,000","87,285,000","69,881,000","51,658,000","67,010,000","71,100,000","48,000,000","33,900,000","43,600,000","51,100,000","35,100,000","26,100,000","30,600,000","39,400,000","31,400,000","28,900,000","35,100,000","41,000,000",,,,,,
OperatingExpense,"1,483,338,000","364,743,000","387,610,000","363,666,000","367,319,000","416,187,000","300,947,000","248,171,000","216,643,000","221,409,000","205,670,000","204,385,000","191,031,000","189,208,000","200,876,000","190,866,000","181,565,000","173,244,000","175,338,000","171,729,000","164,221,000","159,561,000","160,445,000","153,388,000","142,856,000","127,961,000","140,648,000","151,626,000","151,764,000","152,622,000","166,731,000","162,657,000","159,041,000","152,073,000","159,287,000","160,738,000","165,974,000","173,045,000","179,473,000","174,521,000","172,305,000","170,146,000","188,897,000","174,926,000","170,639,000","175,732,000","195,133,000","165,759,000","157,226,000","160,333,000","150,537,000","124,399,000","111,479,000","124,746,000","144,720,000","147,711,000","143,848,000","147,805,000","158,208,000","135,551,000","120,874,000","121,693,000","139,061,000","120,788,000","97,121,000","94,098,000","104,834,000","94,122,000","82,145,000","88,174,000","94,727,000","79,722,000","69,290,000","70,407,000","75,133,000","65,043,000","52,785,000","60,422,000","66,241,000","60,262,000","53,697,000","27,114,000","76,683,000","62,217,000","52,316,000","-112,576,000","61,751,000","57,908,000","47,590,000","53,340,000","50,600,000","42,200,000","32,900,000","37,500,000","38,800,000","31,600,000","25,900,000","27,900,000","31,200,000","27,600,000","27,300,000","30,500,000","30,500,000",,,,,,
	SellingGeneralAndAdministration,"1,174,547,000","283,374,000","308,419,000","289,898,000","292,856,000","342,000,000","242,091,000","190,461,000","162,309,000","166,650,000","157,294,000","158,203,000","145,192,000","143,185,000","156,746,000","147,007,000","140,057,000","133,075,000","138,444,000","132,591,000","127,732,000","124,624,000","126,667,000","119,008,000","109,612,000","100,673,000","111,375,000","116,728,000","117,931,000","118,867,000","133,115,000","130,332,000","127,725,000","120,615,000","125,184,000","123,105,000","129,783,000","136,463,000","139,080,000","136,502,000","133,377,000","129,198,000","146,986,000","135,435,000","130,658,000","137,613,000","156,178,000","124,832,000","118,837,000","120,636,000","117,606,000","92,574,000","80,119,000","95,002,000","112,319,000","114,360,000","110,589,000","114,343,000","126,830,000","104,612,000","92,109,000","93,261,000","110,283,000","94,670,000","71,476,000","71,034,000","82,454,000","72,631,000","61,127,000","67,616,000","75,567,000","62,219,000","52,611,000","53,836,000","59,551,000","50,502,000","38,190,000","45,080,000","52,021,000","46,532,000","40,794,000","10,482,000","64,330,000","51,140,000","41,847,000","40,985,000","45,319,000","43,413,000","34,714,000","37,759,000","39,200,000","29,200,000","21,300,000","23,600,000","26,100,000","20,400,000","16,400,000","18,400,000","20,200,000","17,400,000","16,900,000","19,700,000","20,900,000",,,,,,
		GeneralAndAdministrativeExpense,"148,648,000","36,357,000","38,478,000","33,271,000","40,542,000","68,236,000","37,606,000","31,664,000","29,071,000","25,464,000","22,344,000","24,048,000","22,159,000","23,557,000","24,496,000","25,206,000","25,473,000","23,503,000","22,291,000","25,205,000","25,354,000","24,683,000","24,631,000","25,216,000","25,740,000","23,582,000","24,080,000","26,851,000","30,504,000","30,489,000","29,808,000","34,470,000","36,680,000","28,837,000","31,560,000","29,395,000","29,148,000","28,982,000","26,382,000","25,980,000","32,480,000","28,896,000","30,673,000","27,989,000","30,865,000","30,836,000","31,264,000","27,420,000","27,360,000","30,943,000","30,284,000","23,739,000","21,181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherGandA,"148,648,000","36,357,000","38,478,000","33,271,000","40,542,000","68,236,000","37,606,000","31,664,000","29,071,000","25,464,000","22,344,000","24,048,000","22,159,000","23,557,000","24,496,000","25,206,000","25,473,000","23,503,000","22,291,000","25,205,000","25,354,000","24,683,000","24,631,000","25,216,000","25,740,000","23,582,000","24,080,000","26,851,000","30,504,000","30,489,000","29,808,000","34,470,000","36,680,000","28,837,000","31,560,000","29,395,000","29,148,000","28,982,000","26,382,000","25,980,000","32,480,000","28,896,000","30,673,000","27,989,000","30,865,000","30,836,000","31,264,000","27,420,000","27,360,000","30,943,000","30,284,000","23,739,000","21,181,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		SellingAndMarketingExpense,"1,025,899,000","247,017,000","269,941,000","256,627,000","252,314,000","273,764,000","204,485,000","158,797,000","133,238,000","141,186,000","134,950,000","134,155,000","123,033,000","119,628,000","132,250,000","121,801,000","114,584,000","109,572,000","116,153,000","107,386,000","102,378,000","99,941,000","102,036,000","93,792,000","83,872,000","77,091,000","87,295,000","89,877,000","87,427,000","88,378,000","103,307,000","95,862,000","91,045,000","91,778,000","93,624,000","93,710,000","100,635,000","107,481,000","112,698,000","110,522,000","100,897,000","100,302,000","116,313,000","107,446,000","99,793,000","106,777,000","124,914,000","97,412,000","91,477,000","89,693,000","87,322,000","68,835,000","58,938,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	ResearchAndDevelopment,"291,844,000","78,408,000","75,529,000","68,661,000","69,246,000","69,009,000","53,910,000","53,379,000","49,725,000","50,094,000","43,292,000","41,964,000","42,243,000","42,110,000","40,591,000","39,542,000","38,987,000","37,616,000","34,398,000","36,647,000","35,099,000","33,658,000","32,284,000","32,632,000","31,951,000","27,288,000","29,273,000","34,898,000","33,833,000","33,755,000","33,616,000","32,325,000","31,316,000","31,458,000","34,103,000","37,633,000","36,191,000","36,582,000","40,393,000","38,019,000","38,928,000","40,948,000","41,911,000","39,491,000","39,981,000","38,119,000","38,955,000","40,927,000","38,389,000","39,697,000","32,931,000","31,825,000","31,360,000","29,744,000","32,401,000","33,351,000","33,259,000","33,462,000","31,378,000","30,939,000","28,765,000","28,432,000","28,778,000","26,118,000","25,645,000","23,064,000","22,380,000","21,491,000","21,018,000","20,558,000","19,160,000","17,503,000","16,679,000","16,571,000","15,582,000","14,541,000","14,595,000","15,342,000","14,220,000","13,730,000","12,903,000","16,632,000","12,353,000","11,077,000","10,469,000","13,201,000","9,456,000","8,794,000","8,509,000","8,766,000","7,600,000","8,200,000","7,000,000","9,100,000","8,400,000","7,600,000","6,400,000","6,900,000","6,800,000","6,800,000","7,300,000","7,800,000","6,800,000",,,,,,
