name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995
TotalAssets,"660,069,000","651,662,000","703,954,000","663,739,000","647,912,000","676,716,000","723,833,000","861,089,000","912,684,000","881,640,000","901,607,000","851,529,000","836,074,000","773,524,000","747,482,000","729,826,000","655,333,000","649,668,000","650,289,000","615,920,000","609,429,000","620,538,000","606,982,000","587,679,000","569,531,000","647,423,000","595,337,000","527,506,000","528,778,000","554,017,000","470,163,000","471,886,000","461,959,000","466,422,000","424,865,000","416,471,000","397,648,000","400,232,000","395,945,000","403,879,000","433,466,000","439,825,000","429,830,000","425,013,000","430,201,000","432,366,000","441,678,000","423,191,000","392,849,000","398,312,000","382,733,000","379,368,000","367,885,000","393,676,000","456,622,000","489,956,000","436,347,000","439,794,000","454,233,000","470,173,000","480,866,000","475,094,000","478,990,000","355,690,000","370,673,000","371,261,000","368,461,000","373,343,000","347,588,000","360,026,000","351,976,000","351,623,000","335,331,000","354,281,000","339,590,000","336,467,000","349,739,000","361,541,000","344,693,000","355,777,000","350,109,000","349,782,000","386,792,000","385,839,000","388,321,000","390,513,000","386,243,000","374,835,000","386,701,000","383,974,000","294,850,000","276,093,000","273,090,000","272,958,851","249,059,000","250,084,000","238,891,000","215,256,136","204,074,000","202,847,000","202,406,000","187,148,175","191,297,000","169,381,000","172,100,000","112,600,000","150,100,000","144,600,000","128,700,000"
	CurrentAssets,"168,966,000","188,527,000","239,191,000","200,875,000","144,397,000","147,796,000","200,798,000","346,339,000","282,544,000","254,385,000","246,068,000","225,614,000","226,045,000","211,644,000","191,534,000","266,073,000","171,787,000","162,314,000","149,210,000","134,046,000","115,288,000","134,963,000","114,844,000","108,402,000","98,643,000","172,837,000","118,389,000","136,050,000","132,324,000","156,763,000","124,607,000","137,092,000","128,770,000","123,450,000","118,117,000","117,121,000","114,163,000","108,310,000","112,517,000","114,274,000","104,757,000","108,401,000","93,813,000","92,524,000","90,599,000","91,138,000","98,064,000","98,831,000","96,797,000","101,827,000","96,425,000","108,037,000","110,942,000","127,290,000","169,625,000","165,386,000","149,528,000","136,750,000","144,228,000","147,791,000","152,977,000","143,367,000","172,351,000","128,786,000","112,720,000","130,096,000","131,413,000","119,066,000","109,399,000","127,338,000","113,265,000","120,566,000","104,625,000","109,432,000","97,560,000","99,664,000","104,540,000","99,929,000","94,710,000","99,391,000","94,353,000","93,579,000","98,591,000","96,526,000","100,073,000","109,266,000","102,729,000","99,585,000","100,178,000","99,302,000","70,701,000","67,517,000","65,864,000","66,119,242","59,067,000","57,486,000","57,858,000","47,371,643","44,017,000","43,096,000","48,172,000","41,587,066","42,981,000","40,853,000","35,000,000","24,500,000","30,500,000","30,000,000","22,400,000"
		CashCashEquivalentsAndShortTermInvestments,"7,144,000","8,412,000","22,188,000","4,966,000","4,790,000","8,407,000","13,734,000","67,127,000","39,655,000","43,591,000","39,795,000","28,823,000","31,001,000","23,127,000","19,612,000","122,146,000","38,371,000","15,356,000","8,277,000","18,691,000","7,252,000","7,750,000","5,027,000","8,433,000","3,690,000","4,490,000","14,022,000","23,770,000","16,290,000","21,330,000","17,234,000","19,351,000","19,918,000","9,263,000","10,526,000","9,054,000","8,549,000","6,846,000","7,664,000","4,386,000","3,814,000","3,895,000","3,377,000","2,281,000","5,235,000","9,361,000","6,546,000","4,304,000","9,931,000","12,221,000","7,132,000","11,789,000","19,534,000","6,300,000","6,166,000","8,844,000","5,222,000","4,500,000","4,372,000","4,804,000","4,305,000","5,407,000","8,328,000","2,583,000","1,135,000","3,618,000","3,656,000","143,000","1,459,000","5,066,000","943,000","5,915,000","2,194,000","3,306,000","1,837,000","2,863,000","1,593,000","42,000","1,132,000","1,155,000","366,000","383,000","1,054,000","589,000","780,000","2,287,000","383,000","1,061,000","729,000","1,046,000","661,000","763,000","794,000","2,926,135","450,000","111,000","7,353,000","2,609,520","2,666,000","390,000","4,265,000","3,491,543","3,222,000","461,000","900,000","500,000","200,000","500,000","400,000"
			CashAndCashEquivalents,"7,144,000","8,412,000","22,188,000","4,966,000","4,790,000","8,407,000","13,734,000","67,127,000","39,655,000","43,591,000","39,795,000","28,823,000","31,001,000","23,127,000","19,612,000","122,146,000","38,371,000","15,356,000","8,277,000","18,691,000","7,252,000","7,750,000","5,027,000","8,433,000","3,690,000","4,490,000","14,022,000","23,770,000","16,290,000","21,330,000","17,234,000","19,351,000","19,918,000","9,263,000","10,526,000","9,054,000","8,549,000","6,846,000","7,664,000","4,386,000","3,814,000","3,895,000","3,377,000","2,281,000","5,235,000","9,361,000","6,546,000","4,304,000","9,931,000","12,221,000","7,132,000","11,789,000","19,534,000","6,300,000","6,166,000","8,844,000","5,222,000","4,500,000","4,372,000","4,804,000","4,305,000","5,407,000","8,328,000","2,583,000","1,135,000","3,618,000","3,656,000","143,000","1,459,000","5,066,000","943,000","5,915,000","2,194,000","3,306,000","1,837,000","2,863,000","1,593,000","42,000","1,132,000","1,155,000","366,000","383,000","1,054,000","589,000","780,000","2,287,000","383,000","1,061,000","729,000","1,046,000","661,000","763,000","794,000","2,926,135","450,000","111,000","7,353,000","2,609,520","2,666,000","390,000","4,265,000","3,491,543","3,222,000","461,000","900,000","500,000","200,000","500,000","400,000"
		Receivables,"146,271,000","161,331,000","200,038,000","174,935,000","113,605,000","109,074,000","112,342,000","100,375,000","207,212,000","181,735,000","181,255,000","172,321,000","173,926,000","168,877,000","151,882,000","120,956,000","118,464,000","130,766,000","124,618,000","96,804,000","92,252,000","109,649,000","87,402,000","81,751,000","82,465,000","130,039,000","80,171,000","86,374,000","88,841,000","103,022,000","86,056,000","89,496,000","86,765,000","86,744,000","81,605,000","83,224,000","82,520,000","80,130,000","79,900,000","77,651,000","72,220,000","70,619,000","68,520,000","65,512,000","68,187,000","66,984,000","75,645,000","75,872,000","70,914,000","68,425,000","67,350,000","62,759,000","58,293,000","73,352,000","109,816,000","105,308,000","95,448,000","92,186,000","84,130,000","79,374,000","78,290,000","78,952,000","95,716,000","82,379,000","76,205,000","89,460,000","86,034,000","75,313,000","72,336,000","87,216,000","83,759,000","84,396,000","67,999,000","72,898,000","70,152,000","68,010,000","71,196,000","71,106,000","75,258,000","79,975,000","73,784,000","71,271,000","81,392,000","78,777,000","78,739,000","87,526,000","84,790,000","81,068,000","83,598,000","9,295,000","58,545,000","54,739,000","54,049,000","54,265,062","48,217,000","47,638,000","40,460,000","38,756,883","35,287,000","37,030,000","36,617,000","33,186,434","34,558,000","36,723,000","28,200,000","17,500,000","26,900,000","25,400,000","17,800,000"
			AccountsReceivable,"135,612,000","142,362,000","131,561,000","120,327,000","102,736,000","91,295,000","89,161,000","74,880,000","192,628,000","167,825,000","167,440,000","158,367,000","155,956,000","151,093,000","134,957,000","103,053,000","94,793,000","104,153,000","92,037,000","81,759,000","73,500,000","96,636,000","72,365,000","73,304,000","75,124,000","112,669,000","74,286,000","78,368,000","77,507,000","95,943,000","78,837,000","82,159,000","81,058,000","81,242,000","76,311,000","77,861,000","78,016,000","76,220,000","75,708,000","74,184,000","65,522,000","64,676,000","62,794,000","65,512,000","64,371,000","60,816,000","64,148,000","70,822,000","65,973,000","64,857,000","63,719,000","62,503,000","58,293,000","72,635,000","92,341,000","92,098,000","82,452,000","79,207,000","74,409,000","74,604,000","71,092,000","72,581,000","81,091,000","69,678,000","59,375,000","77,969,000","74,384,000","65,874,000","61,189,000","74,127,000","73,293,000","72,946,000","62,772,000","62,998,000","61,872,000","60,805,000","63,352,000","65,041,000","65,076,000","69,884,000","64,574,000","62,540,000","70,438,000","69,325,000","65,940,000","72,482,000","70,756,000","71,998,000","71,462,000","4,789,000",,,,"51,789,018",,,,"37,792,308",,,,"29,955,577",,,,,,,
				GrossAccountsReceivable,"139,792,000","146,474,000","135,470,000","124,037,000","106,097,000","94,287,000","93,569,000","79,447,000","194,841,000","169,769,000","169,329,000","160,223,000","157,879,000","153,078,000","136,774,000","104,591,000","96,222,000","105,609,000","93,508,000","83,219,000","74,988,000","97,981,000","73,485,000","74,592,000","76,813,000","114,526,000","75,899,000","80,075,000","79,310,000","97,710,000","80,760,000","84,077,000","82,790,000","82,978,000","77,961,000","79,452,000","79,678,000","77,949,000","77,080,000","75,731,000","67,685,000","66,387,000","64,386,000","66,960,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-4,180,000","-4,112,000","-3,909,000","-3,710,000","-3,361,000","-2,992,000","-4,408,000","-4,567,000","-2,213,000","-1,944,000","-1,889,000","-1,856,000","-1,923,000","-1,985,000","-1,817,000","-1,538,000","-1,429,000","-1,456,000","-1,471,000","-1,460,000","-1,488,000","-1,345,000","-1,120,000","-1,288,000","-1,689,000","-1,857,000","-1,613,000","-1,707,000","-1,803,000","-1,767,000","-1,923,000","-1,918,000","-1,732,000","-1,736,000","-1,650,000","-1,591,000","-1,662,000","-1,729,000","-1,372,000","-1,547,000","-2,163,000","-1,711,000","-1,592,000","-1,448,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,"3,193,000","10,177,000","7,109,000","7,150,000","3,747,000","4,155,000","5,083,000","4,566,000","4,785,000","5,403,000","2,400,000","1,788,000","1,109,000","1,109,000","1,585,000","5,099,000","11,897,000","11,551,000","17,634,000","4,845,000","7,381,000","4,256,000","3,798,000","554,000","0","8,591,000","0","2,253,000","5,591,000","1,309,000","1,156,000","1,021,000","25,000","146,000","168,000","85,000","0","59,000","28,000","11,000","0","232,000","0","0","0","1,577,000","1,622,000","1,462,000","1,548,000","257,000","0","256,000","0","717,000","10,330,000","4,972,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"7,466,000","8,792,000","61,368,000","47,458,000","7,122,000","13,624,000","18,098,000","20,929,000","9,799,000","8,507,000","11,415,000","12,166,000","16,861,000","16,675,000","15,340,000","12,804,000","11,774,000","15,062,000","14,947,000","10,200,000","11,371,000","8,757,000","11,239,000","7,893,000","7,341,000","8,779,000","5,885,000","5,753,000","5,743,000","5,770,000","6,063,000","6,316,000","5,682,000","5,356,000","5,126,000","5,278,000","4,504,000","3,851,000","4,164,000","3,456,000","6,698,000","5,711,000","5,726,000",,"3,816,000","4,591,000","9,875,000","3,588,000","3,393,000","3,311,000","3,631,000",,,,"7,145,000","8,238,000","12,996,000","12,979,000","9,721,000","4,770,000","7,198,000","6,371,000","14,625,000","12,701,000","16,830,000","11,491,000","11,650,000","9,439,000","11,147,000","13,089,000","10,466,000","11,450,000","5,227,000","9,900,000","8,280,000","7,205,000","7,844,000","6,065,000","10,182,000","10,091,000","9,210,000","8,731,000","10,954,000","9,452,000","12,799,000","15,044,000","14,034,000","9,070,000","12,136,000","4,506,000",,,,"2,476,044",,,,"964,575",,,,"3,230,857",,,,,,,
