name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014
OperatingCashFlow,"-248,875,000","-58,185,000","-122,932,000","-42,158,000","-25,600,000","-45,011,000","-45,140,000","-40,093,000","-195,934,000","-41,173,000","-149,375,000","-40,335,000","-32,709,000","-28,732,000","-37,497,000","3,142,000","-25,407,000","-24,021,000","-24,733,000","-19,031,000","-17,434,000","-22,058,000","-11,136,000","3,717,000","-12,657,000","817,000","-12,543,000","-10,860,000","-12,481,000","-8,736,000","-10,124,000"
	CashFlowFromContinuingOperatingActivities,"-248,875,000","-58,185,000","-122,932,000","-42,158,000","-25,600,000","-45,011,000","-45,140,000","-40,093,000","-195,934,000","-41,173,000","-149,375,000","-40,335,000","-32,709,000","-28,732,000","-37,497,000","3,142,000","-25,407,000","-24,021,000","-24,733,000","-19,031,000","-17,434,000","-22,058,000","-11,136,000","3,717,000","-12,657,000","817,000","-12,543,000","-10,860,000","-12,481,000","-8,736,000","-10,124,000"
		NetIncomeFromContinuingOperations,"-303,773,000","-73,842,000","-85,385,000","-71,846,000","-72,700,000","-67,455,000","-65,776,000","-65,456,000","-67,581,000","-48,939,000","-186,942,000","-39,694,000","-34,380,000","-29,154,000","-25,583,000","-30,834,000","-28,211,000","4,082,000","-16,678,000","-12,304,000","-11,591,000","-7,098,000","-4,136,000","-897,000","-936,000","-258,000","-1,746,000","633,000","-1,695,000","1,358,000","-76,000"
		OperatingGainsLosses,,,,,,,"0","0",,,,,,,"0","0",,,,,,,,,,,"0","0","0","2,000","0"
			GainLossOnSaleOfPPE,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","2,000","0"
		DepreciationAmortizationDepletion,"1,237,000","308,000","323,000","319,000","287,000","274,000","285,000","289,000","284,000","278,000","273,000","258,000","231,000","170,000","120,000","105,000","105,000","101,000","23,000","132,000","152,000","130,000","145,000","170,000","179,000","188,000","271,000","486,000","529,000","533,000","551,000"
			DepreciationAndAmortization,"1,237,000","308,000","323,000","319,000","287,000","274,000","285,000","289,000","284,000","278,000","273,000","258,000","231,000","170,000","120,000","105,000","105,000","101,000","23,000","132,000","152,000","130,000","145,000","170,000","179,000","188,000","271,000","486,000","529,000","533,000","551,000"
				Depreciation,"1,237,000","308,000","323,000","319,000","287,000","274,000","285,000","289,000","284,000","278,000","273,000","258,000","231,000","170,000","120,000","105,000","105,000","101,000",,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","4,375,000","4,375,000","4,328,000","4,724,000","5,120,000"
		StockBasedCompensation,"57,571,000","15,444,000","15,226,000","13,657,000","13,244,000","14,679,000","11,949,000","11,580,000","14,797,000","19,307,000","12,291,000","5,380,000","4,483,000","4,227,000","2,767,000","2,746,000","2,552,000","2,485,000","1,800,000","1,545,000","1,582,000","1,603,000","916,000","716,000","446,000","289,000","1,056,000","326,000","348,000","345,000","345,000"
