name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990
MarketCap,"799,274,953","882,935,440","954,272,300","940,432,390","1,012,208,360","1,115,037,040","980,327,950","734,951,100","787,557,600","727,935,850","1,269,842,520","1,076,266,160","968,807,737","1,057,730,415","875,941,260","1,090,110,574","1,384,113,446","1,419,947,485","1,446,940,842","1,704,910,371","1,609,993,500","1,580,778,000","1,490,803,034","1,216,412,300","1,034,975,250","1,144,755,200","1,037,179,260","1,107,975,680","1,126,679,400","1,261,046,340","1,348,167,360","1,187,457,650","1,374,875,320","1,223,235,900","1,242,281,000","1,241,256,030","1,092,774,810","989,271,240","917,191,320","857,031,758","804,299,316","955,873,653","778,067,529","753,591,240","989,059,500","1,158,725,540","1,109,303,600","1,003,991,600","991,417,500","1,312,717,560","1,212,074,270","1,164,150,000","936,000,000","730,686,107","831,489,153","925,210,880","1,094,404,180","1,228,228,750","1,251,312,480","1,707,011,944","1,649,644,117","1,500,564,765","1,577,334,360","1,737,550,080","1,554,389,280","1,639,078,999","1,417,333,883","1,260,524,248","1,269,369,897","1,325,629,633","1,417,919,215","1,227,146,417","1,195,179,602","1,291,199,168","1,423,087,057","1,137,903,027","759,117,339","697,196,153","697,300,335","510,213,666","701,539,715","553,408,340","372,059,133","324,283,812","478,049,669","381,857,051","441,657,658","1,015,230,305","595,701,941","601,655,313","372,163,789","572,133,943","584,799,386","488,166,773","425,419,165","264,714,023","231,422,729","275,401,849","257,986,823","324,429,447","232,561,368","167,785,663","172,690,252","141,428,533","116,902,109","120,254,154","110,471,028","111,921,700","98,754,001","106,234,231","96,600,386","101,475,830","101,899,272","92,792,128","95,047,595","74,662,020","66,681,251","75,638,541","65,190,360","56,730,697","51,256,001","44,615,052","38,241,109","27,088,222","26,291,519","23,104,069","15,933,742","15,933,742"
EnterpriseValue,"842,681,953","832,338,440","891,097,300","787,609,390","829,510,360","936,561,040","881,654,950","622,128,100","683,446,600","596,012,850","1,141,768,520","905,390,160","798,261,737","753,698,415","554,449,260","697,467,574","915,133,446","889,081,485","931,364,842","1,173,054,371","1,077,844,500","1,122,993,000","1,081,656,034","872,586,300","748,112,250","913,953,200","584,106,260","707,854,680","752,449,400","843,191,340","937,603,360","795,410,650","990,652,320","887,783,900","825,953,000","852,714,030","686,408,810","615,292,240","543,212,320","587,038,758","558,556,316","682,972,653","535,332,529","510,856,240","693,753,500","836,500,540","774,339,600","669,150,600","651,475,500","923,765,560","802,512,270","737,850,000","544,050,000","335,626,107","483,734,153","595,871,880","817,722,180","938,923,750","881,815,480","1,401,514,944","1,415,811,117","1,276,232,765","1,312,384,360","1,455,529,080","1,272,368,280","1,351,298,999","1,096,097,883","939,288,248","981,976,897","982,069,633","1,050,551,215","915,468,417","883,451,602","989,359,168","1,087,975,057","835,648,027","536,094,339","504,980,153","521,891,335","421,259,666","763,322,715","640,791,340","459,442,133","498,109,812","691,453,669","552,291,051","639,736,658","1,285,098,305","865,569,941","871,504,313","584,720,789","795,703,943","570,066,386","553,357,773","456,652,165","310,723,023","288,837,729","340,139,849","267,443,823","334,356,447","233,851,368","178,135,663","189,614,737","184,132,533","116,821,109","117,454,154","104,671,028","103,621,700","90,454,001","96,434,231","87,500,386","92,375,830","92,899,272","85,592,128","89,447,595","63,462,020","54,081,251","62,738,541","58,990,360","43,630,697","39,056,001","41,915,052","35,141,109","24,888,222","20,891,519","19,504,069","12,333,742","16,433,742"
PeRatio,"21.065","25.293","31.882","33.81","56.92","81.368",,"671.667","60","33.317","25.265","21.85","19.03","53.571",,,,,"23.095","25.11","25.635","24.651","18.263","15.307","11.882","12.596","13.51","15.217","15.125","15.809","11.061","9.14","11.742","11.158","20.425","22.223","18.108","18.02","16.62","21.208","19.11","18.954","11.816","11.412","14.103","15.176","14.078","13.226","14.152","21.163","22.783",,,,,"10.831","13.072","14.134","13.852","15.204","13.793","12.082","14.645","17.646","15.834","18.305","18.893","16.921","17.584","18.614","20.419","19.735","20.59","24.031","25.043","19.752","15.153","14.833","18.98","21.701",,,,"18.561","20.471","18.396","32.271","130.262","91.59","61.709","26.066","28.948","23.334","20.832","27.13","17.414","15.624","18.603","17.85","24.722","18.923","14.479","15.691","16.65","18.337","19.898","17.611","18.083","15.976","18.132","17.987","18.918","20.218","19.356","22.085","18.731","17.801","22.071","19.475","18.732","17.864","19.98","18.163","13.696","12.12","9.53","6.572","6.091"
ForwardPeRatio,,,,,,,,,,,,,,,,,"17.036","18.315",,"19.96","20.325","20.367","19.57",,,"13.68","12.531","12.61","12.107","13.736","14.97","13.072","14.286","12.987","15.674","15.48","13.68","12.5","12.547","11.038","10.05","12.166","13.038","9.285","10.152","11.274","12.24",,,,,"11.877",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PegRatio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1.373","1.497","1.307","1.428","1.298","1.567","1.548","1.368","1.249","1.254","1.104","1.005","3.446","5.672",,"0.677","0.751","0.699",,,,,"0.907",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PsRatio,"0.341","0.401","0.46","0.466","0.511","0.554","0.49","0.363","0.375","0.342","0.576","0.495","0.439","0.477","0.392","0.447","0.572","0.601","0.609","0.721","0.691","0.686","0.657","0.53","0.44","0.473","0.416","0.427","0.423","0.466","0.487","0.446","0.534","0.495","0.533","0.528","0.465","0.413","0.381","0.377","0.356","0.437","0.352","0.34","0.429","0.497","0.474","0.439","0.448","0.621","0.589","0.565","0.428","0.308","0.331","0.354","0.416","0.454","0.443","0.547","0.504","0.463","0.567","0.673","0.604","0.687","0.667","0.597","0.618","0.667","0.724","0.644","0.639","0.702","0.784","0.62","0.449","0.412","0.417","0.33","0.486","0.43","0.291","0.197","0.266","0.214","0.258","0.67","0.471","0.552","0.392","0.713","0.766","0.651","0.846","0.593","0.594","0.811","0.827","1.064","0.765","0.599","0.69","0.829","1.127","1.246","1.167","1.19","1.052","1.141","1.027","1.08","1.16","1.147","1.291","1.122","1.064","1.292","1.193","1.088","1.055","1.181","1.145","0.969","1.109","0.895","0.617","0.789"
PbRatio,"0.819","0.907","0.992","0.972","1.035","1.127","0.99","0.747","0.796","0.717","1.234","1.03","0.877","0.908","0.729","0.849","1.106","1.069","1.004","1.21","1.165","1.158","1.128","0.923","0.784","0.866","0.799","0.856","0.874","0.977","1.056","0.934","1.101","0.997","1.064","1.083","0.957","0.866","0.805","0.767","0.702","0.855","0.696","0.673","0.872","1.018","0.99","0.908","0.905","1.202","1.105","1.064","0.868","0.688","0.787","0.73","0.859","0.963","0.971","1.325","1.322","1.523","1.654","1.888","1.689","1.849","1.735","1.543","1.6","1.72","1.887","1.7","1.706","1.891","2.142","1.779","1.408","1.333","1.397","1.057","1.96","1.574","1.058","0.794","1.164","0.927","1.095","3.554","2.085","2.115","1.32","2.032","2.405","3.397","3.083","1.989","1.801","2.209","2.134","2.789","2.076","1.549","1.645","1.921","2.405","2.581","2.455","2.579","2.275","2.541","2.509","2.636","2.754","2.607","2.779","2.276","2.11","2.48","2.202","1.977","1.844","2.64","2.346","1.725","1.801","1.627","1.122","1.207"
EnterprisesValueRevenueRatio,"0.353","1.309","1.408","1.377","1.523","1.852","1.691","1.183","1.392","1.157","2.246","1.631","1.327","1.25","0.844","1.089","1.385","1.462","1.37","1.944","1.747","1.982","1.78","1.519","1.291","1.664","0.933","1.123","1.133","1.358","1.321","1.088","1.382","1.389","1.091","1.422","1.13","1.134","0.857","0.961","0.887","1.151","0.958","0.896","1.185","1.554","1.235","1.09","1.105","1.615","1.337","1.445","1.129","0.676","0.831","0.929","1.198","1.372","1.2","2.084","1.872","1.696","1.78","1.891","1.698","2.075","1.753","1.673","1.751","1.927","2.004","1.814","1.798","2.057","2.234","1.835","1.194","1.126","1.115","0.984","1.888","1.947","1.704","1.931","2.178","1.279","1.306","2.796","2.129","2.496","1.726","3.462","3.505","3.776","3.177","2.225","2.178","3.148","3.033","4.02","2.992","2.352","2.525","2.955","3.487","3.866","3.995","4.247","3.833","4.175","3.676","3.68","3.716","3.522","3.712","3.238","3.163","4.128","4.214","2.889","3.367","4.234","3.661","2.648","2.517","3.306","2.467","3.222"
EnterprisesValueEBITDARatio,"8.319","31.842","30.18","33.68","37.295","40.937","37.703","28.722","63.364","32.011","409.971","39.955","30.994","24.188","19.176","24.667","32.294","27.503","25.522","34.472","31.103","43.725","28.537","26.95","23.282","30.247","16.332","18.986","19.079","27.901","22.337","24.008","25.2","26.288","11.534","21.018","30.477","25.27","15.852","17.064","20.657","40.118","60.565","24.766","28.552","33.441","26.688","18.959","19.299","29.401","28.152","34.031","24.006","16.553","-2.196","18.254","24.754","29.728","23.584","50.848","35.421","30.811","33.053","34.631","31.441","38.173","30.824","30.093","32.95","34.013","34.214","30.105","29.642","34.585","33.819","30.083","19.329","14.507","19.09","18.189","36.523","34.346","-10.128","30.115","39.645","19.426","20.99","44.312","33.3","42.296","33.046","63.835","35.892","40.545","35.057","25.606","24.173","33.104","26.952","35.43","25.446","20.412","24.962","27.857","28.465","33.301","37.383","35.732","31.191","33.253","28.226","32.991","38.708","35.663","34.403","27.592","30.045","44.813","36.869","31.165","32.547","38.105","31.946","27.654","18.992","24.38","20.556","23.477"
