name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
		CapitalStock,"47,000","47,000","47,000","47,000","47,000","46,000","40,000","40,000","37,000","37,000","32,000","32,000","32,000","32,000","32,000","5,000","24,000"
			CommonStock,"47,000","47,000","47,000","47,000","47,000","46,000","40,000","40,000","37,000","37,000","32,000","32,000","32,000","32,000","32,000","5,000","24,000"
		AdditionalPaidInCapital,"723,359,000","717,151,000","707,190,000","699,666,000","692,243,000","687,934,000","411,847,000","408,755,000","296,961,000","295,084,000","202,359,000","200,473,000","198,645,000","197,697,000","196,664,000","1,322,000","89,081,000"
		RetainedEarnings,"-311,204,000","-279,508,000","-249,834,000","-220,479,000","-193,168,000","-171,669,000","-149,886,000","-129,791,000","-112,298,000","-96,509,000","-80,320,000","-69,181,000","-59,766,000","-53,110,000","-45,437,000","-38,976,000","-28,932,000"
		GainsLossesNotAffectingRetainedEarnings,"-973,000","-181,000","9,000","-210,000","-394,000","-116,000","-611,000","-1,190,000","-982,000","-1,047,000","-1,430,000","-1,172,000","-1,055,000","-1,380,000","-1,223,000","-1,050,000","-238,000"
TotalCapitalization,"411,229,000","437,509,000","457,412,000","479,024,000","498,728,000","516,195,000","271,217,000","287,578,000","193,519,000","207,304,000","130,300,000","130,152,000","137,856,000","143,239,000","150,036,000","-38,699,000","59,935,000"
CommonStockEquity,"411,229,000","437,509,000","457,412,000","479,024,000","498,728,000","516,195,000","261,390,000","277,814,000","183,718,000","197,565,000","120,641,000","130,152,000","137,856,000","143,239,000","150,036,000","-38,699,000","59,935,000"
CapitalLeaseObligations,"32,839,000","33,097,000","32,907,000","33,132,000","33,280,000","33,419,000","33,408,000","33,386,000","31,988,000","32,306,000","9,821,000","730,000",,"4,972,000",,,
NetTangibleAssets,"411,229,000","437,509,000","457,412,000","479,024,000","498,728,000","516,195,000","261,390,000","277,814,000","183,718,000","197,565,000","120,641,000","130,152,000","137,856,000","143,239,000","150,036,000","-38,699,000","59,935,000"
WorkingCapital,"383,221,000","409,504,000","427,748,000","449,514,000","469,200,000","486,410,000","239,449,000","255,863,000","162,377,000","176,657,000","106,030,000","114,685,000","131,096,000","141,138,000","148,123,000","50,728,000","59,539,000"
InvestedCapital,"411,229,000","437,509,000","457,412,000","479,024,000","498,728,000","516,195,000","271,217,000","287,578,000","193,519,000","207,304,000","130,300,000","130,152,000","137,856,000","143,239,000","150,036,000","-38,699,000","59,935,000"
TangibleBookValue,"411,229,000","437,509,000","457,412,000","479,024,000","498,728,000","516,195,000","261,390,000","277,814,000","183,718,000","197,565,000","120,641,000","130,152,000","137,856,000","143,239,000","150,036,000","-38,699,000","59,935,000"
TotalDebt,"32,839,000","33,097,000","32,907,000","33,132,000","33,280,000","33,419,000","43,235,000","43,150,000","41,789,000","42,045,000","19,480,000","730,000",,"4,972,000",,,
ShareIssued,"47,338,660","47,206,316","46,855,331","46,730,451","46,566,481","46,384,675","40,312,272","40,280,420","36,668,743","36,645,650","31,719,346","31,663,701","31,656,950","31,640,672","31,553,672","30,838,587","30,838,587"
OrdinarySharesNumber,"47,338,660","47,206,316","46,855,331","46,730,451","46,566,481","46,384,675","40,312,272","40,280,420","36,668,743","36,645,650","31,719,346","31,663,701","31,656,950","31,640,672","31,553,672","30,838,587","30,838,587"
