name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993
TotalAssets,"6,887,239,000","7,609,658,000","6,690,650,000","7,051,812,000","9,790,123,000","7,264,515,000","6,092,074,000","8,779,026,000","5,843,865,000","6,180,926,000","6,182,890,000","6,101,072,000","6,050,042,000","6,182,765,000","5,835,067,000","4,169,159,000","4,301,693,000","5,417,963,000","5,228,332,000","4,019,693,000","3,985,596,000","4,213,329,000","4,006,419,000","3,144,166,000","3,071,742,000","2,960,234,000","2,529,705,000","2,309,983,000","2,275,092,000","2,108,063,000","2,054,031,000","1,923,333,000","1,890,557,000","1,806,959,000","1,691,989,000","1,659,938,000","1,740,299,000","1,763,270,000","1,648,898,000","1,528,682,000","1,597,617,000","1,359,205,000","1,275,481,000","1,074,480,000","1,183,403,000","1,129,655,000","1,029,766,000","961,301,000","981,910,000","916,145,000","834,777,000","819,515,000","890,499,000","859,125,000","757,256,000","781,734,000","810,535,000","761,394,000","686,080,000","666,724,000","729,426,000","754,511,000","741,132,000","746,809,787","745,439,958","755,283,415","776,348,942","768,677,069","795,760,717","808,420,100","780,798,524","757,532,930","759,745,503","782,100,189","772,285,127","774,876,331","739,355,292","672,848,646","607,648,460","586,571,119","565,857,797","550,911,810","523,183,063","521,771,828","509,806,793","504,646,140","505,590,430","506,819,982","509,000,784","511,300,000","511,200,000","496,300,000","475,100,000","473,500,000","418,400,000","421,300,000","405,400,000","407,600,000","404,600,000","374,800,000","370,200,000","369,900,000","388,000,000","342,100,000","309,700,000","314,800,000","264,200,000","265,200,000","281,300,000","279,700,000","274,100,000","266,600,000","226,500,000","161,400,000","160,800,000"
TotalLiabilitiesNetMinorityInterest,"6,123,833,000","6,783,501,000","5,818,766,000","6,175,179,000","8,954,865,000","6,451,305,000","5,244,766,000","7,949,117,000","5,038,791,000","5,343,858,000","5,338,932,000","5,278,171,000","5,226,333,000","5,412,037,000","5,087,341,000","3,725,246,000","3,857,990,000","4,980,258,000","4,793,836,000","3,589,480,000","3,573,848,000","3,841,543,000","3,671,444,000","2,811,497,000","2,758,455,000","2,670,657,000","2,258,370,000","2,100,713,000","2,058,646,000","1,924,380,000","1,879,229,000","1,754,115,000","1,734,897,000","1,664,320,000","1,549,005,000","1,531,903,000","1,596,924,000","1,617,276,000","1,503,039,000","1,422,983,000","1,510,282,000","1,273,647,000","1,194,904,000","996,416,000","1,110,473,000","1,058,930,000","957,722,000","891,504,000","920,792,000","869,590,000","787,432,000","775,407,000","842,346,000","811,135,000","710,449,000","732,334,000","757,659,000","712,835,000","637,982,000","619,567,000","684,703,000","710,887,000","695,800,000","703,317,345","703,401,482","713,109,832","733,390,252","725,626,120","750,823,527","762,098,216","733,524,259","712,707,785","711,492,480","736,838,468","729,254,328","730,406,175","694,059,468","628,197,530","563,060,694","542,450,747","523,675,513","507,811,433","479,455,853","479,404,108","467,591,670","463,233,856","465,555,345","468,276,968","471,214,307","472,800,000","471,400,000","455,900,000","433,000,000","431,800,000","376,100,000","378,400,000","363,300,000","363,500,000","361,100,000","332,100,000","327,300,000","326,200,000","344,800,000","303,100,000","270,800,000","276,000,000","226,200,000","228,200,000","246,000,000","244,900,000","239,400,000","232,100,000","192,300,000","125,900,000","127,400,000"
TotalEquityGrossMinorityInterest,"763,406,000","826,157,000","871,884,000","876,633,000","835,258,000","813,210,000","847,308,000","829,909,000","805,074,000","837,068,000","843,958,000","822,901,000","823,709,000","770,728,000","747,726,000","443,913,000","443,703,000","437,705,000","434,496,000","430,213,000","411,748,000","371,786,000","334,975,000","332,669,000","313,287,000","289,577,000","271,335,000","209,270,000","216,446,000","183,683,000","174,802,000","169,218,000","155,660,000","142,639,000","142,984,000","128,035,000","143,375,000","145,994,000","145,859,000","105,699,000","87,335,000","85,558,000","80,577,000","78,064,000","72,930,000","70,725,000","72,044,000","69,797,000","61,118,000","46,555,000","47,345,000","44,108,000","48,153,000","47,990,000","46,807,000","49,400,000","52,876,000","48,559,000","48,098,000","47,157,000","44,723,000","43,624,000","45,332,000","43,492,442","42,038,476","42,173,583","42,958,690","43,050,949","44,937,190","46,321,884","47,274,265","44,825,145","48,253,023","45,261,721","43,030,799","44,470,156","45,295,824","44,651,116","44,587,766","44,120,372","42,182,284","43,100,377","43,727,210","42,367,720","42,215,123","41,412,284","40,035,085","38,543,014","37,786,477","38,500,000","39,800,000","40,400,000","42,100,000","41,700,000","42,300,000","42,900,000","42,100,000","44,100,000","43,500,000","42,700,000","42,900,000","43,700,000","43,200,000","39,000,000","38,900,000","38,800,000","38,000,000","37,000,000","35,300,000","34,800,000","34,700,000","34,500,000","34,200,000","35,500,000","33,400,000"
	StockholdersEquity,"763,084,000","825,515,000","870,729,000","875,143,000","834,166,000","811,674,000","843,705,000","826,122,000","801,312,000","832,763,000","839,911,000","819,393,000","820,181,000","767,461,000","744,152,000","443,913,000","443,703,000","437,705,000","434,496,000","430,213,000","411,748,000","371,786,000","334,975,000","332,669,000","313,287,000","289,577,000","271,335,000","209,270,000","216,446,000","183,683,000","174,802,000","169,218,000","155,660,000","142,639,000","142,984,000","128,035,000","143,375,000","145,994,000","145,859,000","105,699,000","87,335,000","85,558,000","80,577,000","78,064,000","72,930,000","70,725,000","72,044,000","69,797,000","61,118,000","46,555,000","47,345,000","44,108,000","48,153,000","47,990,000","46,807,000","49,400,000","52,876,000","48,559,000","48,098,000","47,157,000","44,723,000","43,624,000","45,332,000","43,492,442","42,038,476","42,173,583","42,958,690","43,050,949","44,937,190","46,321,884","47,274,265","44,825,145","48,253,023","45,261,721","43,030,799","44,470,156","45,295,824","44,651,116","44,587,766","44,120,372","42,182,284","43,100,377","43,727,210","42,367,720","42,215,123","41,412,284","40,035,085","38,543,014","37,786,477","38,500,000","39,800,000","40,400,000","42,100,000","41,700,000","42,300,000","42,900,000","42,100,000","44,100,000","43,500,000","42,700,000","42,900,000","43,700,000","43,200,000","39,000,000","38,900,000","38,800,000","38,000,000","37,000,000","35,300,000","34,800,000","34,700,000","34,500,000","34,200,000","35,500,000","33,400,000"
		CapitalStock,"294,000","301,000","317,000","319,000","319,000","326,000","344,000","346,000","346,000","372,000","378,000","379,000","395,000","394,000","393,000","97,000","97,000","96,000","96,000","94,000","94,000","93,000","85,000","85,000","85,000","85,000","82,000","70,000","70,000","62,000","62,000","62,000","62,000","61,000","61,000","56,000","56,000","56,000","56,000","40,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580",,,,,,,,,,,,,,,,,,,,,,,,,,
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","61,000","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CommonStock,"294,000","301,000","317,000","319,000","319,000","326,000","344,000","346,000","346,000","372,000","378,000","379,000","395,000","394,000","393,000","97,000","97,000","96,000","96,000","94,000","94,000","93,000","85,000","85,000","85,000","85,000","82,000","70,000","70,000","62,000","62,000","62,000","62,000",,"61,000","56,000","56,000","56,000","56,000","40,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","34,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","30,000","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580","29,580",,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"612,917,000","610,816,000","604,484,000","602,720,000","601,222,000","598,669,000","594,569,000","592,693,000","590,682,000","587,678,000","580,826,000","578,715,000","576,406,000","572,156,000","565,811,000","267,804,000","265,685,000","262,872,000","258,336,000","256,088,000","253,473,000","249,476,000","184,780,000","184,700,000","184,347,000","184,062,000","170,749,000","120,273,000","120,537,000","95,816,000","95,079,000","94,069,000","93,984,000","93,319,000","92,963,000","78,504,000","78,757,000","78,760,000","78,769,000","45,330,000","32,538,000","32,535,000","32,471,000","32,432,000","32,411,000","32,419,000","32,381,000","31,773,000","31,942,000","23,552,000","23,551,000","23,342,000","23,348,000","23,248,000","23,058,000","22,480,000","22,299,000","22,080,000","21,958,000","21,117,000","20,958,000","20,973,000","20,968,000","20,621,534","20,624,327","20,636,428","20,646,513","20,636,272","20,640,098","20,662,110","20,678,644","20,683,578","20,655,919","20,630,528","20,538,879","20,501,606","20,496,202","20,595,189","20,593,768","20,625,013","20,792,263","20,863,363","20,863,379","20,970,167","20,976,107","20,976,107","20,976,107","20,964,068","20,931,779","21,100,000","21,300,000",,,,,,,,,,,,,,,,,,,,,,,,
		RetainedEarnings,"223,760,000","217,992,000","259,189,000","262,578,000","225,471,000","198,000,000","234,927,000","228,500,000","212,027,000","244,005,000","252,813,000","238,004,000","258,600,000","228,453,000","213,048,000","206,284,000","200,753,000","170,578,000","167,164,000","166,634,000","158,167,000","127,239,000","127,190,000","122,292,000","114,526,000","101,349,000","98,359,000","94,625,000","90,887,000","86,587,000","83,797,000","81,231,000","77,826,000","74,479,000","71,268,000","68,579,000","65,622,000","63,189,000","60,776,000","59,610,000","57,724,000","48,170,000","45,494,000","43,707,000","45,133,000","42,791,000","42,475,000","40,388,000","37,251,000","32,475,000","31,626,000","32,694,000","36,689,000","35,853,000","35,516,000","37,688,000","38,435,000","35,731,000","36,805,000","35,961,000","33,872,000","33,599,000","37,186,000","36,842,776","34,681,939","34,747,203","34,557,258","34,313,180","36,950,651","36,876,128","36,758,258","36,570,793","36,058,820","34,708,823","34,057,741","33,623,126","33,054,932","32,463,959","31,940,648","31,518,070","31,310,244","31,183,640","31,066,643","30,941,945","30,801,464","30,694,827","30,404,386","30,272,341","30,233,044","29,800,000","29,400,000","29,400,000","29,000,000","28,600,000","28,000,000","27,400,000","26,300,000","27,100,000","26,400,000","25,700,000","25,000,000","24,400,000","23,700,000","23,900,000","231,100,000","22,500,000","22,100,000","21,500,000","20,300,000","19,800,000","19,100,000","18,400,000","17,600,000","17,000,000","16,300,000"
		TreasuryStock,"4,513,000","4,318,000","860,000","5,696,000","5,655,000","5,440,000","3,677,000","3,412,000","3,397,000","3,187,000","445,000","13,000","4,956,000","4,356,000","1,989,000","1,671,000","1,666,000","1,623,000","266,000","0","0","0","0","0","0","0","310,000","310,000","310,000","310,000","727,000","727,000","727,000","727,000","1,023,000","1,209,000","1,285,000","1,562,000","2,255,000","2,789,000","2,862,000","3,033,000","3,758,000","4,322,000","4,322,000","4,422,000","4,445,000","5,130,000","5,363,000","5,800,000","6,024,000","6,674,000","6,775,000","6,775,000","6,775,000","6,809,000","6,895,000","6,973,000","6,973,000","7,332,000","7,457,000","7,692,000","7,796,000","7,972,936","8,066,136","8,268,997","8,268,997","8,268,997","8,377,496","8,517,705","8,557,113","8,415,329","8,415,329","8,173,036","8,164,963","8,164,963","8,164,963","8,424,922","8,424,922","8,457,430","8,735,854","8,519,395","8,390,819","8,838,875","8,838,875","8,838,875","8,821,097","8,821,097","8,821,097","7,800,000","8,200,000",,,,,,,,,,,,,,,,,,,,,,,,
