name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020
TotalAssets,"1,417,815,000","1,191,830,000","824,967,000","698,339,000","384,598,056","205,850,000"
	CurrentAssets,"527,170,000","1,023,850,000","651,677,000","538,337,000","1,012,323","49,277,000"
		CashCashEquivalentsAndShortTermInvestments,"351,810,000","920,788,000","575,984,000","474,138,000","426,064","6,942,000"
			CashAndCashEquivalents,"174,537,000","747,780,000","405,189,000","474,138,000","426,064","6,942,000"
				CashFinancial,,,,,"426,064",
			OtherShortTermInvestments,"177,273,000","173,008,000","170,795,000",,,"0"
		Receivables,"74,123,000","61,914,000","34,997,000","17,833,000",,"13,695,000"
			AccountsReceivable,"74,123,000","61,701,000","34,997,000","17,833,000",,"13,572,000"
				GrossAccountsReceivable,,"61,801,000",,,,"13,672,000"
				AllowanceForDoubtfulAccountsReceivable,,"-100,000",,,,"-100,000"
			DuefromRelatedPartiesCurrent,,"213,000",,,,"123,000"
		Inventory,"72,985,000","22,720,000","24,200,000","27,167,000",,"20,843,000"
			WorkInProcess,,"20,582,000",,,,"15,296,000"
			OtherInventories,,"2,138,000",,,,"5,547,000"
		PrepaidAssets,,"3,137,000",,,"586,259","698,000"
		CurrentDeferredAssets,,"13,744,000",,,,"6,204,000"
		OtherCurrentAssets,"28,252,000","1,547,000","16,496,000","19,199,000",,"895,000"
	TotalNonCurrentAssets,"890,645,000","167,980,000","173,290,000","160,002,000","383,585,733","156,573,000"
		NetPPE,"116,105,000","119,624,000","128,043,000","118,216,000",,"124,105,000"
			GrossPPE,"164,687,000","164,874,000","170,508,000","158,064,000",,"157,494,000"
				OtherProperties,"164,687,000","164,874,000","170,508,000","158,064,000",,"157,494,000"
			AccumulatedDepreciation,"-48,582,000","-45,250,000","-42,465,000","-39,848,000",,"-33,389,000"
		GoodwillAndOtherIntangibleAssets,"713,540,000","15,707,000","14,866,000","14,173,000",,"13,826,000"
			Goodwill,"547,700,000","1,741,000","1,741,000","1,786,000",,"1,739,000"
			OtherIntangibleAssets,"165,840,000","13,966,000","13,125,000","12,387,000",,"12,087,000"
		InvestmentsAndAdvances,,"1,924,000",,,,"744,000"
			OtherInvestments,,"1,924,000",,,,"744,000"
		NonCurrentAccountsReceivable,,"3,565,000",,"11,668,000",,"3,583,000"
		NonCurrentDeferredAssets,"9,620,000","8,630,000","11,665,000","11,668,000",,"11,733,000"
		NonCurrentPrepaidAssets,,"16,931,000",,,,"2,124,000"
		OtherNonCurrentAssets,"51,380,000","1,599,000","18,716,000","15,945,000","383,585,733","458,000"
TotalLiabilitiesNetMinorityInterest,"787,679,000","524,003,000","194,048,000","489,561,000","293,189,729","383,259,000"
	CurrentLiabilities,"188,035,000","87,967,000","78,419,000","85,842,000","2,686,624","190,515,000"
		PayablesAndAccruedExpenses,"130,514,000","62,025,000","34,510,000","31,540,000","2,686,624","36,196,000"
			Payables,"99,307,000","28,579,000","14,962,000","17,798,000","70,467","14,148,000"
				AccountsPayable,"99,307,000","28,273,000","14,962,000","17,798,000","21,152","13,749,000"
				TotalTaxPayable,,,,,"49,315",
				DuetoRelatedPartiesCurrent,,"306,000",,,,"399,000"
			CurrentAccruedExpenses,"31,207,000","33,446,000","19,548,000","13,742,000","2,616,157","22,048,000"
				InterestPayable,,"344,000",,,,"6,149,000"
		CurrentDebtAndCapitalLeaseObligation,,"1,240,000",,,,"101,606,000"
			CurrentDebt,,,,,,"101,273,000"
				OtherCurrentBorrowings,,,,,,"101,273,000"
			CurrentCapitalLeaseObligation,,"1,240,000",,,,"333,000"
		CurrentDeferredLiabilities,"40,722,000","9,158,000","27,129,000","37,056,000",,"36,942,000"
			CurrentDeferredRevenue,"40,722,000","9,158,000","27,129,000","37,056,000",,"36,942,000"
		OtherCurrentLiabilities,"16,799,000","15,544,000","16,780,000","17,246,000",,"15,771,000"
	TotalNonCurrentLiabilitiesNetMinorityInterest,"599,644,000","436,036,000","115,629,000","403,719,000","290,503,105","192,744,000"
		LongTermProvisions,"4,168,000","4,135,000","4,149,000","4,178,000",,"4,137,000"
		LongTermDebtAndCapitalLeaseObligation,"460,663,000","330,412,000","14,353,000","2,599,000",,"4,669,000"
			LongTermDebt,"448,137,000","318,229,000","1,675,000","1,719,000",,"4,612,000"
			LongTermCapitalLeaseObligation,"12,526,000","12,183,000","12,678,000","880,000",,"57,000"
		NonCurrentDeferredLiabilities,"64,051,000","28,285,000","21,743,000","18,648,000","13,629,386","15,468,000"
			NonCurrentDeferredRevenue,"64,051,000","28,285,000","21,743,000","18,648,000",,"15,468,000"
		DerivativeProductLiabilities,,"0","0","303,798,000","276,873,719","95,342,000"
		OtherNonCurrentLiabilities,"70,762,000","73,204,000","75,384,000","74,496,000",,"73,128,000"
TotalEquityGrossMinorityInterest,"630,136,000","667,827,000","630,919,000","208,778,000","91,408,327","-177,409,000"
	StockholdersEquity,"629,995,000","667,827,000","630,919,000","208,778,000","91,408,327","-177,409,000"
		CapitalStock,"15,000","14,000","14,000","13,000","86,412,251","4,000"
			PreferredStock,"0","0","0","0","0","0"
			CommonStock,"15,000","14,000","14,000","13,000","86,412,251","4,000"
		AdditionalPaidInCapital,"1,161,109,000","1,176,845,000","1,106,220,000","799,918,000","273,994,882","230,620,000"
		RetainedEarnings,"-530,510,000","-509,052,000","-474,998,000","-590,610,000","-268,998,806","-407,841,000"
		GainsLossesNotAffectingRetainedEarnings,"-619,000","20,000","-317,000","-543,000",,"-192,000"
	MinorityInterest,"141,000",,,,,
TotalCapitalization,"1,078,132,000","986,056,000","632,594,000","210,497,000","91,408,327","-172,797,000"
CommonStockEquity,"629,995,000","667,827,000","630,919,000","208,778,000","91,408,327","-177,409,000"
CapitalLeaseObligations,"12,526,000","13,423,000","12,678,000","880,000",,"390,000"
NetTangibleAssets,"-83,545,000","652,120,000","616,053,000","194,605,000","91,408,327","-191,235,000"
WorkingCapital,"339,135,000","935,883,000","573,258,000","452,495,000","-1,674,301","-141,238,000"
InvestedCapital,"1,078,132,000","986,056,000","632,594,000","210,497,000","91,408,327","-71,524,000"
TangibleBookValue,"-83,545,000","652,120,000","616,053,000","194,605,000","91,408,327","-191,235,000"
TotalDebt,"460,663,000","331,652,000","14,353,000","2,599,000",,"106,275,000"
NetDebt,"273,600,000",,,,,"98,943,000"
ShareIssued,"153,717,797","144,671,624","144,285,959","130,768,055","125,754,510","125,754,510"
OrdinarySharesNumber,"153,717,797","144,671,624","144,285,959","130,768,055","125,754,510","125,754,510"
