name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019
OperatingCashFlow,"-151,909,000","-50,739,000","-28,068,000","-26,952,000","-46,150,000","-18,393,000","-20,036,000","-11,873,000","-7,311,000","-7,288,000","-4,014,000","-2,976,000"
	CashFlowFromContinuingOperatingActivities,"-151,909,000","-50,739,000","-28,068,000","-26,952,000","-46,150,000","-18,393,000","-20,036,000","-11,873,000","-7,311,000","-7,288,000","-4,014,000","-2,976,000"
		NetIncomeFromContinuingOperations,"-159,906,000","-35,583,000","-51,786,000","-42,582,000","-29,955,000","-24,968,000","-28,649,000","-13,920,000","-8,982,000","-7,886,000","-5,403,000","-5,872,000"
		OperatingGainsLosses,,"30,000",,,,,,,,,,
			GainLossOnInvestmentSecurities,,"30,000",,,,,,,,,,
		DepreciationAmortizationDepletion,"1,275,000","425,000","341,000","260,000","249,000","238,000","217,000","175,000","158,000","150,000","146,000","103,000"
			DepreciationAndAmortization,"1,275,000","425,000","341,000","260,000","249,000","238,000","217,000","175,000","158,000","150,000","146,000","103,000"
		AmortizationOfSecurities,"2,693,000","605,000","737,000","697,000","654,000","492,000",,,,"0",,
		StockBasedCompensation,"18,378,000","4,488,000","6,013,000","3,638,000","4,239,000","3,652,000","4,215,000","2,235,000","75,000","66,000","14,000","7,000"
		OtherNonCashItems,"302,000","1,041,000","-718,000","-13,000","-8,000","-7,000","64,000","270,000","170,000","10,000","0","2,352,000"
		ChangeInWorkingCapital,"-14,689,000","-21,745,000","17,337,000","11,048,000","-21,329,000","2,200,000","4,105,000","-633,000","1,268,000","372,000","1,229,000","434,000"
			ChangeInPrepaidAssets,"-17,314,000","-15,477,000","11,310,000","8,577,000","-21,724,000","331,000","-3,348,000","-25,000","47,000","-129,000","45,000","-5,000"
			ChangeInPayablesAndAccruedExpense,"5,565,000","-6,268,000","6,027,000","4,833,000","973,000","1,869,000","7,453,000","-608,000","1,221,000","501,000","1,184,000","439,000"
				ChangeInPayable,"5,565,000","-6,268,000","6,027,000","4,833,000","973,000","1,869,000","7,453,000","-608,000","1,221,000","501,000","1,184,000","439,000"
					ChangeInAccountPayable,"5,565,000","-6,268,000","6,027,000","4,833,000","973,000","1,869,000","7,453,000","-608,000","1,221,000","501,000","1,184,000","439,000"
			ChangeInOtherCurrentAssets,,,"0","-2,362,000",,,,,,,,
InvestingCashFlow,"-11,653,000","-2,136,000","-235,000","-2,848,000","-6,434,000","-128,375,000","-45,223,000","-156,000","-71,000","-211,000","-737,000","-729,000"
	CashFlowFromContinuingInvestingActivities,"-11,653,000","-2,136,000","-235,000","-2,848,000","-6,434,000","-128,375,000","-45,223,000","-156,000","-71,000","-211,000","-737,000","-729,000"
		NetPPEPurchaseAndSale,"-5,010,000","-1,401,000","-1,990,000","-881,000","-738,000","-9,000","-723,000","-156,000","-71,000","-211,000","-737,000","-729,000"
			PurchaseOfPPE,"-5,010,000","-1,401,000","-1,990,000","-881,000","-738,000","-9,000","-723,000","-156,000","-71,000","-211,000","-737,000","-729,000"
		NetInvestmentPurchaseAndSale,"-6,643,000","-735,000","1,755,000","-1,967,000","-5,696,000","-128,366,000",,,,"0",,
			PurchaseOfInvestment,"-159,862,000","-55,327,000","-28,514,000","-51,645,000","-24,376,000","-132,186,000",,,,"0",,
			SaleOfInvestment,"153,219,000","54,592,000","30,269,000","49,678,000","18,680,000","3,820,000",,,,"0",,
FinancingCashFlow,"589,000","18,000","89,000","457,000","25,000","157,250,000","-11,194,000","379,963,000","13,000","11,908,000","0","0"
	CashFlowFromContinuingFinancingActivities,"589,000","18,000","89,000","457,000","25,000","157,250,000","-11,194,000","379,963,000","13,000","11,908,000","0","0"
		NetIssuancePaymentsOfDebt,,,"0","0","0","0","-10,000,000","-13,000","13,000","9,936,000","0","0"
			NetLongTermDebtIssuance,,,"0","0","0","0","-10,000,000","-13,000","13,000","9,936,000","0","0"
				LongTermDebtIssuance,,,"0","0","0","0","0","-13,000","13,000","9,936,000","0","0"
		NetCommonStockIssuance,"0","0","0","0","0","157,237,000","-1,066,000","247,454,000","0","0","0","0"
			CommonStockIssuance,"0","0","0","0","0","157,237,000","-1,066,000","247,454,000","0","0","0","0"
		NetPreferredStockIssuance,,,"0","0","0","0","-134,000","132,948,000","0","1,972,000","0","0"
			PreferredStockIssuance,,,"0","0","0","0","-134,000","132,948,000","0","1,972,000","0","0"
		ProceedsFromStockOptionExercised,"589,000","18,000","89,000","457,000","25,000","13,000","6,000",,,"0",,
		NetOtherFinancingCharges,,,,,,,"0",,,,,
EndCashPosition,"150,662,000","150,662,000","203,519,000","231,733,000","261,076,000","313,635,000","303,153,000","379,606,000","11,672,000","19,041,000","14,632,000","17,767,000"
	ChangesInCash,"-162,973,000","-52,857,000","-28,214,000","-29,343,000","-52,559,000","10,482,000","-76,453,000","367,934,000","-7,369,000","4,409,000","-4,751,000","-3,705,000"
	BeginningCashPosition,"313,635,000","203,519,000","231,733,000","261,076,000","313,635,000","303,153,000","379,606,000","11,672,000","19,041,000","14,632,000","17,767,000","23,088,000"
InterestPaidSupplementalData,,,"0","0","0","0","17,000","128,000","169,000","14,000","0","0"
