name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005
TotalRevenue,"1,628,965,000","421,722,000","409,507,000","400,226,000","397,510,000","392,145,000","376,145,000","370,960,000","268,931,000","257,154,000","257,559,000","257,121,000","256,314,000","253,252,000","254,872,000","251,314,000","238,874,000","232,864,000","217,211,000","228,785,000","215,758,000","222,533,000","221,090,000","229,138,000","221,319,000","221,340,000","208,811,000","221,230,000","235,654,000","244,623,000","231,304,000","236,712,000","232,046,000","235,222,000","223,919,000","228,366,000","203,087,000","218,009,000","206,028,000","221,096,000","170,402,000","178,175,000","166,500,000","193,330,000","128,267,000","130,293,000","129,002,000","134,871,000","88,321,000","96,627,000","93,197,000","106,325,000","72,166,000","77,164,000","77,618,000","88,625,000","56,475,000","56,016,000","54,391,000","27,196,000","35,626,000","34,652,000","35,139,000","35,139,000","29,225,000","29,226,000","29,226,000","29,226,000"
	OperatingRevenue,"1,628,965,000","421,722,000","409,507,000","400,226,000","397,510,000","392,145,000","376,145,000","370,960,000","268,931,000","257,154,000","257,559,000","257,121,000","256,314,000","253,252,000","254,872,000","251,314,000","238,874,000","232,864,000","217,211,000","228,785,000","215,758,000","222,533,000","221,090,000","229,138,000","221,319,000","221,340,000","208,811,000","221,230,000","235,654,000","244,623,000","231,304,000","236,712,000","232,046,000","235,222,000","223,919,000","228,366,000","203,087,000","218,009,000","206,028,000","221,096,000","170,402,000","178,175,000","166,500,000","193,330,000","128,267,000","130,293,000","129,002,000","134,871,000","88,321,000","96,627,000","93,197,000","106,325,000","72,166,000","77,164,000","77,618,000","88,625,000","56,475,000","56,016,000","54,391,000","27,196,000","35,626,000","34,652,000","35,139,000","35,139,000","29,225,000","29,226,000","29,226,000","29,226,000"
CostOfRevenue,"1,063,566,000","266,883,000","261,950,000","273,824,000","260,909,000","253,128,000","246,754,000","241,069,000","177,436,000","178,968,000","167,470,000","169,358,000","175,863,000","168,260,000","160,329,000","158,985,000","157,087,000","148,878,000","139,163,000","147,367,000","139,244,000","136,431,000","137,542,000","144,099,000","143,136,000","134,755,000","129,616,000","139,003,000","166,899,000","148,985,000","145,029,000","146,842,000","142,054,000","140,592,000","153,672,000","132,902,000","129,193,000","127,759,000","122,799,000","118,648,000","102,589,000","105,955,000","100,877,000","107,579,000","78,107,000","77,727,000","76,195,000","75,082,000","55,868,000","56,479,000","51,589,000","58,093,000","44,375,000","47,868,000","50,312,000","54,421,000","32,462,000","32,062,000","31,980,000",,"20,961,000",,,,,,,
GrossProfit,"565,399,000","154,839,000","147,557,000","126,402,000","136,601,000","139,017,000","129,391,000","129,891,000","91,495,000","78,186,000","90,089,000","87,763,000","80,451,000","84,992,000","94,543,000","92,329,000","81,787,000","83,986,000","78,048,000","81,418,000","76,514,000","86,102,000","83,548,000","85,039,000","78,183,000","86,585,000","79,195,000","82,227,000","68,755,000","95,638,000","86,275,000","89,870,000","89,992,000","94,630,000","70,247,000","95,464,000","73,894,000","90,250,000","83,229,000","102,448,000","67,813,000","72,220,000","65,623,000","85,751,000","50,160,000","52,566,000","52,807,000","59,789,000","32,453,000","40,148,000","41,608,000","48,232,000","27,791,000","29,296,000","27,306,000","34,204,000","24,013,000","23,954,000","22,411,000",,"14,665,000",,,,,,,
OperatingExpense,"433,480,000","94,245,000","90,642,000","133,379,000","115,214,000","100,464,000","90,939,000","117,827,000","84,454,000","63,687,000","59,784,000","107,151,000","77,770,000","61,725,000","61,253,000","106,081,000","71,911,000","64,269,000","64,334,000","99,180,000","71,802,000","73,339,000","65,225,000","107,708,000","77,674,000","67,451,000","64,468,000","102,683,000","85,074,000","68,208,000","65,802,000","103,028,000","77,151,000","67,245,000","79,155,000","103,928,000","72,473,000","70,898,000","66,957,000","93,787,000","65,782,000","60,631,000","58,531,000","77,484,000","56,353,000","41,735,000","38,612,000","54,409,000","34,328,000","29,767,000","27,314,000","35,565,000","28,054,000","21,882,000","21,292,000","25,030,000","24,733,000","19,574,000","19,069,000",,"18,856,000",,,,,,,
	SellingGeneralAndAdministration,"433,480,000","94,245,000","90,642,000","133,379,000","115,214,000","100,464,000","90,939,000","117,827,000","84,454,000","63,687,000","59,784,000","107,151,000","75,207,000","59,382,000","60,183,000","102,578,000","69,939,000","62,267,000","61,958,000","96,282,000","68,791,000","69,828,000","62,352,000","104,646,000","76,607,000","64,888,000","61,440,000","99,270,000","80,758,000","64,871,000","62,557,000","99,546,000","74,847,000","64,414,000","75,753,000","98,244,000","66,206,000","65,828,000","61,379,000","89,619,000","60,999,000","53,619,000","50,957,000","71,260,000","52,324,000","36,763,000","35,177,000","50,498,000","32,329,000","26,843,000","24,899,000","33,327,000","25,494,000","19,467,000","18,887,000","22,835,000","22,712,000","17,032,000","16,609,000",,"16,100,000",,,,,,,
	ResearchAndDevelopment,,,,,,,,,,,,,"2,563,000","2,343,000","1,070,000","3,503,000","1,972,000","2,002,000","2,376,000","2,898,000","3,011,000","3,511,000","2,873,000","3,062,000","1,067,000","2,563,000","3,028,000","3,413,000","4,316,000","3,337,000","3,245,000","3,482,000","2,304,000","2,831,000","3,402,000","5,684,000","6,267,000","5,070,000","5,578,000","4,168,000","4,783,000","7,012,000","7,574,000","6,224,000","4,029,000","4,972,000","3,435,000","3,911,000","1,999,000","2,924,000","2,415,000","2,238,000","2,560,000","2,415,000","2,405,000","2,195,000","2,021,000","2,542,000","2,460,000",,"2,756,000",,,,,,,
OperatingIncome,"131,919,000","60,594,000","56,915,000","-6,977,000","21,387,000","38,553,000","38,452,000","12,064,000","7,041,000","14,499,000","30,305,000","-19,388,000","2,681,000","23,267,000","33,290,000","-13,752,000","9,876,000","19,717,000","13,714,000","-17,762,000","4,712,000","12,763,000","18,323,000","-22,669,000","509,000","19,134,000","14,727,000","-20,456,000","-16,319,000","27,430,000","20,473,000","-13,158,000","12,841,000","27,385,000","-8,908,000","-8,464,000","1,421,000","19,352,000","16,272,000","8,661,000","2,031,000","11,589,000","7,092,000","8,267,000","-6,193,000","10,831,000","14,195,000","5,380,000","-1,875,000","10,381,000","14,294,000","12,667,000","-263,000","7,414,000","6,014,000","9,174,000","-720,000","4,380,000","3,342,000","27,196,000","-4,191,000","-61,365,000","35,139,000","35,139,000","-85,831,000","29,226,000","29,226,000","29,226,000"
NetNonOperatingInterestIncomeExpense,"-11,718,000","-2,373,000","-1,875,000","-1,993,000","-5,477,000","-5,371,000","-5,024,000","-2,107,000","-577,000","-76,000","441,000","910,000","1,214,000","754,000","-504,000","509,000","430,000","261,000","39,000","235,000","561,000","641,000","264,000","342,000","-21,000","-101,000","-190,000","-305,000","-3,157,000","-315,000","151,000","31,000","56,000","-12,000","-28,000","-84,000","1,658,000","-306,000","-272,000","-228,000","-267,000","-265,000","-236,000","-221,000","-237,000","-307,000","-366,000","-297,000","-289,000","-361,000","-324,000","-357,000","-464,000","-361,000",,,,,,,,,,,,,,
	InterestIncomeNonOperating,,,,,,,,,,,,"910,000",,,,"509,000",,"261,000","39,000","235,000",,,,"342,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
