name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,11/30/2012,08/31/2012,05/31/2012,02/29/2012,11/30/2011,08/31/2011,02/28/2011
TotalAssets,"828,405,000","776,633,000","775,075,000","746,766,000","764,045,000","607,439,000","692,220,000","678,694,000","573,063,000","604,800,000","613,816,000","647,574,000","667,668,000","709,160,000","716,186,000","491,144,000","500,794,000","520,346,000","520,510,000","507,130,000","510,381,000","525,282,000","532,420,000","533,971,000","507,100,000","512,400,000","511,630,000","425,140,000","415,988,432","135,470,972","145,931,880","155,535,303","94,048,621","20,498,879","21,364,710","2,672,542","4,950,641","3,900","3,900","3,900","3,909","3,891","3,909","3,958"
	CurrentAssets,"631,093,000","582,827,000","579,079,000","549,798,000","565,040,000","410,407,000","497,682,000","505,562,000","406,630,000","429,064,000","439,718,000","457,015,000","475,513,000","495,678,000","502,989,000","278,917,000","286,803,000","325,807,000","325,339,000","319,658,000","322,398,000","332,352,000","342,590,000","300,157,000","297,739,000","301,932,000","299,954,000","244,737,000","233,543,094","37,333,662","45,444,559","53,396,976","6,442,296","7,501,244","16,847,848","404,409","2,637,920","3,900","3,900","3,900","3,909","3,891",,"3,958"
		CashCashEquivalentsAndShortTermInvestments,"603,390,000","552,882,000","551,184,000","522,790,000","520,871,000","361,589,000","456,267,000","457,376,000","356,460,000","398,524,000","407,023,000","425,900,000","447,646,000","471,541,000","478,813,000","255,686,000","264,056,000","300,630,000","303,873,000","295,981,000","248,161,000","255,873,000","274,303,000","221,514,000","222,345,000","229,604,000","235,277,000","133,608,000","126,334,839","27,760,380","37,792,221","43,444,200","5,040,802","6,130,301","16,367,201","286,514","2,503,463","3,900","3,900","3,900","3,909","3,891","3,909","3,958"
			CashAndCashEquivalents,"256,572,000","165,753,000","150,327,000","83,288,000","148,232,000","84,772,000","200,481,000","237,170,000","67,019,000","62,436,000","65,188,000","75,657,000","69,838,000","102,873,000","154,820,000","89,305,000","61,117,000","99,394,000","98,991,000","89,265,000","41,871,000","41,002,000","23,895,000","21,155,000","23,262,000","37,805,000","140,596,000","127,746,000","120,174,877","18,204,282","25,861,729","39,880,286","3,695,463","5,997,307","13,409,825","286,514","2,503,463","3,900","3,900","3,900","3,909","3,891","3,909","3,958"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,,,,,,"37,805,000","140,596,000","127,746,000",,,"25,861,729","39,880,286","3,695,463","5,997,307","13,409,825","286,514","2,503,463","3,900","3,900","3,900","3,909","3,891","3,909","3,958"
			OtherShortTermInvestments,"346,818,000","387,129,000","400,857,000","439,502,000","372,639,000","276,817,000","255,786,000","220,206,000","289,441,000","336,088,000","341,835,000","350,243,000","377,808,000","368,668,000","323,993,000","166,381,000","202,939,000","201,236,000","204,882,000","206,716,000","206,290,000","214,871,000","250,408,000","200,359,000","199,083,000","191,799,000","94,681,000","5,862,000","6,159,962","9,556,098","11,930,492","3,563,914","1,345,339","132,994","2,957,376",,,,,,,,,
		Receivables,"14,675,000","16,161,000","13,775,000","12,260,000","30,239,000","33,067,000","28,640,000","34,186,000","38,268,000","18,048,000","16,781,000","15,451,000","12,713,000","14,490,000","13,450,000","12,324,000","12,981,000","13,872,000","14,543,000","13,321,000","62,600,000","65,359,000","61,481,000","64,066,000","60,573,000","59,307,000","60,025,000","11,467,000","8,162,535","7,959,411","4,676,688","7,564,658","28,800",,,,,,,,,,,
			AccountsReceivable,"14,675,000","15,914,000","13,370,000","11,860,000","13,066,000","15,925,000","15,025,000","14,077,000","18,085,000","18,048,000","16,781,000","15,451,000","12,713,000","14,490,000","13,450,000","12,324,000","12,981,000","13,872,000","14,543,000","13,321,000","15,427,000","18,510,000","14,955,000","16,566,000","13,400,000","12,458,000","13,499,000","11,467,000","8,162,535","7,959,411","4,676,688","1,600,769","28,800",,,,,,,,,,,
				GrossAccountsReceivable,,,"26,770,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,,"-13,400,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
