name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989,12/31/1988,12/31/1987,12/31/1986,12/31/1985
		OtherNonCurrentAssets,"350,454,000","360,908,000","338,915,000","330,148,000","322,491,000","319,332,000","260,728,000","240,774,000","243,804,000","239,587,000","239,680,000","222,729,000","223,865,000","182,060,000","184,777,000","184,325,000","179,221,000","169,400,000","156,462,000","153,861,000","153,200,000","153,702,000","154,307,000","155,081,000","152,731,000","190,541,000","186,474,000","193,020,000","194,970,000","193,723,000","192,094,000","192,218,000","191,565,000","164,701,000","165,130,000","163,781,000","165,613,000","171,071,000","144,540,000","160,544,000","210,457,000","180,860,000","181,817,000","185,607,000","202,548,000","201,502,000","197,706,000","195,600,000","186,290,000","192,817,000","194,052,000","194,071,000","187,992,000","334,016,000","401,747,000","409,333,000","408,502,000","416,354,000","415,344,000","407,707,000","393,302,000","385,471,000","370,337,000","477,996,000","579,677,000","555,901,000","555,873,000","535,765,000","528,467,000","503,991,000","608,578,000","573,001,000","547,149,000","539,745,000","520,734,000","514,025,000","504,297,000","480,339,000","465,115,000","476,221,000","379,749,000","301,692,000","307,200,000","307,630,000","303,700,000","308,655,000","340,397,000","362,079,000","364,565,000","357,500,000","350,100,000","352,000,000","326,100,000","289,300,000","281,900,000","283,200,000","290,900,000","278,600,000","276,200,000","270,400,000","277,800,000","265,400,000","245,100,000","244,100,000","247,400,000","243,200,000","211,200,000","195,800,000","189,900,000","187,500,000","189,000,000","186,500,000","187,600,000","189,000,000","190,200,000","193,900,000","197,000,000","203,200,000","213,100,000","216,900,000","224,800,000","231,900,000","246,800,000","245,400,000","227,400,000","228,800,000","240,800,000","239,900,000","241,300,000","241,200,000","265,300,000","228,500,000","222,400,000","182,000,000","191,700,000","131,600,000"
TotalLiabilitiesNetMinorityInterest,"1,034,190,000","1,023,383,000","999,880,000","929,220,000","927,300,000","979,578,000","882,287,000","827,326,000","829,896,000","915,275,000","1,157,195,000","1,121,165,000","1,134,749,000","1,154,482,000","1,134,717,000","1,119,431,000","1,139,017,000","1,202,417,000","1,320,284,000","1,311,142,000","1,313,263,000","1,341,151,000","1,563,709,000","1,530,090,000","1,518,907,000","1,589,235,000","1,521,394,000","1,522,345,000","1,530,454,000","1,838,125,000","1,589,203,000","1,606,956,000","1,659,275,000","1,726,018,000","1,942,189,000","1,942,882,000","2,004,643,000","2,170,524,000","2,250,431,000","2,249,965,000","2,261,849,000","2,373,941,000","2,242,279,000","2,483,523,000","2,481,801,000","2,621,665,000","2,354,312,000","2,335,365,000","2,402,305,000","2,481,314,000","2,636,874,000","2,706,785,000","3,048,258,000","2,894,651,000","2,417,298,000","2,443,769,000","2,426,581,000","2,488,985,000","2,550,310,000","2,549,479,000","2,995,409,000","3,030,119,000","2,901,220,000","2,838,899,000","2,788,934,000","2,827,813,000","2,707,370,000","2,705,272,000","2,682,523,000","2,414,695,000","2,401,006,000","2,295,199,000","2,255,845,000","2,321,086,000","2,442,082,000","2,451,588,000","2,437,687,000","2,364,535,000","2,246,973,000","2,272,147,000","2,273,150,000","2,289,031,000","2,213,034,000","2,124,039,000","2,270,008,000","2,325,516,000","2,398,485,000","2,365,269,000","2,353,013,000","2,047,100,000","2,086,900,000","2,052,800,000","2,040,100,000","1,933,600,000","1,902,500,000","1,790,000,000","1,897,700,000","1,910,900,000","1,887,300,000","1,912,600,000","1,907,200,000","1,914,700,000","1,950,800,000","1,778,800,000","1,745,700,000","1,764,600,000","1,758,600,000","1,765,500,000","1,745,800,000","1,592,300,000","1,628,800,000","1,523,900,000","1,598,900,000","1,614,500,000","1,230,700,000","992,400,000","982,400,000","993,600,000","987,100,000","1,060,500,000","1,059,900,000","1,052,800,000","1,039,600,000","1,070,700,000","1,094,200,000","1,092,000,000","1,130,500,000","1,111,400,000","1,116,900,000","1,120,400,000","1,087,800,000","1,093,200,000","1,041,800,000","888,500,000","700,400,000","709,900,000"
	CurrentLiabilities,"593,013,000","559,152,000","526,594,000","446,517,000","440,706,000","486,748,000","425,928,000","371,112,000","371,044,000","437,695,000","659,782,000","631,644,000","636,311,000","673,304,000","402,962,000","361,864,000","370,429,000","415,657,000","418,672,000","398,456,000","387,845,000","398,737,000","572,808,000","526,217,000","513,138,000","563,585,000","323,788,000","310,357,000","307,438,000","600,508,000","588,515,000","551,622,000","552,215,000","348,511,000","365,015,000","353,101,000","337,991,000","422,577,000","463,100,000","443,726,000","447,927,000","513,308,000","440,322,000","663,179,000","426,209,000","504,377,000","456,450,000","444,463,000","435,059,000","500,500,000","562,046,000","687,213,000","1,030,353,000","1,033,236,000","949,106,000","958,617,000","943,365,000","975,736,000","878,742,000","848,202,000","1,175,429,000","1,297,994,000","1,310,958,000","1,202,006,000","1,024,787,000","1,066,522,000","968,769,000","958,374,000","939,476,000","1,119,749,000","1,056,639,000","968,983,000","935,938,000","760,364,000","801,110,000","757,682,000","766,578,000","735,736,000","770,663,000","726,563,000","837,884,000","860,876,000","776,604,000","697,893,000","863,785,000","877,370,000","981,681,000","938,721,000","935,798,000","673,500,000","851,200,000","696,200,000","710,500,000","627,800,000","665,000,000","599,200,000","753,800,000","697,500,000","623,900,000","655,200,000","641,500,000","653,700,000","568,900,000","527,100,000","493,700,000","516,900,000","490,900,000","514,900,000","496,600,000","451,200,000","597,800,000","515,200,000","536,300,000","553,700,000","452,300,000","408,200,000","399,800,000","399,100,000","406,000,000","460,200,000","438,000,000","437,600,000","479,700,000","421,800,000","433,700,000","408,400,000","499,600,000","447,900,000","452,100,000","435,100,000","363,600,000","513,100,000","469,500,000","310,600,000","322,100,000","280,100,000"
		PayablesAndAccruedExpenses,"438,653,000","439,856,000","410,928,000","331,777,000","325,861,000","381,402,000","325,779,000","271,438,000","271,928,000","349,276,000","326,826,000","289,585,000","289,042,000","335,630,000","321,093,000","279,454,000","285,068,000","340,603,000","341,786,000","319,317,000","305,300,000","332,051,000","320,170,000","274,621,000","260,508,000","315,024,000","263,566,000","250,246,000","245,719,000","318,110,000","285,543,000","248,550,000","247,621,000","290,504,000","276,046,000","285,821,000","268,877,000","355,563,000","223,901,000","221,035,000","224,185,000","252,014,000","260,782,000","260,778,000","349,945,000","431,481,000","381,800,000","368,805,000","354,730,000","422,955,000","334,726,000","364,826,000","434,761,000","473,744,000","419,423,000","453,708,000","439,494,000","538,346,000","501,177,000","526,854,000","491,951,000","563,798,000","481,487,000","488,460,000","430,254,000","486,572,000","457,472,000","463,772,000","488,667,000","454,803,000","463,744,000","493,624,000","459,616,000","454,506,000","394,279,000","441,712,000","412,951,000","439,762,000","557,026,000","448,044,000","384,973,000","638,336,000","585,915,000","590,179,000","383,025,000","178,302,000","193,031,000","194,973,000","200,355,000","191,700,000","177,800,000","153,400,000","169,500,000","163,800,000","174,700,000","172,900,000","168,100,000","189,600,000","186,100,000","175,300,000","199,900,000","171,900,000","156,300,000","147,000,000","130,700,000","156,700,000","144,900,000","115,200,000","101,400,000","121,500,000","139,100,000","127,300,000","123,400,000","115,400,000","141,400,000","155,600,000","129,400,000","139,100,000","138,500,000","132,700,000","121,100,000","133,400,000","132,800,000","116,800,000","115,200,000","125,200,000","111,300,000","94,700,000","93,200,000","106,600,000","106,000,000","86,000,000",,,,
			Payables,"146,152,000","127,073,000","118,871,000","94,480,000","102,699,000","123,157,000","97,749,000","70,692,000","99,162,000","116,571,000","106,867,000","101,259,000","106,237,000","111,553,000","113,848,000","105,389,000","114,220,000","125,479,000","116,724,000","94,332,000","101,924,000","104,463,000","92,467,000","75,251,000","85,887,000","117,988,000","83,457,000","81,957,000","86,361,000","101,615,000","87,295,000","83,818,000","91,689,000","91,120,000","84,111,000","93,299,000","88,513,000","135,894,000","94,315,000","90,616,000","93,126,000","103,894,000","102,298,000","97,519,000","109,796,000","113,968,000","111,150,000","98,511,000","112,355,000","119,228,000","107,895,000","119,093,000","158,310,000","174,858,000","160,718,000","197,736,000","186,533,000","202,923,000","187,982,000","213,765,000","217,576,000","242,528,000","224,378,000","229,767,000","191,584,000","201,119,000","212,578,000","207,153,000","180,626,000","190,134,000","190,817,000","186,302,000","172,394,000","176,570,000","172,114,000","186,414,000","171,050,000","177,712,000","184,157,000","187,795,000","156,895,000","170,950,000","155,734,000","153,956,000","154,940,000","178,302,000","193,031,000","194,973,000","200,355,000","191,700,000","177,800,000","153,400,000","169,500,000","163,800,000","174,700,000","172,900,000","168,100,000","189,600,000","186,100,000","175,300,000","199,900,000","171,900,000","156,300,000","147,000,000","130,700,000","156,700,000","144,900,000","115,200,000","101,400,000","121,500,000","139,100,000","127,300,000","123,400,000","115,400,000","141,400,000","155,600,000","129,400,000","139,100,000","138,500,000","132,700,000","121,100,000","133,400,000","132,800,000","116,800,000","115,200,000","125,200,000","111,300,000","94,700,000","93,200,000","106,600,000","106,000,000","86,000,000",,,,
				AccountsPayable,"146,152,000","127,073,000","118,871,000","94,480,000","102,699,000","123,157,000","97,749,000","70,692,000","99,162,000","116,571,000","106,867,000","101,259,000","106,237,000","111,553,000","113,848,000","105,389,000","114,220,000","125,479,000","116,724,000","94,332,000","101,924,000","104,463,000","92,467,000","75,251,000","85,887,000","96,082,000","83,457,000","81,957,000","86,361,000","94,401,000","87,295,000","83,818,000","91,689,000","90,982,000","83,980,000","79,944,000","88,513,000","96,962,000","94,315,000","90,616,000","93,126,000","103,894,000","102,298,000","97,519,000","109,796,000","113,968,000","111,150,000","98,511,000","112,355,000","119,228,000","107,895,000","119,093,000","158,310,000","174,858,000","160,718,000","197,736,000","186,533,000","202,923,000","187,982,000","213,765,000","217,576,000","242,528,000","224,378,000","229,767,000","191,584,000","201,119,000","212,578,000","207,153,000","180,626,000","190,134,000","190,817,000","186,302,000","172,394,000","176,570,000","172,114,000","186,414,000","171,050,000","177,712,000","184,157,000","187,795,000","156,895,000","170,950,000","155,734,000","153,956,000","154,940,000","178,302,000","193,031,000","194,973,000","200,355,000","191,700,000","177,800,000","153,400,000","169,500,000","163,800,000","174,700,000","172,900,000","168,100,000","189,600,000","186,100,000","175,300,000","199,900,000","171,900,000","156,300,000","147,000,000","130,700,000","156,700,000","144,900,000","115,200,000","101,400,000","121,500,000","139,100,000","127,300,000","123,400,000","115,400,000","141,400,000","155,600,000","129,400,000","139,100,000","138,500,000","132,700,000","121,100,000","133,400,000","132,800,000","116,800,000","115,200,000","125,200,000","111,300,000","94,700,000","93,200,000","106,600,000","106,000,000","86,000,000",,,,
				TotalTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,"21,906,000",,,,"7,214,000",,,,"138,000","131,000","13,355,000","0","38,932,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					IncomeTaxPayable,,,,,,,,,,,,,,,,,,,,,,,,,,"21,906,000",,,,"7,214,000",,,,"138,000","131,000","13,355,000","0","38,932,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			CurrentAccruedExpenses,"292,501,000","312,783,000","292,057,000","237,297,000","223,162,000","258,245,000","228,030,000","200,746,000","172,766,000","232,705,000","219,959,000","188,326,000","182,805,000","224,077,000","207,245,000","174,065,000","170,848,000","215,124,000","225,062,000","224,985,000","203,376,000","227,588,000","227,703,000","199,370,000","174,621,000","197,036,000","180,109,000","168,289,000","159,358,000","216,495,000","198,248,000","164,732,000","155,932,000","199,384,000","191,935,000","192,522,000","180,364,000","219,669,000","129,586,000","130,419,000","131,059,000","148,120,000","158,484,000","163,259,000","240,149,000","317,513,000","270,650,000","270,294,000","242,375,000","303,727,000","226,831,000","245,733,000","276,451,000","298,886,000","258,705,000","255,972,000","252,961,000","335,423,000","313,195,000","313,089,000","274,375,000","321,270,000","257,109,000","258,693,000","238,670,000","285,453,000","244,894,000","256,619,000","308,041,000","264,669,000","272,927,000","307,322,000","287,222,000","277,936,000","222,165,000","255,298,000","241,901,000","262,050,000","372,869,000","260,249,000","228,078,000","467,386,000","430,181,000","436,223,000","228,085,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PensionandOtherPostRetirementBenefitPlansCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"97,401,000","81,920,000","80,945,000","112,024,000","104,494,000","97,135,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
