name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019
TotalRevenue,"497,297,000","152,522,000","240,504,000","104,271,000","0","0","0","0","0","0","0","0","0","0"
	OperatingRevenue,"497,297,000","152,522,000","240,504,000","104,271,000","0","0","0","0","0","0","0","0","0","0"
OperatingExpense,"106,885,000","30,966,000","26,027,000","23,374,000","26,519,000","13,774,000","14,620,000","10,953,000","7,264,000","6,470,000","6,289,000","6,660,000","5,162,000","5,158,000"
	SellingGeneralAndAdministration,"44,074,000","10,615,000","9,598,000","8,761,000","15,101,000","7,046,000","5,729,000","4,799,000","2,394,000","2,418,000","2,276,000","2,699,000","2,093,000","1,769,000"
		GeneralAndAdministrativeExpense,"44,074,000","10,615,000","9,598,000","8,761,000","15,101,000","7,046,000","5,729,000","4,799,000","2,394,000","2,418,000","2,276,000","2,699,000","2,093,000","1,769,000"
			OtherGandA,"44,074,000","10,615,000","9,598,000","8,761,000","15,101,000","7,046,000","5,729,000","4,799,000","2,394,000","2,418,000","2,276,000","2,699,000","2,093,000","1,769,000"
	ResearchAndDevelopment,"68,822,000","21,096,000","17,386,000","16,102,000","14,238,000","11,643,000","9,212,000","8,726,000","6,137,000","5,825,000","5,960,000","4,998,000","3,902,000","4,351,000"
	OtherTaxes,"-254,000","-254,000","288,000","-169,000","-119,000","0","357,000","-273,000","-186,000","-184,000","-251,000","-186,000","-155,000","-198,000"
	OtherOperatingExpenses,"-5,757,000","-491,000","-1,245,000","-1,320,000","-2,701,000","-4,915,000","-678,000","-2,299,000","-1,081,000","-1,589,000","-1,696,000","-851,000","-678,000","-764,000"
OperatingIncome,"390,412,000","121,556,000","214,477,000","80,897,000","-26,519,000","-13,774,000","-14,620,000","-10,953,000","-7,264,000","-6,470,000","-6,289,000","-6,660,000","-5,162,000","-5,158,000"
OtherIncomeExpense,"-881,000","-2,023,000","9,567,000","-8,484,000","60,000","240,000","-283,000","265,000","12,000","1,223,000","945,000","-232,000","-535,000","756,000"
	GainOnSaleOfSecurity,,,,,,,,,,"1,265,000","953,000","-230,000","-488,000","784,000"
	OtherNonOperatingIncomeExpenses,"-881,000","-2,023,000","9,567,000","-8,484,000","60,000","240,000","-283,000","265,000","12,000","1,223,000","945,000","-232,000","-535,000","756,000"
