name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008
TotalAssets,"66,394,000,000","68,149,000,000","68,805,000,000","75,055,000,000","85,545,000,000","81,817,000,000","79,968,000,000","89,853,000,000","85,137,000,000","113,082,000,000","109,761,000,000","106,576,000,000","118,807,000,000","109,241,000,000","92,031,000,000","73,138,000,000","69,221,000,000","70,376,000,000","65,490,000,000","56,711,000,000","56,838,000,000","56,880,000,000","55,889,000,000","60,475,000,000","62,396,000,000","57,021,000,000","60,609,000,000","62,885,000,000","73,105,000,000","67,766,000,000","62,348,000,000","66,854,000,000","67,318,000,000","76,255,000,000","97,271,000,000","98,663,000,000","93,369,000,000","100,453,000,000","102,177,000,000","84,782,000,000","88,417,000,000","57,972,297,000","47,039,429,000","43,636,570,000","29,154,963,000","14,475,829,000","10,358,806,000","7,755,487,000","5,769,989,000","4,625,684,000","3,680,106,000","2,803,772,000","2,385,295,000","1,656,325,000","1,725,459,000","2,439,767,000"
TotalLiabilitiesNetMinorityInterest,"57,464,000,000","57,858,000,000","58,126,000,000","64,387,000,000","74,181,000,000","70,738,000,000","69,248,000,000","79,503,000,000","75,339,000,000","102,041,000,000","99,548,000,000","96,230,000,000","108,306,000,000","99,335,000,000","82,404,000,000","64,096,000,000","60,883,000,000","61,622,000,000","56,699,000,000","48,966,000,000","49,546,000,000","49,524,000,000","47,958,000,000","52,773,000,000","54,736,000,000","49,050,000,000","52,293,000,000","54,167,000,000","63,749,000,000","58,338,000,000","52,991,000,000","57,243,000,000","58,504,000,000","67,558,000,000","87,386,000,000","88,383,000,000","81,727,000,000","89,557,000,000","90,904,000,000","75,646,000,000","79,699,000,000","51,760,494,000","42,099,173,000","38,859,924,000","25,810,462,000","12,903,765,000","9,445,761,000","6,963,057,000","5,156,870,000","4,078,862,000","3,250,579,000","2,492,329,000","2,096,334,000","1,398,174,000","1,457,597,000","2,177,885,000"
TotalEquityGrossMinorityInterest,"8,930,000,000","10,291,000,000","10,679,000,000","10,668,000,000","11,364,000,000","11,079,000,000","10,720,000,000","10,350,000,000","9,798,000,000","11,041,000,000","10,213,000,000","10,346,000,000","10,501,000,000","9,906,000,000","9,627,000,000","9,042,000,000","8,338,000,000","8,754,000,000","8,791,000,000","7,745,000,000","7,292,000,000","7,356,000,000","7,931,000,000","7,702,000,000","7,660,000,000","7,971,000,000","8,316,000,000","8,718,000,000","9,356,000,000","9,428,000,000","9,357,000,000","9,611,000,000","8,814,000,000","8,697,000,000","9,885,000,000","10,280,000,000","11,642,000,000","10,896,000,000","11,273,000,000","9,136,000,000","8,718,000,000","6,211,803,000","4,940,256,000","4,776,646,000","3,344,501,000","1,572,064,000","913,045,000","792,430,000","613,119,000","546,822,000","429,527,000","311,443,000","288,961,000","258,151,000","267,862,000","261,882,000"
	StockholdersEquity,"8,930,000,000","10,291,000,000","10,679,000,000","10,668,000,000","11,364,000,000","11,079,000,000","10,720,000,000","10,350,000,000","9,798,000,000","11,041,000,000","10,213,000,000","10,346,000,000","10,501,000,000","9,906,000,000","9,627,000,000","9,042,000,000","8,338,000,000","8,754,000,000","8,791,000,000","7,745,000,000","7,292,000,000","7,356,000,000","7,931,000,000","7,702,000,000","7,660,000,000","7,971,000,000","8,316,000,000","8,718,000,000","9,356,000,000","9,428,000,000","9,357,000,000","9,611,000,000","8,814,000,000","8,697,000,000","9,885,000,000","10,280,000,000","11,642,000,000","10,896,000,000","11,273,000,000","9,136,000,000","8,718,000,000","6,211,803,000","4,940,256,000","4,776,646,000","3,344,501,000","1,572,064,000","913,045,000","792,430,000","613,119,000","546,822,000","429,527,000","311,443,000","288,961,000","258,151,000","267,862,000","261,882,000"
		CapitalStock,"1,494,000,000","1,494,000,000","1,494,000,000","1,494,000,000","1,494,000,000","1,494,000,000","1,494,000,000","1,495,000,000","1,495,000,000","937,000,000","716,000,000","716,000,000","716,000,000","489,000,000","489,000,000","488,000,000","488,000,000","488,000,000","488,000,000","340,000,000","339,000,000","339,000,000","339,000,000","339,000,000","339,000,000","339,000,000","339,000,000","340,000,000","340,000,000","340,000,000","340,000,000","340,000,000","171,000,000","171,000,000","171,000,000","171,000,000","171,000,000","170,000,000","170,000,000","170,000,000","3,000,000","2,241,000","1,836,000","1,785,000","1,288,000","649,000","390,000","337,000","268,000","243,000","193,000","150,000","150,000","150,000","150,000","150,000"
			PreferredStock,"1,489,000,000","1,489,000,000","1,489,000,000","1,489,000,000","1,489,000,000","1,489,000,000","1,489,000,000","1,489,000,000","1,489,000,000","932,000,000","711,000,000","711,000,000","711,000,000","484,000,000","484,000,000","484,000,000","484,000,000","484,000,000","484,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","336,000,000","167,000,000","167,000,000","167,000,000","167,000,000","167,000,000","167,000,000","167,000,000","167,000,000","0","0","0","0","0","0","0","0","0","0","0","0","0",,,
			CommonStock,"5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","6,000,000","6,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","5,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","3,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","4,000,000","3,000,000","3,000,000","3,000,000","3,000,000","2,241,000","1,836,000","1,785,000","1,288,000","649,000","390,000","337,000","268,000","243,000","193,000","150,000","150,000","150,000","150,000","150,000"
		AdditionalPaidInCapital,"13,704,000,000","13,710,000,000","13,747,000,000","13,741,000,000","13,736,000,000","13,972,000,000","14,053,000,000","14,191,000,000","14,334,000,000","13,893,000,000","13,888,000,000","13,988,000,000","13,795,000,000","13,793,000,000","12,785,000,000","11,964,000,000","11,174,000,000","11,173,000,000","11,172,000,000","10,435,000,000","9,932,000,000","9,932,000,000","9,932,000,000","9,932,000,000","9,932,000,000","10,048,000,000","10,209,000,000","10,253,000,000","10,332,000,000","10,332,000,000","10,332,000,000","10,332,000,000","10,332,000,000","10,406,000,000","10,992,000,000","11,255,000,000","11,261,000,000","9,460,000,000","9,536,000,000","8,296,000,000","8,141,000,000","5,937,190,000","4,829,065,000","4,682,070,000","3,314,119,000","1,561,908,000","880,571,000","738,525,000","569,595,000","507,465,000","380,944,000","285,932,000","285,924,000","285,917,000","285,910,000","285,903,000"
		RetainedEarnings,"-6,078,000,000","-5,214,000,000","-4,973,000,000","-4,972,000,000","-4,348,000,000","-5,106,000,000","-5,661,000,000","-6,100,000,000","-6,592,000,000","-3,886,000,000","-4,473,000,000","-4,194,000,000","-3,467,000,000","-3,433,000,000","-2,343,000,000","-2,299,000,000","-2,358,000,000","-2,562,000,000","-2,729,000,000","-2,800,000,000","-2,628,000,000","-2,518,000,000","-3,350,000,000","-3,669,000,000","-3,329,000,000","-2,350,000,000","-2,727,000,000","-1,879,000,000","-2,166,000,000","-1,674,000,000","-1,112,000,000","-1,073,000,000","-870,000,000","-497,000,000","-160,000,000","852,000,000","-557,000,000","-289,000,000","-672,000,000","-328,000,000","317,000,000","-37,922,000","67,174,000","73,841,000","76,379,000","78,116,000","30,835,000","25,359,000","35,625,000","19,940,000","13,293,000","9,106,000","1,247,000","-2,310,000","4,744,000","848,000"
		GainsLossesNotAffectingRetainedEarnings,"-190,000,000","301,000,000","411,000,000","405,000,000","482,000,000","719,000,000","834,000,000","764,000,000","561,000,000","97,000,000","82,000,000","-164,000,000","-543,000,000","-943,000,000","-1,304,000,000","-1,111,000,000","-966,000,000","-345,000,000","-140,000,000","-230,000,000","-351,000,000","-397,000,000","1,010,000,000","1,100,000,000","718,000,000","-66,000,000","495,000,000","4,000,000","850,000,000","430,000,000","-203,000,000","12,000,000","-819,000,000","-1,383,000,000","-1,118,000,000","-1,998,000,000","767,000,000","1,555,000,000","2,239,000,000","998,000,000","257,000,000","310,294,000","42,181,000","18,950,000","-47,285,000","-68,609,000","1,249,000","28,209,000","7,631,000","19,174,000","35,097,000","16,255,000","1,640,000","-25,606,000","-22,942,000","-25,019,000"
