name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993
TotalAssets,"2,134,232,000","2,157,384,000","2,149,161,000","2,131,082,000","2,259,421,000","2,189,531,000","2,185,475,000","2,563,792,000","2,791,769,000","2,285,211,000","2,324,357,000","2,343,768,000","2,353,824,000","2,384,902,000","2,421,617,000","2,488,597,000","2,505,858,000","2,540,105,000","2,541,446,000","2,529,493,000","2,539,770,000","2,526,214,000","2,560,919,000","2,379,352,000","2,190,606,000","2,326,707,000","2,230,799,000","2,188,740,000","2,128,957,000","2,097,660,000","2,140,117,000","2,068,616,000","2,029,893,000","2,006,456,000","2,001,963,000","1,692,156,000","1,661,673,000","1,672,425,000","1,638,957,000","1,642,375,000","1,634,958,000","1,621,815,000","1,593,690,000","1,367,589,000","1,218,244,000","1,216,934,000","1,197,559,000","1,179,140,000","1,168,905,000","1,178,861,000","1,176,595,000","1,190,625,000","1,209,363,000","1,121,855,000","1,124,731,000","1,099,721,000","1,073,044,000","1,060,280,000","1,053,447,000","1,042,053,000","1,028,838,000","1,040,877,000","1,043,433,000","1,022,213,000","1,015,230,000","1,000,605,000","940,994,000","918,226,000","924,712,000","936,378,000","962,494,000","971,980,000","979,887,000","987,437,000","465,388,000","468,972,000","475,325,000","477,675,000","480,090,000","465,454,000","469,069,000","476,272,000","484,288,000","484,977,000","484,702,000","487,408,000","488,196,000","480,108,000","485,517,000","490,069,000","467,800,000","470,300,000","466,900,000","471,795,000","464,000,000","432,400,000","432,600,000","416,014,000","405,000,000","370,400,000","355,900,000","332,138,000","325,600,000","318,000,000","313,600,000","315,100,000","306,200,000","300,800,000","296,800,000","294,800,000","244,700,000","207,500,000","184,100,000","182,400,000","125,500,000","109,900,000"
	CurrentAssets,"265,461,000","265,840,000","243,250,000","196,333,000","300,981,000","190,114,000","145,090,000","487,672,000","701,128,000","120,290,000","102,031,000","103,292,000","95,840,000","107,185,000","108,314,000","103,243,000","102,096,000","102,105,000","103,848,000","100,223,000","100,046,000","95,207,000","117,099,000","111,453,000","99,931,000","221,777,000","157,428,000","138,204,000","133,115,000","135,234,000","93,539,000","91,145,000","97,974,000","96,655,000","82,425,000","74,655,000","66,044,000","71,177,000","9,511,000","11,855,000","10,787,000","7,894,000","3,694,000","18,438,000","731,000","6,481,000","2,835,000","3,453,000","3,197,000","3,267,000","4,401,000","5,150,000","3,101,000","4,977,000","3,753,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"6,300,000"
		CashCashEquivalentsAndShortTermInvestments,"152,847,000","161,255,000","143,116,000","107,612,000","201,721,000","84,832,000","19,793,000","338,606,000","600,454,000","16,672,000","4,664,000","7,379,000","1,616,000","9,083,000","4,404,000","4,261,000","3,427,000","6,101,000","8,773,000","8,362,000","7,225,000","12,222,000","25,902,000","27,107,000","18,877,000","21,558,000","20,661,000","16,949,000","14,661,000","16,875,000","10,824,000","13,240,000","16,906,000","15,241,000","10,482,000","5,450,000","2,691,000","10,335,000","9,511,000","11,855,000","10,787,000","7,894,000","3,694,000","18,438,000","731,000","5,758,000","2,835,000","3,453,000","3,197,000","3,267,000","4,401,000","5,150,000","3,101,000","4,977,000","3,753,000","1,088,000","11,495,000","13,107,000","14,342,000","15,547,000","3,273,000","8,453,000","20,197,000","1,785,000","2,153,000","2,930,000","26,219,000","3,543,000","6,531,000","4,103,000","27,135,000","8,694,000","10,781,000","9,836,000","209,000","203,000","209,000","1,072,000","209,000","204,000","210,000","515,000","198,000","216,000","214,000","634,000","202,000","185,000","200,000","503,000",,,,"6,330,000",,,,"3,607,000",,,,"2,585,000",,,,,,,,,,,,,,"6,300,000"
			CashAndCashEquivalents,"152,847,000","161,255,000","143,116,000","107,612,000","201,721,000","84,832,000","19,793,000","338,606,000","600,454,000","16,672,000","4,664,000","7,379,000","1,616,000","9,083,000","4,404,000","4,261,000","3,427,000","6,101,000","8,773,000","8,362,000","7,225,000","12,222,000","25,902,000","27,107,000","18,877,000","21,558,000","20,661,000","16,949,000","14,661,000","16,875,000","10,824,000","13,240,000","16,906,000","15,241,000","10,482,000","5,450,000","2,691,000","10,335,000","9,511,000","11,855,000","10,787,000","7,894,000","3,694,000","18,438,000","731,000","5,758,000","2,835,000","3,453,000","3,197,000","3,267,000","4,401,000","5,150,000","3,101,000","4,977,000","3,753,000","1,088,000","2,302,000","2,412,000","2,434,000","1,223,000","3,273,000","8,453,000","20,197,000","1,785,000","2,153,000","2,930,000","6,219,000","3,543,000","6,531,000","4,103,000","27,135,000","8,694,000","10,781,000","9,836,000","209,000","203,000","209,000","1,072,000","209,000","204,000","210,000","515,000","198,000","216,000","214,000","634,000","202,000","185,000","200,000","503,000",,,,"6,330,000",,,,"3,607,000",,,,"2,585,000",,,,,,,,,,,,,,"6,300,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,151,000",,,,,,,,"9,193,000","10,695,000","11,908,000","14,324,000",,,,,,,"20,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"854,806,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccountsReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"854,806,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","19,286,000","46,862,000","46,530,000","46,005,000",,,,,,,,,,,,,,,,"723,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,"0",,,,"0","19,286,000","46,862,000","46,530,000","46,005,000",,,,,,,,,,,,,,,,"723,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"112,614,000","104,585,000","100,134,000","88,721,000","99,260,000","105,282,000","125,297,000","149,066,000","100,674,000","103,618,000","97,367,000","95,913,000","94,224,000","98,102,000","103,910,000","98,982,000","98,669,000","96,004,000","95,075,000","91,861,000","92,821,000","82,985,000","88,261,000","84,346,000","81,054,000","78,913,000","74,577,000","74,393,000","71,924,000","72,354,000","82,715,000","77,905,000","81,068,000","81,414,000","71,943,000","69,205,000","63,353,000","60,842,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
