name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012
TotalRevenue,"25,883,000","4,790,000","821,000","20,272,000","0","1,935,000","112,089,000","9,266,000","5,634,000","8,093,000","4,511,000","5,785,000","5,208,000","4,382,000","5,533,000","5,062,000","2,874,000","0","0","0","0","911,000","0","0","79,000","7,000","0","2,440,000","874,000","489,000","914,000","1,125,000","960,000","178,000","973,000","1,018,000","9,973,000","0","0"
	OperatingRevenue,"25,883,000","4,790,000","821,000","20,272,000","0","1,935,000","112,089,000","9,266,000","5,634,000","8,093,000","4,511,000","5,785,000","5,208,000","4,382,000","5,533,000","5,062,000","2,874,000","0","0","0","0","911,000","0","0","79,000","7,000","0","2,440,000","874,000","489,000","914,000","1,125,000","960,000","178,000","973,000","1,018,000","9,973,000","0","0"
CostOfRevenue,,"2,081,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,
GrossProfit,,"2,709,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"973,000",,,,
OperatingExpense,"117,235,000","30,620,000","34,343,000","21,396,000","30,876,000","25,496,000","33,799,000","26,286,000","31,518,000","38,094,000","34,481,000","40,218,000","29,350,000","27,516,000","27,510,000","25,530,000","20,687,000","17,124,000","14,571,000","12,956,000","9,633,000","23,236,000","22,315,000","11,773,000","13,405,000","10,993,000","9,729,000","7,449,000","6,606,000","5,207,000","5,250,000","7,728,000","4,672,000","3,599,000","3,037,000","4,559,000","3,054,000","1,510,000","1,769,000"
	SellingGeneralAndAdministration,"32,266,000","9,315,000","11,480,000","5,851,000","5,620,000","6,334,000","6,628,000","5,195,000","5,389,000","4,537,000","4,596,000","4,204,000","4,972,000","3,886,000","4,689,000","3,206,000","3,665,000","3,677,000","2,976,000","3,785,000","2,653,000","2,381,000","2,019,000","2,081,000","2,405,000","2,100,000","2,037,000","1,776,000","1,833,000","1,733,000","1,430,000","1,520,000","1,472,000","1,398,000","1,059,000","795,000","1,033,000","588,000","746,000"
		GeneralAndAdministrativeExpense,"32,266,000","9,315,000","11,480,000","5,851,000","5,620,000","6,334,000","6,628,000","5,195,000","5,389,000","4,537,000","4,596,000","4,204,000","4,972,000","3,886,000","4,689,000","3,206,000","3,665,000","3,677,000","2,976,000","3,785,000","2,653,000","2,381,000","2,019,000","2,081,000","2,405,000","2,100,000","2,037,000","1,776,000","1,833,000","1,733,000","1,430,000","1,520,000","1,472,000","1,398,000","1,059,000","795,000","1,033,000","588,000","746,000"
			SalariesAndWages,"14,105,000","3,620,000","6,780,000","2,131,000","1,574,000","1,974,000","2,063,000","1,536,000","1,815,000","1,223,000","1,978,000","1,543,000","2,085,000","1,152,000","2,342,000","918,000","1,217,000","1,222,000","1,161,000","1,475,000","715,000","545,000","395,000","402,000","394,000","307,000","395,000","378,000","420,000","247,000",,,,,,,,,
			OtherGandA,"18,161,000","5,695,000","4,700,000","3,720,000","4,046,000","4,360,000","4,565,000","3,659,000","3,574,000","3,314,000","2,618,000","2,661,000","2,887,000","2,734,000","2,347,000","2,288,000","2,448,000","2,455,000","1,815,000","2,310,000","1,938,000","1,836,000","1,624,000","1,679,000","2,011,000","1,793,000","1,642,000","1,398,000","1,413,000","1,486,000","408,000","1,520,000","1,472,000","1,398,000","1,059,000","795,000","1,033,000","588,000","746,000"
	ResearchAndDevelopment,"84,843,000","21,273,000","22,831,000","15,514,000","25,225,000","19,131,000","27,140,000","21,067,000","26,108,000","33,536,000","29,864,000","35,992,000","24,356,000","23,608,000","22,799,000","22,303,000","17,002,000","13,427,000","11,576,000","9,151,000","6,961,000","20,836,000","20,277,000","9,671,000","10,760,000","8,546,000","7,568,000","5,584,000","4,684,000","3,385,000","3,459,000","6,208,000","3,200,000","2,201,000","1,978,000","3,764,000","2,021,000","922,000","1,023,000"
	DepreciationAmortizationDepletionIncomeStatement,"126,000","32,000","32,000","31,000","31,000","31,000","31,000","24,000","21,000","21,000","21,000","22,000","22,000","22,000","22,000","21,000","20,000","20,000","19,000","20,000","19,000","19,000","19,000","21,000","240,000","347,000","124,000","89,000","89,000","89,000",,,,,,,,,
		DepreciationAndAmortizationInIncomeStatement,"126,000","32,000","32,000","31,000","31,000","31,000","31,000","24,000","21,000","21,000","21,000","22,000","22,000","22,000","22,000","21,000","20,000","20,000","19,000","20,000","19,000","19,000","19,000","21,000","240,000","347,000","124,000","89,000","89,000","89,000",,,,,,,,,
