name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998
TotalAssets,"843,827,000","847,433,000","836,419,000","786,419,000","750,365,000","721,517,000","683,751,000","655,099,000","606,526,000","599,146,000","598,807,000","561,799,000","530,156,000","482,493,000","461,353,000","458,790,000","457,336,000","447,096,000","501,197,000","506,475,000","509,729,000","559,601,000","551,473,000","552,794,000","550,236,000","610,915,000","448,884,000","490,376,000","529,634,000","573,534,000","624,036,000","667,480,000","741,498,000","805,045,000","985,183,000","994,188,000","994,624,000","1,122,703,000","1,145,029,000","1,139,090,000","1,279,260,000","1,316,120,000","1,532,336,000","1,488,676,000","1,499,199,000","1,560,856,000","1,495,349,000","1,563,842,000","1,521,888,000","1,292,456,000","1,397,203,000","1,417,323,000","1,399,764,000","1,346,862,000","1,365,702,000","1,366,466,000","1,430,194,000","1,354,138,000","1,446,346,000","1,425,663,000","1,427,471,000","1,360,705,000","1,562,537,000","1,506,105,000","1,450,766,000","1,504,642,000","1,453,969,000","1,387,012,000","1,298,924,000","1,182,716,000","1,122,411,000","1,119,150,000","1,001,226,000","673,384,000","620,174,000","586,136,000","556,052,000","474,109,000","461,212,000","490,789,000","393,044,000","377,024,000","356,099,000","280,699,000","265,904,000","276,661,000","217,513,000","210,500,000","198,000,000","188,000,000","151,700,000","132,900,000","129,900,000","116,400,000","110,200,000"
	CurrentAssets,"556,203,000","554,453,000","537,144,000","549,145,000","506,053,000","467,061,000","416,854,000","394,061,000","332,293,000","360,385,000","353,025,000","320,940,000","282,181,000","269,448,000","240,107,000","230,694,000","225,386,000","210,720,000","209,111,000","209,727,000","205,793,000","248,193,000","259,771,000","249,706,000","233,479,000","288,963,000","278,393,000","315,928,000","347,510,000","380,804,000","336,295,000","355,038,000","400,653,000","460,017,000","557,201,000","458,010,000","436,904,000","543,561,000","544,970,000","531,242,000","580,976,000","610,478,000","615,080,000","558,877,000","571,296,000","619,357,000","567,772,000","628,835,000","632,050,000","547,936,000","655,421,000","667,472,000","658,596,000","577,803,000","587,168,000","587,397,000","640,414,000","561,619,000","651,146,000","662,443,000","611,178,000","531,125,000","650,411,000","578,554,000","541,532,000","608,871,000","579,061,000","512,600,000","461,768,000","371,809,000","331,334,000","335,791,000","247,364,000","206,239,000","158,374,000","149,244,000","134,747,000","102,029,000","97,656,000","130,594,000","97,752,000","80,619,000","80,002,000","86,230,000","89,098,000","102,095,000","70,128,000","69,500,000","64,400,000","53,500,000","49,000,000","40,900,000","39,800,000","33,900,000","29,600,000"
		CashCashEquivalentsAndShortTermInvestments,"498,063,000","494,195,000","475,791,000","476,653,000","447,017,000","406,360,000","363,730,000","341,801,000","281,583,000","294,175,000","281,826,000","279,899,000","239,567,000","228,822,000","188,365,000","184,746,000","182,236,000","174,288,000","168,079,000","163,600,000","156,591,000","197,188,000","206,812,000","190,475,000","170,395,000","181,820,000","185,730,000","183,292,000","192,427,000","216,690,000","237,660,000","262,688,000","302,514,000","350,535,000","83,134,000","229,868,000","287,767,000","304,436,000","373,323,000","369,928,000","389,857,000","441,199,000","449,072,000","388,760,000","399,092,000","449,153,000","422,169,000","484,852,000","473,797,000","392,585,000","499,687,000","508,696,000","508,954,000","421,417,000","417,459,000","382,096,000","442,767,000","363,256,000","449,827,000","447,824,000","444,485,000","377,958,000","489,013,000","404,401,000","343,854,000","459,274,000","432,268,000","349,458,000","274,545,000","187,404,000","158,716,000","161,235,000","78,328,000","73,284,000","27,139,000","33,474,000","13,541,000","5,947,000","4,148,000","39,675,000","9,188,000","273,000","6,404,000","33,742,000","40,447,000","67,102,000","42,343,000","44,700,000","39,700,000","34,100,000","31,300,000","23,500,000","19,700,000","17,800,000","15,200,000"
			CashAndCashEquivalents,"190,443,000","319,982,000","266,400,000","87,343,000","86,031,000","105,684,000","58,120,000","91,536,000","37,932,000","108,687,000","47,411,000","51,104,000","38,799,000","32,394,000","32,029,000","33,175,000","24,198,000","18,110,000","16,276,000","38,898,000","13,268,000","49,507,000","55,659,000","49,663,000","47,536,000","66,919,000","68,940,000","63,266,000","69,244,000","93,832,000","126,926,000","138,608,000","264,188,000","318,943,000","30,924,000","165,921,000","223,816,000","240,560,000","242,828,000","209,312,000","229,388,000","280,592,000","289,101,000","228,821,000","239,261,000","289,482,000","215,944,000","284,473,000","248,064,000","243,828,000","159,121,000","244,743,000","224,908,000","181,367,000","214,909,000","215,478,000","199,631,000","99,161,000","165,593,000","188,058,000","116,157,000","90,589,000","99,022,000","132,308,000","90,241,000","217,044,000","432,268,000","349,458,000","274,545,000","187,404,000","158,716,000","161,235,000","78,328,000","73,284,000","27,139,000","33,474,000","13,541,000","5,947,000","4,148,000","39,675,000","9,188,000","273,000","6,404,000","33,742,000","40,447,000","67,102,000","42,343,000","44,700,000","39,700,000","34,100,000","31,300,000","23,500,000","19,700,000","17,800,000","15,200,000"
				CashFinancial,,,,,,,,,,,,,,,,,,,,,"13,268,000",,,,,,,,,,,"131,546,000","175,739,000","155,938,000","19,062,000","85,781,000","119,834,000","136,784,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,062,000","88,449,000","163,005,000","11,862,000","80,140,000","103,982,000","103,776,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"307,620,000","174,213,000","209,391,000","389,310,000","360,986,000","300,676,000","305,610,000","250,265,000","243,651,000","185,488,000","234,415,000","228,795,000","200,768,000","196,428,000","156,336,000","151,571,000","158,038,000","156,178,000","151,803,000","124,702,000","143,323,000","147,681,000","151,153,000","140,812,000","122,859,000","114,901,000","116,790,000","120,026,000","123,183,000","122,858,000","110,734,000","124,080,000","38,326,000","31,592,000","52,210,000","63,947,000","63,951,000","63,876,000","130,495,000","160,616,000","160,469,000","160,607,000","159,971,000","159,939,000","159,831,000","159,671,000","206,225,000","200,379,000","225,733,000","148,757,000","340,566,000","263,953,000","284,046,000","240,050,000","202,550,000","166,618,000","243,136,000","264,095,000","284,234,000","259,766,000","328,328,000","287,369,000","389,991,000","272,093,000","253,613,000","242,230,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"42,949,000","44,725,000","44,385,000","54,250,000","44,166,000","47,555,000","40,265,000","37,056,000","34,149,000","56,399,000","31,249,000","30,547,000","32,421,000","31,318,000","36,488,000","26,940,000","25,250,000","20,038,000","22,130,000","22,552,000","24,671,000","23,754,000","26,333,000","28,283,000","32,121,000","36,812,000","32,111,000","30,344,000","45,320,000","43,489,000","50,979,000","41,024,000","49,913,000","62,090,000","81,539,000","93,971,000","54,833,000","72,785,000","66,693,000","57,668,000","81,678,000","63,487,000","61,069,000","61,182,000","67,499,000","66,419,000","62,246,000","63,079,000","70,866,000","69,805,000","63,978,000","68,310,000","62,950,000","63,951,000","68,884,000","64,704,000","65,442,000","54,259,000","52,831,000","56,244,000","84,570,000","60,505,000","68,878,000","81,462,000","89,578,000","69,767,000","74,785,000","91,360,000","131,754,000","111,553,000","110,380,000","117,360,000","111,888,000","91,796,000","90,746,000","82,320,000","81,557,000","65,777,000","64,048,000","62,813,000","60,696,000","49,173,000","42,528,000","33,651,000","31,332,000","20,638,000","15,645,000","15,900,000","15,700,000","10,700,000","10,500,000","12,400,000","14,400,000","11,600,000","10,800,000"
			AccountsReceivable,"34,104,000","43,033,000","42,485,000","51,682,000","41,482,000","44,682,000","37,554,000","35,597,000","32,573,000","55,018,000","29,913,000","27,870,000","29,840,000","28,751,000","34,043,000","24,992,000","23,915,000","18,875,000","21,134,000","21,389,000","23,473,000","22,825,000","25,457,000","27,502,000","27,746,000","31,618,000","27,696,000","25,872,000","26,382,000","24,564,000","32,463,000","31,283,000","31,582,000","34,650,000","41,694,000","53,518,000","50,420,000","68,940,000","65,021,000","55,582,000","61,989,000","60,573,000","57,471,000","57,968,000","64,147,000","62,287,000","58,080,000","57,823,000","70,866,000","69,805,000","63,978,000","68,310,000","54,981,000","56,320,000","56,042,000","56,756,000","58,414,000","45,030,000","45,063,000","48,160,000","76,076,000","52,583,000","61,836,000","76,447,000","84,251,000","63,843,000","69,233,000","85,982,000","126,573,000","106,226,000","100,771,000","110,445,000","102,452,000","83,732,000","82,232,000","75,498,000","74,581,000","59,793,000","64,048,000","57,914,000","55,770,000","44,347,000","37,494,000",,,,,,,,,,,,
				GrossAccountsReceivable,"74,869,000","79,418,000","79,618,000","91,457,000","82,592,000","84,599,000","76,300,000","72,666,000","66,638,000","84,874,000","57,618,000","58,043,000","56,171,000","52,058,000","55,614,000","47,090,000","43,901,000","39,408,000","43,745,000","43,931,000","45,635,000","44,201,000","44,761,000","46,735,000","48,432,000","49,631,000","40,979,000","38,538,000","38,580,000","36,962,000","51,279,000","50,587,000","51,334,000","55,847,000","64,866,000","85,331,000","82,111,000","104,190,000","100,201,000","93,194,000","102,887,000","104,464,000","101,748,000","103,929,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
