name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
OperatingCashFlow,"-617,838,000","-147,543,000","-175,918,000","-165,052,000","-129,325,000","-89,520,000","-113,582,000","-62,166,000","-60,394,000","-62,360,000","-47,266,000","-36,696,000","-32,725,000","-28,366,000","-15,473,000","-18,080,000","-25,765,000","-32,902,000","-31,255,000","-24,895,000","-19,801,000","-22,030,000","-17,045,000","-16,876,000","-18,408,000","-23,988,000","-20,766,000","-21,430,000","-20,276,000","-18,183,000","-14,336,000","-9,441,000","-10,466,000","-8,197,000","-7,602,000"
	CashFlowFromContinuingOperatingActivities,"-617,838,000","-147,543,000","-175,918,000","-165,052,000","-129,325,000","-89,520,000","-113,582,000","-62,166,000","-60,394,000","-62,360,000","-47,266,000","-36,696,000","-32,725,000","-28,366,000","-15,473,000","-18,080,000","-25,765,000","-32,902,000","-31,255,000","-24,895,000","-19,801,000","-22,030,000","-17,045,000","-16,876,000","-18,408,000","-23,988,000","-20,766,000","-21,430,000","-20,276,000","-18,183,000","-14,336,000","-9,441,000","-10,466,000","-8,197,000","-7,602,000"
		NetIncomeFromContinuingOperations,"-451,373,000","-181,859,000","-205,124,000","-198,176,000","133,786,000","-109,492,000","-234,338,000","-102,902,000","-166,403,000","-98,527,000","-76,905,000","-78,707,000","-48,676,000","-37,677,000","-29,841,000","-31,723,000","-31,671,000","-36,120,000","-40,493,000","-27,402,000","-28,557,000","-26,928,000","-24,848,000","-24,971,000","-24,847,000","-25,590,000","-24,360,000","-22,527,000","-24,258,000","-18,637,000","-15,305,000","-12,615,000","-10,539,000","-9,033,000","-8,131,000"
		OperatingGainsLosses,,,,,,,,,,,"0",,,,"5,242,000","0","1,000","23,000","0","0","0","268,000","97,000","0","747,000","186,000","8,000","0","0","15,000","4,000",,,,
			GainLossOnInvestmentSecurities,,,,,,,,,,,,,,,,"0","1,000","23,000",,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"90,998,000","27,100,000","23,624,000","21,586,000","18,688,000","16,574,000","16,086,000","8,464,000","8,444,000","6,056,000","5,071,000","4,410,000","3,439,000","3,286,000","3,272,000","3,341,000","3,494,000","3,433,000","3,196,000","2,440,000","1,812,000","1,733,000","1,619,000","1,683,000","1,696,000","1,555,000","1,603,000","1,423,000","1,278,000","1,017,000","741,000","607,000","496,000","471,000","325,000"
			DepreciationAndAmortization,"90,998,000","27,100,000","23,624,000","21,586,000","18,688,000","16,574,000","16,086,000","8,464,000","8,444,000","6,056,000","5,071,000","4,410,000","3,439,000","3,286,000","3,272,000","3,341,000","3,494,000","3,433,000","3,196,000","2,440,000","1,812,000","1,733,000","1,619,000","1,683,000","1,696,000","1,555,000","1,603,000","1,423,000","1,278,000","1,017,000","741,000","607,000","496,000","471,000","325,000"
		DeferredTax,"-64,977,000","-34,920,000","-7,642,000","-5,855,000","-16,560,000","-6,800,000","-109,500,000","0",,,"-5,800,000","-8,700,000",,,"-2,862,000",,,,"4,758,000",,,,,,,,,,,,,,,,
			DeferredIncomeTax,"-64,977,000","-34,920,000","-7,642,000","-5,855,000","-16,560,000","-6,800,000","-109,500,000","0",,,"-5,800,000","-8,700,000",,,"-2,862,000",,,,"4,758,000",,,,,,,,,,,,,,,,
		AmortizationOfSecurities,"5,242,000","570,000",,,,,,,,,,,,,,"0","0","9,000","28,000","28,000","40,000","40,000","58,000","62,000","100,000","91,000","87,000","216,000","264,000","65,000",,,"0","0",
