name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997
OperatingCashFlow,"-10,227,000","-7,037,000","2,095,000","-3,262,000","-2,023,000","-10,286,000","10,578,000","-5,248,000","-251,000","16,315,000","9,002,000","5,722,000","11,934,000","5,810,000","1,458,000","4,858,000","4,056,000","-4,049,000","11,123,000","3,600,000","-4,089,000","-279,000","9,132,000","723,000","14,608,000","13,120,000","20,141,000","9,491,000","-2,371,000","771,000","1,181,000","-5,029,000","10,329,000","-823,000","10,083,000","5,935,000","7,987,000","10,273,000","14,589,000","6,587,000","2,363,000","4,334,000","10,083,000","-3,458,000","-158,000","2,222,000","5,196,000","3,962,000","4,787,000","1,036,000","8,613,000","1,104,000","-664,000","-88,000","6,324,000","9,975,000","-3,125,000","92,000","10,496,000","4,998,000","5,743,000","358,000","7,032,000","3,081,000","1,984,000","-2,343,000","4,044,000","-2,919,000","-6,272,000","1,743,000","3,935,658","3,066,498","-2,070,570","2,363,119","2,211,390","1,213,561","311,801","931,881","-1,939,104","347,579","-1,756,840","-1,647,715","1,574,294","-187,435","-1,817,559","-411,794","1,402,596","3,149,064","766,242","-595,021","1,398,075","500,000","900,000","-1,300,000","-1,600,000","-1,300,000","-400,000","200,000","100,000"
	CashFlowFromContinuingOperatingActivities,"-10,227,000","-7,037,000","2,095,000","-3,262,000","-2,023,000","-10,286,000","10,578,000","-5,248,000","-251,000","16,315,000","9,002,000","5,722,000","11,934,000","5,810,000","1,458,000","4,858,000","4,056,000","-4,049,000","11,123,000","3,600,000","-4,089,000","-279,000","9,132,000","723,000","14,608,000","13,120,000","20,141,000","9,491,000","-2,371,000","771,000","1,181,000","-5,029,000","10,329,000","-823,000","10,083,000","5,935,000","7,987,000","10,273,000","14,589,000","6,587,000","2,363,000","4,334,000","10,083,000","-3,458,000","-158,000","2,222,000","5,196,000","3,962,000","4,787,000","1,036,000","8,613,000","1,104,000","-664,000","-88,000","6,324,000","9,975,000","-3,125,000","92,000","10,496,000","4,998,000","5,743,000","358,000","7,032,000","3,081,000","1,984,000","-2,343,000","4,044,000","-2,919,000","-6,272,000","1,743,000","3,935,658","3,066,498","-2,070,570","2,363,119","2,211,390","1,213,561","311,801","931,881","-1,939,104","347,579","-1,756,840","-1,647,715","1,574,294","-187,435","-1,817,559","-411,794","1,402,596","3,149,064","766,242","-595,021","1,398,075","500,000","900,000","-1,300,000","-1,600,000","-1,300,000","-400,000","200,000","100,000"
		NetIncomeFromContinuingOperations,"-46,430,000","-9,687,000","-31,712,000","-3,855,000","-1,176,000","-3,221,000","27,408,000","-3,024,000","-8,932,000","-14,823,000","-49,695,000","-6,199,000","-6,405,000","152,000","5,758,000","-2,488,000","1,205,000","455,000","-11,058,000","1,628,000","-3,625,000","-1,461,000","3,545,000","1,090,000","3,392,000","3,080,000","8,885,000","-884,000","4,148,000","664,000","11,122,000","11,223,000","6,328,000","4,976,000","8,262,000","5,042,000","3,631,000","4,574,000","7,841,000","3,673,000","4,734,000","6,750,000","9,472,000","6,429,000","4,233,000","3,243,000","4,839,000","2,328,000","1,837,000","2,064,000","-620,000","-1,273,000","-2,104,000","-6,585,000","2,198,000","2,011,000","6,365,000","3,378,000","8,404,000","705,000","5,786,000","3,198,000","3,658,000","3,189,000","853,000","496,000","183,000","2,615,000","1,912,000","3,469,000","4,914,464","3,065,411","4,102,591","2,848,408","2,896,437","3,333,890","1,558,049","489,364","1,571,333","71,995","-2,006,136","-1,652,763","561,609","-699,034","-1,583,284","-1,127,255","226,076","-360,387","591,398","-417,570","-4,494,822","-1,600,000","-200,000","-1,100,000","6,900,000","-1,200,000","-11,600,000","1,000,000","1,100,000"
		OperatingGainsLosses,"310,000","112,000","88,000","44,000","66,000","20,000","32,000","52,000","289,000","10,000","2,087,000","204,000","291,000","57,000","-209,000","236,000","38,000","127,000","188,000","141,000","45,000","77,000","46,000","509,000","241,000","64,000","70,000","233,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-79,000","275,000","36,000","-448,345","-1,045,438","3,458,218","900,660","-419,955","-730,100","140,696","179,624","349,493","169,707","918,380","362,937","666,293","200,906","255,333","45,000","-90,383","276,671","441,232","-172,890",,,,,"-11,300,000","0",,,"0"
		DepreciationAmortizationDepletion,"13,218,000","3,012,000","3,836,000","3,271,000","3,099,000","3,190,000","3,608,000","3,422,000","3,450,000","3,759,000","4,313,000","4,881,000","4,573,000","4,749,000","4,846,000","4,747,000","4,377,000","4,343,000","4,513,000","4,368,000","3,989,000","3,718,000","4,135,000","3,381,000","3,266,000","3,086,000","3,195,000","2,790,000","2,739,000","2,493,000","1,908,000","1,805,000","1,868,000","1,847,000","1,770,000","1,699,000","1,736,000","1,833,000","1,812,000","1,796,000","1,689,000","1,679,000","1,665,000","1,711,000","1,722,000","1,614,000","1,492,000","1,779,000","1,515,000","1,540,000","1,440,000","1,410,000","1,389,000","1,291,000","-474,000","1,784,000","1,758,000","1,437,000","1,281,000","1,354,000","1,324,000","1,291,000","1,289,000","1,026,000","1,115,000","1,106,000","1,006,000","967,000","790,000","690,000","678,191","566,610","537,936","556,759","519,596","471,789","538,992","588,653","455,889","529,488","621,027","661,359","575,691","659,326","657,541","666,937","863,614","626,517","803,316","638,099","1,665,441","1,100,000","800,000","900,000","2,100,000","400,000","400,000","100,000","100,000"
			DepreciationAndAmortization,"13,218,000","3,012,000","3,836,000","3,271,000","3,099,000","3,190,000","3,608,000","3,422,000","3,450,000","3,759,000","4,313,000","4,881,000","4,573,000","4,749,000","4,846,000","4,747,000","4,377,000","4,343,000","4,513,000","4,368,000","3,989,000","3,718,000","4,135,000","3,381,000","3,266,000","3,086,000","3,195,000","2,790,000","2,739,000","2,493,000","1,908,000","1,805,000","1,868,000","1,847,000","1,770,000","1,699,000","1,736,000","1,833,000","1,812,000","1,796,000","1,689,000","1,679,000","1,665,000","1,711,000","1,722,000","1,614,000","1,492,000","1,779,000","1,515,000","1,540,000","1,440,000","1,410,000","1,389,000","1,291,000","-474,000","1,784,000","1,758,000","1,437,000","1,281,000","1,354,000","1,324,000","1,291,000","1,289,000","1,026,000","1,115,000","1,106,000","1,006,000","967,000","790,000","690,000","678,191","566,610","537,936","556,759","519,596","471,789","538,992","588,653","455,889","529,488","621,027","661,359","575,691","659,326","657,541","666,937","863,614","626,517","803,316","638,099","1,665,441","1,100,000","800,000","900,000","2,100,000","400,000","400,000","100,000","100,000"
				Depreciation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,158,000","1,120,000","1,015,000","1,021,000","971,000","950,000","1,092,000","1,039,000","1,023,000","1,062,000","1,011,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"626,000","638,000","422,000","260,000","383,000","374,000","199,000","250,000","3,000","53,000","95,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"626,000","638,000","422,000","260,000","383,000","374,000","199,000","250,000","3,000","53,000","95,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"26,384,000","66,000","28,373,000","-1,658,000","-397,000","-1,612,000","-23,483,000","-2,557,000","-78,000","-2,326,000","-6,235,000","-58,000","-19,000","8,000","850,000","29,000","-62,000","-128,000","-1,964,000","56,000","162,000","6,000","-1,268,000","-473,000","-426,000","165,000","-1,211,000","-5,000","-1,711,000","2,272,000","1,097,000","-4,555,000","-839,000","-410,000","-351,000","-285,000","119,000","1,162,000","-1,346,000","74,000","-739,000","-5,000","-783,000","127,000","-307,000","291,000","-1,903,000","930,000","246,000","34,000","67,000","1,739,000","150,000","30,000","-397,000","-246,000","-1,800,000","471,000","78,000","-354,000","-299,000","111,000","422,000","334,000","-458,000","-278,000","187,000","-807,000","-544,000","310,000","-2,720,890","1,917,797","-2,574,955","69,158",,,,,"91,427",,,,"-73,543","952,627","-78,187","1,825","-19,033","1","-25,229","-82,878",,,,"-100,000","1,500,000","-100,000",,,"200,000"
