name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,03/31/1992,03/31/1991
OperatingCashFlow,"192,674,000","51,938,000","49,522,000","64,947,000","26,267,000","61,810,000","54,246,000","29,882,000","68,661,000","26,694,000","73,516,000","39,062,000","55,315,000","34,609,000","54,827,000","54,961,000","50,712,000","60,908,000","50,818,000","46,772,000","49,423,000","42,661,000","31,135,000","32,394,000","42,439,000","25,293,000","34,811,000","27,672,000","31,966,000","22,014,000","34,871,000","32,209,000","29,409,000","26,712,000","31,253,000","16,201,000","34,207,000","21,523,000","20,256,000","36,226,000","23,047,000","28,895,000","17,217,000","30,208,000","27,311,000","23,081,000","25,558,000","25,923,000","34,175,000","11,432,000","-2,583,000","21,194,000","39,733,000","-15,048,000","22,877,000","4,960,000","18,148,000","9,071,000","14,879,000","15,313,000","10,885,000","9,528,000","21,401,000","14,426,000","23,660,000","13,614,000","19,215,000","13,787,000","20,439,000","19,020,000","22,922,000","24,515,000","17,844,000","20,183,000","17,952,000","16,428,000","-7,735,000","46,425,000","15,930,000","26,553,000","13,166,000","2,427,000","13,240,000","12,647,477","6,903,838","12,011,685","4,714,660","9,446,059","3,760,093","9,613,746","4,400,000","9,600,000","6,200,000","10,800,000","10,800,000","7,100,000","9,100,000","9,400,000","9,500,000","1,200,000","10,300,000","2,800,000","3,900,000","2,800,000","4,300,000","6,000,000","1,800,000","4,800,000","1,600,000","3,300,000","5,600,000","8,300,000","-4,200,000","3,600,000","4,600,000","3,000,000","1,600,000","3,400,000","2,900,000","2,000,000","1,700,000"
	CashFlowFromContinuingOperatingActivities,"192,674,000","51,938,000","49,522,000","64,947,000","26,267,000","61,810,000","54,246,000","29,882,000","68,661,000","26,694,000","73,516,000","39,062,000","55,315,000","34,609,000","54,827,000","54,961,000","50,712,000","60,908,000","50,818,000","46,772,000","49,423,000","42,661,000","31,135,000","32,394,000","42,439,000","25,293,000","34,811,000","27,672,000","31,966,000","22,014,000","34,871,000","32,209,000","29,409,000","26,712,000","31,253,000","16,201,000","34,207,000","21,523,000","20,256,000","36,226,000","23,047,000","28,895,000","17,217,000","30,208,000","27,311,000","23,081,000","25,558,000","25,923,000","34,175,000","11,432,000","-2,583,000","21,194,000","39,733,000","-15,048,000","22,877,000","4,960,000","18,148,000","9,071,000","14,879,000","15,313,000","10,885,000","9,528,000","21,401,000","14,426,000","23,660,000","13,614,000","19,215,000","13,787,000","20,439,000","19,020,000","22,922,000","24,515,000","17,844,000","20,183,000","17,952,000","16,428,000","-7,735,000","46,425,000","15,930,000","26,553,000","13,166,000","2,427,000","13,240,000","12,647,477","6,903,838","12,011,685","4,714,660","9,446,059","3,760,093","9,613,746","4,400,000","9,600,000","6,200,000","10,800,000","10,800,000","7,100,000","9,100,000","9,400,000","9,500,000","1,200,000","10,300,000","2,800,000","3,900,000","2,800,000","4,300,000","6,000,000","1,800,000","4,800,000","1,600,000","3,300,000","5,600,000","8,300,000","-4,200,000","3,600,000","4,600,000","3,000,000","1,600,000","3,400,000","2,900,000","2,000,000","1,700,000"
		NetIncomeFromContinuingOperations,"183,899,000","47,055,000","43,564,000","45,336,000","47,944,000","52,850,000","46,485,000","42,809,000","35,248,000","40,134,000","42,884,000","39,218,000","45,015,000","41,946,000","40,823,000","43,106,000","44,606,000","40,106,000","72,026,000","35,243,000","17,191,000","26,257,000","26,392,000","27,160,000","25,857,000","24,403,000","20,071,000","25,022,000","23,840,000","22,297,000","23,133,000","22,370,000","23,677,000","22,173,000","15,477,000","21,989,000","21,122,000","20,241,000","18,804,000","18,367,000","21,071,000","18,826,000","18,988,000","20,008,000","17,986,000","16,160,000","15,894,000","17,262,000","16,162,000","14,002,000","9,370,000","12,455,000","9,155,000","10,465,000","11,969,000","11,786,000","11,287,000","10,898,000","11,847,000","11,029,000","10,359,000","9,656,000","8,152,000","10,879,000","9,884,000","9,462,000","8,326,000","14,864,000","14,281,000","13,334,000","12,666,000","14,234,000","12,141,000","11,155,000","8,670,000","11,729,000","10,032,000","9,949,000","9,639,000","13,261,000","8,179,000","7,438,000","4,827,000","6,442,760","3,399,782","4,459,458","4,985,168","5,128,378","5,180,417","5,024,612","5,000,000","4,900,000","4,000,000","3,700,000","3,700,000","4,200,000","3,900,000","3,700,000","4,000,000","4,300,000","3,600,000","3,700,000","3,600,000","3,800,000","3,600,000","3,100,000","3,100,000","3,100,000","2,500,000","2,800,000","2,300,000","2,900,000","2,400,000","2,500,000","2,300,000","2,500,000","2,400,000","2,400,000","2,100,000","1,500,000","1,000,000"
		OperatingGainsLosses,"-498,000","-450,000","80,000","55,000","-183,000","-280,000","-2,293,000","-1,104,000","-538,000","9,000","13,000","-21,000","-4,885,000","22,000","127,000","257,000","-66,000","-80,000","24,000","-102,000","310,000","-53,000","-213,000","-306,000","-250,000","-68,000","-128,000","-69,000","-155,000","176,000","190,000","-142,000","-74,000","-128,000","6,876,000","61,000","-175,000","63,000","18,000","20,000","89,000","-171,000","509,000","42,000","-411,000","-501,000","-1,444,000","480,000","-1,201,000","675,000","987,000","2,365,000","12,298,000","-16,139,000","-71,000","-30,000","44,000","-248,000","9,988,000","-95,000","-22,000","-34,000","2,384,000","90,000","-164,000","-23,000","-15,000","-5,248,000","-5,176,000","-1,771,000","284,000","0","-135,000","-10,000","2,627,000","846,000","-192,000","-233,000","-1,246,000","-212,000","-1,134,000","-6,000","-2,545,000","-63,334","73,834","-11,500","90,396","-38,381","-7,451","167,717","-800,000","500,000","300,000","-600,000",,"-400,000","-800,000","-500,000",,,,,,,,,"100,000","0",,,,,,,,,,,"0","-100,000",
			GainLossOnInvestmentSecurities,,,,,,,"0","0",,,"0","0",,,,,,,,,,,,,,,,,,,"0","0","0","0","-16,969,000","0","-16,008,000","-47,791,000","0","-291,000",,,"69,000","6,000",,,"0",,,,"0","-7,000","0","0","0","0","57,000","-287,000","9,931,000","16,000",,,,,,,"0","-5,305,000","-5,164,000","-1,726,000","73,000","0",,,"2,656,000","-3,000",,,"-1,239,000","-215,000",,,"-2,646,000","-28,338","138,318","-9,980","0","0","45","212,236",,,"0","-300,000",,,"-1,000,000","-300,000",,,,,,,,,"100,000","0",,,,,,,,,,,"0","-100,000",
		DepreciationAmortizationDepletion,"30,173,000","7,531,000","7,567,000","7,715,000","7,360,000","7,520,000","7,655,000","7,632,000","7,524,000","7,828,000","8,165,000","8,158,000","7,844,000","8,058,000","8,379,000","8,433,000","8,625,000","8,916,000","9,084,000","9,326,000","8,491,000","6,563,000","5,063,000","5,080,000","5,123,000","5,129,000","4,435,000","4,231,000","4,268,000","4,270,000","4,382,000","4,435,000","4,452,000","4,544,000","4,359,000","4,333,000","4,214,000","4,328,000","4,410,000","4,684,000","3,787,000","3,895,000","3,897,000","4,110,000","4,109,000","3,640,000","3,744,000","3,783,000","4,341,000","4,308,000","4,539,000","4,611,000","4,692,000","4,627,000","4,444,000","3,768,000","4,636,000","3,521,000","1,667,000","-553,000","4,419,000","3,477,000","3,870,000","4,190,000","3,900,000","3,934,000","4,160,000","4,206,000","4,459,000","4,270,000","4,534,000","4,435,000","4,147,000","4,154,000","3,837,000","3,656,000","3,603,000","3,611,000","3,399,000","1,380,000","5,661,000","5,808,000","4,469,000","3,340,034","3,878,459","2,346,507","2,493,034","1,850,919","1,822,475","1,741,622","1,900,000","2,300,000","3,500,000","2,900,000","5,700,000","3,500,000","3,600,000","3,000,000","1,700,000","1,700,000","1,200,000","1,200,000","300,000","1,500,000","700,000","500,000","800,000","0","500,000","500,000","0","5,600,000","-4,700,000","400,000","400,000","400,000","400,000","400,000","100,000","600,000","600,000"
			DepreciationAndAmortization,"30,173,000","7,531,000","7,567,000","7,715,000","7,360,000","7,520,000","7,655,000","7,632,000","7,524,000","7,828,000","8,165,000","8,158,000","7,844,000","8,058,000","8,379,000","8,433,000","8,625,000","8,916,000","9,084,000","9,326,000","8,491,000","6,563,000","5,063,000","5,080,000","5,123,000","5,129,000","4,435,000","4,231,000","4,268,000","4,270,000","4,382,000","4,435,000","4,452,000","4,544,000","4,359,000","4,333,000","4,214,000","4,328,000","4,410,000","4,684,000","3,787,000","3,895,000","3,897,000","4,110,000","4,109,000","3,640,000","3,744,000","3,783,000","4,341,000","4,308,000","4,539,000","4,611,000","4,692,000","4,627,000","4,444,000","3,768,000","4,636,000","3,521,000","1,667,000","-553,000","4,419,000","3,477,000","3,870,000","4,190,000","3,900,000","3,934,000","4,160,000","4,206,000","4,459,000","4,270,000","4,534,000","4,435,000","4,147,000","4,154,000","3,837,000","3,656,000","3,603,000","3,611,000","3,399,000","1,380,000","5,661,000","5,808,000","4,469,000","3,340,034","3,878,459","2,346,507","2,493,034","1,850,919","1,822,475","1,741,622","1,900,000","2,300,000","3,500,000","2,900,000","5,700,000","3,500,000","3,600,000","3,000,000","1,700,000","1,700,000","1,200,000","1,200,000","300,000","1,500,000","700,000","500,000","800,000","0","500,000","500,000","0","5,600,000","-4,700,000","400,000","400,000","400,000","400,000","400,000","100,000","600,000","600,000"
				Depreciation,"15,248,000","3,690,000","3,694,000","3,884,000","3,980,000","4,034,000","4,017,000","3,951,000","3,916,000","4,079,000","4,110,000","4,101,000","3,850,000","3,830,000","3,895,000","3,895,000","3,958,000","4,001,000","3,998,000","4,251,000","4,106,000","3,669,000","3,656,000","3,592,000","3,594,000","3,556,000","3,312,000","3,287,000","3,286,000","3,247,000","3,281,000","3,275,000","3,240,000","3,286,000","3,178,000","3,111,000","2,940,000","3,007,000","2,995,000","2,936,000","2,742,000","2,809,000","2,766,000","2,949,000","2,920,000","2,739,000","2,772,000","2,506,000","2,492,000","2,449,000","2,603,000","2,585,000","2,589,000","2,522,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AmortizationCashFlow,"14,925,000","3,841,000","3,873,000","3,831,000","3,380,000","3,486,000","3,638,000","3,681,000","3,608,000","3,749,000","4,055,000","4,057,000","3,994,000","4,228,000","4,484,000","4,538,000","4,667,000","4,915,000","5,086,000","5,075,000","4,385,000","2,894,000","1,407,000","1,488,000","1,529,000","1,573,000","1,123,000","944,000","982,000","1,023,000","1,101,000","1,160,000","1,212,000","1,258,000","1,181,000","1,222,000","1,274,000","1,321,000","1,415,000","1,748,000","1,045,000","1,086,000","1,131,000","1,161,000","1,189,000","901,000","972,000","1,277,000","1,849,000","1,859,000","1,936,000","2,026,000","2,103,000","2,105,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
					AmortizationOfIntangibles,"14,925,000","3,841,000","3,873,000","3,831,000","3,380,000","3,486,000","3,638,000","3,681,000","3,608,000","3,749,000","4,055,000","4,057,000","3,994,000","4,228,000","4,484,000","4,538,000","4,667,000","4,915,000","5,086,000","5,075,000","4,385,000","2,894,000","1,407,000","1,488,000","1,529,000","1,573,000","1,123,000","944,000","982,000","1,023,000","1,101,000","1,160,000","1,212,000","1,258,000","1,181,000","1,222,000","1,274,000","1,321,000","1,415,000","1,748,000","1,045,000","1,086,000","1,131,000","1,161,000","1,189,000","901,000","972,000","1,277,000","1,849,000","1,859,000","1,936,000","2,026,000","2,103,000","2,105,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
