name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015
TotalAssets,"3,979,000,000","4,036,000,000","4,092,000,000","4,123,000,000","4,150,000,000","4,256,000,000","4,360,000,000","4,326,000,000","4,394,000,000","4,514,000,000","5,114,000,000","5,303,000,000","6,663,000,000","6,680,000,000","6,730,000,000","7,436,000,000","7,511,000,000","7,548,000,000","7,547,000,000","7,648,000,000","7,700,000,000","7,709,000,000","8,923,000,000","9,017,000,000","9,128,000,000","9,058,000,000"
	CurrentAssets,"1,643,000,000","1,680,000,000","1,511,000,000","1,487,000,000","1,551,000,000","1,577,000,000","1,653,000,000","1,568,000,000","1,572,000,000","1,586,000,000","1,546,000,000","1,607,000,000","1,831,000,000","1,964,000,000","1,993,000,000","2,661,000,000","2,620,000,000","2,710,000,000","2,112,000,000","1,986,000,000","1,974,000,000","1,917,000,000","2,020,000,000","2,060,000,000","2,041,000,000","1,874,000,000"
		CashCashEquivalentsAndShortTermInvestments,"588,000,000","415,000,000","394,000,000","397,000,000","389,000,000","450,000,000","488,000,000","428,000,000","395,000,000","496,000,000","228,000,000","276,000,000","520,000,000","756,000,000","586,000,000","993,000,000","553,000,000","658,000,000","468,000,000","309,000,000","255,000,000","390,000,000","148,000,000","160,000,000","143,000,000","140,000,000"
			CashAndCashEquivalents,"588,000,000","415,000,000","394,000,000","397,000,000","389,000,000","450,000,000","488,000,000","428,000,000","395,000,000","496,000,000","228,000,000","276,000,000","520,000,000","756,000,000","586,000,000","993,000,000","553,000,000","658,000,000","468,000,000","309,000,000","255,000,000","390,000,000","148,000,000","160,000,000","143,000,000","140,000,000"
		Receivables,"845,000,000","911,000,000","918,000,000","885,000,000","948,000,000","943,000,000","977,000,000","952,000,000","975,000,000","917,000,000","1,066,000,000","1,091,000,000","1,017,000,000","1,021,000,000","1,142,000,000","1,123,000,000","1,189,000,000","1,115,000,000","1,411,000,000","1,413,000,000","1,449,000,000","1,318,000,000","1,625,000,000","1,630,000,000","1,651,000,000","1,520,000,000"
			AccountsReceivable,"661,000,000","699,000,000","701,000,000","664,000,000","664,000,000","670,000,000","687,000,000","693,000,000","690,000,000","652,000,000","840,000,000","824,000,000","820,000,000","782,000,000","951,000,000","930,000,000","1,026,000,000","919,000,000","1,115,000,000","1,116,000,000","1,142,000,000","1,014,000,000","1,067,000,000","1,046,000,000","1,095,000,000","963,000,000"
				GrossAccountsReceivable,,"699,000,000",,,,"672,000,000",,,,"654,000,000",,,,"783,000,000",,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"0",,,,"-2,000,000",,,,"-2,000,000",,,,"-1,000,000",,,,,,,,,,,,
			NotesReceivable,,,,,,,,,,,,,,,,,,,,,,"0","205,000,000","248,000,000","251,000,000","248,000,000"
			TaxesReceivable,"24,000,000","58,000,000","58,000,000","62,000,000","67,000,000","69,000,000","72,000,000","47,000,000","64,000,000","58,000,000","61,000,000","75,000,000",,"62,000,000",,,,,,,,"32,000,000",,,,"26,000,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,"11,000,000","31,000,000","39,000,000","41,000,000",,,,,
			OtherReceivables,"160,000,000","154,000,000","159,000,000","159,000,000","217,000,000","204,000,000","218,000,000","212,000,000","221,000,000","207,000,000","165,000,000","192,000,000","197,000,000","177,000,000","191,000,000","193,000,000","163,000,000","187,000,000","267,000,000","262,000,000","272,000,000","279,000,000","360,000,000","344,000,000","312,000,000","289,000,000"
			ReceivablesAdjustmentsAllowances,,,,,,,,,,,,,,,,,,"-2,000,000","-2,000,000","-4,000,000","-6,000,000","-7,000,000","-7,000,000","-8,000,000","-7,000,000","-6,000,000"
		Inventory,,,,,,,,,,,,,,,,,,,,,,"41,000,000",,,,"41,000,000"
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,"41,000,000",,,,"41,000,000"
		PrepaidAssets,"121,000,000","84,000,000","96,000,000","99,000,000","102,000,000","73,000,000","82,000,000","87,000,000","86,000,000","70,000,000","99,000,000","105,000,000",,"87,000,000",,,,,,,,"116,000,000",,,,"120,000,000"
		RestrictedCash,"5,000,000","5,000,000","6,000,000","6,000,000","10,000,000","8,000,000","8,000,000","9,000,000","18,000,000","9,000,000","8,000,000","9,000,000",,"9,000,000",,,,,,,,"22,000,000",,,,"16,000,000"
		CurrentDeferredAssets,"6,000,000",,,,,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,"0","184,000,000",,,,,,,,"0","0","0","0","15,000,000","35,000,000","316,000,000","659,000,000","757,000,000",,,,,,,,"0"
		OtherCurrentAssets,"78,000,000","81,000,000","97,000,000","100,000,000","102,000,000","103,000,000","98,000,000","92,000,000","98,000,000","94,000,000","145,000,000","126,000,000","294,000,000","76,000,000","230,000,000","229,000,000","219,000,000","180,000,000","233,000,000","264,000,000","270,000,000","30,000,000","247,000,000","270,000,000","247,000,000","37,000,000"
	TotalNonCurrentAssets,"2,336,000,000","2,356,000,000","2,581,000,000","2,636,000,000","2,599,000,000","2,679,000,000","2,707,000,000","2,758,000,000","2,822,000,000","2,928,000,000","3,568,000,000","3,696,000,000","4,832,000,000","4,716,000,000","4,737,000,000","4,775,000,000","4,891,000,000","4,838,000,000","5,435,000,000","5,662,000,000","5,726,000,000","5,792,000,000","6,903,000,000","6,957,000,000","7,087,000,000","7,184,000,000"
		NetPPE,"491,000,000","512,000,000","516,000,000","527,000,000","526,000,000","551,000,000","552,000,000","564,000,000","586,000,000","613,000,000","621,000,000","650,000,000","674,000,000","328,000,000","297,000,000","276,000,000","260,000,000","257,000,000","249,000,000","262,000,000","282,000,000","283,000,000","264,000,000","268,000,000","281,000,000","280,000,000"
			GrossPPE,"491,000,000","1,424,000,000","516,000,000","527,000,000","526,000,000","1,428,000,000","552,000,000","564,000,000","586,000,000","1,563,000,000","621,000,000","650,000,000","674,000,000","1,222,000,000","297,000,000","276,000,000","260,000,000","1,076,000,000","249,000,000","262,000,000","282,000,000","1,040,000,000","264,000,000","268,000,000","281,000,000","964,000,000"
				Properties,,"0",,,,"0",,,"0","0","0","0","0","0",,,,"0",,,,"0",,,,"0"
				LandAndImprovements,,"1,000,000",,,,"1,000,000",,,"321,000,000","1,000,000","331,000,000","333,000,000","336,000,000","2,000,000",,,,"3,000,000",,,,"10,000,000",,,,"10,000,000"
				BuildingsAndImprovements,,"7,000,000",,,,"7,000,000",,,,"7,000,000",,,,"7,000,000",,,,"17,000,000",,,,"20,000,000",,,,"28,000,000"
				MachineryFurnitureEquipment,,"883,000,000",,,,"869,000,000",,,,"964,000,000",,,,"901,000,000",,,,"784,000,000",,,,"719,000,000",,,,"689,000,000"
				OtherProperties,"491,000,000","234,000,000","516,000,000","527,000,000","526,000,000","248,000,000","552,000,000","564,000,000","586,000,000","274,000,000","621,000,000","650,000,000","674,000,000","2,000,000","297,000,000","276,000,000","260,000,000","1,000,000","249,000,000","262,000,000","282,000,000","1,000,000","264,000,000","268,000,000","281,000,000","3,000,000"
				ConstructionInProgress,,"49,000,000",,,,"35,000,000",,,,"50,000,000",,,,"64,000,000",,,,"24,000,000",,,,"54,000,000",,,,"26,000,000"
				Leases,,"250,000,000",,,,"268,000,000",,,,"267,000,000",,,,"246,000,000",,,,"247,000,000",,,,"236,000,000",,,,"208,000,000"
			AccumulatedDepreciation,,"-912,000,000",,,,"-877,000,000",,,,"-950,000,000",,,,"-894,000,000",,,,"-819,000,000",,,,"-757,000,000",,,,"-684,000,000"
