name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,12/31/2009
TotalAssets,"4,921,657,000","5,148,976,000","5,124,244,000","5,296,537,000","5,328,563,000","5,617,172,000","5,746,501,000","5,917,437,000","6,069,225,000","5,851,400,000","5,875,645,000","5,941,667,000","6,000,530,000","6,005,097,000","6,184,705,000","6,447,221,000","6,487,006,000","6,794,805,000","6,865,063,000","4,001,666,000","3,992,764,000","4,023,393,000","3,965,032,000","3,960,330,000","3,940,338,000","3,980,211,000","3,966,469,000","3,922,339,000","3,993,032,000","4,128,379,000","4,133,988,000","4,108,764,000","3,843,665,000","3,717,974,000","3,705,655,000","3,653,849,000","3,637,620,000","3,346,385,000","3,345,237,000","3,340,832,000","3,250,938,000","3,290,018,000","3,298,630,000","3,333,213,000","3,288,481,000","3,045,824,000","2,422,897,000","2,202,865,000"
	CurrentAssets,"616,359,000","778,350,000","719,910,000","753,424,000","737,293,000","980,969,000","1,079,719,000","1,140,787,000","1,265,690,000","1,025,458,000","992,252,000","1,028,406,000","422,284,000","504,324,000","683,014,000","708,579,000","640,568,000","789,023,000","642,840,000","635,608,000","607,869,000","610,105,000","319,453,000","290,212,000","248,285,000","247,138,000","272,590,000","389,381,000","464,087,000","590,653,000","415,380,000","502,613,000","399,144,000","447,229,000","463,007,000","400,588,000","467,991,000","237,229,000","319,904,000","302,640,000","400,234,000","447,289,000","515,386,000","515,939,000","467,648,000","404,709,000","284,152,000","271,130,000"
		CashCashEquivalentsAndShortTermInvestments,"479,047,000","665,341,000","624,551,000","657,892,000","647,844,000","899,813,000","995,963,000","1,048,442,000","1,157,818,000","882,474,000","845,882,000","697,600,000","241,481,000","320,147,000","425,384,000","382,455,000","401,943,000","586,470,000","421,181,000","479,879,000","451,010,000","456,672,000","178,627,000","160,054,000","126,004,000","134,192,000","140,461,000","263,881,000","339,774,000","262,458,000","274,440,000","373,732,000","270,765,000","332,248,000","343,526,000","262,897,000","347,027,000","115,861,000","192,102,000","155,595,000","261,065,000","310,231,000","368,461,000","362,559,000","323,627,000","267,454,000","160,273,000","164,281,000"
			CashAndCashEquivalents,"479,047,000","665,341,000","624,551,000","657,892,000","647,844,000","899,813,000","995,963,000","1,048,442,000","1,157,818,000","882,474,000","845,882,000","697,600,000","241,481,000","320,147,000","425,384,000","382,455,000","401,943,000","586,470,000","421,181,000","479,879,000","451,010,000","456,672,000","178,627,000","160,054,000","126,004,000","134,192,000","140,461,000","263,881,000","339,774,000","262,458,000","274,440,000","373,732,000","270,765,000","332,248,000","343,526,000","262,897,000","347,027,000","115,861,000","192,102,000","155,595,000","261,065,000","310,231,000","368,461,000","362,559,000","323,627,000","267,454,000","160,273,000","151,382,000"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"339,494,000","351,522,000","270,130,000","354,963,000","125,771,000",,,,,,,,,,
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"12,899,000"
		Receivables,"37,876,000","31,091,000","28,833,000","25,352,000","19,054,000","13,346,000","14,302,000","11,410,000","22,773,000","39,762,000","54,058,000","65,019,000","67,605,000","52,115,000","76,914,000","73,617,000","76,833,000","60,011,000","70,818,000","34,408,000","34,668,000","26,018,000","37,874,000","34,286,000","31,007,000","25,755,000","39,514,000","31,802,000","30,820,000","25,691,000","37,574,000","35,009,000","31,758,000","22,762,000","32,629,000","33,781,000","28,390,000","22,738,000","29,324,000","29,288,000","26,530,000","20,081,000","27,299,000","27,246,000","24,638,000","20,240,000","19,566,000","21,737,000"
			AccountsReceivable,"37,876,000","31,091,000","28,833,000","25,352,000","19,054,000","13,346,000","14,302,000","11,410,000","22,773,000","39,762,000","54,058,000","65,019,000","67,605,000","52,115,000","76,914,000","73,617,000","76,833,000","60,011,000","70,818,000","34,408,000","34,668,000","26,018,000","37,874,000","34,286,000","31,007,000","25,755,000","39,514,000","31,802,000","30,820,000","25,691,000","37,574,000","35,009,000","31,758,000","22,762,000","32,629,000","33,781,000","28,390,000","22,738,000","29,324,000","29,288,000","26,530,000","20,081,000","27,299,000","27,246,000",,"19,962,000",,"10,973,000"
				GrossAccountsReceivable,"38,198,000","31,365,000","29,009,000","25,442,000","19,307,000","13,638,000","14,668,000","11,983,000","23,112,000","40,013,000","54,329,000","65,371,000","67,958,000","52,713,000",,"74,266,000","77,410,000","60,521,000","71,432,000","34,589,000","34,825,000","26,200,000","38,056,000","34,432,000","31,136,000","25,872,000","39,696,000","31,972,000","31,009,000","25,857,000","37,807,000","35,187,000","31,930,000","22,996,000","32,862,000","34,094,000","28,622,000","22,932,000",,"29,528,000","26,671,000","20,231,000",,"27,416,000",,,,
				AllowanceForDoubtfulAccountsReceivable,"-322,000","-274,000","-176,000","-90,000","-253,000","-292,000","-366,000","-573,000","-339,000","-251,000","-271,000","-352,000","-353,000","-598,000",,"-649,000","-577,000","-510,000","-614,000","-181,000","-157,000","-182,000","-182,000","-146,000","-129,000","-117,000","-182,000","-170,000","-189,000","-166,000","-233,000","-178,000","-172,000","-234,000","-233,000","-313,000","-232,000","-194,000",,"-240,000","-141,000","-150,000",,"-170,000",,,,
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"684,000",,"10,764,000"
