name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001
TotalAssets,"16,666,588,000","16,361,387,000","15,811,372,000","15,803,835,000","15,079,396,000","14,626,444,000","14,795,417,000","15,580,258,000","12,623,826,000","11,947,663,000","12,021,291,000","11,942,480,000","11,568,263,000","11,163,030,000","11,121,232,000","10,831,653,000","10,620,415,000","8,522,176,000","8,614,794,000","8,427,042,000","8,174,786,000","7,973,915,000","7,830,142,000","7,940,741,000","6,365,169,000","6,296,574,000","6,173,891,000","6,055,181,000","5,828,703,000","4,982,485,000","4,972,448,000","4,909,843,000","4,775,234,000","4,672,997,000","4,570,905,000","4,595,087,000","4,375,164,000","4,405,923,000","4,318,309,000","4,230,993,000","4,144,218,000","4,081,770,000","4,028,244,000","4,017,719,000","3,973,354,000","3,871,018,000","3,661,244,000","3,732,744,000","3,690,534,000","3,606,451,000","3,575,889,000","3,492,374,000","3,305,821,000","3,133,578,000","3,015,506,000","2,716,028,000","2,648,277,000","2,501,078,000","2,483,344,000","2,460,275,000","2,274,069,000","2,194,585,000","2,096,752,000","1,976,201,000","1,881,922,000","1,803,182,000","1,765,181,000","1,653,174,000","1,525,212,000","1,448,359,000","1,415,750,000","1,364,727,000","1,309,575,000","931,873,000","900,864,000","863,865,000","817,628,000","763,899,000","739,530,000","665,395,000","615,027,000","559,507,000"
TotalLiabilitiesNetMinorityInterest,"14,786,828,000","14,445,213,000","13,910,938,000","13,933,979,000","13,263,090,000","12,842,616,000","13,046,714,000","13,858,715,000","10,958,194,000","10,293,969,000","10,382,757,000","10,336,028,000","10,002,607,000","9,624,610,000","9,621,408,000","9,354,867,000","9,171,065,000","7,379,671,000","7,473,943,000","7,304,044,000","7,073,541,000","6,887,357,000","6,751,264,000","6,879,193,000","5,529,166,000","5,476,380,000","5,357,822,000","5,252,290,000","5,037,123,000","4,364,209,000","4,359,040,000","4,305,031,000","4,181,828,000","4,087,679,000","3,993,496,000","4,023,699,000","3,808,263,000","3,846,044,000","3,764,703,000","3,683,998,000","3,604,481,000","3,561,281,000","3,513,089,000","3,509,000,000","3,467,628,000","3,371,506,000","3,163,142,000","3,237,672,000","3,216,246,000","3,142,130,000","3,128,149,000","3,063,256,000","2,877,782,000","2,713,907,000","2,682,134,000","2,452,037,000","2,383,338,000","2,244,222,000","2,236,159,000","2,220,875,000","2,037,739,000","1,964,568,000","1,868,931,000","1,756,013,000","1,667,314,000","1,591,196,000","1,558,279,000","1,450,456,000","1,328,197,000","1,259,838,000","1,230,522,000","1,219,766,000","1,165,965,000","851,232,000","822,410,000","787,529,000","744,721,000","693,058,000","670,126,000","598,268,000","555,794,000","518,345,000"
TotalEquityGrossMinorityInterest,"1,879,760,000","1,916,174,000","1,900,434,000","1,869,856,000","1,816,306,000","1,783,828,000","1,748,703,000","1,721,543,000","1,665,632,000","1,653,694,000","1,638,534,000","1,606,452,000","1,565,656,000","1,538,420,000","1,499,824,000","1,476,786,000","1,449,350,000","1,142,505,000","1,140,851,000","1,122,998,000","1,101,245,000","1,086,558,000","1,078,878,000","1,061,548,000","836,003,000","820,194,000","816,069,000","802,891,000","791,580,000","618,276,000","613,408,000","604,812,000","593,406,000","585,318,000","577,409,000","571,388,000","566,901,000","559,879,000","553,606,000","546,995,000","539,737,000","520,489,000","515,155,000","508,719,000","505,726,000","499,512,000","498,102,000","495,072,000","474,288,000","464,321,000","447,740,000","429,118,000","428,039,000","419,671,000","333,372,000","263,991,000","264,939,000","256,856,000","247,185,000","239,400,000","236,330,000","230,017,000","227,821,000","220,188,000","214,608,000","211,986,000","206,902,000","202,718,000","197,015,000","188,521,000","185,228,000","144,961,000","143,610,000","80,641,000","78,454,000","76,336,000","72,907,000","70,841,000","69,404,000","67,127,000","59,233,000","41,162,000"
	StockholdersEquity,"1,862,520,000","1,899,314,000","1,883,087,000","1,853,844,000","1,800,215,000","1,766,847,000","1,731,742,000","1,707,595,000","1,653,200,000","1,640,755,000","1,625,380,000","1,593,763,000","1,553,848,000","1,525,526,000","1,485,970,000","1,462,761,000","1,438,480,000","1,131,240,000","1,129,588,000","1,110,681,000","1,089,760,000","1,075,102,000","1,067,193,000","1,050,360,000","826,875,000","810,921,000","807,152,000","794,018,000","783,156,000","608,944,000","604,185,000","595,995,000","584,420,000","576,308,000","569,307,000","563,424,000","559,453,000","552,910,000","546,541,000","540,078,000","533,449,000","514,194,000","508,794,000","502,534,000","498,519,000","492,331,000","490,802,000","488,036,000","467,643,000","457,624,000","441,444,000","422,790,000","421,808,000","419,671,000","333,372,000","263,991,000","264,939,000","256,856,000","247,185,000","239,400,000","236,330,000","230,017,000","227,821,000","220,188,000","214,608,000","211,986,000","206,902,000","202,718,000","197,015,000","188,521,000","185,228,000","144,961,000","143,610,000","80,641,000","78,454,000","76,336,000","72,907,000","70,841,000","69,404,000","67,127,000","59,233,000","41,162,000"
		CapitalStock,"121,231,000","121,164,000","121,163,000","121,144,000","121,108,000","121,132,000","121,115,000","121,101,000","121,057,000","121,107,000","121,080,000","121,038,000","106,980,000","120,801,000","106,833,000","120,615,000","120,472,000","104,403,000","104,387,000","104,386,000","104,307,000","104,174,000","104,000,000","103,963,000","86,151,000","86,026,000","85,985,000","85,936,000","85,795,000","136,113,000","135,700,000","135,663,000","135,324,000","134,382,000","134,429,000","186,430,000","186,481,000","186,764,000","186,638,000","186,643,000","184,985,000","183,092,000","182,981,000","51,749,000","51,771,000","51,479,000","51,465,000","51,440,000","49,693,000","49,091,000","45,080,000","44,988,000","44,699,000","44,271,000","43,632,000","40,487,000","40,349,000","40,182,000","40,024,000","39,920,000","39,582,000","39,343,000","39,297,000","39,138,000","39,096,000","38,360,000","38,343,000","37,098,000","37,063,000","36,311,000","34,019,000","33,785,000","33,345,000","25,880,000","25,740,000","25,581,000","25,390,000","25,118,000","24,601,000","24,508,000","38,480,000","21,209,000"
			PreferredStock,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","76,458,000","76,458,000","76,458,000","76,458,000","76,458,000","76,458,000","133,789,000","133,809,000","134,304,000","134,344,000","134,354,000","134,504,000","134,507,000","134,548,000","3,303,000","3,306,000","3,313,000","3,321,000","3,323,000","3,327,000","3,329,000","3,330,000","3,330,000","3,340,000","3,348,000","2,993,000","0","0","0",,,,,,,,,,,,,,,,,,,,,"0","0","0","0"
			CommonStock,"121,231,000","121,164,000","121,163,000","121,144,000","121,108,000","121,132,000","121,115,000","121,101,000","121,057,000","121,107,000","121,080,000","121,038,000","106,980,000","120,801,000","106,833,000","120,615,000","120,472,000","104,403,000","104,387,000","104,386,000","104,307,000","104,174,000","104,000,000","103,963,000","86,151,000","86,026,000","85,985,000","85,936,000","85,795,000","59,655,000","59,242,000","59,205,000","58,866,000","57,924,000","57,971,000","52,641,000","52,672,000","52,460,000","52,294,000","52,289,000","50,481,000","48,585,000","48,433,000","48,446,000","48,465,000","48,166,000","48,144,000","48,117,000","46,366,000","45,762,000","41,750,000","41,658,000","41,359,000","40,923,000","40,639,000","40,487,000","40,349,000","40,182,000","40,024,000","39,920,000","39,582,000","39,343,000","39,297,000","39,138,000","39,096,000","38,360,000","38,343,000","37,098,000","37,063,000","36,311,000","34,019,000","33,785,000","33,345,000","25,880,000","25,740,000","25,581,000","25,390,000","25,118,000","24,601,000","24,508,000","38,480,000","21,209,000"
			OtherCapitalStock,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","48,117,000","46,366,000","45,762,000","41,750,000","41,658,000","41,359,000","40,923,000","40,639,000",,,,,,,,,,,,,,,,,,,,,,,,,,,
		AdditionalPaidInCapital,"1,050,387,000","1,050,948,000","1,049,367,000","1,048,332,000","1,047,312,000","1,046,642,000","1,045,170,000","1,043,774,000","1,041,870,000","1,041,160,000","1,039,156,000","1,036,982,000","1,035,563,000","1,034,676,000","1,032,863,000","1,031,965,000","1,028,985,000","749,800,000","748,444,000","747,867,000","746,289,000","745,411,000","743,223,000","742,228,000","536,294,000","535,094,000","533,609,000","532,646,000","531,483,000","317,718,000","316,240,000","315,946,000","313,272,000","313,743,000","312,888,000","260,933,000","262,045,000","261,496,000","259,720,000","259,150,000","246,239,000","233,895,000","232,679,000","361,442,000","360,898,000","359,564,000","358,928,000","358,205,000","343,985,000","340,825,000","326,599,000","313,951,000","313,272,000","310,237,000","232,138,000","170,022,000","169,298,000","168,364,000","165,108,000","163,955,000","161,555,000","159,023,000","158,324,000","157,868,000","157,374,000","154,573,000","153,547,000","139,660,000","139,252,000","131,689,000","100,282,000","98,334,000","96,738,000","43,502,000","42,446,000","41,378,000","40,631,000","39,760,000","39,747,000","39,642,000","20,037,000","19,932,000"
		RetainedEarnings,"747,614,000","716,605,000","690,960,000","655,095,000","613,826,000","557,889,000","520,888,000","499,502,000","477,972,000","467,186,000","445,186,000","420,600,000","399,030,000","379,239,000","354,842,000","328,125,000","304,896,000","282,729,000","279,165,000","260,783,000","243,337,000","229,503,000","218,631,000","202,565,000","204,413,000","192,795,000","186,522,000","175,145,000","163,519,000","154,655,000","151,547,000","143,519,000","135,936,000","128,527,000","122,576,000","117,029,000","110,065,000","103,834,000","98,440,000","92,993,000","99,515,000","94,453,000","89,971,000","87,431,000","84,615,000","81,000,000","77,769,000","74,982,000","72,780,000","69,341,000","67,126,000","64,374,000","62,422,000","60,832,000","58,770,000","54,332,000","50,269,000","46,227,000","42,321,000","38,281,000","34,311,000","30,734,000","31,626,000","26,108,000","20,561,000","21,433,000","16,469,000","27,027,000","22,704,000","21,427,000","17,793,000","14,555,000","11,956,000","11,191,000","9,808,000","7,794,000","6,019,000","5,079,000","3,660,000","2,096,000","723,000","-422,000"
