name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014
TotalRevenue,"473,681,000","22,218,000","398,655,000","30,773,000","22,035,000","18,884,000","21,445,000","98,912,000","16,566,000","17,644,000","11,768,000","14,700,000","7,881,000","884,000","40,777,000","5,306,000","40,031,000","132,391,000","2,040,000","1,336,000","6,562,000","455,000","1,696,000","125,000","2,375,000","393,000","4,448,000","1,140,000","1,363,000","644,000","1,148,000","483,000"
	OperatingRevenue,"473,681,000","22,218,000","398,655,000","30,773,000","22,035,000","18,884,000","21,445,000","98,912,000","16,566,000","17,644,000","11,768,000","14,700,000","7,881,000","884,000","40,777,000","5,306,000","40,031,000","132,391,000","2,040,000","1,335,000","6,555,000","455,000","1,665,000","112,000","2,352,000","387,000","4,447,000","1,126,000","1,514,000","204,000","729,000","173,000"
CostOfRevenue,"62,699,000","15,717,000","23,058,000","14,105,000","9,819,000","4,851,000","10,257,000","17,364,000","4,684,000","3,409,000","3,791,000","2,494,000","1,927,000","29,000","2,843,000","517,000","3,872,000","2,408,000","-382,000","683,000","1,317,000","91,000","330,000","35,000","498,000","96,000","882,000","257,000","310,000","53,000","151,000","12,000"
GrossProfit,"410,982,000","6,501,000","375,597,000","16,668,000","12,216,000","14,033,000","11,188,000","81,548,000","11,882,000","14,235,000","7,977,000","12,206,000","5,954,000","855,000","37,934,000","4,789,000","36,159,000","129,983,000","2,422,000","653,000","5,245,000","364,000","1,366,000","90,000","1,877,000","297,000","3,566,000","883,000","1,053,000","591,000","997,000","471,000"
OperatingExpense,"278,487,000","78,028,000","62,001,000","74,016,000","64,442,000","58,075,000","64,839,000","67,597,000","53,715,000","51,935,000","48,301,000","48,102,000","42,826,000","36,761,000","35,484,000","27,514,000","29,809,000","27,958,000","19,020,000","21,962,000","20,301,000","23,286,000","21,835,000","18,758,000","16,829,000","11,548,000","9,049,000","8,226,000","7,349,000","4,584,000","3,196,000","2,147,000"
	SellingGeneralAndAdministration,"83,813,000","22,318,000","22,040,000","21,030,000","18,425,000","17,838,000","17,571,000","15,859,000","15,554,000","14,833,000","14,450,000","12,402,000","13,405,000","11,558,000","11,144,000","9,008,000","8,318,000","8,380,000","4,808,000","9,444,000","6,355,000","6,622,000","5,742,000","6,200,000","6,169,000","5,479,000","4,241,000","2,567,000","3,397,000","1,716,000","1,119,000","1,070,000"
		GeneralAndAdministrativeExpense,"83,813,000","22,318,000","22,040,000","21,030,000","18,425,000","17,838,000","17,571,000","15,859,000","15,554,000","14,833,000","14,450,000","12,402,000","13,405,000","11,558,000","11,144,000","9,008,000","8,318,000","8,380,000","4,808,000","9,444,000","6,355,000","6,622,000","5,742,000","6,200,000","6,169,000","5,479,000","4,241,000","2,567,000","3,397,000","1,716,000","1,119,000","1,070,000"
			OtherGandA,"83,813,000","22,318,000","22,040,000","21,030,000","18,425,000","17,838,000","17,571,000","15,859,000","15,554,000","14,833,000","14,450,000","12,402,000","13,405,000","11,558,000","11,144,000","9,008,000","8,318,000","8,380,000","4,808,000","9,444,000","6,355,000","6,622,000","5,742,000","6,200,000","6,169,000","5,479,000","4,241,000","2,567,000","3,397,000","1,716,000","1,119,000","1,070,000"
	ResearchAndDevelopment,"197,342,000","55,627,000","47,978,000","47,855,000","45,882,000","39,722,000","47,180,000","43,968,000","38,111,000","37,035,000","33,807,000","35,692,000","29,483,000","25,203,000","24,329,000","18,508,000","21,486,000","19,550,000","14,170,000","12,518,000","13,917,000","16,619,000","16,059,000","12,560,000","10,680,000","6,183,000","4,808,000","5,664,000","4,012,000","2,791,000","2,092,000","1,085,000"
	OtherOperatingExpenses,"-2,668,000","83,000","-8,017,000","5,131,000","135,000","515,000","88,000","7,770,000","50,000","67,000","44,000","8,000","-62,000",,"11,000","-2,000","5,000","28,000","42,000",,"29,000","45,000","34,000","-2,000","-20,000","-114,000","0","-5,000","-60,000","77,000","-15,000","-8,000"
OperatingIncome,"132,495,000","-71,527,000","313,596,000","-57,348,000","-52,226,000","-44,042,000","-53,651,000","13,951,000","-41,833,000","-37,700,000","-40,324,000","-35,896,000","-36,872,000","-35,906,000","2,450,000","-22,725,000","6,350,000","102,025,000","-16,598,000","-21,309,000","-15,056,000","-22,922,000","-20,469,000","-18,668,000","-14,952,000","-11,251,000","-5,483,000","-7,343,000","-6,296,000","-3,993,000","-2,199,000","-1,676,000"
NetNonOperatingInterestIncomeExpense,"-24,921,000","-6,036,000","-6,481,000","-6,592,000","-5,812,000","-6,673,000","-641,000","1,444,000","1,849,000","848,000","860,000","716,000","762,000","613,000","584,000","109,000","6,898,000","1,355,000",,,,,"0",,"0","0","0","0","0","-20,000","-119,000","-92,000"
	InterestIncomeNonOperating,"784,000","94,000","19,000","117,000","554,000","29,000","130,000","1,444,000","1,849,000","848,000","860,000","716,000","762,000","613,000","584,000","109,000","6,898,000","1,355,000",,,,,,,,,,,,,,
	InterestExpenseNonOperating,"25,705,000","6,130,000","6,500,000","6,709,000","6,366,000","6,702,000","771,000",,,,,,,,,,,,,,,,"0",,"0","0","0","0","0","20,000","119,000","92,000"
OtherIncomeExpense,"7,044,000","799,000","311,000","5,535,000","399,000","580,000","13,794,000","-6,607,000","5,722,000","-3,186,000","10,609,000","431,000","34,524,000","2,995,000","2,893,000","2,122,000","1,196,000","859,000","601,000","603,000","583,000","929,000","426,000","514,000","515,000","483,000","307,000","11,000","6,000","2,000","-18,000","-25,000"
	GainOnSaleOfSecurity,"7,044,000","799,000","311,000","5,535,000","399,000","580,000","13,794,000","-6,607,000","5,722,000","-3,186,000","10,609,000","431,000","34,524,000","2,995,000","2,893,000","2,122,000","1,196,000","859,000","601,000","603,000","583,000","929,000","426,000","514,000","515,000","483,000","307,000","11,000","6,000","2,000","-18,000","-25,000"
	SpecialIncomeCharges,,,,,,,,,,,,,,,,,,,,"0",,,,,,,,,,,,
