name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021
OperatingCashFlow,"-594,114","-387,160","-87,887","-32,300","-86,767","-640,841"
	CashFlowFromContinuingOperatingActivities,"-594,114","-387,160","-87,887","-32,300","-86,767","-640,841"
		NetIncomeFromContinuingOperations,"18,639,081","8,155,827","731,465","6,273,216","3,478,573","-1,088,331"
		OperatingGainsLosses,"-19,382,001","-8,422,734","-1,633,823","-6,493,921","-3,710,013","682,090"
			GainLossOnInvestmentSecurities,"-19,382,001","-8,422,734","-1,633,823","-6,493,921","-3,710,013","682,090"
		OtherNonCashItems,"-287,588","-136,007","825,381","-53,160","-45,312","-15,104"
		ChangeInWorkingCapital,"436,394","15,754","-10,910","241,565","189,985","-219,496"
			ChangeInPrepaidAssets,"354,324","25,036","112,916","101,132","115,240","-556,461"
			ChangeInPayablesAndAccruedExpense,"82,070","-9,282","-123,826","140,433","74,745","336,965"
				ChangeInPayable,,"22,406","-28,663",,,
					ChangeInTaxPayable,,"4,060",,,,
						ChangeInIncomeTaxPayable,,"4,060",,,,
				ChangeInAccruedExpense,"57,911","-31,688","-95,163","110,017","74,745","336,965"
InvestingCashFlow,"0","0","0","0","0","-600,000,000"
	CashFlowFromContinuingInvestingActivities,"0","0","0","0","0","-600,000,000"
		NetOtherInvestingChanges,,,"0","0","0","-600,000,000"
FinancingCashFlow,"0","0","0","0","0","601,556,792"
	CashFlowFromContinuingFinancingActivities,"0","0","0","0","0","601,556,792"
		NetIssuancePaymentsOfDebt,"0","0","0","0","0","-189,155"
			NetLongTermDebtIssuance,"0","0","0","0","0","-189,155"
				LongTermDebtPayments,"0","0","0","0","0","-189,155"
		NetCommonStockIssuance,"0","0","0","0","0","588,000,000"
			CommonStockIssuance,"0","0","0","0","0","588,000,000"
		ProceedsFromStockOptionExercised,"0","0","0","0","0","14,000,001"
		NetOtherFinancingCharges,,,"0","0","0","-254,054"
EndCashPosition,"322,022","322,022","709,182","797,069","829,369","916,136"
	ChangesInCash,"-594,114","-387,160","-87,887","-32,300","-86,767","915,951"
	BeginningCashPosition,"916,136","709,182","797,069","829,369","916,136","185"
IssuanceOfCapitalStock,"0","0","0","0","0","588,000,000"
RepaymentOfDebt,"0","0","0","0","0","-189,155"
FreeCashFlow,"-594,114","-387,160","-87,887","-32,300","-86,767","-640,841"
