name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990
OperatingCashFlow,"86,582,000","-32,315,000","86,535,000","18,730,000","13,696,000","-32,600,000","70,001,000","13,509,000","19,634,000","-13,946,000","31,087,000","10,402,000","-11,823,000","-20,263,000","26,436,000","-18,809,000","12,954,000","-9,235,000","40,757,000","-15,873,000","16,947,000","17,170,000","10,206,000","10,710,000","15,900,000","9,590,000","26,761,000","7,983,000","23,982,000","19,842,000","-259,000","-4,777,000","12,831,000","-41,890,000","-13,414,000","-12,845,000","38,181,000","-18,136,000","27,323,000","-23,567,000","44,266,000","-7,598,000","37,161,000","-192,000","12,802,000","-10,505,000","24,283,000","480,000","22,854,000","-14,427,000","27,601,000","16,541,000","20,266,000","-32,457,000","3,021,000","8,341,000","21,813,000","-30,102,000","9,948,000","7,631,000","43,671,000","-5,743,000","-19,911,000","13,700,000","5,920,000","-29,526,000","1,288,000","19,297,000","671,000","-2,507,000","7,574,000","9,868,000","7,955,000","-9,987,000","-213,000","5,533,000","7,039,000","-7,935,000","9,282,800","-757,100","5,456,800","-5,824,000","4,105,200","8,937,900","6,614,600","-4,850,500","-2,116,400","337,200","4,025,000","-3,610,400","918,000","7,200,000","1,000,000","-5,800,000","11,300,000","-1,500,000","-1,300,000","-1,300,000","4,900,000","-3,500,000","2,200,000","-7,100,000","-100,000","200,000","-100,000","400,000","-1,900,000","3,200,000","2,400,000","-100,000","400,000","100,000","300,000","900,000","1,500,000","300,000","-2,000,000","1,200,000","400,000","-1,000,000","700,000","1,400,000","-500,000","700,000","400,000","0","-1,500,000"
	CashFlowFromContinuingOperatingActivities,"86,582,000","-32,315,000","86,535,000","18,730,000","13,696,000","-32,600,000","70,001,000","13,509,000","19,634,000","-13,946,000","31,087,000","10,402,000","-11,823,000","-20,263,000","26,436,000","-18,809,000","12,954,000","-9,235,000","40,757,000","-15,873,000","16,947,000","17,170,000","10,206,000","10,710,000","15,900,000","9,590,000","26,761,000","7,983,000","23,982,000","19,842,000","-259,000","-4,777,000","12,831,000","-41,890,000","-13,414,000","-12,845,000","38,181,000","-18,136,000","27,323,000","-23,567,000","44,266,000","-7,598,000","37,161,000","-192,000","12,802,000","-10,505,000","24,283,000","480,000","22,854,000","-14,427,000","27,601,000","16,541,000","20,266,000","-32,457,000","3,021,000","8,341,000","21,813,000","-30,102,000","9,948,000","7,631,000","43,671,000","-5,743,000","-19,911,000","13,700,000","5,920,000","-29,526,000","1,288,000","19,297,000","671,000","-2,507,000","7,574,000","9,868,000","7,955,000","-9,987,000","-213,000","5,533,000","7,039,000","-7,935,000","9,282,800","-757,100","5,456,800","-5,824,000","4,105,200","8,937,900","6,614,600","-4,850,500","-2,116,400","337,200","4,025,000","-3,610,400","918,000","7,200,000","1,000,000","-5,800,000","11,300,000","-1,500,000","-1,300,000","-1,300,000","4,900,000","-3,500,000","2,200,000","-7,100,000","-100,000","200,000","-100,000","400,000","-1,900,000","3,200,000","2,400,000","-100,000","400,000","100,000","300,000","900,000","1,500,000","300,000","-2,000,000","1,200,000","400,000","-1,000,000","700,000","1,400,000","-500,000","700,000","400,000","0","-1,500,000"
		NetIncomeFromContinuingOperations,"25,451,000","9,935,000","4,874,000","5,498,000","5,144,000","3,071,000","7,908,000","2,927,000","3,887,000","520,000","3,436,000","3,153,000","3,106,000","3,906,000","7,403,000","6,490,000","5,564,000","4,605,000","8,399,000","4,018,000","4,531,000","3,413,000","3,854,000","2,841,000","3,382,000","2,947,000","2,917,000","2,704,000","739,000","-43,000","1,482,000","608,000","-29,000","2,005,000","102,000","8,745,000","8,266,000","16,819,000","11,272,000",,,"8,734,000",,,"6,007,000","5,012,000","3,903,000","3,611,000","1,643,000","1,827,000","-8,581,000","2,097,000","-4,000","699,000","7,915,000","6,029,000","4,342,000","1,733,000","7,564,000","5,447,000","3,591,000","2,126,000","5,409,000","4,249,000","3,315,000","2,475,000","7,851,000","5,268,000","2,748,000","3,135,000","5,881,000","3,988,000","2,405,000","2,203,000","4,498,000","2,816,000","1,725,000","1,224,000","3,359,100","1,765,400","1,125,000","799,300","2,738,500","1,484,500","818,900","597,700","2,527,200","1,017,100","689,200","77,700","2,435,500","700,000","600,000","-500,000",,,"-100,000","-300,000","1,700,000","-300,000","700,000","-100,000","1,200,000","0","100,000","300,000","2,700,000","200,000","300,000","-100,000","800,000","-200,000","700,000","-100,000","2,300,000","200,000","200,000","-500,000","100,000","500,000","0","100,000","-300,000","-800,000","0","100,000","-200,000"
		OperatingGainsLosses,"-21,000","-184,000","299,000","118,000","-73,000","13,000","875,000","-1,263,000","-204,000","836,000","60,000","89,000","36,000","24,000","-662,000","533,000","301,000","217,000","-177,000","115,000","69,000","42,000","44,000","180,000","47,000","82,000","56,000","389,000",,,"350,000","-461,000","68,000","72,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"160,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,"271,000","77,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			NetForeignCurrencyExchangeGainLoss,"-680,000","-261,000","105,000","-183,000",,,,"-1,305,000","-229,000","823,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,,,"0","301,000","74,000","13,000","45,000","42,000","25,000","13,000","60,000","89,000","36,000","24,000","-662,000","533,000","301,000","217,000","-177,000","115,000","69,000","42,000","44,000","180,000","47,000","82,000","56,000","389,000","191,000","0","350,000","-461,000","68,000","72,000","600,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"22,056,000","5,230,000","5,184,000","6,348,000","5,294,000","5,403,000","5,318,000","4,919,000","4,903,000","4,762,000","4,751,000","4,659,000","4,624,000","4,609,000","4,658,000","4,717,000","4,533,000","4,983,000","4,601,000","4,264,000","4,155,000","3,939,000","3,960,000","4,008,000","4,044,000","4,315,000","4,284,000","4,326,000","3,910,000","3,954,000","4,336,000","4,000,000","4,263,000","3,733,000","3,662,000","3,722,000","3,762,000","3,699,000","3,572,000","2,869,000","3,577,000","3,469,000","3,180,000","3,633,000","3,482,000","3,251,000","6,173,000","1,198,000","3,484,000","3,526,000","3,363,000","3,306,000","3,443,000","3,375,000","2,902,000","3,017,000","2,932,000","2,762,000","2,761,000","2,631,000","2,598,000","2,098,000","1,883,000","1,797,000","552,000","2,442,000","1,817,000","1,703,000","1,656,000","1,840,000","1,907,000","1,442,000","1,384,000","1,067,000","1,105,000","1,142,000","1,045,000","761,000","550,100","649,900","630,300","507,100","611,200","495,200","518,800","518,600","549,100","821,700","799,300","779,100","814,800","800,000","800,000","800,000","700,000","800,000","900,000","700,000","700,000","600,000","700,000","700,000","500,000","600,000","600,000","600,000","700,000","900,000","900,000","900,000","900,000","900,000","800,000","900,000","900,000","900,000","800,000","900,000","800,000","800,000","700,000","700,000","700,000","700,000","200,000","300,000","200,000"
			DepreciationAndAmortization,"22,056,000","5,230,000","5,184,000","6,348,000","5,294,000","5,403,000","5,318,000","4,919,000","4,903,000","4,762,000","4,751,000","4,659,000","4,624,000","4,609,000","4,658,000","4,717,000","4,533,000","4,983,000","4,601,000","4,264,000","4,155,000","3,939,000","3,960,000","4,008,000","4,044,000","4,315,000","4,284,000","4,326,000","3,910,000","3,954,000","4,336,000","4,000,000","4,263,000","3,733,000","3,662,000","3,722,000","3,762,000","3,699,000","3,572,000","2,869,000","3,577,000","3,469,000","3,180,000","3,633,000","3,482,000","3,251,000","6,173,000","1,198,000","3,484,000","3,526,000","3,363,000","3,306,000","3,443,000","3,375,000","2,902,000","3,017,000","2,932,000","2,762,000","2,761,000","2,631,000","2,598,000","2,098,000","1,883,000","1,797,000","552,000","2,442,000","1,817,000","1,703,000","1,656,000","1,840,000","1,907,000","1,442,000","1,384,000","1,067,000","1,105,000","1,142,000","1,045,000","761,000","550,100","649,900","630,300","507,100","611,200","495,200","518,800","518,600","549,100","821,700","799,300","779,100","814,800","800,000","800,000","800,000","700,000","800,000","900,000","700,000","700,000","600,000","700,000","700,000","500,000","600,000","600,000","600,000","700,000","900,000","900,000","900,000","900,000","900,000","800,000","900,000","900,000","900,000","800,000","900,000","800,000","800,000","700,000","700,000","700,000","700,000","200,000","300,000","200,000"
				Depreciation,,,,,,,,,,,,"4,659,000","4,624,000","4,609,000","4,658,000","4,717,000","4,533,000","4,983,000","4,601,000","4,264,000","4,155,000","3,939,000","3,960,000","4,008,000","4,044,000","4,315,000","4,284,000","4,326,000","3,910,000","3,954,000","4,336,000","4,000,000","4,263,000","3,733,000","3,662,000","3,722,000","3,762,000","3,699,000",,,,,,,,,,,"2,706,000","2,738,000",,,,"2,712,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
