name,05/31/2022,02/28/2022,11/30/2021,08/31/2021,05/31/2021,02/28/2021,11/30/2020,08/31/2020,05/31/2020,02/29/2020,11/30/2019,08/31/2019,05/31/2019,02/28/2019,11/30/2018,08/31/2018,05/31/2018,02/28/2018,11/30/2017,08/31/2017,05/31/2017,02/28/2017,08/31/2016
		LongTermDebtAndCapitalLeaseObligation,"521,620,000","510,958,000","370,546,000","372,903,000","366,410,000","232,153,000","217,158,000","216,402,000","215,394,000","216,033,000","200,755,000","182,450,000","188,428,000","194,537,000","200,532,000","184,190,000","136,606,000","142,752,000","148,249,000","154,450,000","197,910,000","202,744,000","225,587,000"
			LongTermDebt,"485,026,000","483,911,000","341,150,000","340,484,000","338,047,000","210,811,000","197,634,000","195,573,000","193,547,000","191,593,000","177,303,000","182,450,000","188,428,000","194,537,000","200,532,000","184,190,000","136,606,000","142,752,000","148,249,000","154,450,000","197,910,000","202,744,000","225,587,000"
			LongTermCapitalLeaseObligation,"36,594,000","27,047,000","29,396,000","32,419,000","28,363,000","21,342,000","19,524,000","20,829,000","21,847,000","24,440,000","23,452,000",,,,,,,,,,,,
		NonCurrentDeferredLiabilities,,,,,,,,,,,,,,,,,"351,000","730,000","1,041,000","1,439,000","1,769,000","2,174,000","2,677,000"
			NonCurrentDeferredTaxesLiabilities,,,,,,,,,,,,,,,,,"351,000","730,000","1,041,000","1,439,000","1,769,000","2,174,000","2,677,000"
		OtherNonCurrentLiabilities,"108,467,000","108,839,000","85,749,000","69,173,000","52,961,000","7,071,000","6,681,000","5,613,000","6,127,000","8,126,000","10,219,000","10,327,000","6,840,000","7,563,000","8,038,000","5,659,000","1,897,000","1,897,000","1,869,000","1,869,000","2,437,000","2,507,000","2,465,000"
TotalEquityGrossMinorityInterest,"399,069,000","354,912,000","332,284,000","318,924,000","277,468,000","258,559,000","278,318,000","282,104,000","264,519,000","307,051,000","271,784,000","273,460,000","242,080,000","250,290,000","229,665,000","187,128,000","166,355,000","146,908,000","98,751,000","82,396,000","27,382,000","20,708,000","-1,237,000"
	StockholdersEquity,"392,602,000","348,827,000","322,940,000","310,251,000","269,433,000","258,559,000","278,318,000","282,104,000","264,519,000","307,051,000","271,784,000","273,460,000","242,080,000","250,290,000","229,665,000","187,128,000","166,355,000","146,908,000","98,751,000","82,396,000","27,382,000","20,708,000","-1,237,000"
		CapitalStock,"1,573,000","1,535,000","784,000","773,000","769,000","757,000","751,000","737,000","728,000","723,000","718,000","712,000","696,000","691,000","687,000","678,000","672,000","666,000","656,000","653,000","420,000","416,000","416,000"
			CommonStock,"1,573,000","1,535,000","784,000","773,000","769,000","757,000","751,000","737,000","728,000","723,000","718,000","712,000","696,000","691,000","687,000","678,000","672,000","666,000","656,000","653,000","420,000","416,000","416,000"
		AdditionalPaidInCapital,"437,863,000","423,136,000","411,608,000","396,851,000","335,785,000","320,284,000","356,827,000","346,131,000","342,476,000","350,086,000","294,332,000","285,994,000","268,652,000","262,603,000","257,607,000","250,191,000","245,097,000","239,628,000","234,686,000","232,162,000","170,502,000","168,769,000","145,284,000"
		RetainedEarnings,"231,385,000","207,272,000","204,814,000","184,787,000","164,137,000","171,348,000","165,504,000","163,477,000","155,949,000","155,124,000","164,844,000","164,620,000","158,995,000","157,050,000","144,264,000","112,254,000","82,536,000","50,590,000","13,796,000","-7,209,000","3,000,000","-4,958,000","586,000"
		TreasuryStock,"67,345,000","53,440,000","53,211,000","50,545,000",,,,,,,,,,,,,,,,,,,
		GainsLossesNotAffectingRetainedEarnings,"-210,874,000","-229,676,000","-241,055,000","-221,615,000","-231,258,000","-233,830,000","-244,764,000","-228,241,000","-234,634,000","-198,882,000","-188,110,000","-177,866,000","-186,263,000","-170,054,000","-172,893,000","-175,995,000","-161,950,000","-143,976,000","-150,387,000","-143,210,000","-146,540,000","-143,519,000","-147,523,000"
	MinorityInterest,"6,467,000","6,085,000","9,344,000","8,673,000","8,035,000",,,,,,,,,,,,,,,,,,
TotalCapitalization,"877,628,000","832,738,000","664,090,000","650,735,000","607,480,000","469,370,000","475,952,000","477,677,000","458,066,000","498,644,000","449,087,000","455,910,000","430,508,000","444,827,000","430,197,000","371,318,000","302,961,000","289,660,000","247,000,000","236,846,000","225,292,000","223,452,000","224,350,000"
CommonStockEquity,"392,602,000","348,827,000","322,940,000","310,251,000","269,433,000","258,559,000","278,318,000","282,104,000","264,519,000","307,051,000","271,784,000","273,460,000","242,080,000","250,290,000","229,665,000","187,128,000","166,355,000","146,908,000","98,751,000","82,396,000","27,382,000","20,708,000","-1,237,000"
CapitalLeaseObligations,"36,594,000","27,047,000","29,396,000","32,419,000","36,910,000","26,340,000","24,078,000","26,133,000","27,211,000","29,562,000","27,949,000",,,,,,,,,,,,
NetTangibleAssets,"234,340,000","186,527,000","155,122,000","134,923,000","89,016,000","136,698,000","153,960,000","152,478,000","131,983,000","166,206,000","126,004,000","122,712,000","173,949,000","179,858,000","158,731,000","115,479,000","122,310,000","98,666,000","50,433,000","31,267,000","-25,979,000","-36,463,000","-63,097,000"
WorkingCapital,"642,670,000","597,913,000","408,718,000","367,020,000","314,027,000","255,803,000","275,955,000","274,221,000","260,846,000","272,680,000","232,353,000","234,360,000","287,479,000","297,396,000","289,328,000","226,264,000","186,920,000","169,251,000","120,686,000","107,115,000","102,195,000","94,359,000","90,095,000"
InvestedCapital,"886,423,000","839,163,000","699,892,000","676,089,000","632,480,000","469,370,000","475,952,000","477,677,000","458,674,000","500,190,000","472,126,000","479,964,000","449,595,000","459,521,000","440,065,000","398,727,000","325,034,000","312,614,000","269,500,000","259,687,000","238,316,000","235,614,000","241,466,000"
TangibleBookValue,"234,340,000","186,527,000","155,122,000","134,923,000","89,016,000","136,698,000","153,960,000","152,478,000","131,983,000","166,206,000","126,004,000","122,712,000","173,949,000","179,858,000","158,731,000","115,479,000","122,310,000","98,666,000","50,433,000","31,267,000","-25,979,000","-36,463,000","-63,097,000"
TotalDebt,"530,415,000","517,383,000","406,348,000","398,257,000","399,957,000","237,151,000","221,712,000","221,706,000","221,366,000","222,701,000","228,291,000","206,504,000","207,515,000","209,231,000","210,400,000","211,599,000","158,679,000","165,706,000","170,749,000","177,291,000","210,934,000","214,906,000","242,703,000"
NetDebt,"106,495,000","124,568,000","143,902,000","142,852,000","174,055,000","71,008,000","33,537,000","44,762,000","62,310,000","51,279,000","88,953,000","108,365,000","81,416,000","114,057,000","147,446,000","180,224,000","94,184,000","113,890,000","147,246,000","154,855,000","188,593,000","191,565,000","184,069,000"
ShareIssued,"52,432,000","51,189,000","52,274,000","51,540,000","48,475,228","47,682,000","49,518,000","48,838,000","48,288,000","47,986,000","47,676,794","47,234,000","46,162,316","45,854,502","45,562,000","44,960,000","44,615,024","44,212,270","43,501,786","43,332,000","28,026,000","41,416,354","41,416,354"
OrdinarySharesNumber,"50,376,000","49,733,000","49,368,000","48,736,000","48,475,228","47,682,000","49,518,000","48,838,000","48,288,000","47,986,000","47,676,794","47,234,000","46,162,316","45,854,502","45,562,000","44,960,000","44,615,024","44,212,270","43,501,786","43,332,000","28,026,000","41,416,354","41,416,354"
TreasurySharesNumber,"2,056,000","1,456,000","2,906,000","2,804,000",,,,,,,,,,,,,,,,,,,
