name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013
TotalAssets,"397,280,000","468,127,000","449,923,000","456,791,000","529,637,000","588,120,000","405,532,000","428,111,000","299,547,000","342,942,000","364,785,000","274,144,000","324,726,000","391,839,000","442,940,000","492,707,000","473,108,000","217,779,000","229,693,000","244,155,000","241,738,000","263,914,000","284,417,000","300,814,000","312,978,000","324,975,000","340,379,000","161,102,000","169,817,000","106,122,000","54,120,000","58,503,000","62,866,000","51,828,000"
	CurrentAssets,"314,389,000","384,621,000","369,497,000","392,325,000","464,307,000","523,273,000","339,432,000","358,987,000","229,217,000","272,992,000","293,418,000","201,139,000","250,830,000","321,489,000","372,976,000","425,070,000","413,614,000","172,190,000","206,217,000","222,492,000","235,318,000","260,553,000","282,230,000","298,883,000","311,741,000","324,597,000","340,235,000","160,634,000","169,691,000","106,026,000","52,022,000","57,085,000","62,291,000","51,808,000"
		CashCashEquivalentsAndShortTermInvestments,"301,811,000","371,068,000","357,245,000","373,380,000","435,161,000","500,659,000","327,185,000","347,712,000","214,631,000","259,109,000","282,922,000","190,135,000","237,545,000","309,631,000","364,543,000","417,015,000","407,321,000","166,096,000","200,221,000","216,896,000","230,646,000","255,682,000","278,147,000","294,557,000","306,403,000","320,482,000","334,265,000","155,031,000","166,696,000","104,116,000","51,699,000","56,498,000","62,031,000","51,615,000"
			CashAndCashEquivalents,"101,669,000","106,084,000","113,209,000","123,856,000","151,097,000","200,404,000","62,620,000","74,511,000","70,203,000","74,317,000","94,431,000","59,159,000","56,168,000","60,698,000","66,028,000","103,203,000","90,495,000","79,223,000","60,493,000","64,237,000","62,430,000","47,968,000","46,013,000","26,356,000","22,056,000","23,746,000","54,466,000","26,190,000","71,329,000","21,897,000","25,703,000","31,779,000","39,754,000","51,615,000"
			OtherShortTermInvestments,"200,142,000","264,984,000","244,036,000","249,524,000","284,064,000","300,255,000","264,565,000","273,201,000","144,428,000","184,792,000","188,491,000","130,976,000","181,377,000","248,933,000","298,515,000","313,812,000","316,826,000","86,873,000","139,728,000","152,659,000","168,216,000","207,714,000","232,134,000","268,201,000","284,347,000","296,736,000","279,799,000","128,841,000","95,367,000","82,219,000","25,996,000","24,719,000","22,277,000","0"
		Receivables,"668,000","986,000","0",,"9,610,000","1,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccountsReceivable,"668,000","986,000","0",,"9,610,000","1,250,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"11,574,000","12,373,000","12,058,000","18,751,000","19,342,000","21,170,000","12,053,000","11,081,000","14,392,000","13,689,000","10,302,000","10,810,000","13,091,000","11,664,000","8,239,000","7,861,000","6,099,000","5,900,000","5,802,000","5,402,000","4,478,000","4,677,000","3,889,000","4,132,000","5,144,000","3,921,000","5,970,000","5,603,000","2,995,000","1,910,000","323,000","587,000","260,000","193,000"
		RestrictedCash,"146,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000","194,000",,,,,,,,
		AssetsHeldForSaleCurrent,"190,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
