name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020
OperatingCashFlow,"108,363,000","35,219,000","3,654,000","31,782,000","37,708,000","73,099,000","35,315,000","52,575,000"
	CashFlowFromContinuingOperatingActivities,"108,363,000","35,219,000","3,654,000","31,782,000","37,708,000","73,099,000","35,315,000","52,575,000"
		NetIncomeFromContinuingOperations,"43,778,000","16,058,000","6,352,000","14,383,000","6,985,000","9,212,000","3,405,000","783,000"
		OperatingGainsLosses,,,"16,089,000","552,000","18,258,000","11,561,000","17,436,000","167,000"
			GainLossOnSaleOfPPE,,,,"452,000",,,,
			GainLossOnInvestmentSecurities,,,"14,639,000","100,000","18,258,000","11,547,000","17,428,000","167,000"
		DepreciationAmortizationDepletion,"32,344,000","12,885,000","6,716,000","8,297,000","4,446,000","4,463,000","4,275,000","4,244,000"
			DepreciationAndAmortization,"32,344,000","12,885,000","6,716,000","8,297,000","4,446,000","4,463,000","4,275,000","4,244,000"
				Depreciation,,"12,885,000",,,,"4,463,000",,
		DeferredTax,"-7,799,000","2,417,000",,,,"0",,
			DeferredIncomeTax,"-7,799,000","2,417,000",,,,"0",,
		StockBasedCompensation,"7,004,000","697,000","5,248,000","708,000","351,000","76,000","77,000","76,000"
		OtherNonCashItems,"-1,510,000","2,494,000","673,000","-2,075,000","-2,602,000","-374,000","-18,000","-2,195,000"
		ChangeInWorkingCapital,"-353,000","668,000","-21,208,000","9,917,000","10,270,000","48,161,000","10,140,000","49,500,000"
			ChangeInReceivables,"-888,000","-1,358,000","132,000","108,000","230,000","-98,000","-345,000","-208,000"
				ChangesInAccountReceivables,"-888,000","-1,358,000","132,000","108,000","230,000","-98,000","-345,000","-208,000"
			ChangeInInventory,"-124,583,000","-38,199,000","-37,788,000","-34,456,000","-14,140,000","-13,937,000","-5,955,000","-5,631,000"
			ChangeInPrepaidAssets,"-8,476,000","-3,016,000","-2,686,000","-4,859,000","2,085,000","2,127,000","-7,728,000","-1,429,000"
			ChangeInPayablesAndAccruedExpense,"44,806,000","13,313,000","16,978,000","13,463,000","1,052,000","3,404,000","1,527,000","7,309,000"
				ChangeInPayable,"25,496,000","8,680,000","15,897,000","1,082,000","-163,000","779,000","-2,677,000","3,371,000"
					ChangeInAccountPayable,"25,496,000","8,680,000","15,897,000","1,082,000","-163,000","779,000","-2,677,000","3,371,000"
				ChangeInAccruedExpense,"19,310,000","4,633,000","1,081,000","12,381,000","1,215,000","2,625,000","4,204,000","3,938,000"
			ChangeInOtherCurrentAssets,,,"-288,000","0",,,"-481,000","50,000"
			ChangeInOtherCurrentLiabilities,"1,587,000","99,000","158,000","158,000","1,172,000","-995,000","52,000","-16,000"
			ChangeInOtherWorkingCapital,"87,489,000","29,829,000","2,286,000","35,503,000","19,871,000","57,660,000","23,070,000","49,425,000"
InvestingCashFlow,"-51,015,000","-10,151,000","-18,339,000","-15,840,000","-6,685,000","-7,006,000","-1,882,000","-984,000"
	CashFlowFromContinuingInvestingActivities,"-51,015,000","-10,151,000","-18,339,000","-15,840,000","-6,685,000","-7,006,000","-1,882,000","-984,000"
		NetPPEPurchaseAndSale,"-51,015,000","-10,151,000","-18,339,000","-15,840,000","-6,685,000","-7,006,000","-1,882,000","-984,000"
			PurchaseOfPPE,"-51,015,000","-10,151,000","-18,339,000","-15,840,000","-6,685,000","-7,006,000","-1,882,000","-984,000"
FinancingCashFlow,"-25,754,000","-1,000","-15,887,000","20,000","-9,886,000","-5,714,000","-89,170,000","-8,845,000"
	CashFlowFromContinuingFinancingActivities,"-25,754,000","-1,000","-15,887,000","20,000","-9,886,000","-5,714,000","-89,170,000","-8,845,000"
		NetIssuancePaymentsOfDebt,"963,000","-1,000","0","20,000","944,000","-1,071,000","-40,752,000","0"
			NetLongTermDebtIssuance,"-37,000","-1,000","0","20,000","-56,000","-71,000","-29,752,000","-11,000,000"
				LongTermDebtIssuance,,,"1,000,000","0",,,,
				LongTermDebtPayments,"-1,037,000","-1,000","-1,000,000","20,000","-56,000","-71,000","-60,352,000","9,500,000"
			NetShortTermDebtIssuance,,"0",,,,"-1,000,000",,
				ShortTermDebtPayments,,"0",,,,"-1,000,000",,
		CashDividendsPaid,,,"-46,442,000","0",,,"-23,418,000","-8,845,000"
		ProceedsFromStockOptionExercised,,,"0","0",,,"0","0"
		NetOtherFinancingCharges,,,,,,"-4,643,000",,
EndCashPosition,"155,975,000","155,975,000","130,908,000","155,126,000","139,164,000","124,381,000","57,648,000","113,385,000"
	ChangesInCash,"31,594,000","25,067,000","-30,572,000","15,962,000","21,137,000","60,379,000","-55,737,000","42,746,000"
	BeginningCashPosition,"124,381,000","130,908,000","155,126,000","139,164,000","124,381,000","64,002,000","113,385,000","70,639,000"
IncomeTaxPaidSupplementalData,"1,552,000","259,000","111,000",,,"110,000","139,000",
InterestPaidSupplementalData,"4,811,000","1,281,000","1,244,000",,,"1,591,000","2,244,000",
CapitalExpenditure,"-51,015,000","-10,151,000","-18,339,000","-15,840,000","-6,685,000","-7,006,000","-1,882,000","-984,000"
IssuanceOfDebt,,,"1,000,000","0",,,"10,100,000","0"
RepaymentOfDebt,"-37,000","-1,000","-1,000,000","20,000","944,000","-1,071,000","-50,852,000","0"
FreeCashFlow,"57,348,000","25,068,000","-14,685,000","15,942,000","31,023,000","66,093,000","33,433,000","51,591,000"
