name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009
TotalAssets,"2,569,107,000","2,501,380,000","2,489,713,000","2,566,402,000","2,351,914,000","2,293,503,000","2,124,314,000","1,971,363,000","1,966,603,000","1,908,913,000","1,826,420,000","1,756,480,000","1,716,786,000","1,655,096,000","1,735,704,000","1,742,465,000","1,539,539,000","1,712,339,000","1,723,512,000","1,624,738,000","1,617,926,000","1,579,815,000","1,365,144,000","1,401,343,000","1,365,712,000","1,382,139,000","1,410,722,000","1,337,225,000","2,792,134,000","2,856,936,000","2,656,770,000","2,626,053,000","2,499,630,000","2,609,153,000","2,739,664,000","2,725,309,000","2,749,392,000","2,840,355,000","2,803,772,000","2,781,161,000","2,736,497,000","2,789,111,000","2,545,217,000","2,578,415,000","2,512,110,000","2,500,510,000","2,389,886,000","2,405,822,000","2,588,769,000","2,603,859,000"
	CurrentAssets,"792,405,000","773,732,000","813,823,000","922,652,000","759,239,000","773,598,000","709,600,000","623,973,000","687,040,000","629,755,000","621,450,000","587,380,000","577,564,000","542,448,000","684,857,000","890,697,000","702,850,000","873,090,000","830,876,000","745,544,000","743,509,000","693,571,000","617,350,000","664,771,000","634,239,000","647,294,000","705,230,000","627,726,000","1,420,835,000","1,473,802,000","1,371,859,000","1,329,671,000","1,339,044,000","1,437,424,000","1,430,161,000","1,417,102,000","1,440,088,000","1,521,086,000","1,488,825,000","1,459,041,000","1,409,239,000","1,487,076,000","1,329,456,000","1,289,900,000","1,225,886,000","1,209,116,000","1,103,665,000","1,152,203,000","1,282,504,000","1,306,715,000"
		CashCashEquivalentsAndShortTermInvestments,"27,424,000","37,702,000","73,201,000","194,052,000","61,504,000","46,317,000","48,361,000","65,294,000","81,321,000","92,383,000","17,259,000","38,058,000","26,577,000","33,468,000","68,857,000","319,448,000","144,369,000","206,338,000","206,374,000","152,376,000","108,335,000","140,158,000","59,926,000","112,683,000","71,847,000","158,205,000","138,172,000","51,415,000","284,863,000","317,806,000","215,967,000","220,167,000","214,403,000","356,864,000","265,665,000","311,323,000","354,498,000","472,316,000","339,455,000","362,324,000","360,857,000","484,014,000","301,357,000","285,599,000","292,181,000","391,376,000","178,007,000","240,361,000","401,138,000","469,482,000"
			CashAndCashEquivalents,"23,635,000","33,891,000","69,381,000","190,752,000","57,677,000","42,610,000","44,662,000","61,584,000","77,627,000","86,540,000","13,641,000","34,444,000","22,976,000","29,871,000","66,125,000","317,624,000","143,335,000","203,404,000","203,140,000","147,930,000","95,924,000","125,641,000","45,226,000","97,802,000","67,691,000","154,729,000","135,921,000","46,910,000","274,394,000","312,969,000","196,921,000","215,918,000","208,055,000","346,116,000","219,828,000","242,205,000","261,116,000","383,547,000","200,299,000","206,770,000","249,620,000","415,209,000","261,583,000","258,371,000","292,181,000","391,142,000","177,656,000","240,347,000","401,124,000","469,468,000"
			OtherShortTermInvestments,"3,789,000","3,811,000","3,820,000","3,300,000","3,827,000","3,707,000","3,699,000","3,710,000","3,694,000","5,843,000","3,618,000","3,614,000","3,601,000","3,597,000","2,732,000","1,824,000","1,034,000","2,934,000","3,234,000","4,446,000","12,411,000","14,517,000","14,700,000","14,881,000","4,156,000","3,476,000","2,251,000","4,505,000","10,469,000","4,837,000","19,046,000","4,249,000","6,348,000","10,748,000","45,837,000","69,118,000","93,382,000","88,769,000","139,156,000","155,554,000","111,237,000","68,805,000","39,774,000","27,228,000","0","234,000","351,000","14,000","14,000","14,000"
		Receivables,"712,598,000","685,416,000","692,287,000","680,734,000","655,218,000","679,955,000","617,498,000","516,940,000","544,582,000","492,854,000","559,652,000","504,945,000","501,246,000","461,287,000","567,113,000","533,036,000","519,583,000","629,210,000","588,449,000","556,945,000","599,242,000","517,964,000","527,022,000","514,503,000","513,329,000","441,540,000","474,140,000","473,767,000","851,931,000","873,272,000","841,092,000","787,105,000","820,305,000","776,623,000","858,850,000","814,033,000","779,519,000","743,160,000","435,966,000","414,518,000","405,711,000","383,337,000","416,917,000","429,296,000","379,874,000","353,605,000","397,755,000","373,955,000","345,002,000","359,150,000"
			AccountsReceivable,"136,690,000","122,170,000","127,312,000","112,089,000","139,819,000","208,540,000","157,462,000","111,613,000","125,436,000","103,391,000","141,778,000","128,786,000","137,255,000","129,459,000","194,575,000","200,889,000","174,150,000","189,217,000","160,740,000","145,980,000","187,980,000","135,950,000","157,188,000","133,434,000","157,284,000","153,326,000","180,108,000","146,847,000","404,941,000","430,600,000","424,875,000","381,761,000","328,197,000","360,323,000","414,984,000","407,323,000","374,296,000","364,960,000","435,966,000","414,518,000","405,711,000","383,337,000","416,917,000","429,296,000","379,874,000","353,605,000","397,755,000","373,955,000","345,002,000","359,150,000"
			OtherReceivables,"575,908,000","563,246,000","564,975,000","568,645,000","515,399,000","471,415,000","460,036,000","405,327,000","419,146,000","389,463,000","417,874,000","376,159,000","363,991,000","331,828,000","372,538,000","332,147,000","345,433,000","439,993,000","427,709,000","410,965,000","411,262,000","382,014,000","369,834,000","381,069,000","356,045,000","288,214,000","294,032,000","326,920,000","446,990,000","442,672,000","416,217,000","405,344,000","492,108,000","416,300,000","443,866,000","406,710,000","405,223,000","378,200,000",,,,,,,,,,,,
		Inventory,,,,,,,,,,,,,,,,,,,,,,,,,,"7,311,000","10,970,000","11,384,000","109,659,000","108,637,000","116,533,000","112,971,000","109,544,000","113,058,000","113,895,000","111,583,000","117,115,000","124,218,000","131,799,000","115,507,000","114,025,000","107,298,000","108,271,000","105,072,000","100,194,000","100,932,000","101,173,000","97,863,000","95,009,000","98,644,000"
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"82,766,000","81,530,000","86,311,000","82,485,000","80,473,000","85,455,000","87,832,000","86,851,000","92,286,000","98,428,000","106,372,000","83,383,000","78,830,000","77,932,000","81,483,000","69,188,000","71,340,000","72,917,000","71,434,000","71,258,000","64,308,000","71,207,000"
