name,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,04/30/1995
		Inventory,"26,062,000","21,054,000","20,310,000","15,242,000","11,871,000","11,946,000","9,723,000","9,610,000","10,883,000","9,565,000","7,809,000","8,031,000","6,557,000","8,660,000","9,736,000","9,168,000","16,129,000","14,218,000","16,518,000","24,235,000","33,099,000","33,829,000","25,924,000","25,274,000","16,186,000","15,189,000","12,554,000","10,457,000","7,354,000","6,148,000","5,379,000","5,998,000","5,530,000","5,224,000","4,033,000","5,679,000","4,339,000","4,635,000","5,426,000","5,744,000","3,611,000","2,744,000","3,178,000","4,481,000","5,284,000","3,916,000","3,555,000","4,692,000","3,123,000","3,861,000","5,850,000","6,177,000","4,707,000","5,547,000","6,700,000","4,628,000","2,900,000","2,394,000","2,500,000","2,363,000","1,916,000","2,871,000","1,899,000","971,000","885,000","1,060,000","1,487,000","811,000","627,000","1,545,000","1,857,000","2,272,000","1,240,000","1,188,000","566,000","659,000","376,000","1,292,000","584,000","77,000",,,,,,,,,,,"100,000",,"100,000","100,000","100,000","100,000",,"100,000","100,000","200,000","200,000","300,000","200,000","200,000","100,000","100,000",
			RawMaterials,,,,,,,,,,,,,"6,557,000","8,660,000","9,648,000","8,979,000","8,165,000","8,799,000","9,439,000","10,721,000","11,304,000","13,263,000","11,696,000","10,177,000","10,911,000","7,202,000","6,923,000","6,176,000","3,821,000","3,105,000","3,233,000","2,725,000","2,370,000","2,303,000","2,142,000","2,340,000","2,169,000","2,125,000","2,043,000","2,077,000","1,966,000","1,593,000","1,427,000","1,197,000","1,512,000","1,664,000","1,884,000","1,718,000","1,243,000","1,720,000","1,355,000","1,822,000","1,654,000","2,176,000","1,474,000","1,664,000","1,115,000","1,139,000","1,230,000","892,000","810,000","709,000","601,000","644,000","565,000","614,000","547,000","474,000","445,000","540,000","560,000","511,000","411,000","312,000","187,000","165,000","205,000","19,000","459,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			WorkInProcess,,,,,,,,,,,,,"0","0","88,000","189,000","7,964,000","5,419,000","7,079,000","13,514,000","13,755,000","20,566,000","14,228,000","15,097,000","5,275,000","7,987,000","5,631,000","4,281,000","3,533,000","3,043,000","2,146,000","3,273,000","3,160,000","2,921,000","1,891,000","3,339,000","2,170,000","2,510,000","3,383,000","3,667,000","1,645,000","1,151,000","1,751,000","3,284,000","3,772,000","2,252,000","1,671,000","2,974,000","1,880,000","2,141,000","4,495,000","4,355,000","3,053,000","3,371,000","5,226,000","2,964,000","1,785,000","1,255,000","1,270,000","1,471,000","1,106,000","2,162,000","1,298,000","327,000","320,000","446,000","940,000","337,000","182,000","1,005,000","1,297,000","1,761,000","829,000","876,000","379,000","494,000","171,000","1,273,000","125,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
			FinishedGoods,,,,,,,,,,,,,,,,,,,,"0","8,040,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		PrepaidAssets,"1,879,000","1,126,000","1,377,000","1,536,000","1,064,000","813,000","828,000","569,000","712,000","763,000","926,000","777,000","709,000","567,000","774,000","528,000","679,000","906,000","1,223,000","1,388,000","1,460,000","1,747,000","1,711,000","1,235,000","1,351,000","2,346,000","1,995,000","1,052,000","1,355,000","934,000","1,189,000","883,000","1,419,000","1,050,000","874,000","635,000","709,000","878,000","885,000","887,000","795,000","1,238,000","1,125,000","853,000","953,000","1,318,000","1,524,000","1,703,000","2,004,000","1,123,000","1,049,000","991,000","1,466,000","685,000","1,142,000","1,198,000","1,208,000","1,140,000","1,484,000","1,172,000","1,188,000","1,325,000","1,323,000","1,127,000","1,466,000","867,000","877,000","938,000","1,197,000","777,000","102,000","126,000","240,000","745,000","389,000","142,000","257,000","356,000","527,000","500,000","390,000","519,000","317,000","277,000","264,000",,,,,,,,,,,,,,,,,,,,,,
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,"0","0","0","2,014,000","5,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherCurrentAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"21,000","41,000","67,000","94,000","122,000","148,000","175,000","202,000","229,000","248,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"822,000","1,182,000","610,000","696,000","400,000","300,000","500,000","400,000","500,000","200,000","200,000","400,000","200,000","3,000,000","2,000,000",,"1,000,000","1,000,000",,"3,900,000","3,900,000","100,000"
	TotalNonCurrentAssets,"249,820,000","110,605,000","94,708,000","69,751,000","57,706,000","51,867,000","50,469,000","48,543,000","47,857,000","47,939,000","49,023,000","50,506,000","27,077,000","27,328,000","27,731,000","27,788,000","27,933,000","28,828,000","29,651,000","29,512,000","29,012,000","28,330,000","27,181,000","27,363,000","27,235,000","25,448,000","23,199,000","19,702,000","16,941,000","10,517,000","7,069,000","6,079,000","4,774,000","4,252,000","3,821,000","3,137,000","3,144,000","3,406,000","3,454,000","3,613,000","3,470,000","3,619,000","3,727,000","4,054,000","3,951,000","3,611,000","3,408,000","2,947,000","2,557,000","2,775,000","2,774,000","2,901,000","2,993,000","3,144,000","3,111,000","3,126,000","3,214,000","3,328,000","3,294,000","2,984,000","3,099,000","3,104,000","2,388,000","2,495,000","2,564,000","2,504,000","2,209,000","2,237,000","2,119,000","2,052,000","1,500,000","1,328,000","1,253,000","1,158,000","1,057,000","1,004,000","1,142,000","1,358,000","1,467,000","1,168,000","1,076,000","1,013,000","1,077,000","1,156,000","1,263,000","944,000","1,063,000","1,049,000","1,036,000","1,800,000","2,000,000","4,100,000","4,200,000","4,400,000","9,700,000","9,800,000","9,800,000","9,700,000","7,800,000","6,400,000","5,900,000","5,200,000","4,400,000","2,600,000","2,500,000","600,000","600,000"
		NetPPE,"129,761,000","106,903,000","90,719,000","67,446,000","56,146,000","51,215,000","49,640,000","47,891,000","47,205,000","47,287,000","48,371,000","49,054,000","25,625,000","25,876,000","26,279,000","26,336,000","26,479,000","26,325,000","27,148,000","24,399,000","23,674,000","24,143,000","23,957,000","24,261,000","24,302,000","23,846,000","21,764,000","18,395,000","15,124,000","8,958,000","5,398,000","3,647,000","2,447,000","2,514,000","2,315,000","2,448,000","2,678,000","2,783,000","2,683,000","2,868,000","2,900,000","2,659,000","2,540,000","2,441,000","2,209,000","2,232,000","2,229,000","1,851,000","1,469,000","1,469,000","1,431,000","1,574,000","1,681,000","1,799,000","1,910,000","1,925,000","2,058,000","1,801,000","1,801,000","1,796,000","1,840,000","1,845,000","1,920,000","1,837,000","1,906,000","1,824,000","1,655,000","1,745,000","1,638,000","1,222,000","921,000","814,000","873,000","928,000","904,000","838,000","836,000","922,000","1,005,000","1,042,000","915,000","883,000","947,000","1,022,000","1,117,000","798,000","867,000","883,000","870,000","1,700,000","1,900,000","1,900,000","1,900,000","2,000,000","9,200,000","9,200,000","9,300,000","9,000,000","7,100,000","5,800,000","5,300,000","4,700,000","4,300,000","2,400,000","2,300,000","400,000","400,000"
			GrossPPE,"154,218,000","130,651,000","113,688,000","89,549,000","77,240,000","71,396,000","68,966,000","66,362,000","64,846,000","64,114,000","64,388,000","64,349,000","40,194,000","39,941,000","39,921,000","39,350,000","38,851,000","38,508,000","40,148,000","36,741,000","35,374,000","35,472,000","34,786,000","34,484,000","33,912,000","32,842,000","30,410,000","26,818,000","23,313,000","16,909,000","13,356,000","11,340,000","9,863,000","9,681,000","9,581,000","9,478,000","9,451,000","9,275,000","8,946,000","8,865,000","8,637,000","8,152,000","7,894,000","7,571,000","7,137,000","6,977,000","6,890,000","6,355,000","5,835,000","5,725,000","5,676,000","5,766,000","5,757,000","5,781,000","5,841,000","5,728,000","5,728,000","5,338,000","5,248,000","5,128,000","5,052,000","4,936,000","4,975,000","4,774,000","4,728,000","4,534,000","4,387,000","4,378,000","4,170,000","3,664,000","3,449,000","3,270,000","3,246,000","3,204,000","3,170,000","3,040,000","2,951,000","2,950,000","3,006,000","2,988,000","2,768,000","2,726,000","2,737,000","2,747,000","2,730,000","1,808,000","1,894,000","1,829,000","1,739,000","3,200,000","3,200,000","3,100,000","3,000,000","3,700,000","11,300,000","11,100,000","10,900,000","10,400,000","8,400,000","7,000,000","6,300,000","5,700,000","5,200,000","3,200,000","3,000,000","1,100,000","1,000,000"
