name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018
OperatingCashFlow,"132,588,000","48,530,000","40,230,000","22,399,000","21,429,000","38,430,000","52,110,000","57,997,000","41,939,000","44,483,000","86,036,000","65,320,000","71,362,000","19,111,000","95,766,000","56,882,000","-77,140,000","27,592,000"
	CashFlowFromContinuingOperatingActivities,"132,588,000","48,530,000","40,230,000","22,399,000","21,429,000","38,430,000","52,110,000","57,997,000","41,939,000","44,483,000","86,036,000","65,320,000","71,362,000","19,111,000","95,766,000","56,882,000","-77,140,000","27,592,000"
		NetIncomeFromContinuingOperations,"-51,030,000","-56,810,000","8,825,000","9,836,000","-12,881,000","-21,322,000","-63,830,000","-18,864,000","-64,901,000","-115,300,000","-6,984,000","52,649,000","31,972,000","-34,098,000","131,768,000","36,985,000","-28,061,000","6,410,000"
		OperatingGainsLosses,"100,216,000","100,652,000","-5,280,000","-1,739,000","6,583,000","26,624,000","78,793,000","31,256,000","95,066,000","-179,569,000","57,625,000","-27,348,000","-22,398,000","79,273,000","-126,227,000","16,463,000","50,005,000","16,795,000"
			GainLossOnInvestmentSecurities,"100,216,000","100,652,000","-5,280,000","-1,739,000","6,583,000","26,624,000","78,793,000","31,256,000","95,066,000","-179,569,000","57,625,000","-27,348,000","-21,153,000","78,028,000","-122,958,000","16,064,000","49,882,000","16,795,000"
		DepreciationAmortizationDepletion,"150,432,000","39,777,000","38,903,000","35,902,000","35,850,000","33,840,000","30,434,000","35,905,000","37,512,000","35,329,000","30,102,000","27,664,000","23,655,000","24,585,000","24,254,000","21,729,000","21,859,000","18,429,000"
		DeferredTax,"-807,000","-2,002,000","2,050,000","-758,000","-97,000","-376,000","-7,343,000","-3,452,000","-23,597,000","26,347,000","-56,072,000","20,171,000","12,221,000","-13,098,000","40,800,000","7,683,000","-5,476,000","939,000"
			DeferredIncomeTax,"-807,000","-2,002,000","2,050,000","-758,000","-97,000","-376,000","-7,343,000","-3,452,000","-23,597,000","26,347,000","-56,072,000","20,171,000","12,221,000","-13,098,000","40,800,000","7,683,000","-5,476,000","939,000"
		AssetImpairmentCharge,,,,,"0","0","0","0","0","289,085,000",,,,,,,,
		ProvisionandWriteOffofAssets,,,"-849,000","0","-500,000","0","0","-88,000","0","1,200,000","-274,000","0","0","427,000","0","0","-18,000","-2,000"
		StockBasedCompensation,"13,690,000","3,686,000","3,564,000","3,580,000","2,860,000","3,779,000","3,233,000","3,896,000","4,579,000","2,922,000","2,370,000","2,359,000","2,444,000","1,474,000","3,248,000","1,182,000","1,278,000","1,042,000"
		OtherNonCashItems,"2,249,000","-334,000","-3,884,000","4,957,000","1,510,000","1,360,000","4,299,000","3,137,000","85,000","2,913,000","2,047,000","5,618,000","1,657,000","1,255,000","64,000","-12,045,000","-127,284,000","-7,777,000"
		ChangeInWorkingCapital,"-80,813,000","-36,439,000","-3,099,000","-29,379,000","-11,896,000","-5,475,000","6,524,000","6,207,000","-6,805,000","-18,444,000","6,141,000","-15,793,000","21,811,000","-40,707,000","21,859,000","-15,115,000","10,557,000","-8,244,000"
			ChangeInReceivables,"-40,966,000","-25,648,000","1,146,000","-5,571,000","-10,893,000","-296,000","-3,218,000","183,000","-272,000","22,074,000","-7,907,000","-8,798,000","8,192,000","-6,084,000","9,863,000","-9,426,000","-3,283,000","1,163,000"
				ChangesInAccountReceivables,"-40,966,000","-25,648,000","1,146,000","-5,571,000","-10,893,000","-296,000","-3,218,000","183,000","-272,000","22,074,000","-7,907,000","-8,798,000","8,192,000","-6,084,000","9,863,000","-9,426,000","-3,283,000","1,163,000"
			ChangeInPayablesAndAccruedExpense,"-11,348,000","-14,093,000","15,388,000","-14,749,000","2,106,000","1,300,000","15,710,000","2,220,000","-2,923,000","-29,179,000","11,427,000","-4,025,000","21,535,000","-29,854,000","13,952,000","-2,847,000","15,744,000","-7,323,000"
				ChangeInPayable,,,,,,,,,,,,,,,"13,952,000","-2,847,000",,
					ChangeInAccountPayable,,,,,,,,,,,,,,,,"-2,847,000",,
			ChangeInOtherCurrentAssets,"-9,930,000","9,231,000","-5,762,000","-11,572,000","-1,827,000","-5,663,000","917,000","2,723,000","-3,311,000","-331,000","5,411,000","2,474,000","-10,318,000","-2,703,000","-2,416,000","1,085,000","-2,413,000","554,000"
			ChangeInOtherCurrentLiabilities,"-18,569,000","-5,929,000","-13,871,000","2,513,000","-1,282,000","-816,000","-6,885,000","1,081,000","-299,000","-11,008,000","-2,790,000","-5,444,000","2,402,000","-2,066,000","460,000","-3,927,000","509,000","-2,638,000"
			ChangeInOtherWorkingCapital,,,,,,,"-5,968,000","3,804,000","-3,610,000","-11,339,000","2,621,000","-2,970,000","-7,916,000","-2,066,000","-1,956,000","-2,842,000","-1,904,000","-2,638,000"
InvestingCashFlow,"-185,410,000","-36,560,000","-58,251,000","-50,024,000","-40,575,000","-19,937,000","-19,098,000","-9,004,000","-22,480,000","-43,038,000","-57,361,000","-60,285,000","-56,574,000","-50,805,000","-36,694,000","-40,028,000","-22,471,000","-19,876,000"
