name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000
OperatingCashFlow,"607,188,000","135,949,000","128,432,000","216,964,000","125,843,000","190,875,000","153,507,000","218,988,000","145,143,000","-16,868,000","128,191,000","113,864,000","58,309,000","38,824,000","172,964,000","57,363,000","62,473,000","7,756,000","168,340,000","70,364,000","191,343,000","125,055,000","107,969,000","62,441,000","14,727,000","-106,292,000","159,516,000","-31,250,000","27,999,000","-14,379,000","105,249,000","6,967,000","27,494,000","-57,219,000","57,066,000","-974,000","51,052,000","-19,623,000","16,154,000","-15,386,000","4,334,000","-8,966,000","65,445,000","-33,497,000","5,302,000","-20,129,000","-45,646,000","32,349,000","-23,422,000","20,156,000","-50,437,000","46,644,000","-30,450,000","10,227,000","-26,731,000","27,466,000","-19,743,000","12,949,000","-16,271,000","34,482,000","-22,943,000","850,000","-22,193,000","36,947,000","-15,226,000","3,372,000","-13,634,000","35,806,000","-26,086,000","-11,780,000","-17,461,000","40,980,000","-17,957,000","-6,246,000","-12,442,000","28,719,000","-7,863,000","7,802,000","-9,289,000"
	CashFlowFromContinuingOperatingActivities,"607,188,000","135,949,000","128,432,000","216,964,000","125,843,000","190,875,000","153,507,000","218,988,000","145,143,000","-16,868,000","128,191,000","113,864,000","58,309,000","38,824,000","172,964,000","57,363,000","62,473,000","7,756,000","168,340,000","70,364,000","191,343,000","125,055,000","107,969,000","62,441,000","14,727,000","-106,292,000","159,516,000","-31,250,000","27,999,000","-14,379,000","105,249,000","6,967,000","27,494,000","-57,219,000","57,066,000","-974,000","51,052,000","-19,623,000","16,154,000","-15,386,000","4,334,000","-8,966,000","65,445,000","-33,497,000","5,302,000","-20,129,000","-45,646,000","32,349,000","-23,422,000","20,156,000","-50,437,000","46,644,000","-30,450,000","10,227,000","-26,731,000","27,466,000","-19,743,000","12,949,000","-16,271,000","34,482,000","-22,943,000","850,000","-22,193,000","36,947,000","-15,226,000","3,372,000","-13,634,000","35,806,000","-26,086,000","-11,780,000","-17,461,000","40,980,000","-17,957,000","-6,246,000","-12,442,000","28,719,000","-7,863,000","7,802,000","-9,289,000"
		NetIncomeFromContinuingOperations,"758,601,000","200,711,000","147,045,000","184,099,000","226,746,000","130,656,000","130,193,000","46,411,000","98,423,000","-3,212,000","68,433,000","52,463,000","63,757,000","35,722,000","36,127,000","22,411,000","64,042,000","28,059,000","261,000","13,151,000","-7,862,000","-3,370,000","9,436,000","2,517,000","6,918,000","-13,470,000","33,302,000","20,710,000","29,935,000","7,156,000","42,525,000","19,429,000","27,253,000","1,795,000","26,642,000","9,549,000","-17,835,000","-161,000","-28,362,000","1,685,000",,,"24,054,000","-4,606,000",,,"-19,770,000","-14,543,000","-15,188,000","-7,923,000","-13,758,000","13,637,000","-5,708,000","236,000","-4,913,000","-19,228,000","-4,210,000","-2,462,000","-3,113,000","10,810,000","-3,118,000","-2,006,000","-3,982,000","7,892,000","-2,858,000","-2,785,000","-5,190,000","9,258,000","-2,398,000","-3,613,000","-6,850,000","-11,817,000","-7,928,000","-6,194,000","-7,928,000","9,745,000","-5,123,000","-3,417,000","-4,296,000"
		OperatingGainsLosses,"179,466,000","144,314,000","8,674,000","20,826,000","5,652,000","2,200,000","888,000","-152,000",,,"569,000","5,328,000",,,"0","0",,,"0",,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","674,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnSaleOfPPE,,,,,,"22,753,000","53,549,000","0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","674,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			GainLossOnInvestmentSecurities,,"-3,177,000",,,,,,,,,"0",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			EarningsLossesFromEquityInvestments,"7,494,000","1,375,000","1,320,000","2,313,000","2,486,000","2,095,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"96,894,000","24,758,000","24,647,000","24,819,000","22,670,000","23,886,000","23,352,000","26,476,000","25,342,000","24,870,000","24,794,000","23,435,000","9,042,000","43,468,000","21,166,000","18,377,000","17,756,000","17,047,000","19,043,000","18,546,000","16,526,000","16,020,000","15,747,000","15,036,000","13,658,000","12,554,000","12,490,000","11,231,000","10,895,000","9,979,000","9,468,000","9,017,000","8,338,000","7,640,000","7,695,000","6,731,000","6,598,000","6,630,000","7,263,000","6,593,000","6,468,000","6,424,000","6,830,000","7,373,000","7,597,000","7,386,000","6,130,000","6,405,000","5,929,000","5,725,000","5,061,000","5,740,000","5,385,000","5,423,000","5,148,000","5,363,000","4,395,000","5,727,000","4,118,000","4,199,000","3,838,000","3,795,000","4,114,000","3,867,000","4,323,000","4,876,000","4,955,000","4,305,000","4,756,000","4,710,000","4,870,000","7,233,000","4,560,000","5,771,000","3,060,000","4,905,000","3,831,000","3,802,000","3,377,000"
			DepreciationAndAmortization,"96,894,000","24,758,000","24,647,000","24,819,000","22,670,000","23,886,000","23,352,000","26,476,000","25,342,000","24,870,000","24,794,000","23,435,000","9,042,000","43,468,000","21,166,000","18,377,000","17,756,000","17,047,000","19,043,000","18,546,000","16,526,000","16,020,000","15,747,000","15,036,000","13,658,000","12,554,000","12,490,000","11,231,000","10,895,000","9,979,000","9,468,000","9,017,000","8,338,000","7,640,000","7,695,000","6,731,000","6,598,000","6,630,000","7,263,000","6,593,000","6,468,000","6,424,000","6,830,000","7,373,000","7,597,000","7,386,000","6,130,000","6,405,000","5,929,000","5,725,000","5,061,000","5,740,000","5,385,000","5,423,000","5,148,000","5,363,000","4,395,000","5,727,000","4,118,000","4,199,000","3,838,000","3,795,000","4,114,000","3,867,000","4,323,000","4,876,000","4,955,000","4,305,000","4,756,000","4,710,000","4,870,000","7,233,000","4,560,000","5,771,000","3,060,000","4,905,000","3,831,000","3,802,000","3,377,000"
				Depreciation,,,,,,,,,,,,,,"43,468,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
