name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011
				MachineryFurnitureEquipment,"241,472,000","231,667,000","224,812,000","218,264,000","210,738,000","203,376,000","196,587,000","189,791,000","183,137,000","176,149,000","168,663,000","171,383,000","165,140,000","158,124,000","152,379,000","146,330,000","139,854,000","128,463,000","111,444,000","90,282,000","78,893,000","67,145,000","58,957,000","49,704,000","43,655,000","40,435,000","35,014,000","31,609,000","27,775,000","26,515,000","24,224,000","23,452,000","19,777,000","16,696,000","13,300,000","10,931,000","9,198,000","9,777,000","9,229,000","8,673,000","7,353,000","6,059,000"
				OtherProperties,"32,935,000","34,570,000","36,194,000","36,336,000","37,908,000","39,552,000","40,856,000","42,097,000","43,430,000","45,453,000","43,960,000","44,808,000","46,313,000","76,188,000",,"84,693,000","88,190,000","85,698,000",,,,"56,101,000",,,,"32,094,000","29,877,000","28,964,000","27,143,000","26,744,000","26,422,000","27,575,000","25,798,000","20,256,000","8,634,000","6,778,000","5,660,000","5,255,000",,,,
				Leases,"19,432,000","19,453,000","19,356,000","19,380,000","19,368,000","19,382,000","19,310,000","19,260,000","19,260,000","19,203,000","18,868,000","18,820,000","18,780,000","18,822,000","19,305,000","18,488,000","18,620,000","18,487,000","18,280,000","23,165,000","22,592,000","20,944,000","18,769,000","15,748,000","14,856,000","14,471,000","14,472,000","14,420,000","14,207,000","13,954,000","13,932,000","13,898,000","13,886,000","10,669,000","1,330,000","888,000","612,000","484,000","484,000","452,000","414,000","395,000"
			AccumulatedDepreciation,"-210,698,000","-203,046,000","-195,302,000","-187,654,000","-179,740,000","-171,852,000","-163,211,000","-154,811,000","-145,501,000","-136,518,000","-124,376,000","-121,853,000","-111,367,000","-100,758,000","-90,501,000","-80,125,000","-70,284,000","-61,252,000","-51,954,000","-43,979,000","-37,607,000","-31,988,000","-27,912,000","-24,105,000","-20,627,000","-22,812,000","-19,609,000","-17,065,000","-14,839,000","-13,725,000","-11,734,000","-9,775,000","-7,865,000","-7,109,000","-5,996,000","-5,041,000","-4,150,000","-5,006,000","-4,311,000","-3,646,000","-3,078,000","-2,610,000"
		GoodwillAndOtherIntangibleAssets,"336,035,000","343,638,000","350,018,000","195,478,000","194,802,000","115,178,000","113,186,000","113,349,000","113,643,000","115,643,000","113,713,000","114,959,000","117,937,000","118,116,000","119,413,000","118,254,000","121,821,000","132,851,000","133,540,000","81,134,000","79,619,000","79,428,000","81,286,000","79,041,000","81,616,000","80,715,000","82,988,000","86,899,000","85,103,000","15,120,000","14,896,000","14,732,000","14,903,000","2,276,000","2,294,000","2,351,000","2,407,000","2,463,000","2,468,000","2,521,000","2,585,000","2,452,000"
			Goodwill,"219,176,000","219,816,000","219,822,000","149,069,000","149,040,000","89,413,000","88,727,000","88,167,000","88,144,000","88,974,000","88,034,000","88,427,000","88,889,000","88,576,000","88,802,000","87,995,000","89,641,000","98,654,000","90,524,000","50,977,000","49,689,000","49,271,000","50,523,000","51,423,000","52,385,000","50,934,000","52,170,000","54,740,000","53,508,000","10,186,000","10,186,000","10,186,000","10,186,000","1,423,000","1,423,000","1,423,000","1,423,000","1,423,000","1,423,000","1,423,000","1,423,000","1,423,000"
			OtherIntangibleAssets,"116,859,000","123,822,000","130,196,000","46,409,000","45,762,000","25,765,000","24,459,000","25,182,000","25,499,000","26,669,000","25,679,000","26,532,000","29,048,000","29,540,000","30,611,000","30,259,000","32,180,000","34,197,000","43,016,000","30,157,000","29,930,000","30,157,000","30,763,000","27,618,000","29,231,000","29,781,000","30,818,000","32,159,000","31,595,000","4,934,000","4,710,000","4,546,000","4,717,000","853,000","871,000","928,000","984,000","1,040,000","1,045,000","1,098,000","1,162,000","1,029,000"
		NonCurrentDeferredAssets,"11,559,000","10,512,000","8,721,000","7,867,000","10,156,000","13,566,000","14,665,000","13,727,000","14,803,000","14,387,000","13,787,000","13,642,000","11,636,000","12,375,000","13,966,000","10,356,000","9,247,000","9,761,000","18,342,000","22,312,000","21,772,000","23,013,000","21,521,000","16,367,000","17,789,000","18,691,000","19,991,000","18,132,000","16,841,000","16,484,000","16,193,000","15,097,000","13,417,000","10,720,000","12,566,000","12,786,000","12,890,000","13,239,000","146,000","0","77,000","58,000"
			NonCurrentDeferredTaxesAssets,"11,559,000","10,512,000","8,721,000","7,867,000","10,156,000","13,566,000","14,665,000","13,727,000","14,803,000","14,387,000","13,787,000","13,642,000","11,636,000","12,375,000","13,966,000","10,356,000","9,247,000","9,761,000","18,342,000","22,312,000","21,772,000","23,013,000","21,521,000","16,367,000","17,789,000","18,691,000","19,991,000","18,132,000","16,841,000","16,484,000","16,193,000","15,097,000","13,417,000","10,720,000","12,566,000","12,786,000","12,890,000","13,239,000","146,000","0","77,000","58,000"
		OtherNonCurrentAssets,"25,524,000","26,701,000","21,702,000","21,764,000","21,324,000","21,372,000","16,228,000","16,427,000","16,497,000","19,215,000","18,645,000","18,083,000","18,090,000","18,088,000","18,068,000","18,060,000","24,249,000","8,997,000","6,842,000","5,117,000","4,986,000","3,398,000","2,807,000","2,807,000","2,765,000","1,946,000","1,913,000","1,974,000","1,939,000","1,899,000","1,903,000","1,891,000","2,095,000","2,048,000","2,016,000","2,015,000","2,008,000","182,000","427,000","427,000","427,000","427,000"
