name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
OperatingCashFlow,"-9,342,000","-20,551,000","9,958,000","13,691,000","-12,440,000","-12,166,000","23,543,000","12,353,000","5,594,000","16,459,000","10,437,000","17,825,000","4,601,000","17,228,000","7,182,000","3,751,000","11,285,000","15,322,000","16,070,000","-243,000","-829,000","6,858,000","2,398,000"
	CashFlowFromContinuingOperatingActivities,"-9,342,000","-20,551,000","9,958,000","13,691,000","-12,440,000","-12,166,000","23,543,000","12,353,000","5,594,000","16,459,000","10,437,000","17,825,000","4,601,000","17,228,000","7,182,000","3,751,000","11,285,000","15,322,000","16,070,000","-243,000","-829,000","6,858,000","2,398,000"
		NetIncomeFromContinuingOperations,"-79,427,000","-33,084,000","-9,705,000","-19,896,000","-16,742,000","-15,291,000","-4,712,000","-676,000","3,042,000","-8,417,000","5,419,000","3,668,000","-9,197,000","-8,390,000","11,982,000","3,302,000","-5,647,000","-5,967,000","5,382,000","-6,387,000","-4,304,000","-2,283,000","3,306,000"
		OperatingGainsLosses,"23,000","15,000","-2,000","12,000","-2,000","27,000","170,000","-7,000","-129,000","124,000","-21,000","38,000","-18,000","-3,000","328,000","12,000","1,492,000","-4,000","1,680,000","7,000","3,000","-8,000","2,000"
			GainLossOnSaleOfPPE,"23,000","15,000","-2,000","12,000","-2,000","27,000","170,000","-7,000","-129,000","124,000","-21,000","38,000","-18,000","-3,000","16,000","12,000","-44,000","-4,000","-22,000","7,000","3,000","-8,000","2,000"
		DepreciationAmortizationDepletion,"23,304,000","5,712,000","5,069,000","6,574,000","5,949,000","4,784,000","4,532,000","4,607,000","4,565,000","4,586,000","4,430,000","3,672,000","3,587,000","3,303,000","2,759,000","2,699,000","2,650,000","2,628,000","2,650,000","2,592,000","2,502,000","2,476,000","2,472,000"
			DepreciationAndAmortization,"23,304,000","5,712,000","5,069,000","6,574,000","5,949,000","4,784,000","4,532,000","4,607,000","4,565,000","4,586,000","4,430,000","3,672,000","3,587,000","3,303,000","2,759,000","2,699,000","2,650,000","2,628,000","2,650,000","2,592,000","2,502,000","2,476,000","2,472,000"
		DeferredTax,,,"-3,463,000","0","0","0","-7,440,000","0","0","-113,000","-7,261,000",,,,,,,,"69,000",,,"-68,000","-2,531,000"
			DeferredIncomeTax,,,"-3,463,000","0","0","0","-7,440,000","0","0","-113,000","-7,261,000",,,,,,,,"69,000",,,"-68,000","-2,531,000"
		AssetImpairmentCharge,,,,,,,,,,"127,000","-5,000","94,000",,,"2,033,000",,,,,,,,
		ProvisionandWriteOffofAssets,"2,807,000","-106,000","2,631,000","116,000","166,000","102,000","151,000","-370,000",,,,,,,,,,,,,,,
		StockBasedCompensation,"57,485,000","15,801,000","14,408,000","14,404,000","12,872,000","10,073,000","7,878,000","7,838,000","7,150,000","6,191,000","4,616,000","4,489,000","4,970,000","4,639,000","4,837,000","4,883,000","4,116,000","5,139,000","3,970,000","201,000","185,000","158,000","238,000"
		OtherNonCashItems,"23,898,000","7,113,000","6,412,000","5,306,000","5,067,000","4,756,000","7,966,000","8,466,000","7,324,000","7,300,000","7,275,000","2,838,000","2,758,000","2,427,000","7,771,000","29,000","83,000","108,000","201,000","238,000","155,000","152,000","156,000"
		ChangeInWorkingCapital,"-34,713,000","-16,002,000","-6,136,000","7,175,000","-19,750,000","-16,617,000","9,879,000","-7,505,000","-17,036,000","6,661,000","-4,016,000","3,033,000","2,412,000","15,252,000","-21,248,000","-7,473,000","8,591,000","13,418,000","2,118,000","3,106,000","562,000","6,431,000","-1,245,000"
			ChangeInReceivables,"-24,557,000","33,431,000","-29,623,000","-7,179,000","-25,631,000","27,854,000","-11,193,000","-5,944,000","-20,919,000","31,284,000","-32,687,000","-3,152,000",,,"-32,541,000","-16,419,000","801,000","16,910,000","-20,747,000","-4,652,000","-5,217,000","6,500,000","-16,787,000"
				ChangesInAccountReceivables,"-23,662,000","38,771,000","-29,623,000","-7,179,000","-25,631,000","27,854,000","-11,193,000","-5,944,000","-20,919,000","31,284,000","-32,687,000","-3,152,000",,,"-32,541,000","-16,419,000","801,000","16,910,000","-20,747,000","-4,652,000","-5,217,000","6,500,000","-16,787,000"
			ChangeInPrepaidAssets,"-28,064,000","-4,663,000","-7,597,000","-6,563,000","-2,027,000","-7,191,000","9,364,000","-12,164,000","-5,000,000","-1,380,000","-4,605,000","-5,299,000",,,"-12,012,000","-1,959,000","-690,000","919,000","-775,000","-3,142,000","685,000","1,058,000","-2,806,000"
			ChangeInPayablesAndAccruedExpense,"18,960,000","-33,249,000","27,770,000","15,390,000","9,049,000","-22,530,000","8,636,000","15,541,000","9,072,000","-15,458,000","8,294,000","6,585,000",,,"4,797,000","4,621,000","3,115,000","-11,009,000","11,516,000","2,705,000","-324,000","-1,572,000","2,243,000"
				ChangeInPayable,"3,879,000","2,166,000","4,721,000","-5,311,000","2,303,000","-369,000","496,000","1,081,000","668,000","-716,000","374,000","-812,000",,,"1,601,000","142,000","1,021,000","-358,000","148,000","460,000","124,000","711,000","-305,000"
					ChangeInAccountPayable,"3,879,000","2,166,000","4,721,000","-5,311,000","2,303,000","-369,000","496,000","1,081,000","668,000","-716,000","374,000","-812,000",,,"1,601,000","142,000","1,021,000","-358,000","148,000","460,000","124,000","711,000","-305,000"
