name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021
TotalRevenue,,"0","0","0","0"
	OperatingRevenue,,"0","0","0","0"
OperatingExpense,,"402,349","357,515","386,408","229,300"
	SellingGeneralAndAdministration,,"352,349","267,285","336,408","179,300"
		GeneralAndAdministrativeExpense,,"352,349","267,285","336,408","179,300"
			OtherGandA,,"352,349","267,285","336,408","179,300"
	OtherTaxes,,"50,000","90,230","50,000","50,000"
OperatingIncome,,"-402,349","-357,515","-386,408","-229,300"
NetNonOperatingInterestIncomeExpense,,"63,775","20,559","10,278","1,142"
	InterestIncomeNonOperating,,"63,775","20,559","10,278","1,142"
OtherIncomeExpense,,"2,775,812","2,048,234","9,931,751","-1,409,420"
	GainOnSaleOfSecurity,,"2,775,812","2,048,234","9,931,751","-909,951"
	OtherNonOperatingIncomeExpenses,,,"0",,"-499,469"
PretaxIncome,,"2,437,238","1,711,278","9,555,621","-1,637,578"
NetIncomeCommonStockholders,,"2,437,238","1,711,278","9,555,621","-1,637,578"
	NetIncome,,"2,437,238","1,711,278","9,555,621","-1,637,578"
		NetIncomeIncludingNoncontrollingInterests,,"2,437,238","1,711,278","9,555,621","-1,637,578"
			NetIncomeContinuousOperations,,"2,437,238","1,711,278","9,555,621","-1,637,578"
DilutedNIAvailtoComStockholders,,"2,437,238","1,711,278","9,555,621","-1,637,578"
BasicEPS,,"0.06",,"0.242","-0.151"
DilutedEPS,,"0.06",,"0.242","-0.151"
BasicAverageShares,,"39,531,250",,"39,531,250","10,852,679"
DilutedAverageShares,,"39,531,250",,"39,531,250","10,852,679"
TotalExpenses,,"402,349","357,515","386,408","229,300"
NetIncomeFromContinuingAndDiscontinuedOperation,,"2,437,238","1,711,278","9,555,621","-1,637,578"
NormalizedIncome,,"771,750.8","216,067.18","2,305,442.77","-727,627"
InterestIncome,,"63,775","20,559","10,278","1,142"
NetInterestIncome,,"63,775","20,559","10,278","1,142"
EBIT,,"-402,349","-357,515","-386,408","-229,300"
NetIncomeFromContinuingOperationNetMinorityInterest,,"2,437,238","1,711,278","9,555,621","-1,637,578"
TotalUnusualItemsExcludingGoodwill,"13,845,846","2,775,812","2,048,234","9,931,751","-909,951"
TotalUnusualItems,"13,845,846","2,775,812","2,048,234","9,931,751","-909,951"
NormalizedEBITDA,,"-3,178,161","-2,405,749","-10,318,159","680,651"
TaxRateForCalcs,,"0.4","0.27","0.27","0"
TaxEffectOfUnusualItems,,"1,110,324.8","553,023.18","2,681,572.77","0"
