name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010
DilutedNIAvailtoComStockholders,"-140,652,000","-38,608,000","-40,528,000","-22,307,000","-39,209,000","-29,711,000","-29,876,000","-24,060,000","20,267,000","-21,687,000","-15,528,000","-12,862,000","-15,150,000","-11,949,000","-10,785,000","-10,890,000","-6,874,000","-9,417,000","39,655,000","-6,560,000","-9,240,000","-5,996,000","-7,665,000","-7,072,000","-9,983,000","-15,243,000","-11,574,000","-11,647,000","-12,078,000","-12,006,000","-12,190,000","-10,941,000","-12,261,000","-11,537,000","-9,543,000","-9,433,000","-9,504,000","-10,193,000","-9,797,000","-10,116,000","-10,893,000","-9,085,000","18,232,000","-8,658,000","-7,903,000","-6,288,000","5,081,000","-8,720,000"
BasicEPS,,"-0.55","-0.58","-0.32","-0.56","-0.43","-0.43","-0.35","0.32","-0.35","-0.26","-0.22","-0.26","-0.23","-0.21","-0.22","-0.14","-0.19","0.81","-0.13","-0.19","-0.12","-0.16","-0.15","-0.22","-0.34","-0.26","-0.26","-0.28","-0.28","-0.28","-0.25","-0.28","-0.27","-0.22","-0.22","-0.23","-0.28","-0.28","-0.28","-0.3","-0.28",,"-0.304","-0.278","-0.221",,
DilutedEPS,,"-0.55","-0.58","-0.32","-0.56","-0.43","-0.43","-0.35","0.29","-0.35","-0.26","-0.22","-0.26","-0.23","-0.21","-0.22","-0.14","-0.19","0.8","-0.13","-0.19","-0.12","-0.16","-0.15","-0.22","-0.34","-0.26","-0.26","-0.28","-0.28","-0.28","-0.25","-0.28","-0.27","-0.22","-0.22","-0.23","-0.28","-0.28","-0.28","-0.3","-0.28",,"-0.304","-0.278","-0.221",,
BasicAverageShares,,"70,835,000","70,111,000","69,894,000","69,788,000","69,608,000","69,253,000","68,922,000","63,282,000","61,295,000","58,938,000","58,205,000","58,056,000","52,395,000","50,520,000","50,341,000","49,542,000","48,853,000","48,709,000","48,602,000","48,224,000","48,115,000","47,900,000","47,763,000","45,785,000","44,277,000","44,145,000","44,070,000","43,842,000","43,502,000","43,384,000","43,336,000","43,274,000","43,107,000","42,877,000","42,839,000","41,337,000","36,611,000","36,277,297","36,180,000","36,169,000","32,931,000",,"28,471,126","28,471,126","28,471,126",,
DilutedAverageShares,,"70,835,000","70,111,000","69,894,000","69,788,000","69,608,000","69,253,000","68,922,000","69,416,000","61,295,000","58,938,000","58,205,000","58,056,000","52,395,000","50,520,000","50,341,000","49,542,000","48,853,000","49,692,000","48,602,000","48,224,000","48,115,000","47,900,000","47,763,000","45,785,000","44,277,000","44,145,000","44,070,000","43,842,000","43,502,000","43,384,000","43,336,000","43,274,000","43,107,000","42,877,000","42,839,000","41,337,000","36,611,000","36,277,297","36,180,000","36,169,000","32,931,000",,"28,471,126","28,471,126","28,471,126",,
TotalOperatingIncomeAsReported,"-138,825,000","-38,233,000","-40,051,000","-21,803,000","-38,738,000","-29,327,000","-29,581,000","-23,859,000","20,386,000","-22,123,000","-16,123,000","-13,631,000","-16,021,000","-12,528,000","-11,396,000","-11,533,000","-7,485,000","-9,856,000","39,292,000","-6,910,000","-9,576,000","-6,313,000","-7,916,000","-7,331,000","-10,144,000","-15,329,000","-11,660,000","-11,742,000","-12,178,000","-12,109,000","-12,290,000","-11,053,000","-12,384,000","-11,672,000","-9,671,000","-9,553,000","-9,599,000","-10,292,000","-9,901,000","-10,237,000","-11,039,000","-8,453,000","18,713,000","-8,652,000","-7,982,000","-6,380,000","3,044,000","-8,875,000"
TotalExpenses,"165,961,000","43,692,000","42,338,000","39,494,000","40,437,000","39,550,000","33,808,000","28,886,000","28,897,000","27,978,000","25,994,000","24,212,000","23,194,000","20,855,000","20,728,000","20,508,000","22,507,000","19,402,000","17,009,000","15,939,000","18,513,000","14,543,000","12,600,000","11,462,000","12,764,000","15,329,000","11,660,000","11,742,000","12,178,000","12,109,000","12,290,000","11,053,000","12,384,000","11,672,000","10,396,000","11,075,000","11,485,000","12,219,000","12,046,000","11,365,000","12,167,000","9,471,000","7,339,000","10,093,000","9,214,000","9,328,000","10,071,000","10,847,000"
NetIncomeFromContinuingAndDiscontinuedOperation,"-140,652,000","-38,608,000","-40,528,000","-22,307,000","-39,209,000","-29,711,000","-29,876,000","-24,060,000","20,267,000","-21,687,000","-15,528,000","-12,862,000","-15,150,000","-11,949,000","-10,785,000","-10,890,000","-6,874,000","-9,417,000","39,655,000","-6,560,000","-9,240,000","-5,996,000","-7,665,000","-7,072,000","-9,983,000","-15,243,000","-11,574,000","-11,647,000","-12,078,000","-12,006,000","-12,190,000","-10,941,000","-12,261,000","-11,537,000","-9,543,000","-9,433,000","-9,504,000","-10,193,000","-9,797,000","-10,116,000","-10,893,000","-9,085,000","18,232,000","-8,658,000","-7,903,000","-6,288,000","5,081,000","-8,720,000"
NormalizedIncome,"-140,652,000","-38,608,000","-40,528,000","-22,307,000","-39,209,000","-29,711,000","-29,876,000","-24,060,000","20,267,000","-21,687,000","-15,528,000","-12,862,000","-15,150,000","-11,949,000","-10,785,000","-10,890,000","-6,874,000","-9,417,000","39,655,000","-6,560,000","-9,240,000","-5,996,000","-7,665,000","-7,072,000","-9,983,000","-15,243,000","-11,574,000","-11,647,000","-12,078,000","-12,006,000","-12,190,000","-10,941,000","-12,261,000","-11,537,000","-9,543,000","-9,433,000","-9,504,000","-10,193,000","-9,797,000","-10,116,000","-10,893,000","-9,085,000","18,232,000","-8,674,000","-7,903,000","-6,288,000","5,081,000","-8,713,500"
InterestIncome,"776,000","222,000","166,000","164,000","224,000","305,000","405,000","499,000","576,000","984,000","1,113,000","1,311,000","1,418,000","1,121,000","1,057,000","1,066,000","792,000","613,000","367,000","350,000","336,000","317,000","251,000","259,000","161,000","86,000","86,000","95,000","100,000","103,000","103,000","116,000","129,000","146,000","141,000","134,000","110,000","116,000","122,000","141,000","167,000","103,000","83,000","95,000","105,000","119,000","114,000","116,000"
