name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,06/30/2012,12/31/2011,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997,03/31/1997,12/31/1996,09/30/1996,06/30/1996,03/31/1996,12/31/1995,09/30/1995,06/30/1995,03/31/1995,12/31/1994,09/30/1994,06/30/1994,03/31/1994,12/31/1993,09/30/1993,06/30/1993,03/31/1993,12/31/1992,09/30/1992,06/30/1992,03/31/1992,12/31/1991,09/30/1991,06/30/1991,03/31/1991,12/31/1990,09/30/1990,06/30/1990,03/31/1990,12/31/1989,09/30/1989,06/30/1989
TotalAssets,"14,490,000,000","14,204,000,000","21,661,000,000","23,308,000,000","24,713,000,000","24,165,000,000","21,755,000,000","17,300,000,000","17,613,000,000","18,305,000,000","18,478,000,000","18,405,000,000","17,646,000,000","16,973,000,000","17,728,000,000","610,563,000","608,925,000","614,121,000","732,738,000","717,027,000","747,631,000","736,190,000","661,975,000","668,347,000","674,117,000","685,060,000","710,224,000","717,637,000","732,630,000","156,139,000","168,807,000","250,449,000","274,230,000","267,638,000","273,965,000","297,316,000","310,498,000","407,739,000","350,559,000","309,731,000,000","319,668,000,000","327,913,000,000","330,110,000,000","312,219,000,000","319,985,000,000","346,288,000,000","348,877,000,000","350,884,000,000","348,667,000,000","343,839,000,000","333,622,000,000","323,533,000,000","319,696,000,000","307,918,000,000","288,828,000,000","278,544,000,000","280,768,000,000","275,178,000,000","286,631,000,000","283,203,000,000","276,970,000,000","268,298,000,000","262,605,000,000","261,281,000,000","275,223,000,000","242,506,000,000","223,638,000,000","229,298,000,000","219,925,000,000","194,716,000,000","190,780,150,000","185,687,190,000","188,605,218,000","186,513,600,000","180,800,000,000","175,041,400,000","174,295,100,000","165,493,300,000","108,359,100,000","103,397,000,000","103,123,900,000","96,981,100,000","95,607,400,000","48,763,200,000","46,051,200,000","44,551,900,000","22,413,700,000","22,323,500,000","22,344,800,000","21,633,300,000","20,530,200,000","20,304,100,000","19,144,600,000","18,457,700,000","17,840,400,000","16,858,700,000","16,061,800,000","15,827,200,000","15,075,500,000","14,426,900,000","10,199,100,000","8,980,200,000","8,445,600,000","8,006,700,000","7,282,100,000","7,117,800,000","6,979,500,000","6,828,400,000","6,896,700,000","6,921,800,000","7,015,000,000","7,271,600,000","6,719,200,000","6,594,200,000","6,493,100,000","6,499,900,000"
	CurrentAssets,"5,346,000,000","6,650,000,000","13,419,000,000","13,562,000,000","13,215,000,000","12,826,000,000","11,197,000,000","12,161,000,000","6,063,000,000","12,642,000,000","13,309,000,000","12,940,000,000","12,255,000,000","11,731,000,000","12,665,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		CashCashEquivalentsAndShortTermInvestments,"579,000,000","895,000,000","731,000,000","716,000,000","674,000,000","695,000,000","946,000,000","1,041,000,000","579,000,000","329,000,000","371,000,000","245,000,000","181,000,000","242,000,000","198,000,000","29,058,000","27,890,000","26,709,000","25,542,000","36,050,000","21,728,000","2,491,000","3,029,000","3,516,000","1,185,000","9,924,000","15,350,000","19,351,000","2,765,000","78,009,000","6,345,000","1,824,000","4,463,000","11,986,000","8,347,000","8,696,000","9,534,000","55,648,000","7,642,000","7,235,000,000","10,089,000,000","9,560,000,000","11,370,000,000","4,167,000,000","4,047,000,000","6,948,000,000","6,649,000,000","6,675,000,000","5,868,000,000","6,214,000,000","4,924,000,000","4,614,000,000","4,811,000,000","4,455,000,000","4,689,000,000","5,133,000,000","6,045,000,000","7,018,000,000","5,811,000,000","7,388,000,000","6,295,000,000","7,208,000,000","5,122,000,000","4,709,000,000","8,052,000,000","6,044,000,000","3,723,000,000","4,565,000,000","2,963,000,000","2,622,000,000","2,218,333,000","2,810,397,000","2,818,015,000","3,040,200,000","2,467,100,000","1,707,000,000","1,907,900,000","2,757,000,000","1,354,200,000","1,039,500,000","1,064,200,000","1,560,900,000","1,240,600,000","615,900,000","532,600,000","831,100,000","462,800,000","303,900,000","290,000,000","428,700,000","237,500,000","266,900,000","237,800,000","222,400,000","225,700,000","191,200,000","201,600,000","194,400,000","239,600,000","223,800,000","144,700,000","144,000,000","108,100,000","156,000,000","121,400,000","140,700,000","153,200,000","107,000,000","138,700,000","149,400,000","218,900,000","292,100,000","144,600,000","108,400,000","101,000,000","109,600,000"
			CashAndCashEquivalents,"579,000,000","895,000,000","731,000,000","716,000,000","674,000,000","695,000,000","946,000,000","1,041,000,000","579,000,000","329,000,000","371,000,000","245,000,000","181,000,000","242,000,000","198,000,000","29,058,000","27,890,000","26,709,000","25,542,000","36,050,000","21,728,000","2,491,000","3,029,000","3,516,000","1,185,000","9,924,000","15,350,000","19,351,000","2,765,000","78,009,000","6,345,000","1,824,000","4,463,000","11,986,000","8,347,000","8,696,000","9,534,000","55,648,000","7,642,000","7,235,000,000","10,089,000,000","9,560,000,000","11,370,000,000","4,167,000,000","4,047,000,000","6,948,000,000","6,649,000,000","6,675,000,000","5,868,000,000","6,214,000,000","4,924,000,000","4,614,000,000","4,811,000,000","4,455,000,000","4,689,000,000","5,133,000,000","6,045,000,000","7,018,000,000","5,811,000,000","7,388,000,000","6,295,000,000","7,208,000,000","5,122,000,000","4,709,000,000","8,052,000,000","6,044,000,000","3,723,000,000","4,565,000,000","2,963,000,000","2,622,000,000","2,218,333,000","2,810,397,000","2,818,015,000","3,040,200,000","2,467,100,000","1,707,000,000","1,907,900,000","2,757,000,000","1,354,200,000","1,039,500,000","1,064,200,000","1,560,900,000","1,240,600,000","615,900,000","532,600,000","831,100,000","462,800,000","303,900,000","290,000,000","428,700,000","237,500,000","266,900,000","237,800,000","222,400,000","225,700,000","191,200,000","201,600,000","194,400,000","239,600,000","223,800,000","144,700,000","144,000,000","108,100,000","156,000,000","121,400,000","140,700,000","153,200,000","107,000,000","138,700,000","149,400,000","218,900,000","292,100,000","144,600,000","108,400,000","101,000,000","109,600,000"
				CashEquivalents,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"55,648,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		Receivables,"1,044,000,000","1,228,000,000","4,614,000,000","5,747,000,000","5,929,000,000","6,193,000,000","6,205,000,000","7,681,000,000","1,296,000,000","7,953,000,000","8,400,000,000","8,969,000,000","9,565,000,000","9,539,000,000","10,454,000,000",,,,,,,,,,,,,,,,,,,,,,,"2,650,000",,"7,116,000,000","4,998,000,000","6,876,000,000","6,823,000,000","6,997,000,000","6,968,000,000","7,507,000,000","8,741,000,000","7,199,000,000","5,746,000,000","6,773,000,000","5,436,000,000","5,172,000,000","7,082,000,000","5,345,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			AccountsReceivable,"1,196,000,000","1,395,000,000","1,081,000,000","1,028,000,000","1,044,000,000","1,148,000,000","936,000,000","1,017,000,000","1,021,000,000","1,289,000,000","1,239,000,000","1,098,000,000","1,218,000,000","1,241,000,000","1,194,000,000",,,,,,,,,,,,,,,,,,,,,,,"2,650,000",,"1,626,000,000","1,791,000,000","2,039,000,000","1,942,000,000","1,778,000,000","1,725,000,000","1,941,000,000","1,790,000,000","1,879,000,000","1,710,000,000","1,914,000,000","1,590,000,000","1,717,000,000","1,700,000,000","1,428,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				GrossAccountsReceivable,"1,204,000,000","1,407,000,000","1,094,000,000","1,048,000,000","1,064,000,000","1,169,000,000","957,000,000","1,038,000,000","1,021,000,000","1,310,000,000","1,239,000,000","1,098,000,000","1,218,000,000","1,289,000,000","1,194,000,000",,,,,,,,,,,,,,,,,,,,,,,"2,650,000",,"1,626,000,000","1,791,000,000","2,039,000,000","1,942,000,000","1,778,000,000","1,725,000,000","1,941,000,000","1,790,000,000","1,879,000,000","1,710,000,000","1,914,000,000","1,590,000,000","1,717,000,000","1,700,000,000","1,428,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-8,000,000","-12,000,000","-13,000,000","-20,000,000","-20,000,000","-21,000,000","-21,000,000","-21,000,000",,"-21,000,000",,,,"-48,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,"1,171,000,000","468,000,000","560,000,000","629,000,000","723,000,000","774,000,000","266,000,000","231,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
