name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,09/30/2007,06/30/2007,03/31/2007
TotalRevenue,"131,410,000","32,382,000","32,895,000","35,008,000","31,125,000","34,637,000","31,591,000","31,690,000","32,175,000","32,491,000","28,179,000","31,313,000","31,438,000","30,802,000","26,373,000","29,028,000","33,330,000","31,225,000","28,029,000","28,804,000","26,618,000","28,804,000","19,293,000","27,493,000","24,801,000","28,455,000","29,406,000","28,639,000","29,369,000","29,375,000","29,646,000","27,881,000","28,924,000","27,468,000","27,035,000","26,214,000","25,182,000","26,996,000","27,806,000","28,338,000","27,413,000","28,092,000","20,933,000","19,971,000","20,219,000"
	OperatingRevenue,"131,410,000","32,382,000","32,895,000","35,008,000","31,125,000","34,637,000","31,591,000","31,690,000","32,175,000","32,491,000","28,179,000","31,313,000","31,438,000","30,802,000","26,373,000","29,028,000","33,330,000","31,225,000","28,029,000","28,804,000","26,618,000","28,804,000","19,293,000","27,493,000","24,801,000","28,455,000","29,406,000","28,639,000","29,369,000","29,375,000","29,646,000","27,881,000","28,924,000","27,468,000","27,035,000","26,214,000","25,182,000","26,996,000","27,806,000","28,338,000","27,413,000","28,092,000","20,933,000","19,971,000","20,219,000"
OperatingIncome,,,,,,,,,,,,,,,,,,,,"-4,995,000",,,,,,,,,,,,,,,,,,,,,,,,"4,280,000",
PretaxIncome,"36,049,000","10,652,000","6,975,000","12,104,000","6,318,000","10,301,000","3,080,000","-56,803,000","3,967,000","4,670,000","3,431,000","8,059,000","8,331,000","7,963,000","3,339,000","-6,365,000","9,240,000","8,094,000","-16,771,000","-4,995,000","-4,218,000","7,772,000","-7,805,000","6,207,000","7,892,000","11,330,000","13,674,000","12,591,000","11,965,000","11,169,000","11,679,000","10,394,000","11,265,000","9,947,000","9,142,000","8,639,000","7,948,000","9,427,000","8,845,000","11,321,000","10,091,000","10,865,000","4,477,000","4,280,000","4,299,000"
TaxProvision,"4,511,000","1,329,000","1,365,000","931,000","886,000","926,000","138,000","875,000","-488,000","247,000","-175,000","458,000","504,000","422,000","-67,000","1,164,000","2,041,000","-735,000","-11,700,000","-4,566,000","-2,735,000","1,470,000","-3,940,000","975,000","1,610,000","3,000,000","1,382,000","3,110,000","3,030,000","2,719,000","2,067,000","2,543,000","2,803,000","2,412,000","2,794,000","2,060,000","1,866,000","2,360,000","2,575,000","2,975,000","2,529,000","2,696,000","891,000","875,000","861,000"
NetIncomeCommonStockholders,"31,538,000","9,323,000","5,610,000","11,173,000","5,432,000","9,375,000","2,942,000","-57,678,000","4,455,000","4,423,000","3,606,000","7,601,000","7,827,000","7,541,000","3,406,000","-7,529,000","7,199,000","8,829,000","-5,071,000","-429,000","-1,483,000","6,302,000","-3,865,000","5,232,000","6,282,000","8,330,000","12,292,000","9,481,000","8,935,000","8,450,000","9,612,000","7,851,000","8,462,000","7,535,000","6,348,000","6,579,000","6,082,000","7,067,000","6,270,000","8,346,000","7,562,000","8,169,000","3,586,000","3,405,000","3,438,000"
	NetIncome,"31,538,000","9,323,000","5,610,000","11,173,000","5,432,000","9,375,000","2,942,000","-57,678,000","4,455,000","4,423,000","3,606,000","7,601,000","7,827,000","7,541,000","3,406,000","-7,529,000","7,199,000","8,829,000","-5,071,000","-429,000","-1,483,000","6,302,000","-3,865,000","5,232,000","6,282,000","8,330,000","12,292,000","9,481,000","8,935,000","8,450,000","9,612,000","7,851,000","8,462,000","7,535,000","6,348,000","6,579,000","6,082,000","7,067,000","6,270,000","8,346,000","7,562,000","8,169,000","3,586,000","3,405,000","3,438,000"
		NetIncomeIncludingNoncontrollingInterests,"31,538,000","9,323,000","5,610,000","11,173,000","5,432,000","9,375,000","2,942,000","-57,678,000","4,455,000","4,423,000","3,606,000","7,601,000","7,827,000","7,541,000","3,406,000","-7,529,000","7,199,000","8,829,000","-5,071,000","-429,000","-1,483,000","6,302,000","-3,865,000","5,232,000","6,282,000","8,330,000","12,292,000","9,481,000","8,935,000","8,450,000","9,612,000","7,851,000","8,462,000","7,535,000","6,348,000","6,579,000","6,082,000","7,067,000","6,270,000","8,346,000","7,562,000","8,169,000","3,586,000","3,405,000","3,438,000"
			NetIncomeContinuousOperations,"31,538,000","9,323,000","5,610,000","11,173,000","5,432,000","9,375,000","2,942,000","-57,678,000","4,455,000","4,423,000","3,606,000","7,601,000","7,827,000","7,541,000","3,406,000","-7,529,000","7,199,000","8,829,000","-5,071,000","-429,000","-1,483,000","6,302,000","-3,865,000","5,232,000","6,282,000","8,330,000","12,292,000","9,481,000","8,935,000","8,450,000","9,612,000","7,851,000","8,462,000","7,535,000","6,348,000","6,579,000","6,082,000","7,067,000","6,270,000","8,346,000","7,562,000","8,169,000","3,586,000","3,405,000","3,438,000"
DilutedNIAvailtoComStockholders,"31,538,000","9,323,000","5,610,000","11,173,000","5,432,000","9,375,000","2,942,000","-57,678,000","4,455,000","4,423,000","3,606,000","7,601,000","7,827,000","7,541,000","3,406,000","-7,529,000","7,199,000","8,829,000","-5,071,000","-429,000","-1,483,000","6,302,000","-3,865,000","5,232,000","6,282,000","8,330,000","12,292,000","9,481,000","8,935,000","8,450,000","9,612,000","7,851,000","8,462,000","7,535,000","6,348,000","6,579,000","6,082,000","7,067,000","6,270,000","8,346,000","7,562,000","8,169,000","3,586,000","3,405,000","3,438,000"
