name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017
TotalRevenue,"282,365,000","78,120,000","73,939,000","70,984,000","61,964,000","47,863,000","43,313,000","38,272,000","31,573,000","39,178,000","41,111,000","108,562,000","97,483,000","85,394,000","84,868,000","84,053,000","84,536,000","77,699,000","77,221,000","71,779,000","66,326,000"
	OperatingRevenue,"278,937,000","73,500,000","73,939,000","70,984,000","61,964,000","47,863,000","43,313,000","38,272,000","31,573,000","39,178,000","41,111,000","108,562,000","97,483,000","85,394,000","84,868,000","84,053,000","84,536,000","77,699,000","77,221,000","71,779,000","66,326,000"
CostOfRevenue,"65,867,000","16,631,000","16,510,000","16,662,000","16,064,000","11,314,000","13,666,000","12,356,000","10,001,000","11,955,000","12,918,000","81,913,000","74,694,000","64,878,000","65,619,000","66,161,000","66,766,000","60,139,000","61,791,000","59,435,000","55,744,000"
GrossProfit,"216,498,000","61,489,000","57,429,000","54,322,000","45,900,000","36,549,000","29,647,000","25,916,000","21,572,000","27,223,000","28,193,000","26,649,000","22,789,000","20,516,000","19,249,000","17,892,000","17,770,000","17,560,000","15,430,000","12,344,000","10,582,000"
OperatingExpense,"202,294,000","56,163,000","53,257,000","48,583,000","44,291,000","36,362,000","30,054,000","24,666,000","22,608,000","25,324,000","24,096,000","26,516,000","22,012,000","18,217,000","16,068,000","13,811,000","13,696,000","13,217,000","11,701,000","10,661,000","8,611,000"
	SellingGeneralAndAdministration,"174,502,000","48,716,000","46,387,000","42,103,000","37,296,000","30,511,000","24,962,000","20,117,000","18,133,000","20,786,000","19,287,000","18,438,000","17,587,000","14,319,000","12,516,000","10,848,000","10,696,000","10,197,000","8,845,000","8,029,000","6,229,000"
	DepreciationAmortizationDepletionIncomeStatement,"27,792,000","7,447,000","6,870,000","6,480,000","6,995,000","5,851,000","5,092,000","4,549,000","4,475,000","4,538,000","4,655,000","4,689,000","4,425,000","3,898,000","3,552,000","2,963,000","3,000,000","3,020,000","2,856,000","2,632,000","2,382,000"
		DepreciationAndAmortizationInIncomeStatement,"27,792,000","7,447,000","6,870,000","6,480,000","6,995,000","5,851,000","5,092,000","4,549,000","4,475,000","4,538,000","4,655,000","4,689,000","4,425,000","3,898,000","3,552,000","2,963,000","3,000,000","3,020,000","2,856,000","2,632,000","2,382,000"
	OtherOperatingExpenses,"3,892,000",,,,,,,,,,"154,000","1,653,000",,,,,,,,,
OperatingIncome,"14,204,000","5,326,000","4,172,000","5,739,000","1,609,000","187,000","-407,000","1,250,000","-1,036,000","1,899,000","4,097,000","133,000","777,000","2,299,000","3,181,000","4,081,000","4,074,000","4,343,000","3,729,000","1,683,000","1,971,000"
NetNonOperatingInterestIncomeExpense,"-11,943,000","-3,377,000","-3,154,000","-2,707,000","-2,704,000","-2,358,000","-2,029,000","-2,305,000","-2,423,000","-2,184,000","-2,014,000","-2,017,000","-1,918,000","-1,155,000","-914,000","-849,000","-2,644,000","-2,618,000","-2,387,000","-1,975,000","-1,717,000"
	InterestExpenseNonOperating,"11,943,000","3,377,000","3,154,000","2,707,000","2,704,000","2,358,000","2,029,000","2,305,000","2,423,000","2,184,000","2,014,000","2,017,000","1,918,000","1,155,000","914,000","849,000","2,644,000","2,618,000","2,387,000","1,975,000","1,717,000"
	TotalOtherFinanceCost,"7,104,000",,,,,,,,,"2,184,000","2,014,000","2,017,000","1,918,000","1,155,000","914,000","849,000","2,644,000","2,618,000","2,387,000","1,975,000","1,717,000"
OtherIncomeExpense,"-21,102,000","-11,503,000","-4,927,000","-1,063,000","-3,609,000","2,031,000","-1,904,000","-1,844,000","644,000","142,000",,,"417,000","-2,502,000","349,000","-586,000","-1,393,000","-8,311,000","-2,063,000","752,000","804,000"
	GainOnSaleOfSecurity,,,,,,,,,,,,,,,,"0","-242,000","-6,564,000","-1,681,000","357,000","58,000"
	SpecialIncomeCharges,"-21,344,000","-11,503,000","-4,927,000","-1,305,000","-3,609,000","-322,000","-1,904,000","-52,000","1,473,000","142,000",,,"417,000","-2,502,000","349,000","-586,000","-1,151,000","-1,747,000","-382,000","395,000","746,000"
		RestructuringAndMergernAcquisition,"21,344,000","11,503,000","4,927,000","1,305,000","3,609,000","322,000","1,904,000","52,000","-1,473,000","-142,000",,,"-417,000","2,502,000","-349,000","586,000","1,151,000","1,747,000","382,000","-395,000","-746,000"
	OtherNonOperatingIncomeExpenses,,,,"242,000",,"2,353,000",,"-1,792,000","-829,000","142,000",,,"417,000","-2,502,000","349,000","-586,000","-1,151,000","-1,747,000","-382,000","395,000","746,000"
PretaxIncome,"-18,841,000","-9,554,000","-3,909,000","1,969,000","-4,704,000","-140,000","-4,340,000","-2,899,000","-2,815,000","-143,000","2,083,000","-148,000","-724,000","-1,358,000","2,616,000","2,646,000","37,000","-6,586,000","-721,000","460,000","1,058,000"
TaxProvision,"1,425,000","884,000","-228,000","1,039,000","-110,000","-87,000","-219,000","-877,000","-5,000","-2,062,000","149,000","-175,000","-131,000","-136,000","265,000","-216,000","692,000","250,000","-389,000","76,000","171,000"
NetIncomeCommonStockholders,"-13,663,000","-7,373,000","-2,528,000","984,000","-3,308,000","440,000","-2,572,000","-651,000","-356,000","737,000","-149,000","-930,000","-1,191,000","-1,102,000","178,000","834,000","-564,000","-6,836,000","-332,000","1,116,000","887,000"
	NetIncome,"-13,663,000","-7,373,000","-2,528,000","984,000","-3,308,000","440,000","-2,572,000","-651,000","-356,000","737,000","-149,000","-930,000","-1,191,000","-1,102,000","178,000","834,000","-564,000","-6,836,000","-332,000","384,000","887,000"
		NetIncomeIncludingNoncontrollingInterests,"-20,266,000","-10,438,000","-3,681,000","930,000","-4,594,000","-53,000","-4,121,000","-2,022,000","-2,810,000","1,919,000","1,934,000","27,000","-593,000","-1,222,000","2,351,000","2,862,000","-655,000","-6,836,000","-332,000","384,000","887,000"
			NetIncomeContinuousOperations,"-20,266,000","-10,438,000","-3,681,000","930,000","-4,594,000","-53,000","-4,121,000","-2,022,000","-2,810,000","1,919,000","1,934,000","27,000","-593,000","-1,222,000","2,351,000","2,862,000","-655,000","-6,836,000","-332,000","384,000","887,000"
		MinorityInterests,"6,603,000","3,065,000","1,153,000","54,000","1,286,000","493,000","1,549,000","1,371,000","2,454,000","-1,182,000","-2,083,000","-957,000","-598,000","120,000","-2,173,000","-2,028,000","91,000","0","0",,
AverageDilutionEarnings,,,,,,"-371,000",,,,,,,,,,,,,,,
DilutedNIAvailtoComStockholders,"-15,468,000","-7,373,000","-2,528,000","-1,572,000","-3,308,000","69,000","-2,572,000","-651,000","-356,000","737,000","-149,000","-930,000","-1,191,000","-1,102,000","178,000","834,000","-564,000","-6,836,000","-332,000","1,116,000","887,000"
BasicEPS,,"-0.33","-0.11","-0.02","-0.15","0.02","-0.13","-0.04","-0.02","0.05","-0.01","-0.07","-0.12","-0.12","0.02","0.09","-0.01","-0.843","-0.043",,"0.114"
DilutedEPS,,"-0.33","-0.11","-0.05","-0.15","0.002","-0.13","-0.06","-0.02","0.05","-0.01","-0.07","-0.12","-0.12","0.02","0.09","-0.01","-0.843","-0.043",,"0.114"
BasicAverageShares,,"22,076,297","22,042,801","21,991,340","21,926,225","20,940,725","19,129,056","15,780,082","14,858,858","14,456,970","14,233,785","14,159,957","10,064,785","8,887,050","8,812,630","8,812,630","8,812,630","8,111,724","7,803,000",,"7,803,000"
DilutedAverageShares,,"22,076,297","22,042,801","32,220,482","21,926,225","33,404,983","19,129,056","28,069,996","14,858,858","16,106,757","14,233,785","14,159,957","10,064,785","8,887,050","9,903,168","26,891,688","8,812,630","8,111,724","7,803,000",,"7,803,000"
