name,ttm,04/30/2022,01/31/2022,10/31/2021,07/31/2021,04/30/2021,01/31/2021,10/31/2020,07/31/2020,04/30/2020,01/31/2020,10/31/2019,07/31/2019,04/30/2019,01/31/2019,10/31/2018,07/31/2018,04/30/2018,01/31/2018,10/31/2017,07/31/2017,04/30/2017,01/31/2017,10/31/2016,07/31/2016,04/30/2016,01/31/2016,10/31/2015,07/31/2015,04/30/2015,01/31/2015,10/31/2014,07/31/2014,04/30/2014,01/31/2014,10/31/2013,07/31/2013,04/30/2013,01/31/2013,10/31/2012,07/31/2012,04/30/2012,01/31/2012,10/31/2011,07/31/2011,04/30/2011,01/31/2011,10/31/2010,07/31/2010,04/30/2010,01/31/2010,10/31/2009,07/31/2009,04/30/2009,01/31/2009,10/31/2008,07/31/2008,04/30/2008,01/31/2008,10/31/2007,07/31/2007,04/30/2007,01/31/2007,10/31/2006,07/31/2006,04/30/2006,01/31/2006,10/31/2005,07/31/2005,04/30/2005,01/31/2005,10/31/2004,07/31/2004,04/30/2004,01/31/2004,10/31/2003,07/31/2003,04/30/2003,01/31/2003,10/31/2002,07/31/2002,04/30/2002,01/31/2002,10/31/2001,07/31/2001,04/30/2001,01/31/2001,10/31/2000,07/31/2000,04/30/2000,01/31/2000,10/31/1999,07/31/1999,04/30/1999,01/31/1999,10/31/1998,07/31/1998,04/30/1998,01/31/1998,10/31/1997,07/31/1997,04/30/1997,01/31/1997,10/31/1996,07/31/1996,04/30/1996,01/31/1996,10/31/1995,07/31/1995,04/30/1995,01/31/1995,10/31/1994,07/31/1994,04/30/1994,01/31/1994,10/31/1993,07/31/1993,04/30/1993,01/31/1993,10/31/1992,07/31/1992,04/30/1992,01/31/1992,10/31/1991,07/31/1991,04/30/1991,01/31/1991,10/31/1990,07/31/1990,04/30/1990,01/31/1990
OperatingCashFlow,"6,106,000,000","508,000,000","1,657,000,000","2,848,000,000","1,093,000,000","1,446,000,000","1,022,000,000","1,874,000,000","1,667,000,000","-510,000,000","1,285,000,000","588,000,000","2,343,000,000","861,000,000","862,000,000","968,000,000","1,514,000,000","1,050,000,000","996,000,000","680,000,000","1,775,000,000","455,000,000","767,000,000","698,000,000","1,065,000,000","1,575,000,000","-108,000,000","2,609,000,000","1,673,000,000","1,464,000,000","744,000,000","2,701,000,000","3,647,000,000","2,995,000,000","2,990,000,000","2,816,000,000","2,674,000,000","3,556,000,000","2,562,000,000","4,059,000,000","2,846,000,000","2,473,000,000","1,193,000,000","2,400,000,000","3,207,000,000","3,962,000,000","3,070,000,000","3,151,000,000","3,273,000,000","3,091,000,000","2,407,000,000","3,433,000,000","3,856,000,000","4,964,000,000","1,126,000,000","3,276,000,000","3,363,000,000","4,765,000,000","3,187,000,000","3,609,000,000","1,867,000,000","4,161,000,000","-22,000,000","3,244,000,000","2,629,000,000","3,634,000,000","1,846,000,000","1,886,000,000","2,210,000,000","2,374,000,000","1,558,000,000","1,987,000,000","319,000,000","2,634,000,000","148,000,000","2,383,000,000","468,000,000","2,559,000,000","647,000,000","1,502,000,000","158,000,000","2,063,000,000","1,721,000,000","1,742,000,000","131,000,000","1,211,000,000","-523,000,000","660,000,000","683,000,000","1,579,000,000","1,503,000,000","629,000,000","362,000,000","1,753,000,000","290,000,000","1,929,000,000","664,000,000","1,705,000,000","1,144,000,000","886,000,000","259,000,000","1,366,000,000","1,810,000,000","1,413,000,000","723,000,000","702,000,000","618,000,000","172,000,000","-150,000,000","661,000,000","930,000,000","809,000,000","263,000,000","615,000,000","537,000,000","139,000,000","146,000,000","426,000,000","431,000,000","100,000,000","226,000,000","673,000,000","289,000,000","356,000,000","205,000,000","565,000,000","426,000,000","283,000,000","168,000,000","278,000,000","70,000,000"
	CashFlowFromContinuingOperatingActivities,"6,106,000,000","508,000,000","1,657,000,000","2,848,000,000","1,093,000,000","1,446,000,000","1,022,000,000","1,874,000,000","1,667,000,000","-510,000,000","1,285,000,000","588,000,000","2,343,000,000","861,000,000","862,000,000","968,000,000","1,514,000,000","1,050,000,000","996,000,000","680,000,000","1,775,000,000","455,000,000","767,000,000","698,000,000","1,065,000,000","1,575,000,000","-108,000,000","2,609,000,000","1,673,000,000","1,464,000,000","744,000,000","2,701,000,000","3,647,000,000","2,995,000,000","2,990,000,000","2,816,000,000","2,674,000,000","3,556,000,000","2,562,000,000","4,059,000,000","2,846,000,000","2,473,000,000","1,193,000,000","2,400,000,000","3,207,000,000","3,962,000,000","3,070,000,000","3,151,000,000","3,273,000,000","3,091,000,000","2,407,000,000","3,433,000,000","3,856,000,000","4,964,000,000","1,126,000,000","3,276,000,000","3,363,000,000","4,765,000,000","3,187,000,000","3,609,000,000","1,867,000,000","4,161,000,000","-22,000,000","3,244,000,000","2,629,000,000","3,634,000,000","1,846,000,000","1,886,000,000","2,210,000,000","2,374,000,000","1,558,000,000","1,987,000,000","319,000,000","2,634,000,000","148,000,000","2,383,000,000","468,000,000","2,559,000,000","647,000,000","1,502,000,000","158,000,000","2,063,000,000","1,721,000,000","1,742,000,000","131,000,000","1,211,000,000","-523,000,000","659,000,000","788,000,000","878,000,000","1,135,000,000","740,000,000","313,000,000","1,753,000,000","290,000,000","1,929,000,000","664,000,000","1,705,000,000","1,144,000,000","886,000,000","259,000,000","1,366,000,000","1,810,000,000","1,413,000,000","723,000,000","702,000,000","618,000,000","172,000,000","-150,000,000","661,000,000","930,000,000","809,000,000","263,000,000","615,000,000","537,000,000","139,000,000","146,000,000","426,000,000","431,000,000","100,000,000","226,000,000","673,000,000","289,000,000","356,000,000","205,000,000","565,000,000","426,000,000","283,000,000","168,000,000","278,000,000","70,000,000"
		NetIncomeFromContinuingOperations,"6,293,000,000","1,000,000,000","1,086,000,000","3,099,000,000","1,108,000,000","1,228,000,000","1,068,000,000","668,000,000","734,000,000","764,000,000","678,000,000","388,000,000","1,179,000,000","782,000,000","803,000,000","1,451,000,000","880,000,000","1,058,000,000","1,938,000,000","660,000,000","696,000,000","559,000,000","611,000,000","492,000,000","783,000,000","629,000,000","592,000,000","1,323,000,000","854,000,000","1,011,000,000","1,366,000,000","1,330,000,000","985,000,000","1,273,000,000","1,425,000,000","1,414,000,000","1,390,000,000","1,077,000,000","1,232,000,000","-6,854,000,000","-8,857,000,000","1,593,000,000","1,468,000,000","239,000,000",,"2,304,000,000","2,605,000,000",,"1,773,000,000","2,200,000,000","2,250,000,000","2,448,000,000","1,642,000,000","1,716,000,000","1,854,000,000","2,112,000,000","2,027,000,000","2,057,000,000","2,133,000,000","2,164,000,000","1,778,000,000","1,775,000,000","1,547,000,000","1,697,000,000","1,375,000,000","1,899,000,000","1,227,000,000","416,000,000","73,000,000","966,000,000","943,000,000","1,091,000,000","586,000,000","884,000,000","936,000,000","862,000,000","297,000,000","659,000,000","721,000,000","390,000,000","-2,029,000,000","252,000,000","484,000,000","-98,000,000","111,000,000","67,000,000","328,000,000","922,000,000","1,029,000,000","816,000,000","794,000,000","760,000,000","466,000,000","918,000,000","960,000,000","710,000,000","621,000,000","685,000,000","929,000,000","806,000,000","617,000,000","784,000,000","912,000,000","648,000,000","425,000,000","723,000,000","790,000,000","678,000,000","576,000,000","577,000,000","602,000,000","476,000,000","347,000,000","408,000,000","368,000,000","298,000,000","271,000,000","347,000,000","261,000,000","58,000,000","191,000,000","326,000,000","306,000,000","125,000,000","192,000,000","233,000,000","205,000,000","202,000,000","178,000,000","186,000,000","173,000,000"
		OperatingGainsLosses,,,,"-37,000,000",,,,"214,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,795,000,000",,,,"150,000,000","158,000,000","158,000,000","235,000,000","598,000,000","180,000,000","131,000,000","39,000,000","362,000,000","257,000,000","-11,000,000","309,000,000","-2,000,000","-29,000,000","6,000,000","36,000,000","-9,000,000","-45,000,000","-22,000,000","-77,000,000","-368,000,000","113,000,000","325,000,000","1,540,000,000","133,000,000","55,000,000","136,000,000","217,000,000","166,000,000","133,000,000","154,000,000","312,000,000","582,000,000","642,000,000","91,000,000","1,012,000,000","2,972,000,000","61,000,000","-6,000,000","725,000,000","123,000,000","-12,000,000","342,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			PensionAndEmployeeBenefitExpense,,,,"-37,000,000",,,,"214,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DepreciationAmortizationDepletion,"786,000,000","193,000,000","197,000,000","200,000,000","196,000,000","186,000,000","203,000,000","196,000,000","197,000,000","198,000,000","198,000,000","205,000,000","190,000,000","181,000,000","168,000,000","140,000,000","132,000,000","127,000,000","129,000,000","91,000,000","90,000,000","89,000,000","84,000,000","83,000,000","85,000,000","85,000,000","79,000,000","1,007,000,000","1,023,000,000","1,003,000,000","1,028,000,000","1,075,000,000","1,055,000,000","1,087,000,000","1,117,000,000","1,120,000,000","1,158,000,000","1,170,000,000","1,163,000,000","1,201,000,000","1,306,000,000","1,285,000,000","1,303,000,000","1,262,000,000","1,225,000,000","1,242,000,000","1,255,000,000","1,264,000,000","1,210,000,000","1,184,000,000","1,162,000,000","1,227,000,000","1,179,000,000","1,153,000,000","1,214,000,000","1,088,000,000","759,000,000","760,000,000","749,000,000","699,000,000","685,000,000","678,000,000","643,000,000","596,000,000","598,000,000","596,000,000","563,000,000","545,000,000","588,000,000","599,000,000","612,000,000","602,000,000","602,000,000","626,000,000","565,000,000","601,000,000","606,000,000","630,000,000","690,000,000","709,000,000","714,000,000","381,000,000","315,000,000","363,000,000","374,000,000","346,000,000","286,000,000","309,000,000","386,000,000","327,000,000","346,000,000","351,000,000","109,000,000","436,000,000","420,000,000","546,000,000","454,000,000","458,000,000","411,000,000","451,000,000","408,000,000","362,000,000","335,000,000","366,000,000","341,000,000","301,000,000","289,000,000","317,000,000","283,000,000","266,000,000","273,000,000","282,000,000","258,000,000","239,000,000","227,000,000","236,000,000","224,000,000","199,000,000","187,000,000","189,000,000","173,000,000","163,000,000","148,000,000","164,000,000","161,000,000","164,000,000","135,000,000","155,000,000","143,000,000","133,000,000","135,000,000"
			DepreciationAndAmortization,"786,000,000","193,000,000","197,000,000","200,000,000","196,000,000","186,000,000","203,000,000","196,000,000","197,000,000","198,000,000","198,000,000","205,000,000","190,000,000","181,000,000","168,000,000","140,000,000","132,000,000","127,000,000","129,000,000","91,000,000","90,000,000","89,000,000","84,000,000","83,000,000","85,000,000","85,000,000","79,000,000","1,007,000,000","1,023,000,000","1,003,000,000","1,028,000,000","1,075,000,000","1,055,000,000","1,087,000,000","1,117,000,000","1,120,000,000","1,158,000,000","1,170,000,000","1,163,000,000","1,201,000,000","1,306,000,000","1,285,000,000","1,303,000,000","1,262,000,000","1,225,000,000","1,242,000,000","1,255,000,000","1,264,000,000","1,210,000,000","1,184,000,000","1,162,000,000","1,227,000,000","1,179,000,000","1,153,000,000","1,214,000,000","1,088,000,000","759,000,000","760,000,000","749,000,000","699,000,000","685,000,000","678,000,000","643,000,000","596,000,000","598,000,000","596,000,000","563,000,000","545,000,000","588,000,000","599,000,000","612,000,000","602,000,000","602,000,000","626,000,000","565,000,000","601,000,000","606,000,000","630,000,000","690,000,000","709,000,000","714,000,000","381,000,000","315,000,000","363,000,000","374,000,000","346,000,000","286,000,000","309,000,000","386,000,000","327,000,000","346,000,000","351,000,000","109,000,000","436,000,000","420,000,000","546,000,000","454,000,000","458,000,000","411,000,000","451,000,000","408,000,000","362,000,000","335,000,000","366,000,000","341,000,000","301,000,000","289,000,000","317,000,000","283,000,000","266,000,000","273,000,000","282,000,000","258,000,000","239,000,000","227,000,000","236,000,000","224,000,000","199,000,000","187,000,000","189,000,000","173,000,000","163,000,000","148,000,000","164,000,000","161,000,000","164,000,000","135,000,000","155,000,000","143,000,000","133,000,000","135,000,000"
		DeferredTax,"-660,000,000","-10,000,000","5,000,000","-512,000,000","-143,000,000","-17,000,000","67,000,000","-76,000,000","32,000,000","-3,000,000","117,000,000","-192,000,000","207,000,000","15,000,000","103,000,000","-486,000,000","149,000,000","397,000,000","-3,713,000,000","-174,000,000","207,000,000","138,000,000","67,000,000","-577,000,000","378,000,000","74,000,000","526,000,000","-1,598,000,000","898,000,000","173,000,000","-173,000,000","95,000,000","-39,000,000","-99,000,000","9,000,000","-952,000,000","70,000,000","-28,000,000","500,000,000","-21,000,000","-535,000,000","-45,000,000","-110,000,000","-638,000,000","163,000,000","9,000,000","632,000,000","388,000,000","95,000,000","-94,000,000","-192,000,000","107,000,000","220,000,000","115,000,000","-63,000,000","-128,000,000","177,000,000","625,000,000","361,000,000","116,000,000","59,000,000","149,000,000","91,000,000","312,000,000","125,000,000","201,000,000","55,000,000","-38,000,000","-301,000,000","-53,000,000","230,000,000","-191,000,000","92,000,000","24,000,000","101,000,000","-95,000,000","-23,000,000","-299,000,000","138,000,000","389,000,000","-841,000,000","193,000,000","-92,000,000","-153,000,000","-697,000,000","-68,000,000","-52,000,000","-980,000,000","419,000,000","285,000,000","-413,000,000","-754,000,000","320,000,000","-87,000,000","350,000,000","-953,000,000","-150,000,000","-52,000,000","-108,000,000","139,000,000","-57,000,000","-119,000,000","-195,000,000","-138,000,000","-49,000,000","-42,000,000","-55,000,000","-3,000,000","-32,000,000","21,000,000","-88,000,000","-114,000,000","41,000,000","-12,000,000","-71,000,000","-14,000,000","-5,000,000","-72,000,000","-46,000,000","-34,000,000","2,000,000","13,000,000","-16,000,000","-7,000,000","-15,000,000","-23,000,000","4,000,000","111,000,000","-15,000,000","-7,000,000","-11,000,000"
			DeferredIncomeTax,"-660,000,000","-10,000,000","5,000,000","-512,000,000","-143,000,000","-17,000,000","67,000,000","-76,000,000","32,000,000","-3,000,000","117,000,000","-192,000,000","207,000,000","15,000,000","103,000,000","-486,000,000","149,000,000","397,000,000","-3,713,000,000","-174,000,000","207,000,000","138,000,000","67,000,000","-577,000,000","378,000,000","74,000,000","526,000,000","-1,598,000,000","898,000,000","173,000,000","-173,000,000","95,000,000","-39,000,000","-99,000,000","9,000,000","-952,000,000","70,000,000","-28,000,000","500,000,000","-21,000,000","-535,000,000","-45,000,000","-110,000,000","-638,000,000","163,000,000","9,000,000","632,000,000","388,000,000","95,000,000","-94,000,000","-192,000,000","107,000,000","220,000,000","115,000,000","-63,000,000","-128,000,000","177,000,000","625,000,000","361,000,000","116,000,000","59,000,000","149,000,000","91,000,000","312,000,000","125,000,000","201,000,000","55,000,000","-38,000,000","-301,000,000","-53,000,000","230,000,000","-191,000,000","92,000,000","24,000,000","101,000,000","-95,000,000","-23,000,000","-299,000,000","138,000,000","389,000,000","-841,000,000","193,000,000","-92,000,000","-153,000,000","-697,000,000","-68,000,000","-52,000,000","-980,000,000","419,000,000","285,000,000","-413,000,000","-754,000,000","320,000,000","-87,000,000","350,000,000","-953,000,000","-150,000,000","-52,000,000","-108,000,000","139,000,000","-57,000,000","-119,000,000","-195,000,000","-138,000,000","-49,000,000","-42,000,000","-55,000,000","-3,000,000","-32,000,000","21,000,000","-88,000,000","-114,000,000","41,000,000","-12,000,000","-71,000,000","-14,000,000","-5,000,000","-72,000,000","-46,000,000","-34,000,000","2,000,000","13,000,000","-16,000,000","-7,000,000","-15,000,000","-23,000,000","4,000,000","111,000,000","-15,000,000","-7,000,000","-11,000,000"
		AssetImpairmentCharge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,,"8,847,000,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
