name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,12/31/2004
		ProvisionandWriteOffofAssets,"-21,754,000","-5,250,000","-6,551,000","-786,000","-9,167,000","-9,262,000","-12,563,000","3,138,000","9,642,000","10,130,000","-3,318,000","-12,582,000","-541,000","-9,655,000","4,075,000","-1,068,000","13,189,000","-251,194,000","64,964,000","52,374,000","12,606,000","-21,187,000","-377,000","17,014,000","40,894,000","12,657,000","20,814,000","8,867,000","4,918,000","5,792,000","20,556,000","10,793,000","-2,281,000","2,282,000","1,938,000","11,075,000","-2,685,000","3,617,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"45,186,000","11,764,000","10,841,000","11,048,000","11,533,000","10,372,000","9,300,000","9,512,000","12,793,000","10,465,000","11,570,000","12,413,000","13,142,000","12,493,000","9,338,000","11,772,000","12,536,000","8,137,000","5,523,000","9,633,000","12,694,000","12,082,000","2,704,000","14,822,000","14,220,000","14,403,000","15,576,000","23,504,000","12,253,000","9,043,000","11,847,000","15,105,000","10,640,000","13,220,000","17,598,000","6,708,000","6,970,000","11,908,000","4,690,000","4,805,000","3,932,000","6,418,000","4,471,000","6,458,000","3,819,000","3,315,000","6,181,000","3,778,000","2,932,000","3,336,000","5,150,000","2,488,000","2,615,000","2,657,000",,,,,,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,"0",,,,"3,000",,,"0","-431,000","-706,000","2,320,000","-1,258,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherNonCashItems,"31,633,000","-1,322,000","12,024,000","9,880,000","16,652,000","5,273,000","5,160,000","5,043,000","1,804,000","63,000","64,000","63,000","64,000","63,000","64,000","63,000","64,000","63,000","64,000","63,000","64,000","63,000",,,,,,,,,,,,,,,,,,"56,507,000","12,537,000","11,058,000","35,543,000","59,243,000","16,384,000","-4,688,000","3,552,000","-7,366,000","7,458,000","-42,000","3,749,000","-4,130,000","-2,731,000","-487,000","4,071,000","6,692,000","541,000","2,866,000","1,583,000","6,622,000","-687,000","1,215,000","-541,000","4,803,000",,,,
		ChangeInWorkingCapital,"21,139,000","-292,504,000","266,553,000","-65,891,000","112,981,000","-291,104,000","377,732,000","-35,097,000","180,402,000","-320,129,000","327,466,000","-213,286,000","172,212,000","-159,400,000","468,041,000","-180,335,000","145,959,000","262,432,000","204,353,000","-211,003,000","-63,845,000","-70,151,000","216,597,000","-104,363,000","-58,640,000","-238,396,000","78,986,000","-298,431,000","-38,332,000","-250,089,000","142,475,000","-152,468,000","60,003,000","-187,690,000","141,735,000","-126,939,000","-43,428,000","-104,711,000","135,053,000","-51,086,000","24,754,000","-99,668,000","84,385,000","-111,038,000","-14,390,000","-104,941,000","46,431,000","-57,631,000","-19,866,000","-28,154,000","64,600,000","-15,541,000","4,146,000","-13,334,000","37,907,000","-9,569,000","-13,433,000","-24,798,000","10,355,000","-42,960,000","-29,559,000","-20,901,000","11,997,000","-17,279,000","-19,336,000","-12,853,000","79,000","-7,533,000"
			ChangeInReceivables,"7,352,000","-131,988,000","168,926,000","-94,389,000","64,803,000","-170,493,000","273,488,000","-231,933,000","98,463,000","27,596,000","142,135,000","-112,469,000","11,926,000","-87,042,000","210,680,000","-140,742,000","63,193,000","53,703,000","59,161,000","-172,054,000","12,526,000","21,261,000","92,489,000","-267,776,000","62,424,000","-136,990,000","96,811,000","-203,583,000","42,335,000","-127,439,000","147,199,000","-195,166,000","68,001,000","-121,091,000","145,140,000","-143,506,000","38,424,000","-76,018,000","126,632,000","-137,426,000","17,752,000","-60,391,000","101,482,000","-104,467,000","25,628,000","-56,566,000","67,182,000","-77,004,000","12,068,000","-34,566,000","61,520,000","-55,352,000","20,944,000","-23,320,000","63,411,000","-52,172,000","503,000","-9,108,000","35,570,000","-48,624,000","1,933,000","-13,101,000","17,552,000","-30,396,000","-529,000","-7,455,000","5,005,000","794,000"
				ChangesInAccountReceivables,"7,352,000","-131,988,000","168,926,000","-94,389,000","64,803,000","-170,493,000","273,488,000","-231,933,000","98,463,000","27,596,000","142,135,000","-112,469,000","11,926,000","-87,042,000","210,680,000","-140,742,000","63,193,000","53,703,000","59,161,000","-172,054,000","12,526,000","21,261,000","92,489,000","-267,776,000","62,424,000","-136,990,000","96,811,000","-203,583,000","42,335,000","-127,439,000","147,199,000","-195,166,000","68,001,000","-121,091,000","145,140,000","-143,506,000","38,424,000","-76,018,000","126,632,000","-137,426,000","17,752,000","-60,391,000","101,482,000","-104,467,000","25,628,000","-56,566,000","67,182,000","-77,004,000","12,068,000","-34,566,000","61,520,000","-55,352,000","20,944,000","-23,320,000",,,,,,,,,,,,,,
			ChangeInInventory,"37,616,000","-6,425,000","29,085,000","41,818,000","-26,862,000","49,246,000","175,236,000","147,500,000","-247,729,000","-59,701,000","26,155,000","61,062,000","-94,578,000","156,880,000","140,309,000","128,040,000","-175,127,000","16,697,000","21,305,000","-16,506,000","-246,274,000","19,084,000","38,417,000","110,182,000","-250,696,000","-45,958,000","79,350,000","-45,129,000","-262,442,000","-50,303,000","92,112,000","18,636,000","-191,491,000","-3,915,000","29,376,000","-10,727,000","-171,226,000","-4,323,000","-7,894,000","70,165,000","-59,124,000","1,552,000","-7,797,000","-11,047,000","-62,423,000","-33,379,000","-20,656,000","-12,499,000","-33,784,000","1,700,000","4,565,000","28,131,000","-16,416,000","16,718,000","-20,927,000","19,609,000","-15,699,000","-2,480,000","-13,085,000","-24,603,000","-47,259,000","981,000","-4,700,000","4,814,000","-26,750,000","132,000","-3,330,000","-5,020,000"
			ChangeInPrepaidAssets,"-16,397,000","-4,326,000","13,962,000","-7,096,000","-18,937,000","22,295,000","-45,801,000","-12,964,000","50,215,000","27,153,000","-49,419,000","9,220,000","10,335,000","54,198,000","-10,336,000","-43,097,000","29,495,000","-83,917,000","-29,288,000","-13,674,000","-4,943,000","-7,598,000","-5,582,000","-23,488,000","19,137,000","-15,351,000","-23,847,000","-31,547,000","18,817,000","-39,899,000","-13,063,000","-3,768,000","-1,035,000","-15,479,000","-12,022,000","-2,961,000","-13,625,000","9,559,000","-6,521,000","4,002,000","-6,079,000","4,538,000","-19,275,000","-15,660,000","-5,838,000","-1,860,000","1,395,000","-5,279,000","-4,264,000","4,049,000","1,499,000","-2,979,000","-550,000","3,900,000","1,518,000","-4,108,000","-3,925,000","-672,000","2,862,000","-3,937,000","-2,096,000","1,104,000","-1,050,000","-1,261,000","-1,449,000","86,000",,
			ChangeInPayablesAndAccruedExpense,"-64,393,000","-177,559,000","71,419,000","-41,938,000","83,685,000","-201,933,000","-41,833,000","42,573,000","243,455,000","33,664,000","160,273,000","-129,382,000","287,513,000","-277,933,000","85,063,000","-133,159,000","279,930,000","-70,827,000","93,511,000","44,190,000","201,546,000","-83,729,000","148,910,000","-7,186,000","105,727,000","7,651,000","-61,475,000","-67,756,000","144,972,000","25,802,000","-60,423,000","-22,972,000","180,088,000","-18,700,000","-8,625,000","-708,000","102,794,000","-22,338,000","18,325,000","12,173,000","72,205,000","-45,367,000","9,975,000","20,136,000","28,243,000","-13,136,000","5,985,000","21,086,000","15,451,000","-5,034,000","6,062,000","524,000","11,277,000","-10,593,000","3,018,000","5,896,000","9,532,000","-6,805,000","-12,067,000","12,587,000","18,123,000","-6,770,000","1,629,000","-557,000","14,072,000","-6,941,000","2,701,000","-8,170,000"
