name,ttm,03/31/2022
MarketCap,"793,990,015","1,147,359,197"
EnterpriseValue,"59,072,015","385,022,197"
PbRatio,"1.097","1.538"
EnterprisesValueEBITDARatio,"-0.582","-13.598"
