name,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007
TotalAssets,"595,879,000","698,051,000","569,898,000","234,412,000","138,464,000","147,990,000","114,944,000","126,944,444","164,763,676","149,396,651","146,222,238","94,235,112","167,723,468","153,570,375","140,059,140","63,039,616","71,557,582","74,273,739","73,649,049","41,297,588","46,338,063","42,185,465","42,972,452","19,825,725","18,796,941","21,407,766","22,368,622","23,704,365","25,227,232","26,908,373","29,630,373","14,997,318","16,519,909","18,173,991","19,729,883","22,458,045","22,025,178","26,008,838","27,977,997","31,057,404","34,170,627","36,730,377","28,672,696","30,633,212","33,839,466","12,874,114","15,658,695","15,769,822","18,144,678","18,743,505","19,359,858","20,104,842","20,795,234","21,246,002","17,332,609","12,343,949","13,495,526","14,234,505","3,104,926"
	CurrentAssets,"356,307,000","439,336,000","391,572,000","179,759,000","35,565,000","42,537,000","10,092,000","7,451,821","8,013,138","27,866,091","27,799,356","45,072,041","143,789,483","136,319,705","132,825,099","55,801,238","48,253,664","51,083,866","39,045,586","4,531,895","8,366,898","6,882,141","15,619,384","10,080,500","8,472,051","10,934,999","11,934,778","13,163,972","14,984,601","16,954,702","19,775,190","4,934,242","6,260,388","2,919,010","3,828,865","6,008,584","6,559,396","8,028,197","9,453,385","11,568,470","14,234,184","15,503,813","7,434,738","9,085,473","10,691,829","3,845,240","3,709,039","3,682,006","4,057,631","4,115,241","5,167,939","5,893,700","6,898,416","7,355,601","5,559,349","1,340,366","2,827,917","4,449,115","554,801"
		CashCashEquivalentsAndShortTermInvestments,"315,371,000","411,002,000","371,011,000","165,764,000","27,605,000","36,384,000","5,914,000","2,632,886","1,686,596","1,060,387","2,011,898","3,106,244","16,030,248","1,775,374","3,853,940","7,205,096","1,676,756","3,163,470","1,054,142","2,538,976","2,839,286","2,403,761","12,035,320","3,768,897","4,356,761","6,865,510","8,395,492","10,812,371","13,045,215","15,671,408","17,954,910","3,824,260","1,216,204","293,175","2,105,040","4,383,272","4,833,461","4,420,502","4,863,731","7,521,803","10,128,003","12,518,356","4,653,101","6,593,829","7,842,389","1,654,818","1,637,739","2,237,738","2,008,874","1,983,693","3,892,923","4,680,025","5,930,815","6,424,482","4,716,852","472,670","1,681,959","2,179,639","527,231"
			CashAndCashEquivalents,"256,930,000","395,642,000","355,856,000","165,764,000","27,605,000","36,384,000","5,914,000","2,632,886","1,686,596","1,060,387","2,011,898","3,106,244","16,030,248","1,775,374","3,853,940","7,205,096","1,676,756","3,163,470","1,054,142","2,538,976","2,839,286","2,403,761","12,035,320","3,768,897","4,356,761","6,865,510","8,395,492","10,812,371","13,045,215","15,671,408","17,954,910","3,822,889","1,214,490","291,804","2,102,811","4,381,043","4,830,031","4,418,101","4,861,502","7,519,574","10,126,289","12,514,069","4,645,898","6,584,396","7,808,805","1,606,943","1,513,927","2,190,494","1,941,266","1,874,820","3,798,798","4,425,529","5,131,815","4,061,482","4,716,852","472,670","1,681,959","2,179,639","527,231"
				CashFinancial,,,,,,,,,,,,,"16,030,248","1,775,374","3,853,940","7,205,096",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"58,441,000","15,360,000","15,155,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,371","1,714","1,371","2,229","2,229","3,430","2,401","2,229","2,229","1,714","4,287","7,203","9,433","33,584","47,875","123,812","47,244","67,608","108,873","94,125","254,496","799,000","2,363,000",,,,,
		Receivables,"5,048,000","4,333,000","5,654,000","7,640,000","6,380,000","4,501,000","3,113,000","2,404,869","2,941,245","19,397,605","19,406,354","19,370,665","105,534,523","112,785,737","107,508,598","26,962,085","42,784,281","41,967,360","29,618,066","1,260,529","4,102,124","3,094,770","2,843,010","1,689,415","2,578,745","2,680,483","1,775,563","1,091,076","636,684","182,601","186,715","175,211","4,023,031","16,344",,"382","380","1,872,102","2,744,581","2,703,893","2,715,229","1,180,398","1,027,778","709,541","1,294,121","1,162,365","1,259,539","672,594","1,083,430","1,149,507","192,480","136,709","30,663","82,370","98,620","136,655",,,
			AccountsReceivable,"4,494,000","4,039,000","5,409,000","7,400,000","4,315,000","1,242,000","1,833,000","2,404,869","2,941,245","19,397,605","19,406,354","19,370,665","105,534,523","112,785,737","107,508,598","26,962,085","42,784,281","41,967,360","29,196,591","1,260,529","4,102,124","3,094,770","2,843,010","1,689,415","2,578,745","2,680,483","1,775,563","1,091,076","636,684","182,601","186,715","175,211","111,943","16,344",,"382","380","421,891","393,126","399,791","429,040","465,573","324,497","220,926","320,749","175,416","232,676","213,713","168,710","234,787","192,480","136,709","30,663","82,370","98,620","136,655",,,
				GrossAccountsReceivable,"6,053,000","5,598,000","6,625,000","8,619,000","4,900,000","1,242,000","1,833,000","2,404,972","2,941,348","19,397,605",,"19,370,665","105,538,117","112,789,368","107,512,228","26,965,731","42,787,928","42,018,388","32,040,818","4,085,653","4,469,011",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,559,000","-1,559,000","-1,216,000","-1,219,000","-585,000","0","0","-103","-103","0",,"0","-3,594","-3,631","-3,630","-3,646","-3,647","-51,028","-2,844,227","-2,825,124","-366,887",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			LoansReceivable,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","318,665","316,660","314,843","311,492","306,462","304,529","295,995","291,191","290,020","289,974","280,033","280,033",,,,,,,,,
			NotesReceivable,,,,,"464,000","1,931,000",,,,,,,,,,"0","0","0","421,475",,,,,,,,,,,,,,"3,911,088",,,,,,,,,,,,,,,,,,,,,,,,,,
			DuefromRelatedPartiesCurrent,"554,000","294,000","245,000","240,000","1,601,000","1,328,000","1,280,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","1,450,211","2,032,790","1,987,442","1,971,346","403,333","396,819",,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0",,"0","0","1,450,211","2,032,790",,"1,971,346","403,333","396,819","184,086","677,377","695,758","736,843","168,907","634,687","634,687","0","0","0","0","0","0",,,
		Inventory,"3,819,000","3,573,000","960,000",,,,,,,,,"0","216,453","216,453","216,453","216,453","375,693","216,453","217,383",,,,,,,,,,,,,,,,"412,911","384,088","414,086","415,986","408,731","413,562","450,393","472,800","385,321","428,280","463,252","441,722","493,529","455,492","778,674","788,336","836,827","877,309","881,973","748,613","697,185","642,313","880,854","1,477,089",
			RawMaterials,"750,000","736,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
