name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006
TotalRevenue,"1,108,927,000","283,178,000","258,285,000","297,450,000","270,014,000","272,750,000","222,329,000","220,251,000","184,326,000","283,084,000","255,187,000","310,605,000","278,421,000","262,390,000","202,672,000","197,057,000","184,101,000","181,035,000","160,954,000","171,494,000","152,773,000","132,515,000","100,841,000","94,558,000","94,290,000","94,713,000","78,341,000","69,804,000","55,136,000","50,935,000","43,864,000","41,306,000","42,144,000","40,036,000","36,411,000","37,343,000","37,406,000","28,080,000","23,942,000","23,296,000","16,970,000","13,235,000","10,666,000","13,101,000","17,215,000","33,374,000","51,196,000","53,177,000","45,797,000","48,011,000","47,826,000","50,716,000","60,973,000","57,260,000","48,138,000","50,258,000","59,983,000","70,193,000","78,793,000","78,793,000","78,793,000","109,999,000","119,119,000","119,120,000","119,120,000","119,120,000"
	OperatingRevenue,"1,108,927,000","283,178,000","258,285,000","297,450,000","270,014,000","272,750,000","222,329,000","220,251,000","184,326,000","283,084,000","255,187,000","310,605,000","278,421,000","262,390,000","202,672,000","197,057,000","184,101,000","181,035,000","160,954,000","171,494,000","152,773,000","132,515,000","100,841,000","94,558,000","94,290,000","94,713,000","78,341,000","69,804,000","55,136,000","50,935,000","43,864,000","41,306,000","42,144,000","40,036,000","36,411,000","37,343,000","37,406,000","28,080,000","23,942,000","23,296,000","16,970,000","13,235,000","10,666,000","13,101,000","17,215,000","33,374,000","51,196,000","53,177,000","45,797,000","48,011,000","47,826,000","50,716,000","60,973,000","57,260,000","48,138,000","50,258,000","59,983,000","70,193,000","78,793,000","78,793,000","78,793,000","109,999,000","119,119,000","119,120,000","119,120,000","119,120,000"
CostOfRevenue,"58,963,000","15,561,000","14,448,000","15,020,000","13,934,000","13,895,000","13,558,000","13,220,000","13,464,000","14,252,000","16,728,000","17,671,000","16,310,000","17,670,000","13,822,000","10,838,000","6,043,000","5,696,000","5,080,000","4,388,000","4,164,000","3,591,000","3,435,000","3,392,000","3,464,000","3,473,000","2,968,000","2,436,000","1,991,000","1,975,000","2,233,000","2,110,000","1,895,000","1,665,000","1,503,000","1,733,000","1,950,000","1,356,000","1,465,000","1,231,000","803,000","796,000","604,000","1,001,000","1,522,000","12,112,000","16,346,000","14,469,000","13,188,000","14,061,000","16,557,000","18,690,000","21,326,000","18,187,000","13,474,000","15,778,000","17,375,000","17,766,000",,,,,,,,
GrossProfit,"1,049,964,000","267,617,000","243,837,000","282,430,000","256,080,000","258,855,000","208,771,000","207,031,000","170,862,000","268,832,000","238,459,000","292,934,000","262,111,000","244,720,000","188,850,000","186,219,000","178,058,000","175,339,000","155,874,000","167,106,000","148,609,000","128,924,000","97,406,000","91,166,000","90,826,000","91,240,000","75,373,000","67,368,000","53,145,000","48,960,000","41,631,000","39,196,000","40,249,000","38,371,000","34,908,000","35,610,000","35,456,000","26,724,000","22,477,000","22,065,000","16,167,000","12,439,000","10,062,000","12,100,000","15,693,000","21,262,000","34,850,000","38,708,000","32,609,000","33,950,000","31,269,000","32,026,000","39,647,000","39,073,000","34,664,000","34,480,000","42,608,000","52,427,000",,,,,,,,
OperatingExpense,"1,047,979,000","266,953,000","251,828,000","275,138,000","254,060,000","259,949,000","214,697,000","216,477,000","170,528,000","255,718,000","221,727,000","257,815,000","246,594,000","232,083,000","176,610,000","161,653,000","160,269,000","160,752,000","153,001,000","146,878,000","129,715,000","112,733,000","83,934,000","76,997,000","78,118,000","79,226,000","67,073,000","59,434,000","47,060,000","42,954,000","39,590,000","36,297,000","37,241,000","36,297,000","31,720,000","32,583,000","34,444,000","25,944,000","22,093,000","20,796,000","18,708,000","17,560,000","14,084,000","15,150,000","23,382,000","44,356,000","38,101,000","36,466,000","32,646,000","36,682,000","47,530,000","39,390,000","35,570,000","35,051,000","-91,107,000","54,541,000","217,601,000","61,513,000",,,,,,,,
	SellingGeneralAndAdministration,"935,141,000","240,130,000","223,393,000","246,601,000","225,017,000","232,451,000","188,100,000","188,375,000","142,410,000","227,620,000","195,298,000","231,141,000","219,580,000","206,008,000","156,567,000","147,380,000","148,705,000","148,858,000","141,834,000","136,458,000","121,235,000","104,798,000","79,091,000","71,827,000","73,091,000","74,318,000","62,928,000","55,970,000","43,916,000","40,065,000","36,805,000","33,758,000","34,442,000","33,582,000","29,489,000","30,442,000","32,037,000","23,811,000","20,002,000","18,908,000","16,800,000","15,455,000","12,108,000","12,863,000","21,029,000","36,436,000","34,978,000","33,411,000","29,611,000","32,864,000","43,582,000","34,964,000","31,004,000","30,516,000","35,338,000","48,767,000","46,392,000","53,961,000",,,,,,,,
		GeneralAndAdministrativeExpense,"154,456,000","35,973,000","38,546,000","40,126,000","39,811,000","34,989,000","34,825,000","33,705,000","28,489,000","32,082,000","27,456,000","30,323,000","27,951,000","31,117,000","30,666,000","22,980,000","24,759,000","22,814,000","29,980,000","17,920,000","12,094,000","11,547,000","10,407,000","9,008,000","8,553,000","9,259,000","8,694,000","7,069,000","7,039,000","7,228,000","7,682,000","6,590,000","5,478,000","6,133,000","6,841,000","5,610,000","5,651,000","6,556,000","6,065,000","5,532,000","5,831,000","4,803,000","4,692,000","4,388,000","5,606,000","13,103,000","15,939,000","15,581,000","12,552,000","12,718,000","26,774,000","17,529,000","17,112,000","16,694,000",,,,,,,,,,,,
			OtherGandA,"154,456,000","35,973,000","38,546,000","40,126,000","39,811,000","34,989,000","34,825,000","33,705,000","28,489,000","32,082,000","27,456,000","30,323,000","27,951,000","31,117,000","30,666,000","22,980,000","24,759,000","22,814,000","29,980,000","17,920,000","12,094,000","11,547,000","10,407,000","9,008,000","8,553,000","9,259,000","8,694,000","7,069,000","7,039,000","7,228,000","7,682,000","6,590,000","5,478,000","6,133,000","6,841,000","5,610,000","5,651,000","6,556,000","6,065,000","5,532,000","5,831,000","4,803,000","4,692,000","4,388,000","5,606,000","13,103,000","15,939,000","15,581,000","12,552,000","12,718,000","26,774,000","17,529,000","17,112,000","16,694,000",,,,,,,,,,,,
		SellingAndMarketingExpense,"780,685,000","204,157,000","184,847,000","206,475,000","185,206,000","197,462,000","153,275,000","154,670,000","113,921,000","195,538,000","167,842,000","200,818,000","191,629,000","174,891,000","125,901,000","124,400,000","123,946,000","126,044,000","111,854,000","118,538,000","109,141,000","93,251,000","68,684,000","62,819,000","64,538,000","65,059,000","54,234,000","48,901,000","36,877,000","32,837,000","29,123,000","27,168,000","28,964,000","27,449,000","22,648,000","24,832,000","26,386,000","17,255,000","13,937,000","13,376,000","10,969,000","10,652,000","7,416,000","8,475,000","15,423,000","23,333,000","19,039,000","17,830,000","17,059,000","20,146,000","16,808,000","17,435,000","13,892,000","13,822,000",,,,,,,,,,,,
	ResearchAndDevelopment,"54,449,000","14,052,000","13,723,000","13,384,000","13,290,000","12,468,000","10,384,000","11,477,000","10,812,000","10,963,000","9,412,000","10,200,000","10,175,000","10,166,000","8,123,000","6,608,000","5,967,000","6,260,000","5,433,000","4,805,000","4,064,000","3,623,000","2,377,000","3,718,000","3,781,000","3,885,000","3,247,000","2,675,000","2,390,000","2,173,000","2,041,000","1,658,000","1,826,000","1,932,000","1,350,000","1,217,000","1,492,000","1,205,000","1,146,000","853,000","756,000","774,000","526,000","681,000","861,000","1,535,000","1,191,000","1,013,000","585,000","1,366,000","1,120,000","1,673,000","1,561,000","1,608,000","1,356,000","1,779,000","1,443,000","2,109,000",,,,,,,,
