name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,12/31/2015
TotalAssets,"1,465,590,000","1,278,720,000","1,204,668,000","1,049,855,000","999,083,000","700,461,000","247,311,000","95,915,000","89,325,000","88,756,000","61,145,000","56,436,000","55,652,000","53,904,000","54,846,000","55,548,000","55,440,000","57,184,000","58,670,000","58,805,000","58,820,000","58,040,000","22,758,000","26,778,000","5,832,000"
	CurrentAssets,"765,333,000","611,960,000","622,836,000","566,686,000","659,140,000","523,616,000","195,615,000","41,183,000","37,025,000","37,079,000","39,205,000","34,795,000","36,301,000","39,543,000","41,050,000","38,195,000","36,075,000","32,927,000","32,038,000","34,727,000","33,170,000","26,138,000","17,494,000","21,801,000","2,930,000"
		CashCashEquivalentsAndShortTermInvestments,"585,114,000","450,499,000","469,979,000","383,789,000","409,778,000","299,367,000","74,935,000","20,961,000","27,330,000","28,269,000","32,118,000","26,985,000","29,427,000","31,034,000","32,603,000","30,603,000","28,485,000","26,484,000","26,048,000","28,873,000","27,367,000","20,868,000","8,205,000","16,060,000","489,000"
			CashAndCashEquivalents,"353,069,000","164,894,000","214,877,000","100,461,000","151,461,000","87,426,000","53,031,000","2,431,000","9,302,000","11,965,000","20,522,000","9,165,000","5,288,000","6,736,000","8,489,000","3,654,000","5,274,000","6,490,000","9,478,000","11,473,000","6,734,000","7,897,000","8,205,000","16,060,000","489,000"
				CashFinancial,,,,,,,,,"5,359,000",,,,,,,,,,,,,,"8,205,000","16,060,000","489,000"
				CashEquivalents,,,,,,,,,"3,943,000",,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"232,045,000","285,605,000","255,102,000","283,328,000","258,317,000","211,941,000","21,904,000","18,530,000","18,028,000","16,304,000","11,596,000","17,820,000","24,139,000","24,298,000","24,114,000","26,949,000","23,211,000","19,994,000","16,570,000","17,400,000","20,633,000","12,971,000",,,
		Receivables,"164,911,000","143,295,000","125,559,000","153,213,000","219,149,000","204,062,000","100,864,000","14,542,000","6,907,000","7,199,000","5,642,000","5,772,000","4,868,000","6,238,000","6,397,000","5,304,000","5,244,000","4,275,000","3,867,000","4,381,000","4,847,000","4,573,000","4,412,000","2,793,000","2,155,000"
			AccountsReceivable,"160,261,000","138,912,000","120,822,000","148,576,000","216,509,000","183,857,000","90,680,000","13,863,000","6,371,000","6,555,000","5,292,000","5,543,000","4,563,000","5,948,000","6,077,000","5,055,000","4,969,000","4,005,000","3,594,000","4,186,000","4,601,000","4,364,000","4,406,000","2,793,000","2,118,000"
				GrossAccountsReceivable,"182,387,000","150,129,000","127,715,000","154,620,000","220,359,000","185,755,000","91,849,000","14,727,000","7,233,000","7,306,000","5,903,000","6,128,000","5,151,000","6,538,000","6,593,000","5,571,000","5,304,000","4,292,000","3,732,000","4,319,000","4,752,000","4,515,000","4,454,000",,"2,193,000"
				AllowanceForDoubtfulAccountsReceivable,"-22,126,000","-11,217,000","-6,893,000","-6,044,000","-3,850,000","-1,898,000","-1,169,000","-864,000","-862,000","-751,000","-611,000","-585,000","-588,000","-590,000","-516,000","-516,000","-335,000","-287,000","-138,000","-133,000","-151,000","-151,000","-48,000",,"-75,000"
			AccruedInterestReceivable,"2,914,000","2,743,000","2,724,000","2,898,000","2,133,000","1,016,000","294,000","485,000","354,000","478,000","173,000","196,000","288,000","220,000","286,000","207,000","239,000","204,000","210,000","195,000","223,000","209,000",,,
			TaxesReceivable,,,,,,,,,,,,,,,,,,,,,"23,000","0","6,000","0","37,000"
			OtherReceivables,"1,736,000","1,640,000","2,013,000","1,739,000","507,000","19,189,000","9,890,000","194,000","182,000","166,000","177,000","33,000","17,000","70,000","34,000","42,000","36,000","66,000","63,000",,,,,,
		Inventory,"10,612,000","12,206,000","21,950,000","25,373,000","25,684,000","16,491,000","17,747,000","2,155,000","1,531,000","277,000","244,000","405,000","423,000","314,000","301,000","407,000","398,000","231,000","260,000","279,000","493,000","322,000","525,000","312,000","212,000"
			RawMaterials,"10,612,000","12,206,000","21,950,000","25,373,000","25,684,000","16,491,000","17,747,000","2,155,000","1,531,000","277,000","244,000","405,000","423,000","314,000","301,000","407,000","398,000","231,000","260,000","279,000","493,000","322,000","525,000","312,000","212,000"
		PrepaidAssets,"4,696,000","5,960,000","5,348,000","4,311,000","4,529,000","3,696,000","2,069,000","3,525,000","1,257,000","1,334,000","1,201,000","1,633,000","1,583,000","1,957,000","1,749,000","1,881,000","1,948,000","1,937,000","1,863,000","1,194,000","463,000","375,000","183,000","195,000","65,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,"4,169,000","2,431,000",
		AssetsHeldForSaleCurrent,,,,,,,,,,,,,,,,,,,,,,"0",,,"9,000"
		OtherCurrentAssets,,,,,,,,,,"277,000","244,000","405,000","423,000","314,000","301,000","407,000","398,000","2,438,000","260,000","279,000","493,000","322,000","525,000","10,000","212,000"
	TotalNonCurrentAssets,"700,257,000","666,760,000","581,832,000","483,169,000","339,943,000","176,845,000","51,696,000","54,732,000","52,300,000","51,677,000","21,940,000","21,641,000","19,351,000","14,361,000","13,796,000","17,353,000","19,365,000","24,257,000","26,632,000","24,078,000","25,650,000","31,902,000","5,264,000","4,977,000","2,902,000"
		NetPPE,"68,622,000","62,287,000","60,166,000","51,086,000","46,987,000","41,027,000","20,065,000","8,819,000","8,223,000","8,607,000","9,135,000","8,693,000","8,904,000","6,446,000","6,853,000","7,325,000","6,853,000","7,272,000","6,490,000","6,737,000","5,894,000","6,234,000","5,178,000","4,977,000","2,469,000"
			GrossPPE,"91,839,000","81,917,000","77,308,000","65,826,000","59,826,000","51,947,000","29,880,000","17,927,000","16,782,000","16,597,000","16,577,000","15,630,000","15,327,000","12,332,000","12,198,000","12,174,000","11,137,000","11,039,000","9,783,000","9,590,000","8,355,000","8,281,000","6,806,000","6,324,000","3,369,000"
				Properties,"0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
				LandAndImprovements,"8,054,000","7,903,000","7,903,000","7,903,000","7,903,000","7,903,000",,,,,,,,,,,,,,,,,,,
				BuildingsAndImprovements,"11,390,000","10,667,000","7,438,000","7,438,000","7,438,000","8,266,000","2,680,000","2,806,000","2,525,000","2,633,000","2,739,000","2,756,000","2,858,000",,,,,,,,,,,,
				MachineryFurnitureEquipment,"17,492,000","16,652,000","15,068,000","13,609,000","12,663,000","11,250,000","2,945,000","2,555,000","2,487,000","2,481,000","2,477,000","2,451,000","2,414,000","2,307,000","2,219,000","2,167,000","2,167,000","2,057,000","1,847,000","1,815,000","1,828,000","1,910,000","1,584,000","1,410,000","1,038,000"
				OtherProperties,"50,813,000","42,692,000","42,912,000","34,935,000","30,204,000","22,948,000","22,730,000","11,650,000","10,894,000","10,607,000","10,546,000","9,621,000","9,253,000","9,223,000","9,206,000","9,204,000","8,167,000","8,219,000","7,272,000","7,145,000","5,966,000","5,851,000","4,737,000","4,524,000","2,075,000"
				Leases,"4,090,000","4,003,000","3,987,000","1,941,000","1,618,000","1,580,000","1,525,000","916,000","876,000","876,000","815,000","802,000","802,000","802,000","773,000","803,000","803,000","763,000","664,000","630,000","561,000","520,000","485,000","390,000","256,000"
			AccumulatedDepreciation,"-23,217,000","-19,630,000","-17,142,000","-14,740,000","-12,839,000","-10,920,000","-9,815,000","-9,108,000","-8,559,000","-7,990,000","-7,442,000","-6,937,000","-6,423,000","-5,886,000","-5,345,000","-4,849,000","-4,284,000","-3,767,000","-3,293,000","-2,853,000","-2,461,000","-2,047,000","-1,628,000","-1,347,000","-900,000"
		GoodwillAndOtherIntangibleAssets,"86,036,000","86,811,000","85,433,000","29,936,000",,,,,,,,,,,,,,,,,,,,,
			Goodwill,"50,999,000","50,897,000","48,749,000","23,107,000",,,,,,,,,,,,,,,,,,,,,
			OtherIntangibleAssets,"35,037,000","35,914,000","36,684,000","6,829,000",,,,,,,,,,,,,,,,,,,,,
		InvestmentsAndAdvances,"510,791,000","507,012,000","427,284,000","393,250,000","287,626,000","132,502,000","30,656,000","45,833,000","43,917,000","42,819,000","12,396,000","12,781,000","10,216,000","7,898,000","5,996,000","9,416,000","11,977,000","16,820,000","20,044,000","17,243,000","19,643,000","25,597,000",,,
			LongTermEquityInvestment,,,,,,"0","1,621,000","430,000","623,000","872,000","909,000","1,084,000","1,233,000","1,512,000","1,746,000","1,956,000","1,692,000","1,937,000","2,184,000",,,,,,
			InvestmentinFinancialAssets,"493,182,000","485,047,000","407,284,000","393,250,000","287,626,000","132,502,000","29,035,000","45,403,000","43,294,000","41,947,000","11,487,000","11,697,000","8,983,000","6,386,000","4,250,000","7,460,000","10,285,000","14,883,000","17,860,000","17,243,000","19,643,000","25,597,000",,,
				AvailableForSaleSecurities,,,,,,,,"1,005,000",,,,,,,,,,,,,,,,,
				HeldToMaturitySecurities,,,,,"287,626,000",,,"44,398,000",,,,,,,,,,,,,,,,,
			OtherInvestments,"17,609,000","21,965,000","20,000,000",,,,,,,,,,,,,,,,,,,,,,
		NonCurrentDeferredAssets,,,,,,,,,,,,,,"0","929,000","592,000","505,000","126,000","27,000","37,000","44,000","54,000","86,000",,
			NonCurrentDeferredTaxesAssets,,,,,,,,,,,,,,"0","929,000","592,000","505,000","126,000","27,000","37,000","44,000","54,000","86,000",,
		OtherNonCurrentAssets,"34,808,000","10,650,000","8,949,000","8,897,000","5,330,000","3,316,000","975,000","80,000","160,000","251,000","409,000","167,000","231,000","17,000","18,000","20,000","30,000","39,000","71,000","61,000","69,000","17,000","4,883,000",,"433,000"
TotalLiabilitiesNetMinorityInterest,"152,630,000","112,840,000","160,215,000","129,130,000","197,517,000","131,074,000","60,356,000","8,872,000","7,953,000","5,979,000","6,619,000","5,294,000","5,691,000","2,752,000","2,266,000","2,987,000","2,415,000","3,006,000","3,399,000","3,072,000","3,524,000","3,561,000","5,513,000","5,075,000","686,000"
	CurrentLiabilities,"141,714,000","105,310,000","147,158,000","121,524,000","196,530,000","130,115,000","57,736,000","6,509,000","5,810,000","3,723,000","4,253,000","2,909,000","3,203,000","2,738,000","2,255,000","2,978,000","2,409,000","3,000,000","3,151,000","2,827,000","3,281,000","3,316,000","5,010,000","5,075,000","686,000"
