name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005
OperatingCashFlow,"1,259,010,000","282,902,000","438,420,000","280,803,000","256,885,000","305,973,000","115,124,000","243,790,000","122,862,000","182,071,000","186,589,000","234,528,000","117,934,000","182,581,000","129,055,000","197,079,000","94,302,000","201,116,000","88,271,000","135,252,000","93,003,000","150,579,000","68,170,000","101,407,000","117,986,000","61,679,000","94,753,000","187,433,000","158,411,000","242,719,000","132,311,000","189,325,000","180,653,000","179,778,000","140,065,000","120,962,000","142,503,000","125,250,000","126,026,000","123,062,000","141,499,000","29,376,000","120,227,000","116,153,000","106,411,000","68,305,000","92,995,000","67,240,000","69,089,000","59,867,000","81,580,000","64,431,000","51,651,000","63,011,000","47,845,000","55,023,000","47,392,000","48,247,000","41,350,000","43,534,000","31,292,000","30,747,000","30,108,000","28,419,000","21,876,000","23,194,000","24,862,000"
	CashFlowFromContinuingOperatingActivities,"1,259,010,000","282,902,000","438,420,000","280,803,000","256,885,000","305,973,000","115,124,000","243,790,000","122,862,000","182,071,000","186,589,000","234,528,000","117,934,000","182,581,000","129,055,000","197,079,000","94,302,000","201,116,000","88,271,000","135,252,000","93,003,000","150,579,000","68,170,000","101,407,000","117,986,000","61,679,000","94,753,000","187,433,000","158,411,000","242,719,000","132,311,000","189,325,000","180,653,000","179,778,000","140,065,000","120,962,000","142,503,000","125,250,000","126,026,000","123,062,000","141,499,000","29,376,000","120,227,000","116,153,000","106,411,000","68,305,000","92,995,000","67,240,000","69,089,000","59,867,000","81,580,000","64,431,000","51,651,000","63,011,000","47,845,000","55,023,000","47,392,000","48,247,000","41,350,000","43,534,000","31,292,000","30,747,000","30,108,000","28,419,000","21,876,000","23,194,000","24,862,000"
		NetIncomeFromContinuingOperations,"684,177,000","158,294,000","133,475,000","204,434,000","187,974,000","127,101,000","190,959,000","80,244,000","8,175,000","76,388,000","72,416,000","98,582,000","91,028,000","88,132,000","32,019,000","38,204,000","46,884,000","59,446,000","43,793,000","19,610,000","66,730,000","46,120,000","15,975,000","7,799,000","25,596,000","-26,432,000","67,874,000","144,883,000","140,204,000","122,641,000","121,234,000","130,801,000","110,270,000","83,069,000","79,622,000","83,379,000","87,853,000","76,584,000",,,,,,,,"46,382,000","46,445,000","48,228,000","46,461,000","37,847,000","31,596,000","34,464,000","35,393,000","25,392,000","16,973,000","19,477,000","24,468,000","17,284,000","17,538,000","20,604,000","19,981,000","12,440,000","10,841,000","11,802,000","10,792,000","7,988,000","4,262,000"
		OperatingGainsLosses,,,,,,,,,,,,,,,,,,"4,859,000","3,332,000","6,747,000","-384,000","3,650,000","1,837,000","16,637,000","3,187,000","2,216,000","5,450,000","2,156,000","1,388,000","4,200,000","2,209,000","1,606,000","1,602,000","1,559,000","1,607,000","2,405,000","1,399,000","1,340,000","903,000","1,399,000","1,475,000","1,250,000","1,490,000","1,278,000","1,377,000","1,661,000","2,004,000","1,511,000","1,512,000","1,269,000","1,204,000","1,544,000","1,344,000","1,864,000","4,181,000","2,358,000","1,370,000","1,430,000","1,217,000","1,752,000","2,003,000","1,211,000","129,000","4,087,000","-5,452,000","4,113,000","3,874,000"
		DepreciationAmortizationDepletion,"263,200,000","71,665,000","66,262,000","-42,294,000","118,298,000","112,391,000","108,442,000","108,093,000","105,202,000","101,335,000","101,479,000","92,390,000","90,975,000","91,886,000","53,217,000","52,654,000","49,193,000","46,915,000","41,442,000","41,546,000","41,081,000","39,279,000","38,072,000","37,434,000","36,074,000","34,788,000","34,140,000","33,145,000","32,440,000","30,643,000","29,750,000","27,961,000","27,009,000","25,754,000","24,903,000","24,618,000","23,597,000","22,936,000","22,141,000","21,362,000","20,543,000","20,084,000","19,198,000","18,741,000","18,505,000","18,494,000","17,815,000","17,319,000","17,053,000","16,734,000","15,940,000","15,451,000","15,197,000","14,720,000","14,124,000","13,769,000","12,707,000","12,170,000","11,688,000","11,167,000","10,576,000","10,164,000","9,265,000","8,676,000","8,309,000","8,003,000","7,634,000"
			DepreciationAndAmortization,"263,200,000","71,665,000","66,262,000","-42,294,000","118,298,000","112,391,000","108,442,000","108,093,000","105,202,000","101,335,000","101,479,000","92,390,000","90,975,000","91,886,000","53,217,000","52,654,000","49,193,000","46,915,000","41,442,000","41,546,000","41,081,000","39,279,000","38,072,000","37,434,000","36,074,000","34,788,000","34,140,000","33,145,000","32,440,000","30,643,000","29,750,000","27,961,000","27,009,000","25,754,000","24,903,000","24,618,000","23,597,000","22,936,000","22,141,000","21,362,000","20,543,000","20,084,000","19,198,000","18,741,000","18,505,000","18,494,000",,"17,319,000","17,053,000","16,734,000","15,940,000","15,451,000","15,197,000","14,720,000","14,124,000","13,769,000","12,707,000","12,170,000","11,688,000","11,167,000","10,576,000","10,164,000","9,265,000","8,676,000","8,309,000","8,003,000","7,634,000"
				Depreciation,,,,,"118,298,000","112,391,000","108,442,000","108,093,000","105,202,000","101,335,000","101,479,000","92,390,000","90,975,000","91,886,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		DeferredTax,"-12,899,000","-14,024,000","-11,333,000","14,860,000","-2,402,000","-13,482,000","54,493,000","-1,265,000","27,779,000","27,343,000","45,108,000","-8,797,000","-8,121,000","1,772,000","-15,839,000","9,476,000","11,265,000","5,683,000","-6,703,000","-5,384,000","-2,832,000","-3,107,000","-14,587,000","-3,409,000","1,530,000","2,259,000","24,208,000","490,000","-7,481,000","-5,551,000","-1,626,000","-12,921,000","-7,675,000","1,551,000","-4,482,000","-716,000","9,224,000","-1,923,000","-12,265,000","-4,133,000","-3,462,000","1,803,000","-151,000","2,769,000","5,998,000","2,703,000","13,103,000","4,328,000","-4,096,000","-3,271,000","-2,099,000","2,069,000","5,367,000","2,945,000","-53,000","5,590,000","4,998,000","2,630,000","5,337,000","-3,602,000","-3,475,000","-1,805,000","3,701,000","-1,879,000","-2,494,000","-1,185,000","-241,000"
			DeferredIncomeTax,"-12,899,000","-14,024,000","-11,333,000","14,860,000","-2,402,000","-13,482,000","54,493,000","-1,265,000","27,779,000","27,343,000","45,108,000","-8,797,000","-8,121,000","1,772,000","-15,839,000","9,476,000","11,265,000","5,683,000","-6,703,000","-5,384,000","-2,832,000","-3,107,000","-14,587,000","-3,409,000","1,530,000","2,259,000","24,208,000","490,000","-7,481,000","-5,551,000","-1,626,000","-12,921,000","-7,675,000","1,551,000","-4,482,000","-716,000","9,224,000","-1,923,000","-12,265,000","-4,133,000","-3,462,000","1,803,000","-151,000","2,769,000","5,998,000","2,703,000","13,103,000","4,328,000","-4,096,000","-3,271,000","-2,099,000","2,069,000","5,367,000","2,945,000","-53,000","5,590,000","4,998,000","2,630,000","5,337,000","-3,602,000","-3,475,000","-1,805,000","3,701,000","-1,879,000","-2,494,000","-1,185,000","-241,000"
		AssetImpairmentCharge,"16,414,000","4,265,000","4,603,000","4,248,000","3,298,000","4,937,000","7,676,000","7,451,000","4,942,000","8,805,000","5,186,000","5,272,000","859,000","4,085,000","5,352,000","6,454,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
