name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999
TotalAssets,"13,185,033,000","12,617,699,000","12,481,018,000","12,299,079,000","11,878,270,000","11,880,214,000","11,868,339,000","11,732,014,000","5,230,956,000","5,017,635,000","5,047,411,000","5,067,936,000","4,984,638,000","4,605,036,000","4,778,791,000","4,714,986,000","4,713,313,000","4,735,468,000","4,764,468,000","4,623,671,000","4,511,249,000","4,490,984,000","4,609,353,000","4,692,676,000","4,690,828,000","4,587,425,000","4,642,509,000","4,726,367,000","4,612,380,000","4,754,437,000","4,905,468,000","4,929,132,000","4,711,069,000","4,617,108,000","4,679,471,000","4,635,694,000","4,669,244,000","4,629,629,000","3,419,994,000","3,186,687,000","3,147,201,000","3,078,452,000","3,067,424,000","3,025,957,000","2,952,515,000","2,826,774,000","2,635,259,000","2,532,604,000","2,539,153,000","2,494,193,000","2,498,737,000","2,519,568,000","2,572,702,000","2,720,977,000","2,920,895,000","2,899,186,000","2,790,142,000","2,859,887,000","2,879,931,000","2,840,849,000","2,788,263,000","2,823,983,000","1,868,099,000","1,765,934,000","1,684,733,000","1,651,159,000","1,738,844,000","1,279,543,000","1,279,526,000","1,356,855,000","1,233,383,000","1,184,384,000","1,223,068,000","1,161,205,000","1,153,483,000","1,098,016,000","1,075,105,000","1,015,118,000","1,091,468,000","1,104,154,000","1,116,077,000","1,157,958,000","1,158,395,000","1,173,586,000","1,190,346,000","1,170,033,000","1,143,427,000","1,152,211,000","1,121,212,000","1,028,800,000","1,052,000,000","1,089,800,000","994,900,000"
	CurrentAssets,"6,878,969,000","6,350,111,000","6,215,496,000","5,995,747,000","5,575,140,000","5,506,978,000","5,597,450,000","5,438,386,000","2,777,478,000","2,540,411,000","2,578,480,000","2,584,864,000","2,513,750,000","2,385,640,000","2,506,499,000","2,446,940,000","2,418,671,000","2,408,849,000","2,410,127,000","2,305,545,000","2,203,360,000","2,172,457,000","2,243,827,000","2,306,637,000","2,274,442,000","2,257,534,000","2,366,090,000","2,368,050,000","2,313,461,000","2,350,338,000","2,450,037,000","2,408,541,000","2,259,899,000","2,198,541,000","2,218,670,000","2,194,656,000","2,176,694,000","2,101,837,000","1,905,925,000","1,836,151,000","1,794,406,000","1,737,420,000","1,761,888,000","1,704,759,000","1,633,735,000","1,513,686,000","1,517,812,000","1,415,752,000","1,391,482,000","1,331,004,000","1,357,848,000","1,379,774,000","1,432,936,000","1,557,663,000","1,765,993,000","1,743,017,000","1,637,155,000","1,680,499,000","1,713,397,000","1,670,473,000","1,617,519,000","1,618,012,000","1,120,212,000","1,017,571,000","938,824,000","908,863,000","1,013,280,000","777,521,000","779,565,000","854,916,000","732,987,000","686,092,000","718,637,000","656,288,000","683,277,000","670,105,000","636,890,000","577,057,000","653,502,000","667,700,000","677,859,000","718,035,000","723,978,000","733,311,000","751,550,000","764,225,000","754,087,000","762,822,000","731,590,000","653,800,000","674,300,000","707,600,000","608,700,000"
		CashCashEquivalentsAndShortTermInvestments,"201,474,000","212,583,000","251,799,000","287,891,000","303,887,000","449,135,000","352,249,000","265,222,000","342,560,000","150,902,000","138,160,000","87,218,000","106,100,000","96,343,000","142,760,000","110,940,000","123,897,000","117,953,000","94,083,000","87,799,000","103,000,000","110,131,000","112,837,000","160,290,000","147,834,000","160,279,000","132,852,000","174,307,000","154,351,000","128,319,000","110,368,000","101,643,000","96,356,000","123,725,000","98,575,000","104,512,000","116,791,000","86,099,000","107,637,000","72,198,000","63,641,000","63,869,000","94,049,000","78,615,000","52,432,000","53,577,000","103,120,000","95,804,000","121,074,000","112,329,000","111,345,000","103,290,000","105,135,000","86,338,000","103,270,000","115,532,000","94,432,000","72,297,000","64,498,000","65,038,000","55,369,000","73,395,000","59,273,000","37,823,000","30,350,000","22,125,000","60,866,000","15,021,000","18,765,000","34,523,000","19,247,000","9,419,000","13,800,000","27,495,000","30,324,000","33,205,000","31,385,000","22,570,000","25,767,000","24,471,000","28,661,000","75,057,000","2,960,000","4,891,000","3,143,000","21,079,000","18,064,000","17,239,000","38,635,000","8,800,000","31,800,000","41,300,000","28,000,000"
			CashAndCashEquivalents,"201,474,000","212,583,000","251,799,000","287,891,000","303,887,000","449,135,000","352,249,000","265,222,000","342,560,000","150,902,000","138,160,000","87,218,000","106,100,000","96,343,000","142,760,000","110,940,000","123,897,000","117,953,000","94,083,000","87,799,000","103,000,000","110,131,000","112,837,000","160,290,000","147,834,000","160,279,000","132,852,000","174,307,000","154,351,000","128,319,000","110,368,000","101,643,000","96,356,000","123,725,000","98,575,000","104,512,000","116,791,000","86,099,000","107,637,000","72,198,000","63,641,000","63,869,000","94,049,000","78,615,000","52,432,000","53,577,000","103,120,000","95,804,000","121,074,000","112,329,000","111,345,000","103,290,000","105,135,000","86,338,000","103,270,000","115,532,000","94,432,000","72,297,000","64,498,000","65,038,000","55,369,000","73,395,000","59,273,000","37,823,000","30,350,000","22,125,000","60,866,000","15,021,000","18,765,000","34,523,000","19,247,000","9,419,000","13,800,000","27,495,000","30,324,000","33,205,000","31,385,000","22,570,000","25,767,000","24,471,000","28,661,000","75,057,000","2,960,000","4,891,000","3,143,000","21,079,000","18,064,000","17,239,000","38,635,000","8,800,000","31,800,000","41,300,000","28,000,000"
		Receivables,"3,641,703,000","3,333,498,000","3,279,229,000","3,109,022,000","2,809,701,000","2,706,102,000","2,721,523,000","2,647,061,000","1,292,022,000","1,301,759,000","1,397,383,000","1,421,235,000","1,343,891,000","1,288,464,000","1,346,556,000","1,319,691,000","1,276,374,000","1,294,559,000","1,319,200,000","1,214,299,000","1,127,804,000","1,192,302,000","1,170,641,000","1,173,337,000","1,150,596,000","1,230,313,000","1,220,996,000","1,185,713,000","1,206,095,000","1,312,327,000","1,350,483,000","1,304,150,000","1,212,257,000","1,193,523,000","1,236,594,000","1,211,668,000","1,208,435,000","1,134,885,000","1,079,984,000","1,060,135,000","1,043,917,000","995,070,000","999,771,000","961,101,000","925,523,000","848,050,000","842,551,000","769,842,000","748,704,000","696,697,000","734,583,000","742,522,000","753,979,000","852,775,000","995,787,000","967,744,000","913,144,000","928,090,000","973,595,000","946,121,000","929,504,000","906,989,000","492,157,000","418,580,000","379,201,000","364,643,000","478,300,000","357,719,000","354,384,000","419,683,000","321,306,000","286,634,000","346,554,000","298,440,000","316,964,000","286,640,000","257,723,000","208,273,000","256,590,000","262,229,000","261,973,000","247,976,000","284,021,000","266,207,000","289,444,000","302,304,000","284,768,000","294,437,000","263,511,000","230,800,000","231,700,000","261,400,000","212,200,000"
			AccountsReceivable,"3,283,522,000","2,957,613,000","2,955,632,000","2,842,187,000","2,574,803,000","2,466,903,000","2,492,248,000","2,454,262,000","1,214,331,000","1,187,359,000","1,315,026,000","1,355,541,000","1,268,565,000","1,166,607,000","1,265,880,000","1,257,330,000","1,205,046,000","1,170,080,000","1,236,612,000","1,144,978,000","1,060,574,000","1,034,402,000","1,102,140,000","1,117,983,000","1,091,504,000","1,075,257,000","1,149,743,000","1,124,893,000","1,082,199,000","1,117,420,000","1,218,759,000","1,186,062,000","1,105,297,000","1,045,054,000","1,116,007,000","1,101,753,000","1,094,278,000","1,036,235,000","1,068,700,000","1,048,341,000","1,032,032,000","982,864,000","982,674,000","945,245,000","907,330,000","829,904,000","819,545,000","747,668,000","727,059,000","667,562,000","710,284,000","720,710,000","733,228,000","834,114,000","973,509,000","948,549,000","864,127,000","889,297,000","951,245,000","923,777,000","908,050,000","872,973,000","460,966,000","408,293,000","348,611,000","315,594,000","439,633,000","335,428,000","339,613,000","383,364,000","294,731,000","269,413,000","325,436,000","284,812,000","300,726,000","272,418,000","255,680,000","202,170,000","238,049,000","258,033,000","257,839,000","244,333,000","275,657,000","247,295,000","276,877,000",,,,,,,,
				GrossAccountsReceivable,"3,326,392,000","5,915,226,000","2,994,182,000","2,878,475,000","2,603,136,000","2,490,812,000","2,518,468,000","2,478,852,000","1,239,591,000","1,212,802,000","1,342,148,000","1,381,362,000","1,295,393,000","1,191,075,000","1,291,152,000","1,280,093,000","1,228,025,000","1,191,393,000","1,260,852,000","1,168,039,000","1,084,049,000","1,056,409,000","1,125,083,000","1,141,320,000","1,114,278,000","1,097,844,000","1,172,256,000","1,146,974,000","1,102,845,000","1,138,504,000","1,241,828,000","1,208,215,000","1,124,979,000","1,064,363,000","1,135,975,000","1,119,641,000","1,111,657,000","1,053,477,000","1,089,196,000","1,069,152,000","1,053,379,000","1,004,454,000","1,004,480,000","966,335,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-42,870,000","-2,957,613,000","-38,550,000","-36,288,000","-28,333,000","-23,909,000","-26,220,000","-24,590,000","-25,260,000","-25,443,000","-27,122,000","-25,821,000","-26,828,000","-24,468,000","-25,272,000","-22,763,000","-22,979,000","-21,313,000","-24,240,000","-23,061,000","-23,475,000","-22,007,000","-22,943,000","-23,337,000","-22,774,000","-22,587,000","-22,513,000","-22,081,000","-20,646,000","-21,084,000","-23,069,000","-22,153,000","-19,682,000","-19,309,000","-19,968,000","-17,888,000","-17,379,000","-17,242,000","-20,496,000","-20,811,000","-21,347,000","-21,590,000","-21,806,000","-21,090,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			TaxesReceivable,,,,,,,,,,"16,371,000",,,,"24,873,000",,,,"23,250,000",,,,"72,881,000",,,,"73,814,000",,,,"56,162,000",,,,"18,426,000",,,"11,953,000","8,849,000","11,284,000","11,794,000","11,885,000","12,206,000","17,097,000","15,856,000","18,193,000","18,146,000","23,006,000","22,174,000","21,645,000","29,135,000","24,299,000","21,812,000","20,751,000","18,661,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"358,181,000","375,885,000","323,597,000","266,835,000","234,898,000","239,199,000","229,275,000","192,799,000","77,691,000","98,029,000","82,357,000","65,694,000","75,326,000","96,984,000","80,676,000","62,361,000","71,328,000","101,229,000","82,588,000","69,321,000","67,230,000","85,019,000","68,501,000","55,354,000","59,092,000","81,242,000","71,253,000","60,820,000","123,896,000","138,745,000","131,724,000","118,088,000","106,960,000","130,043,000","120,587,000","109,915,000","102,204,000","89,801,000",,,,,,,,,,,,,,,,,"22,278,000","19,195,000","49,017,000","38,793,000","22,350,000","22,344,000","21,454,000","34,016,000","31,191,000","10,287,000","30,590,000","49,049,000","38,667,000","22,291,000","14,771,000","36,319,000","26,575,000","17,221,000","21,118,000","13,628,000","16,238,000","14,222,000","2,043,000","6,103,000","18,541,000","4,196,000","4,134,000","3,643,000","8,364,000","18,912,000","12,567,000",,,,,,,,
