name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,04/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,04/30/2018,12/31/2017,09/30/2017,07/31/2017,06/30/2017,04/30/2017,03/31/2017,12/31/2016,09/30/2016,07/31/2016,06/30/2016,04/30/2016,03/31/2016,12/31/2015,09/30/2015,07/31/2015,06/30/2015,04/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,04/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,04/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,04/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001
OperatingIncome,"297,018,000","112,965,000","55,543,000","54,467,000","73,921,000","115,111,000","82,371,000","73,090,000","89,744,000","111,873,000","21,719,000","61,929,000","74,381,000","90,886,000","90,886,000","40,741,000","53,947,000","53,065,000","82,679,000","51,587,000","68,081,000","70,166,000","68,723,000","71,250,000",,"46,218,000","67,963,000","86,076,000",,"95,156,000",,"53,045,000","69,751,000","82,316,000",,"96,538,000",,"62,638,000","70,381,000","69,870,000","98,201,000",,"57,100,000","53,328,000","74,850,000","99,884,000",,"59,186,000","52,691,000","47,417,000","59,217,000","59,217,000","36,634,000","47,763,000","43,111,000","61,518,000","45,833,000","46,753,000","51,236,000","62,040,000","53,173,000","51,076,000","42,838,000","59,246,000","51,539,000","42,390,000","36,360,000","54,149,000","31,040,000","34,538,000","34,188,000","44,915,000","24,330,000","28,218,000","30,618,000","35,327,000","18,441,000","21,371,000","29,325,000","31,545,000","11,413,000","21,683,000","24,645,000","13,724,000","15,377,000","19,796,000","21,444,000","21,268,000","-11,686,000","17,074,000","13,972,000","7,836,000","-3,885,000","16,160,000","10,659,000","-17,126,000"
NetNonOperatingInterestIncomeExpense,"-5,901,000","-2,101,000","-1,419,000","-1,311,000","-1,070,000","-4,201,000","-3,156,000","-2,755,000","-2,869,000","-3,314,000","-2,170,000","-2,334,000","-2,769,000","-3,824,000","-3,824,000","-1,717,000","-1,565,000","-1,748,000","-2,901,000","-2,563,000","-2,730,000","-3,278,000","-3,278,000","-5,048,000",,"-3,882,000","-4,683,000","-3,010,000",,"-2,778,000",,"-1,528,000","-878,000","-860,000",,"-1,582,000",,"-1,025,000","-1,410,000","-1,734,000","-3,172,000",,"-2,434,000","-3,171,000","-2,700,000","-4,555,000",,"-3,212,000","-3,568,000","-2,935,000","-24,000","-24,000","317,000","265,000","596,000","1,762,000","1,304,000","1,127,000","956,000","1,131,000","689,000","98,000","180,000","459,000","184,000","1,011,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestIncomeNonOperating,"22,810,000","6,757,000","5,208,000","5,359,000","5,486,000","7,480,000","6,288,000","5,951,000","6,132,000","8,325,000","6,309,000","6,371,000","6,423,000","8,647,000","8,647,000","6,579,000","6,615,000","6,466,000","8,095,000","5,739,000","5,464,000","5,158,000","5,158,000","6,577,000",,"4,866,000","4,757,000","4,639,000",,"6,290,000",,"4,938,000","5,114,000","5,138,000",,"6,777,000",,"5,361,000","4,875,000","4,760,000","5,952,000",,"4,354,000","3,906,000","3,491,000","4,264,000",,"3,185,000","3,140,000","3,143,000","4,205,000","4,205,000","3,130,000","3,103,000","2,968,000","3,911,000","2,909,000","2,918,000","2,940,000","3,915,000","3,018,000","2,956,000","2,986,000","4,054,000","3,244,000","2,914,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	InterestExpenseNonOperating,"28,711,000","8,858,000","6,627,000","6,670,000","6,556,000","11,681,000","9,444,000","8,706,000","9,001,000","11,639,000","8,479,000","8,705,000","9,192,000","12,471,000","12,471,000","8,296,000","8,180,000","8,214,000","10,996,000","8,302,000","8,194,000","8,436,000","8,436,000","11,625,000",,"8,748,000","9,440,000","7,649,000",,"9,068,000",,"6,466,000","5,992,000","5,998,000",,"8,359,000",,"6,386,000","6,285,000","6,494,000","9,124,000",,"6,788,000","7,077,000","6,191,000","8,819,000",,"6,397,000","6,708,000","6,078,000","4,229,000","4,229,000","2,813,000","2,838,000","2,372,000","2,149,000","1,605,000","1,791,000","1,984,000","2,784,000","2,329,000","2,858,000","2,806,000","3,595,000","3,060,000","1,903,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
	TotalOtherFinanceCost,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"-317,000","-265,000",,,,"-1,127","-956,000","-1,131,000",,"-98,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OtherIncomeExpense,"-5,119,000","-752,000","-2,082,000","-2,256,000","93,000","-16,024,000","-4,585,000","-12,875,000","-10,463,000","-116,350,000","-18,377,000","-3,795,000","-2,566,000","-997,000","-997,000","-12,549,000","-1,256,000","-1,538,000","-9,997,000","-5,200,000","-121,847,000",,"1,443,000","28,875,000",,"-25,050,000","-1,832,000","-4,641,000",,,,"-1,496,000",,"-2,275,000",,,,"-21,206,000",,"-4,489,000",,,"0",,,"51,320,000",,,,,,,,,,,,,,,,,,,"-1,736,000",,"2,992,000",,"215,000","718,000",,,"836,000","1,598,000",,"654,000",,,,,,,,,,,,,"-26,300,000",,"-1,311,000",,"31,087,000",,"-2,451,000",
	SpecialIncomeCharges,"-4,175,000","-752,000","-310,000","-3,206,000","93,000","-16,024,000","-4,585,000","-12,875,000","-10,463,000","-116,350,000","-18,414,000","-3,795,000","-2,566,000","-1,410,000","-1,410,000","-12,549,000","-1,256,000","-1,538,000","-9,997,000","-5,200,000","-121,847,000","0","1,443,000","28,875,000",,"-25,050,000","-1,832,000","-4,641,000",,,,"-1,496,000","0","-2,275,000",,,,"-21,206,000","0","-4,489,000","0",,"0","0","0","51,320,000",,,,,"0",,,,,,"0","0","0",,,"0",,,"-1,736,000","0","2,992,000",,"215,000","718,000",,,"836,000","1,598,000",,"654,000",,,,,,,,,,,,,"-26,300,000",,"-1,311,000",,"31,087,000",,"-2,451,000",
		RestructuringAndMergernAcquisition,,,"0","0","0",,"4,848,000","20,100,000","10,535,000","0","17,482,000","3,277,000","2,047,000","718,000","718,000","7,210,000","497,000","801,000","1,259,000","3,581,000","100,549,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		WriteOff,,"990,000",,,,,,,,,"0","0","0","0",,"3,516,000","0",,"2,483,000","0",,,,,,"24,877,000",,"0",,,,"1,496,000","0","2,275,000",,,,"5,819,000","0","4,489,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		OtherSpecialCharges,"3,185,000","-238,000","310,000","3,206,000","-93,000","16,024,000","-263,000","-7,225,000","-72,000","116,350,000","932,000","518,000","519,000","692,000","692,000","1,823,000","759,000","737,000","6,255,000","1,619,000","21,298,000",,"-1,443,000",,,"173,000","1,832,000","4,641,000",,,,,,,,,,"15,387,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
