name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999,06/30/1999,03/31/1999,12/31/1998,09/30/1998,06/30/1998,03/31/1998,12/31/1997,09/30/1997,06/30/1997
TotalAssets,"910,268,000","755,841,000","672,842,000","675,658,000","678,409,000","692,811,000","687,244,000","688,093,000","700,641,000","732,499,000","666,610,000","558,493,000","546,358,000","304,026,000","309,632,000","315,551,000","277,209,000","274,925,000","357,843,000","360,146,000","333,855,000","323,848,000","322,032,000","315,647,000","313,452,000","303,588,000","298,616,000","307,032,000","295,624,000","308,018,000","307,333,000","303,154,000","299,203,000","296,551,000","161,898,000","157,281,000","152,611,000","148,943,000","144,719,000","140,624,000","130,733,000","66,607,000","61,667,000","29,269,000","26,584,000","29,452,000","25,756,000","26,005,000","23,712,000","23,075,000","22,388,000","21,223,000","21,856,000","21,933,000","21,544,000","21,602,000","21,551,000","20,054,000","18,808,000","19,905,000","19,958,000","20,896,000","24,685,000","26,250,000","31,120,000","36,846,000","26,876,000","32,133,000","39,080,000","29,967,000","33,165,000","24,633,000","15,571,000","14,875,000","5,822,000","4,855,000","6,705,000","11,545,000","14,613,000","17,264,000","19,653,000","23,315,000","29,662,000","33,534,000","39,145,000","86,355,000","96,668,000","63,537,000","59,983,000","33,709,000","26,891,000","27,796,000","28,709,000","37,666,000","38,893,000","43,117,000","46,429,000","49,067,000","46,683,000","17,946,000"
	CurrentAssets,"275,622,000","368,397,000","272,875,000","266,230,000","276,533,000","274,264,000","268,539,000","267,801,000","277,162,000","302,381,000","267,120,000","357,128,000","397,391,000","161,509,000","175,324,000","186,022,000","178,598,000","189,154,000","194,215,000","202,101,000","197,354,000","192,483,000","189,235,000","184,887,000","185,900,000","174,900,000","168,672,000","174,137,000","191,596,000","200,317,000","198,566,000","192,749,000","116,933,000","186,758,000","74,509,000","68,132,000","63,670,000","51,860,000","47,050,000","44,570,000","35,886,000","25,348,000","22,777,000","22,166,000","22,076,000","24,690,000","21,077,000","21,568,000","21,449,000","21,053,000","20,265,000","19,260,000","19,928,000","20,108,000","19,756,000","19,619,000","19,405,000","17,726,000","16,257,000","16,314,000","16,799,000","16,635,000","20,276,000","20,774,000","23,815,000","33,667,000","24,118,000","29,800,000","37,029,000","28,489,000","32,545,000","24,400,000","15,400,000","14,590,000","5,489,000","4,300,000","5,816,000","8,603,000","10,874,000","13,078,000","15,006,000","18,095,000","23,283,000","26,179,000","30,932,000","41,272,000","51,000,000","54,832,000","53,380,000","25,796,000","21,187,000","22,254,000","26,489,000","35,416,000","36,925,000","41,681,000","44,898,000","47,529,000","45,114,000","16,440,000"
		CashCashEquivalentsAndShortTermInvestments,"136,050,000","244,903,000","147,596,000","140,519,000","152,868,000","148,615,000","153,229,000","157,270,000","170,852,000","215,077,000","191,543,000","296,511,000","346,482,000","114,832,000","128,909,000","144,460,000","152,262,000","160,977,000","167,050,000","177,805,000","174,989,000","172,651,000","169,744,000","167,073,000","162,850,000","154,585,000","149,147,000","156,966,000","177,094,000","187,889,000","185,567,000","182,010,000","106,340,000","174,015,000","61,254,000","57,814,000","52,269,000","46,522,000","40,117,000","38,242,000","24,368,000","21,916,000","19,104,000","18,876,000","18,401,000","20,506,000","17,875,000","18,092,000","18,056,000","17,070,000","16,121,000","15,485,000","16,376,000","16,195,000","15,772,000","14,833,000","14,567,000","14,339,000","12,907,000","11,437,000","11,932,000","11,426,000","13,490,000","15,820,000","18,985,000","27,470,000","19,439,000","24,617,000","31,550,000","22,721,000","28,129,000","21,338,000","13,249,000","13,188,000","3,390,000","2,782,000","3,579,000","6,325,000","8,482,000","10,685,000","12,422,000","13,806,000","19,026,000","21,889,000","24,126,000","34,443,000","43,200,000","49,443,000","48,576,000","21,781,000","16,527,000","17,929,000","15,810,000","17,064,000","18,366,000","22,377,000","26,737,000","33,187,000","36,413,000","12,948,000"
			CashAndCashEquivalents,"91,205,000","200,352,000","102,989,000","109,288,000","112,531,000","106,877,000","121,848,000","116,690,000","137,394,000","184,794,000","162,219,000","269,025,000","276,583,000","28,325,000","24,677,000","34,557,000","31,703,000","31,769,000","34,570,000","53,175,000","41,030,000","33,457,000","32,094,000","27,466,000","33,576,000","23,866,000","28,795,000","29,298,000","53,110,000","52,598,000","56,048,000","55,073,000","59,159,000","172,114,000","59,345,000","55,915,000","50,305,000","44,557,000","38,108,000","36,274,000","22,426,000","20,004,000","17,200,000","16,934,000","16,474,000","18,586,000","17,875,000","18,092,000","18,056,000","17,070,000","16,121,000","15,485,000","16,376,000","16,195,000","15,772,000","13,034,000","11,185,000","8,769,000","5,365,000","5,518,000","6,735,000","6,182,000","5,253,000","6,090,000","6,259,000","16,807,000","5,091,000","13,442,000","22,515,000","22,111,000","27,969,000","21,180,000","13,249,000","13,188,000","2,380,000","1,903,000","3,371,000","6,147,000","8,405,000","10,494,000","12,422,000","13,806,000","19,026,000","21,889,000","24,126,000","34,443,000","43,200,000","49,443,000","48,576,000","21,781,000","16,527,000","17,929,000","15,810,000","17,064,000","18,366,000","22,377,000","26,677,000","33,187,000","36,413,000","12,948,000"
				CashFinancial,"70,095,000","183,097,000","43,131,000","39,480,000","39,070,000","33,739,000","25,694,000","23,652,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				CashEquivalents,"21,110,000","17,255,000","59,858,000","69,808,000","73,461,000","73,138,000","96,154,000","93,038,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherShortTermInvestments,"44,845,000","44,551,000","44,607,000","31,231,000","40,337,000","41,738,000","31,381,000","40,580,000","33,458,000","30,283,000","29,324,000","27,486,000","69,899,000","86,507,000","104,232,000","109,903,000","120,559,000","129,208,000","132,480,000","124,630,000","133,959,000","139,194,000","137,650,000","139,607,000","129,274,000","130,719,000","120,352,000","127,668,000","123,984,000","135,291,000","129,519,000","126,937,000","47,181,000","1,901,000","1,909,000","1,899,000","1,964,000","1,965,000","2,009,000","1,968,000","1,942,000","1,912,000","1,904,000","1,942,000","1,927,000","1,920,000",,,,,,,"0",,,"1,799,000","3,382,000","5,570,000","7,542,000","5,919,000","5,197,000","5,244,000","8,237,000","9,730,000","12,726,000","10,663,000","14,348,000","11,175,000","9,035,000","610,000","160,000","158,000",,,"1,010,000","879,000","208,000","178,000","77,000","191,000",,,,,,,,,,,,,,,,,"60,000",,,
		Receivables,"57,400,000","48,442,000","51,178,000","49,755,000","51,150,000","50,404,000","42,971,000","40,572,000","37,811,000","37,384,000","30,743,000","23,361,000","20,181,000","19,068,000","18,870,000","17,725,000","16,296,000","17,937,000","15,179,000","14,478,000","14,264,000","13,069,000","11,661,000","11,538,000","11,070,000","9,927,000","10,135,000","8,041,000","6,642,000","7,233,000","7,266,000","5,947,000","5,503,000","5,169,000","4,686,000","3,595,000","3,880,000","3,605,000","4,153,000","2,837,000","2,279,000","1,917,000","1,796,000","1,070,000","863,000","758,000","804,000","680,000","554,000","476,000","422,000","415,000","414,000","698,000","710,000","1,558,000","1,807,000","614,000","554,000","804,000","736,000","640,000","1,092,000","792,000","776,000","619,000","538,000","460,000","1,144,000","1,493,000","411,000","197,000","608,000","607,000","1,266,000","419,000","1,290,000","1,192,000","1,457,000","1,298,000","1,239,000","1,845,000","1,218,000","1,166,000","2,907,000","2,174,000","2,362,000","2,004,000","2,394,000","1,395,000","1,613,000","1,918,000","5,886,000","6,771,000","3,874,000","4,330,000","4,527,000","4,569,000","4,997,000","1,925,000"
			AccountsReceivable,"57,400,000","48,442,000","51,178,000","49,755,000","51,150,000","50,404,000","42,971,000","40,572,000","37,811,000","37,384,000","30,743,000","23,361,000","20,181,000","19,068,000","18,870,000","17,725,000","16,296,000","17,937,000","15,179,000","14,478,000","14,264,000","13,069,000","11,661,000","11,538,000","11,070,000","9,927,000","10,135,000","8,041,000","6,642,000","7,233,000","7,266,000","5,947,000","5,503,000","5,169,000","4,686,000","3,595,000","3,880,000","3,605,000","4,153,000","2,837,000","2,279,000","1,917,000","1,796,000","1,070,000","863,000","758,000","804,000","680,000","554,000","476,000","422,000","415,000","414,000","698,000","710,000","1,558,000","1,807,000","614,000","554,000","804,000","736,000","640,000","1,092,000","792,000","776,000","619,000","538,000","460,000","1,144,000","1,493,000","411,000","197,000","608,000","607,000","1,266,000","419,000","1,290,000","1,192,000","1,457,000","1,298,000","1,239,000","1,845,000","1,218,000","1,166,000","2,907,000","2,174,000","2,362,000","2,004,000","2,394,000","1,395,000","1,613,000","1,918,000","5,886,000","6,771,000","3,874,000","4,330,000","4,527,000","4,569,000","4,997,000","1,925,000"
		Inventory,,,,,,,,,,,,,,,,,,,,,"908,000","572,000","464,000","463,000","520,000","786,000","879,000","618,000","704,000","532,000","754,000","753,000","811,000","828,000","403,000","567,000","511,000","573,000","571,000","593,000","581,000","539,000","654,000","1,566,000","2,105,000","2,600,000","1,521,000","2,021,000","2,174,000","2,789,000","2,853,000","2,589,000","2,297,000","1,901,000","1,753,000","1,717,000","1,539,000","1,896,000","1,889,000","2,603,000","2,629,000","2,848,000","3,641,000","2,685,000","1,738,000","3,188,000","1,342,000","2,209,000","1,600,000","1,784,000","2,415,000","1,026,000","98,000","231,000","198,000","380,000","352,000","411,000","116,000","563,000","733,000","915,000","1,071,000","1,109,000","1,328,000","1,481,000","1,136,000","926,000","1,367,000","1,536,000","1,668,000","1,508,000","3,915,000","10,729,000","13,311,000","14,224,000","12,758,000","8,766,000","2,706,000","918,000"
			RawMaterials,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,796,000","714,000","1,889,000","1,267,000","632,000","1,286,000","186,000","57,000","60,000","177,000","172,000","147,000","224,000","47,000","27,000","528,000","155,000","151,000","127,000","213,000","392,000","338,000","84,000","65,000","123,000","216,000","108,000","952,000","2,680,000","3,232,000","3,233,000","3,864,000","2,778,000","1,227,000","368,000"
			WorkInProcess,,,,,,,,,,,,,,,,,,,,,"0","0",,"3,000","76,000","215,000","283,000","11,000","169,000","11,000","12,000","9,000","23,000","22,000","22,000","23,000","23,000","24,000","26,000","42,000","55,000","63,000","142,000","933,000","1,510,000","1,994,000","1,056,000","1,622,000","1,701,000","2,244,000","2,347,000","2,063,000","1,695,000",,"824,000","1,014,000",,"704,000","673,000","1,679,000","1,919,000","2,059,000","2,806,000","1,667,000","1,192,000",,,,,,,,,,,,,,,,,"655,000","713,000","860,000","783,000","755,000","633,000","544,000","797,000","605,000","679,000","481,000","892,000","3,491,000","5,826,000","5,655,000","5,337,000","2,596,000","318,000","164,000"
