name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016
TotalAssets,"1,867,153,000","2,021,972,000","2,043,347,000","2,001,075,000","1,816,577,000","1,360,520,000","763,249,000","715,340,000","594,834,000","596,213,000","591,985,000","599,568,000","574,610,000","542,821,000","554,917,000","296,983,000","269,950,000","281,955,000","289,085,000","131,417,000","116,907,000","133,477,000"
	CurrentAssets,"1,099,231,000","1,246,064,000","1,263,354,000","1,227,870,000","1,694,360,000","1,240,826,000","638,661,000","586,747,000","457,350,000","451,593,000","447,566,000","461,734,000","489,982,000","496,247,000","512,194,000","253,815,000","227,660,000","240,206,000","247,952,000","87,460,000","72,796,000","93,388,000"
		CashCashEquivalentsAndShortTermInvestments,"708,138,000","624,740,000","591,292,000","764,992,000","1,382,098,000","1,056,837,000","501,382,000","453,408,000","288,989,000","304,708,000","271,288,000","276,469,000","395,618,000","432,608,000","448,968,000","194,237,000","190,773,000","208,342,000","213,694,000","55,714,000","37,959,000","65,779,000"
			CashAndCashEquivalents,"612,680,000","591,003,000","562,714,000","735,387,000","1,241,255,000","925,276,000","371,573,000","325,352,000","213,940,000","234,679,000","209,234,000","241,104,000","395,618,000","432,608,000","448,968,000","194,237,000","190,773,000","208,342,000","212,436,000","54,210,000","36,209,000","64,030,000"
				CashFinancial,,,"61,282,000","102,587,000","623,753,000",,"29,401,000","10,937,000",,,,,,,,,,,,,,
				CashEquivalents,,,"501,432,000","632,800,000","617,502,000",,"342,172,000","314,415,000",,,,,,,,,,,,,,
			OtherShortTermInvestments,"95,458,000","33,737,000","28,578,000","29,605,000","140,843,000","131,561,000","129,809,000","128,056,000","75,049,000","70,029,000","62,054,000","35,365,000",,,,,,"0","1,258,000","1,504,000","1,750,000","1,749,000"
		Receivables,"52,282,000","69,594,000","91,932,000","84,757,000","47,416,000","54,719,000","41,085,000","34,182,000","21,821,000","19,223,000","24,434,000","38,686,000","16,253,000","15,363,000","13,254,000","18,902,000","12,093,000","13,334,000","13,336,000","14,509,000","12,275,000","10,625,000"
			AccountsReceivable,"52,282,000","69,594,000","91,932,000","84,757,000","47,416,000","54,719,000","41,085,000","34,182,000","21,821,000",,,,,,,,,,,,,
				GrossAccountsReceivable,"53,746,000","70,892,000","92,865,000","84,961,000","47,598,000","54,879,000",,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,"-1,464,000","-1,298,000","-933,000","-204,000","-182,000","-160,000",,,,,,,,,,,,,,,,
			OtherReceivables,,,,,,,,,,"19,388,000","24,703,000","38,902,000","16,481,000","15,529,000","13,411,000","19,036,000","12,232,000","13,494,000","13,483,000","14,659,000","12,275,000","10,625,000"
			ReceivablesAdjustmentsAllowances,,,,,,,,,,"-165,000","-269,000","-216,000","-228,000","-166,000","-157,000","-134,000","-139,000","-160,000","-147,000","-150,000",,
		Inventory,"245,487,000","358,221,000","435,144,000","249,003,000","97,371,000","49,158,000","24,993,000","9,437,000","70,649,000","74,590,000","105,460,000","85,654,000","38,306,000","22,694,000","25,161,000","14,519,000",,,,,,
