name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006,06/30/2006,03/31/2006,12/31/2005,09/30/2005,06/30/2005,03/31/2005,12/31/2004,09/30/2004,06/30/2004,03/31/2004,12/31/2003,09/30/2003,06/30/2003,03/31/2003,12/31/2002,09/30/2002,06/30/2002,03/31/2002,12/31/2001,09/30/2001,06/30/2001,03/31/2001,12/31/2000,09/30/2000,06/30/2000,03/31/2000,12/31/1999,09/30/1999
TotalAssets,"5,803,805,000","5,950,076,000","5,740,100,000","5,788,826,000","5,786,241,000","2,251,282,000","1,500,629,000","1,030,314,000","748,544,000","771,184,000","556,009,000","456,994,000","396,199,000","390,326,000","319,278,000","276,227,000","298,306,000","270,810,000","275,683,000","228,580,000","210,724,000","240,832,000","223,985,000","233,403,000","222,169,000","209,456,000","204,618,000","182,954,000","189,265,958","205,880,660","211,807,521","221,108,005","95,204,022","35,355,621","40,031,761","36,384,359","37,142,590","39,460,002","45,567,001","52,223,770","58,171,538","55,655,999","53,312,251","59,146,803","49,573,930","59,176,925","65,512,235","105,202,827","143,535,200","164,184,522","172,638,133","184,656,813","195,110,301","209,111,967","211,607,059","226,278,873","246,042,144","268,391,718","282,087,979","289,519,047","294,332,205","307,919,912","319,583,180","331,264,245","128,084,705","139,784,377","154,966,489","95,951,336","105,877,737","117,997,490","129,843,663","140,112,898","150,885,957","160,588,771","118,332,612","129,088,014","143,029,458","108,682,791","119,647,021","130,420,622","139,328,747","151,374,007","164,819,030","116,400,734","130,714,914","150,829,218","169,996,881","190,391,950","200,337,880","216,126,000","43,500,000"
	CurrentAssets,"4,099,894,000","4,448,525,000","4,787,995,000","4,966,411,000","5,096,184,000","1,603,196,000","778,014,000","394,655,000","277,053,000","313,340,000","196,792,000","153,028,000","166,465,000","155,615,000","123,827,000","117,860,000","145,532,000","119,607,000","133,173,000","88,017,000","77,584,000","110,933,000","106,872,000","127,516,000","130,466,000","131,230,000","143,616,000","160,502,000","177,823,751","192,745,226","199,469,688","209,925,332","84,314,196","23,713,102","27,149,769","22,307,338","22,067,134","23,940,698","31,679,991","37,670,438","43,084,815","39,494,523","36,360,020","40,267,350","29,279,242","38,678,661","38,095,546","75,820,078","113,277,994","133,498,775","140,742,901","145,800,920","154,517,971","168,105,335","128,252,372","140,185,834","159,328,613","178,817,159","193,610,634","203,601,786","265,909,463","279,280,819","286,731,000","298,212,812","94,441,549","105,681,848","114,864,170","55,276,042","64,237,039","74,961,763","84,686,029","93,276,378","102,200,611","110,282,464","66,120,313","74,749,924","88,002,625","67,135,237","75,394,412","83,589,108","90,489,280","100,564,908","111,212,233","64,784,019","76,061,275","93,342,316","112,896,624","132,187,557","147,994,527","177,413,000","6,100,000"
		CashCashEquivalentsAndShortTermInvestments,"3,442,668,000","3,869,529,000","4,272,377,000","4,523,193,000","4,754,326,000","1,312,404,000","448,140,000","152,492,000","74,340,000","139,496,000","43,275,000","19,845,000","39,336,000","38,602,000","13,825,000","15,035,000","46,746,000","24,828,000","7,957,000","2,090,000","11,765,000","46,014,000","42,486,000","66,040,000","66,882,000","63,961,000","85,009,000","109,139,000","131,537,210","146,205,071","156,461,732","168,608,852","63,231,651","5,026,523","10,959,955","7,410,948","4,502,838","9,380,059","9,461,404","15,851,417","20,829,033","13,856,893","22,802,185","27,151,258","13,001,997","21,358,718","20,734,184","61,248,329","101,384,889","121,915,904","124,596,141","136,050,209","144,415,474","157,339,104","116,329,561","127,881,992","146,768,320","165,700,608","180,409,043","190,829,939","251,370,600","269,123,068","278,465,389","290,265,183","86,265,958","97,563,360","106,574,168","47,210,587","56,341,215","66,849,429","75,293,470","82,878,895","93,380,975","102,004,105","57,560,637","66,127,514","76,851,652","55,848,019","66,009,832","75,809,289","84,667,994","92,682,459","104,106,027","55,085,896","69,873,627","86,733,415","105,136,326","122,039,803","140,885,950","171,496,000","3,200,000"
			CashAndCashEquivalents,"2,495,614,000","2,481,269,000","3,371,962,000","3,160,170,000","4,349,066,000","1,312,404,000","448,140,000","152,492,000","74,340,000","139,496,000","43,275,000","19,845,000","39,336,000","38,602,000","13,825,000","15,035,000","46,746,000","24,828,000","7,957,000","2,090,000","11,765,000","46,014,000","42,486,000","66,040,000","66,882,000","63,961,000","85,009,000","109,139,000","131,537,210","146,205,071","156,461,732","168,608,852","63,231,651","5,026,523","10,959,955","7,410,948","4,502,838","9,380,059","9,461,404","15,851,417","20,829,033","13,856,893","22,802,185","27,151,258","13,001,997","10,955,403","10,324,530","3,789,314","8,269,184","14,580,983","24,136,396","24,991,331","15,997,671","80,844,500","19,567,978","24,643,472","51,755,317","12,076,938","18,171,364","28,207,387","72,954,388","26,899,866","43,043,744","135,121,183","18,607,054","21,877,726","51,753,381","17,439,334","26,019,527","18,976,767","37,324,698","40,623,374","59,795,795","88,685,255","44,854,773","49,299,429","54,004,319","27,257,641","40,241,697","42,842,453","61,008,723","53,648,145","70,743,594","35,118,449","44,683,614","58,511,563","92,316,916","110,797,623","140,885,950","171,496,000","3,200,000"
			OtherShortTermInvestments,"947,054,000","1,388,260,000","900,415,000","1,363,023,000","405,260,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0","0","0","0","10,403,315","10,409,654","57,459,015","93,115,705","107,334,921","100,459,745","111,058,878","128,417,803","76,494,604","96,761,583","103,238,520","95,013,003","153,623,670","162,237,679","162,622,552","178,416,212","242,223,202","235,421,645","155,144,000","67,658,904","75,685,634","54,820,787","29,771,253","30,321,688","47,872,662","37,968,772","42,255,521","33,585,180","13,318,850","12,705,864","16,828,085","22,847,333","28,590,378","25,768,135","32,966,836","23,659,271","39,034,314","33,362,433","19,967,447","25,190,013","28,221,852","12,819,410","11,242,180",,,
		Receivables,"95,967,000","131,312,000","132,370,000","91,359,000","42,632,000","43,041,000","113,133,000","45,522,000","24,437,000","25,448,000","24,392,000","26,592,000","32,062,000","37,347,000","24,721,000","31,509,000","22,986,000","15,331,000","52,869,000","15,268,000","6,902,000","11,923,000","12,006,000","12,677,000","10,684,000","22,650,000","18,548,000","12,524,000","7,770,863","16,094,788","15,032,920","16,461,076","6,342,316","6,429,400","4,301,033","4,349,020","5,576,989","4,021,725","7,661,038","11,125,967","12,969,623","13,388,909","5,223,999","4,130,940","4,326,984","4,196,361","4,334,119","3,075,523","2,601,913","2,004,670","1,492,165","1,293,897","1,677,353","2,151,121","3,290,547","5,895,483","4,327,197","4,608,456","3,572,869","2,623,632","2,203,336","892,641","1,228,585","1,582,420","1,266,031","1,516,969","1,697,973","1,123,393","1,924,998","2,989,481","3,725,434","4,578,896","2,685,091","3,307,627","3,097,285","2,740,766","3,693,833","4,145,328","3,386,700","1,261,955","862,047","2,608,321","856,705","1,625,873","1,184,300","1,415,049","2,368,243","4,632,854","5,303,831","5,213,000","2,600,000"
			AccountsReceivable,"57,322,000","92,675,000","132,370,000","91,359,000","42,632,000","43,041,000","113,133,000","45,522,000","24,437,000","25,448,000","24,392,000","26,592,000","32,062,000","37,347,000","24,721,000","31,509,000","22,986,000","15,331,000","52,869,000","15,268,000","6,902,000","11,923,000","12,006,000","12,677,000","10,684,000","22,650,000","18,548,000","12,524,000","7,770,863","16,094,788","15,032,920","16,461,076","6,342,316","6,429,400","4,301,033","4,349,020","5,576,989","4,021,725","7,661,038","11,125,967","12,969,623","13,388,909","5,223,999","4,130,940","4,326,984","4,196,361","4,334,119","3,075,523","2,601,913","2,004,670","1,492,165","1,293,897","1,677,353","2,151,121","3,090,520","5,689,976","4,104,029","4,337,856","3,280,303","1,704,576","2,203,336","892,641","1,228,585","1,582,420","1,266,031","1,516,969","1,697,973","1,123,393","1,924,998","2,989,481","3,725,434","4,578,896","2,685,091","3,307,627","3,097,285","2,740,766","3,693,833","4,145,328","3,386,700","1,261,955","862,047","2,608,321","856,705","1,625,873","1,184,300",,,,,,
				GrossAccountsReceivable,,"92,714,000",,,,"43,213,000",,,,"25,697,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,661,038",,,"13,388,909","5,223,999","4,141,100","4,337,144","4,206,521",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
				AllowanceForDoubtfulAccountsReceivable,,"-39,000",,,,"-172,000",,,,"-249,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0",,,"0","0","-10,160","-10,160","-10,160",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
			OtherReceivables,"38,645,000","38,637,000",,,,,,,,,,,,,,,,"0","0","0","0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0",,"0","0","0","0","0","0","0","0","0","0","0","0","200,027","205,507","223,168","270,600","292,566","919,056",,"0","0","0","0","0",,"0","0","0",,"0","0","0","0",,,"0","0","0","0","0","0","0","0",,,,,,
