name,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013
TotalAssets,"3,515,459,000","3,451,462,000","3,566,920,000","3,522,898,000","3,681,965,000","3,510,799,000","3,441,583,000","2,948,515,000","3,063,069,000","2,616,162,000","2,594,584,000","2,569,567,000","2,684,173,000","2,644,851,000","2,516,552,000","2,312,216,000","2,294,637,000","2,320,163,000","2,504,342,000","2,507,836,000","2,566,261,000","2,582,743,000","1,889,664,000","1,855,383,000","1,854,976,000","1,787,980,000","1,692,276,000","1,530,191,000","1,488,533,000","1,432,370,000","1,282,945,000","1,246,656,000","1,199,871,000","1,095,634,000","521,840,000","598,916,000"
	CurrentAssets,"756,000,000","728,113,000","832,725,000","782,296,000","889,192,000","786,338,000","718,053,000","618,362,000","752,371,000","574,812,000","576,684,000","614,044,000","634,957,000","614,215,000","626,202,000","428,618,000","405,597,000","420,837,000","393,867,000","408,812,000","494,256,000","513,950,000","384,030,000","462,890,000","453,257,000","386,758,000","363,466,000","553,169,000","525,217,000","509,637,000","426,613,000","422,056,000","395,005,000","358,078,000","250,903,000","366,041,000"
		CashCashEquivalentsAndShortTermInvestments,"179,503,000","86,161,000","184,421,000","129,141,000","132,584,000","109,013,000","120,416,000","99,304,000","241,734,000","111,570,000","125,244,000","141,055,000","137,512,000","110,584,000","142,422,000","152,386,000","149,410,000","163,014,000","132,120,000","156,735,000","236,218,000","218,892,000","156,012,000","266,576,000","265,554,000","199,615,000","172,273,000","387,189,000","348,388,000","347,389,000","268,638,000","291,606,000","267,660,000","233,861,000","132,851,000","255,619,000"
			CashAndCashEquivalents,"179,503,000","86,161,000","184,421,000","129,141,000","132,584,000","109,013,000","120,416,000","99,304,000","241,734,000","111,570,000","125,244,000","141,055,000","137,512,000","110,584,000","142,422,000","152,386,000","149,410,000","163,014,000","132,120,000","156,735,000","236,218,000","218,892,000","156,012,000","248,817,000","238,384,000","157,410,000","109,835,000","146,522,000","155,636,000","129,616,000","94,522,000","131,786,000","152,040,000","158,059,000","75,351,000","198,296,000"
			OtherShortTermInvestments,,,,,,,,,,,,,,,,,,,,"0","0","0",,"17,759,000","27,170,000","42,205,000","62,438,000","240,667,000","192,752,000","217,773,000","174,116,000","159,820,000","115,620,000","75,802,000","57,500,000","57,323,000"
		Receivables,"381,325,000","427,038,000","411,160,000","408,730,000","447,850,000","405,577,000","376,882,000","350,723,000","374,369,000","381,811,000","372,107,000","394,807,000","404,077,000","406,340,000","385,869,000","186,768,000","174,583,000","171,735,000","174,356,000","166,487,000","167,566,000","183,694,000","148,326,000","147,547,000","133,426,000","128,816,000","120,720,000","102,564,000","101,877,000","88,346,000","82,443,000","68,805,000","73,757,000","70,900,000","62,756,000","63,874,000"
			AccountsReceivable,"125,632,000","137,902,000","139,111,000","140,934,000","188,519,000","166,438,000","131,783,000","134,548,000","139,902,000","166,907,000","157,830,000","181,483,000","206,595,000","197,366,000","182,254,000","184,351,000","174,092,000","171,354,000","173,869,000","159,697,000","162,178,000","181,083,000","144,464,000","144,190,000","128,577,000","123,033,000","116,142,000","97,866,000","101,165,000","86,787,000","81,027,000","66,495,000","72,311,000","68,688,000","61,968,000","59,566,000"
				GrossAccountsReceivable,"126,484,000","139,214,000","140,394,000","143,218,000","190,656,000","168,281,000","133,767,000","135,279,000","141,027,000","167,587,000","158,643,000","185,810,000","210,311,000","200,553,000","187,121,000","186,192,000","176,241,000","173,738,000","175,876,000","161,509,000","165,086,000","184,808,000","146,819,000","146,171,000","130,476,000","124,428,000","117,734,000","99,019,000","102,274,000","87,916,000","81,748,000","67,549,000","73,284,000","69,402,000","62,700,000","60,237,000"
				AllowanceForDoubtfulAccountsReceivable,"-852,000","-1,312,000","-1,283,000","-2,284,000","-2,137,000","-1,843,000","-1,984,000","-731,000","-1,125,000","-680,000","-813,000","-4,327,000","-3,716,000","-3,187,000","-4,867,000","-1,841,000","-2,149,000","-2,384,000","-2,007,000","-1,812,000","-2,908,000","-3,725,000","-2,355,000","-1,981,000","-1,899,000","-1,395,000","-1,592,000","-1,153,000","-1,109,000","-1,129,000","-721,000","-1,054,000","-973,000","-714,000","-732,000","-671,000"
			DuefromRelatedPartiesCurrent,,,,,,,,,,,,,"466,000","720,000","654,000","894,000","491,000","381,000","487,000","6,742,000","5,388,000","2,611,000","3,862,000","3,123,000","4,445,000","3,764,000","4,578,000","3,444,000","712,000","1,559,000","1,416,000","1,228,000","1,446,000","2,212,000","788,000","1,650,000"
			OtherReceivables,"255,693,000","289,136,000","272,049,000","267,796,000","259,331,000","239,139,000","245,099,000","216,175,000","234,467,000","214,904,000","214,277,000","213,324,000","197,016,000","208,254,000","202,961,000","1,523,000",,,,"48,000",,,,"234,000","404,000","2,019,000",,"1,254,000",,,,"1,082,000",,,,"2,658,000"
			ReceivablesAdjustmentsAllowances,,,,,,"-1,843,000","-1,984,000","-731,000","-1,125,000","-680,000","-813,000","-4,327,000","-3,716,000","-3,187,000","-4,867,000","-1,841,000","-2,149,000","-2,384,000","-2,007,000","-1,812,000","-2,908,000","-3,725,000","-2,355,000","-1,981,000","-1,899,000","-1,395,000","-1,592,000","-1,153,000","-1,109,000","-1,129,000","-721,000","-1,054,000","-973,000","-714,000","-732,000","-671,000"
		Inventory,"130,275,000","148,415,000","169,019,000","176,376,000","225,231,000","178,346,000","143,305,000","70,997,000","48,522,000","52,713,000","52,344,000","51,032,000","64,775,000","70,032,000","68,236,000","66,139,000","57,230,000","62,067,000","57,604,000","50,426,000","48,770,000","65,690,000","34,685,000","29,121,000","29,307,000","30,244,000","31,889,000","33,058,000","29,858,000","27,677,000","22,480,000","20,823,000","19,280,000","16,116,000","13,029,000","12,741,000"
			FinishedGoods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"29,858,000","27,677,000","22,480,000","20,823,000","19,280,000","16,116,000","13,029,000",
		PrepaidAssets,"64,897,000","66,499,000","68,125,000","68,049,000","83,527,000","93,402,000","77,450,000","97,338,000","87,746,000","28,718,000","26,989,000","23,765,000","28,593,000","27,259,000","29,675,000","23,325,000","24,374,000","24,021,000","29,787,000","35,164,000","41,702,000","45,674,000","45,007,000","19,646,000","24,970,000","28,083,000","31,483,000","22,353,000","32,039,000","34,358,000","44,596,000","31,175,000","22,974,000","27,232,000","34,576,000","25,404,000"
		CurrentDeferredAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,101,000","8,005,000","13,055,000","11,867,000","8,456,000","9,647,000","11,334,000","9,969,000","7,691,000","8,403,000"
			CurrentDeferredTaxesAssets,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,101,000","8,005,000","13,055,000","11,867,000","8,456,000","9,647,000","11,334,000","9,969,000","7,691,000","8,403,000"
		AssetsHeldForSaleCurrent,,,,,,,,"0","0","0","0","3,385,000",,,,,,,,,,,,,,,,,,,,,,,,
	TotalNonCurrentAssets,"2,759,459,000","2,723,349,000","2,734,195,000","2,740,602,000","2,792,773,000","2,724,461,000","2,723,530,000","2,330,153,000","2,310,698,000","2,041,350,000","2,017,900,000","1,955,523,000","2,049,216,000","2,030,636,000","1,890,350,000","1,883,598,000","1,889,040,000","1,899,326,000","2,110,475,000","2,099,024,000","2,072,005,000","2,068,793,000","1,505,634,000","1,392,493,000","1,401,719,000","1,401,222,000","1,328,810,000","977,022,000","963,316,000","922,733,000","856,332,000","824,600,000","804,866,000","737,556,000","270,937,000","232,875,000"
		NetPPE,"264,347,000","269,592,000","272,781,000","272,470,000","274,245,000","273,459,000","269,482,000","264,551,000","263,413,000","258,355,000","262,985,000","205,108,000","212,306,000","211,859,000","211,248,000","206,693,000","198,853,000","190,815,000","186,179,000","187,365,000","182,093,000","180,408,000","175,221,000","174,080,000","165,736,000","163,044,000","153,509,000","147,625,000","152,972,000","145,430,000","139,277,000","134,551,000","128,523,000","124,096,000","119,538,000","115,587,000"
			GrossPPE,"838,532,000","828,861,000","811,180,000","790,802,000","777,434,000","760,148,000","739,249,000","717,160,000","695,046,000","667,350,000","646,602,000","564,343,000","559,607,000","551,640,000","529,346,000","504,284,000","481,531,000","454,988,000","439,019,000","423,825,000","485,145,000","468,973,000","447,748,000","439,831,000","420,821,000","407,283,000","386,057,000","368,310,000","372,489,000","353,507,000","336,094,000","321,133,000","306,899,000","293,109,000","280,978,000","269,033,000"
				Properties,,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0",,,,"0"
				MachineryFurnitureEquipment,,,,"723,542,000",,,,"640,455,000",,,,"545,467,000",,,,"485,358,000",,,,"405,809,000",,,,"423,513,000",,,,"352,542,000",,,,"305,932,000",,,,"253,463,000"
				OtherProperties,"838,532,000","828,861,000","811,180,000","48,199,000","777,434,000","760,148,000","739,249,000","57,823,000","695,046,000","667,350,000","646,602,000",,,,,,,,,,,,,,,,,,,,,,,,,
				Leases,,,,"19,061,000",,,,"18,882,000",,,,"18,876,000",,,,"18,926,000",,,,"18,016,000",,,,"16,318,000",,,,"15,768,000",,,,"15,201,000",,,,"15,570,000"
			AccumulatedDepreciation,"-574,185,000","-559,269,000","-538,399,000","-518,332,000","-503,189,000","-486,689,000","-469,767,000","-452,609,000","-431,633,000","-408,995,000","-383,617,000","-359,235,000","-347,301,000","-339,781,000","-318,098,000","-297,591,000","-282,678,000","-264,173,000","-252,840,000","-236,460,000","-303,052,000","-288,565,000","-272,527,000","-265,751,000","-255,085,000","-244,239,000","-232,548,000","-220,685,000","-219,517,000","-208,077,000","-196,817,000","-186,582,000","-178,376,000","-169,013,000","-161,440,000","-153,446,000"
