name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016
TotalRevenue,"203,870,000","60,363,000","52,013,000","47,281,000","44,213,000","43,507,000","39,909,000","38,000,000","37,353,000","40,165,000","29,586,000","22,310,000","19,680,000","21,820,000","14,813,000","11,644,000","11,574,000","11,693,000","6,750,000","6,256,000","4,204,000","6,024,000","7,706,000","4,772,000","4,672,000","4,593,000"
	OperatingRevenue,"203,104,000","59,997,000","51,880,000","47,137,000","44,090,000","43,384,000","39,781,000","37,778,000","36,944,000","39,681,000","28,924,000","21,164,000","19,076,000","21,438,000","14,692,000","11,567,000","9,861,000","11,280,000","6,578,000","6,172,000","4,201,000","5,916,000","7,659,000","4,749,000","4,663,000","4,593,000"
CostOfRevenue,"2,772,000","707,000","625,000","719,000","722,000","598,000","652,000","493,000","536,000","798,000","591,000","625,000","645,000","812,000","392,000","456,000","398,000","354,000","364,000","472,000","425,000","210,000","257,000","241,000","167,000","196,000"
GrossProfit,"201,098,000","59,656,000","51,388,000","46,562,000","43,491,000","42,909,000","39,257,000","37,507,000","36,817,000","39,367,000","28,995,000","21,685,000","19,035,000","21,008,000","14,421,000","11,188,000","11,176,000","11,339,000","6,386,000","5,784,000","3,779,000","5,814,000","7,449,000","4,531,000","4,505,000","4,397,000"
OperatingExpense,"40,871,000","11,596,000","9,767,000","9,048,000","10,459,000","9,040,000","8,178,000","7,663,000","8,724,000","7,601,000","6,231,000","5,441,000","6,817,000","5,325,000","4,865,000","5,069,000","5,567,000","4,302,000","4,540,000","3,938,000","3,022,000","2,044,000","1,580,000","1,492,000","1,431,000","1,522,000"
	SellingGeneralAndAdministration,"31,292,000","9,194,000","7,365,000","6,658,000","8,074,000","6,655,000","5,809,000","5,302,000","6,369,000","5,253,000","3,883,000","3,096,000","4,474,000","2,982,000","2,559,000","2,779,000","3,292,000","2,032,000","2,273,000","1,672,000","1,149,000","336,000",,"0","651,000","732,000"
		GeneralAndAdministrativeExpense,"31,292,000","9,194,000","7,365,000","6,658,000","8,074,000","6,655,000","5,809,000","5,302,000","6,369,000","5,253,000","3,883,000","3,096,000","4,474,000","2,982,000","2,559,000","2,779,000","3,292,000","2,032,000","2,273,000","1,672,000","1,149,000","336,000",,,"651,000","732,000"
			SalariesAndWages,"3,098,000","3,407,000","-5,449,000","2,049,000","1,215,000","2,059,000","1,439,000","1,439,000","2,470,000","1,396,000","690,000","648,000","1,748,000","641,000","431,000","369,000","765,000","0",,,,"246,000",,,,
			OtherGandA,"28,194,000","5,787,000","12,814,000","4,609,000","6,859,000","4,596,000","4,370,000","3,863,000","3,899,000","3,857,000","3,193,000","2,448,000","2,726,000","2,341,000","2,128,000","2,410,000","2,527,000","2,032,000","1,507,000","1,672,000","1,149,000","90,000",,,"651,000","732,000"
	DepreciationAmortizationDepletionIncomeStatement,"9,579,000","2,402,000","2,402,000","2,390,000","2,385,000","2,385,000","2,369,000","2,361,000","2,355,000","2,348,000","2,348,000","2,345,000","2,343,000","2,343,000","2,306,000","2,290,000","2,275,000","2,270,000","2,267,000","2,266,000","1,873,000","901,000","786,000","786,000","780,000","790,000"
