name,ttm,03/31/2022,12/31/2021,09/30/2021,06/30/2021,03/31/2021,12/31/2020,09/30/2020,06/30/2020,03/31/2020,12/31/2019,09/30/2019,06/30/2019,03/31/2019,12/31/2018,09/30/2018,06/30/2018,03/31/2018,12/31/2017,09/30/2017,06/30/2017,03/31/2017,12/31/2016,09/30/2016,06/30/2016,03/31/2016,12/31/2015,09/30/2015,06/30/2015,03/31/2015,12/31/2014,09/30/2014,06/30/2014,03/31/2014,12/31/2013,09/30/2013,06/30/2013,03/31/2013,12/31/2012,09/30/2012,06/30/2012,03/31/2012,12/31/2011,09/30/2011,06/30/2011,03/31/2011,12/31/2010,09/30/2010,06/30/2010,03/31/2010,12/31/2009,09/30/2009,06/30/2009,03/31/2009,12/31/2008,09/30/2008,06/30/2008,03/31/2008,12/31/2007,09/30/2007,06/30/2007,03/31/2007,12/31/2006,09/30/2006
OperatingCashFlow,"318,580,000","16,423,000","84,544,000","101,966,000","115,647,000","87,543,000","85,318,000","69,761,000","73,475,000","56,781,000","129,939,000","91,803,000","58,124,000","43,655,000","113,050,000","71,700,000","108,898,000","99,653,000","108,545,000","163,748,000","82,282,000","50,820,000","99,287,000","87,727,000","41,281,000","63,993,000","61,960,000","93,201,000","49,402,000","52,008,000","56,018,000","47,212,000","33,484,000","43,391,000","58,406,000","36,687,000","35,613,000","-11,339,000","58,771,000","38,050,000","51,450,000","27,005,000","31,356,000","29,003,000","13,730,000","13,262,000","34,025,000","5,969,000","15,562,000","7,876,000","16,713,000","13,892,000","6,290,000","17,510,000","9,645,000","13,378,000","6,289,000","5,359,000","11,163,000","1,485,000","-2,569,000","578,000","9,327,000","-433,000"
	CashFlowFromContinuingOperatingActivities,"318,580,000","16,423,000","84,544,000","101,966,000","115,647,000","87,543,000","85,318,000","69,761,000","73,475,000","56,781,000","129,939,000","91,803,000","58,124,000","43,655,000","113,050,000","71,700,000","108,898,000","99,653,000","108,545,000","163,748,000","82,282,000","50,820,000","99,287,000","87,727,000","41,281,000","63,993,000","61,960,000","93,201,000","49,402,000","52,008,000","56,018,000","47,212,000","33,484,000","43,391,000","58,406,000","36,687,000","35,613,000","-11,339,000","58,771,000","38,050,000","51,450,000","27,005,000","31,356,000","29,003,000","13,730,000","13,262,000","34,025,000","5,969,000","15,562,000","7,876,000","16,713,000","13,892,000","6,290,000","17,510,000","9,645,000","13,378,000","6,289,000","5,359,000","11,163,000","1,485,000","-2,569,000","578,000","9,327,000","-433,000"
		NetIncomeFromContinuingOperations,"279,272,000","69,628,000","65,268,000","74,699,000","69,677,000","68,222,000","49,676,000","35,530,000","38,366,000","36,766,000","-4,303,000","57,127,000","72,521,000","54,916,000","75,466,000","100,752,000","121,617,000","106,334,000","52,956,000","115,597,000","104,103,000","74,932,000","75,129,000","69,227,000","67,032,000","49,328,000","60,678,000","62,759,000","61,244,000","57,346,000","56,431,000","55,200,000","48,283,000","40,531,000","36,595,000","42,338,000","41,720,000","35,127,000","34,912,000","42,435,000","39,849,000","30,548,000","31,855,000","34,269,000","31,507,000","23,378,000","27,268,000","13,315,000","10,345,000","3,424,000","3,157,000","2,266,000","-1,165,000","1,026,000","9,060,000","10,893,000","8,552,000","8,149,000","8,337,000","8,557,000","6,388,000","6,613,000","16,636,000","6,479,000"
		OperatingGainsLosses,"-3,153,000","-2,393,000","-4,247,000","-2,585,000","6,072,000","-7,800,000","1,824,000","-13,022,000","10,852,000","-19,589,000","3,971,000","2,848,000","3,918,000","267,000","-891,000","-723,000","935,000","-1,991,000","-248,000","2,659,000","2,076,000","3,462,000","-3,746,000","3,804,000","-2,562,000","4,802,000","-1,598,000","-481,000","2,003,000","-5,415,000","1,050,000","-2,322,000","-870,000","-1,355,000","-1,207,000","1,563,000","-110,000","-481,000","-234,000","2,349,000","-2,612,000","1,747,000",,"-733,000","-193,000","744,000",,,,,,"62,000",,,"710,000","541,000","174,000","123,000","369,000","1,578,000","-330,000","534,000","204,000","1,266,000"
			NetForeignCurrencyExchangeGainLoss,"-3,153,000","-2,393,000","-4,247,000","-2,585,000","6,072,000","-7,800,000","1,824,000","-13,022,000","10,852,000","-19,589,000","3,971,000","2,848,000","3,918,000","267,000","-891,000","-723,000","935,000","-1,991,000","-248,000","2,659,000","2,076,000","3,462,000","-3,746,000","3,804,000","-2,562,000","4,802,000","-1,598,000","-481,000","2,003,000","-5,415,000","1,050,000","-2,322,000","-870,000","-1,355,000","-1,207,000","1,563,000","-110,000","-481,000","-234,000","2,349,000","-2,612,000","1,747,000",,,"-193,000","744,000",,,,,,"62,000",,,,,,,,,,,,
		DepreciationAmortizationDepletion,"95,946,000","23,435,000","24,203,000","24,151,000","24,157,000","23,819,000","23,366,000","23,838,000","23,251,000","24,099,000","23,737,000","25,045,000","24,684,000","22,802,000","21,377,000","20,167,000","19,504,000","19,223,000","18,152,000","16,702,000","15,210,000","14,504,000","13,829,000","13,993,000","12,259,000","11,394,000","11,336,000","10,903,000","10,433,000","9,743,000","9,203,000","9,321,000","8,986,000","8,102,000","8,110,000","8,529,000","7,668,000","7,217,000","6,976,000","6,810,000","6,143,000","6,215,000","5,780,000","6,227,000","6,297,000","5,658,000","5,747,000","5,584,000","5,288,000","5,226,000","5,148,000","4,981,000","4,663,000","4,380,000","4,733,000","3,576,000","3,916,000","3,609,000","3,749,000","3,145,000","2,685,000","2,725,000","3,441,000","1,910,000"
			DepreciationAndAmortization,"95,946,000","23,435,000","24,203,000","24,151,000","24,157,000","23,819,000","23,366,000","23,838,000","23,251,000","24,099,000","23,737,000","25,045,000","24,684,000","22,802,000","21,377,000","20,167,000","19,504,000","19,223,000","18,152,000","16,702,000","15,210,000","14,504,000","13,829,000","13,993,000","12,259,000","11,394,000","11,336,000","10,903,000","10,433,000","9,743,000","9,203,000","9,321,000","8,986,000","8,102,000","8,110,000","8,529,000","7,668,000","7,217,000","6,976,000","6,810,000","6,143,000","6,215,000","5,780,000","6,227,000","6,297,000","5,658,000","5,747,000","5,584,000","5,288,000","5,226,000","5,148,000","4,981,000","4,663,000","4,380,000","4,733,000","3,576,000","3,916,000","3,609,000","3,749,000","3,145,000","2,685,000","2,725,000","3,441,000","1,910,000"
		DeferredTax,"-14,226,000","-3,397,000","-2,128,000","-2,901,000","-5,800,000","3,944,000","-2,691,000","-11,713,000","2,526,000","-935,000","-11,275,000","-6,842,000","-6,571,000","9,199,000","-7,530,000","-3,143,000","-1,304,000","7,401,000","8,347,000","10,001,000","325,000","4,208,000","-854,000","-2,786,000","-6,527,000","-2,741,000","-9,000","-5,026,000","-7,826,000","5,708,000","4,468,000","-1,061,000","-2,283,000","-2,610,000","1,423,000","-4,206,000","-7,709,000","4,324,000","2,841,000","2,316,000","-2,465,000","2,854,000","-852,000","-6,060,000","1,423,000","5,201,000","2,474,000","693,000","-357,000","-2,409,000","4,032,000","-2,420,000","-1,525,000","-4,174,000","4,074,000","1,305,000","-902,000","-2,032,000","4,146,000","3,590,000","-311,000","691,000","-10,235,000","-2,987,000"
			DeferredIncomeTax,"-14,226,000","-3,397,000","-2,128,000","-2,901,000","-5,800,000","3,944,000","-2,691,000","-11,713,000","2,526,000","-935,000","-11,275,000","-6,842,000","-6,571,000","9,199,000","-7,530,000","-3,143,000","-1,304,000","7,401,000","8,347,000","10,001,000","325,000","4,208,000","-854,000","-2,786,000","-6,527,000","-2,741,000","-9,000","-5,026,000","-7,826,000","5,708,000","4,468,000","-1,061,000","-2,283,000","-2,610,000","1,423,000","-4,206,000","-7,709,000","4,324,000","2,841,000","2,316,000","-2,465,000","2,854,000","-852,000","-6,060,000","1,423,000","5,201,000","2,474,000","693,000","-357,000","-2,409,000","4,032,000","-2,420,000","-1,525,000","-4,174,000","4,074,000","1,305,000","-902,000","-2,032,000","4,146,000","3,590,000","-311,000","691,000","-10,235,000","-2,987,000"
		AssetImpairmentCharge,,,"0","0",,,"0","44,589,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
		ProvisionandWriteOffofAssets,"67,898,000","16,142,000","18,077,000","17,710,000","15,969,000","16,685,000","28,013,000","18,075,000","10,998,000","13,486,000","25,004,000","16,051,000","12,785,000","9,912,000","8,280,000","10,490,000","10,774,000","9,318,000","10,288,000","11,936,000","13,752,000","9,002,000","12,963,000","13,047,000","11,532,000","8,927,000","10,571,000","10,610,000","10,787,000","8,017,000","8,130,000","7,699,000","6,923,000","5,284,000","11,772,000","7,948,000","6,550,000","3,705,000","5,205,000","6,260,000","4,703,000","3,799,000","3,487,000",,,"3,806,000",,,,,,,,,,,,,,,,,,
		StockBasedCompensation,"39,043,000","9,994,000","9,328,000","9,858,000","9,863,000","8,815,000","9,078,000","8,741,000","9,223,000","8,430,000","7,792,000","8,540,000","8,893,000","8,138,000","6,584,000","7,719,000","7,309,000","6,415,000","6,032,000","5,930,000","5,708,000","5,351,000","5,635,000","5,663,000","5,477,000","4,959,000","5,114,000","5,013,000","4,735,000","4,127,000","4,105,000","3,895,000","3,905,000","3,267,000","3,116,000","3,132,000","2,940,000","2,532,000","2,207,000","2,159,000","2,201,000","1,998,000","1,868,000","1,879,000","1,694,000","2,607,000","718,000","915,000","793,000","770,000","775,000","787,000","570,000","635,000",,,,,,,,,,
		ExcessTaxBenefitFromStockBasedCompensation,,,,,,,,,,,,,,,,,,,,,,,"-2,564,000","186,000","-2,126,000","-904,000","-1,089,000","-157,000","-892,000","-4,773,000","-3,283,000","-270,000","-861,000","-1,565,000","-5,264,000","-1,254,000","-892,000","-1,464,000",,,,,,,,,,,,,,,,,,,,,,,,,,
